razdel,razdel_name,vr,vr_name
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,121,Фонд оплаты труда государственных (муниципальных) органов
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,122,"Иные выплаты персоналу государственных (муниципальных) органов, за исключением фонда оплаты труда"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,123,Иные выплаты государственных (муниципальных) органов привлекаемым лицам
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,129,Взносы по обязательному социальному страхованию на выплаты денежного содержания и иные выплаты работникам государственных (муниципальных) органов
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,242,"Закупка товаров, работ и услуг в сфере информационно-коммуникационных технологий"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,243,"Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,244,"Прочая закупка товаров, работ и услуг"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,246,"Закупка товаров, работ и услуг в целях создания, развития, эксплуатации и вывода из эксплуатации государственных (муниципальных) информационных систем"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,247,Закупка энергетических ресурсов
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,321,"Пособия, компенсации и иные социальные выплаты гражданам, кроме публичных нормативных обязательств"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,323,"Приобретение товаров, работ и услуг в пользу граждан в целях их социального обеспечения"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,350,Премии и гранты
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,530,Субвенции
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,831,Исполнение судебных актов Российской Федерации и мировых соглашений по возмещению причиненного вреда
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,851,Уплата налога на имущество организаций и земельного налога
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,852,"Уплата прочих налогов, сборов"
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,853,Уплата иных платежей
0102,Функционирование высшего должностного лица субъекта Российской Федерации и муниципального образования,870,Резервные средства
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,111,Фонд оплаты труда учреждений
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,112,"Иные выплаты персоналу учреждений, за исключением фонда оплаты труда"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,113,Иные выплаты учреждений привлекаемым лицам
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,119,Взносы по обязательному социальному страхованию на выплаты по оплате труда работников и иные выплаты работникам учреждений
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,121,Фонд оплаты труда государственных (муниципальных) органов
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,122,"Иные выплаты персоналу государственных (муниципальных) органов, за исключением фонда оплаты труда"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,123,Иные выплаты государственных (муниципальных) органов привлекаемым лицам
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,129,Взносы по обязательному социальному страхованию на выплаты денежного содержания и иные выплаты работникам государственных (муниципальных) органов
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,242,"Закупка товаров, работ и услуг в сфере информационно-коммуникационных технологий"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,243,"Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,244,"Прочая закупка товаров, работ и услуг"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,246,"Закупка товаров, работ и услуг в целях создания, развития, эксплуатации и вывода из эксплуатации государственных (муниципальных) информационных систем"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,247,Закупка энергетических ресурсов
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,321,"Пособия, компенсации и иные социальные выплаты гражданам, кроме публичных нормативных обязательств"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,330,Публичные нормативные выплаты гражданам несоциального характера
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,350,Премии и гранты
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,360,Иные выплаты населению
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,414,Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,530,Субвенции
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,540,Иные межбюджетные трансферты
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,611,Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ)
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,612,Субсидии бюджетным учреждениям на иные цели
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,613,Гранты в форме субсидии бюджетным учреждениям
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,621,Субсидии автономным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ)
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,622,Субсидии автономным учреждениям на иные цели
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,623,Гранты в форме субсидии автономным учреждениям
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,631,Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,632,"Субсидии (гранты в форме субсидий), подлежащие казначейскому сопровождению"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,633,"Субсидии (гранты в форме субсидий), не подлежащие казначейскому сопровождению"
0103,Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований,811,"Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг"
