company,ticker,inn,standard,period,metric,value,unit,source,source_url,estimate_date,update_date,confidence
ПИК,PIKK,7713011336,RSBU,2025Q2,revenue,28.8,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,revenue,7.99,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,revenue,7.08,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,revenue,2.16,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,revenue,2.36,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,operating_profit,22.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,operating_profit,2.54,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,operating_profit,-3.73,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,operating_profit,-3.69,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,operating_profit,-3.26,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,net_profit,23.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,net_profit,4.17,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,net_profit,-16.1,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,net_profit,1.85,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,net_profit,1.18,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,ocf,106.3,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,ocf,2.51,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,ocf,0.556,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,ocf,-6.4,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,ocf,-5.93,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,interest_exp,4.48,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,interest_exp,0.766,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,interest_exp,0.014,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,interest_exp,0.611,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,interest_exp,0.002,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,assets,261.5,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,assets,265.2,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,assets,292.6,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,assets,299.3,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,assets,306.8,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,debt,30.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,debt,33.4,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,debt,70.0,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,debt,76.8,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,debt,82.9,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,cash,63.4,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,cash,1.32,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,cash,0.227,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,cash,4.63,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,cash,2.98,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,net_debt,-32.8,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,net_debt,32.1,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,net_debt,69.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,net_debt,72.1,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,net_debt,79.9,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,market_cap,392.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,market_cap,352.6,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,market_cap,323.6,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,market_cap,314.2,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,market_cap,374.5,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,ev,359.9,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,ev,384.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,ev,393.4,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,ev,386.3,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,ev,454.4,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,book_value,218.5,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,book_value,222.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,book_value,206.6,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,book_value,208.3,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,book_value,209.5,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,net_margin,82.2,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,net_margin,52.2,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,net_margin,-227.6,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,net_margin,85.3,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,net_margin,49.9,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,roe,16.4,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,roe,18.0,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,roe,11.4,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,roe,6.5,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,roe,-4.3,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,roa,13.7,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,roa,15.1,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,roa,8.1,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,roa,4.5,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,roa,-2.9,pct,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,pe,10.9,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,pe,8.79,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,pe,13.7,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,pe,23.2,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,pe,-42.0,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,ps,5.28,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,ps,4.84,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,ps,6.57,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,ps,6.83,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,ps,19.1,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q2,pbv,1.8,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-07-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q3,pbv,1.58,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2025-10-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2025Q4,pbv,1.57,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-03-05,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q1,pbv,1.51,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,RSBU,2026Q2,pbv,1.79,multiple,smartlab,https://smart-lab.ru/q/PIKK/f/q/RSBU/,2026-07-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2024Q2,revenue,264.8,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-04-14,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2024Q4,revenue,410.3,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-04-14,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2025Q2,revenue,328.1,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-08-29,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2025Q4,revenue,441.1,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2026Q2,revenue,290.1,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2026-08-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2024Q2,operating_profit,51.7,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-04-14,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2024Q4,operating_profit,75.9,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-04-14,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2025Q2,operating_profit,38.9,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-08-29,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2025Q4,operating_profit,118.0,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2026-04-30,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2026Q2,operating_profit,40.9,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2026-08-31,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2024Q2,net_profit,23.8,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-04-14,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2024Q4,net_profit,32.4,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-04-14,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2025Q2,net_profit,15.2,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2025-08-29,2026-09-04,aggregator
ПИК,PIKK,7713011336,MSFO,2025Q4,net_profit,53.1,млрд_руб,smartlab,https://smart-lab.ru/q/PIKK/f/q/MSFO/,2026-04-30,2026-09-04,aggregator
