company,period,metric,value,actual_date
ПИК,2021,assets,188905522.0,2022-03-30
ПИК,2021,assets_full,188905522.0,2022-03-30
ПИК,2021,revenue,24320277.0,2022-03-30
ПИК,2021,revenue_prev,25669952.0,2022-03-30
ПИК,2021,op_profit,8345180.0,2022-03-30
ПИК,2021,net_profit,71086455.0,2022-03-30
ПИК,2023,assets,296466574.0,2024-03-28
ПИК,2023,assets_full,296466574.0,2024-03-28
ПИК,2023,revenue,39960617.0,2024-03-28
ПИК,2023,revenue_prev,73713641.0,2024-03-28
ПИК,2023,op_profit,18542571.0,2024-03-28
ПИК,2023,net_profit,27483958.0,2024-03-28
ПИК,2022,assets,213252071.0,2023-03-28
ПИК,2022,assets_full,213252071.0,2023-03-28
ПИК,2022,revenue,22621435.0,2023-03-28
ПИК,2022,revenue_prev,24320277.0,2023-03-28
ПИК,2022,op_profit,4779735.0,2023-03-28
ПИК,2022,net_profit,49933398.0,2023-03-28
Самолёт,2024,assets,270971417.0,2025-03-31
Самолёт,2024,assets_full,270971417.0,2025-03-31
Самолёт,2024,revenue,9434044.0,2025-03-31
Самолёт,2024,revenue_prev,6841987.0,2025-03-31
Самолёт,2024,op_profit,8122103.0,2025-03-31
Самолёт,2024,net_profit,797902.0,2025-03-31
Самолёт,2021,assets,69094232.0,2022-03-31
Самолёт,2021,assets_full,69094232.0,2022-03-31
Самолёт,2021,revenue,1551190.0,2022-03-31
Самолёт,2021,revenue_prev,507864.0,2022-03-31
Самолёт,2021,op_profit,643832.0,2022-03-31
Самолёт,2021,net_profit,2315651.0,2022-03-31
Самолёт,2023,assets,190308363.0,2024-03-28
Самолёт,2023,assets_full,190308363.0,2024-03-28
Самолёт,2023,revenue,6841987.0,2024-03-28
Самолёт,2023,revenue_prev,3209771.0,2024-03-28
Самолёт,2023,op_profit,5228521.0,2024-03-28
Самолёт,2023,net_profit,7667268.0,2024-03-28
Самолёт,2022,assets,111564026.0,2023-03-30
Самолёт,2022,assets_full,111564026.0,2023-03-30
Самолёт,2022,revenue,3209771.0,2023-03-30
Самолёт,2022,revenue_prev,1551190.0,2023-03-30
Самолёт,2022,op_profit,1913668.0,2023-03-30
Самолёт,2022,net_profit,7475995.0,2023-03-30
Самолёт,2025,assets,251351807.0,2026-04-01
Самолёт,2025,assets_full,251351807.0,2026-04-01
Самолёт,2025,revenue,15057478.0,2026-04-01
