form,metric,year,rf_value_bln_rub,snapshot,partial
1-НДС,nds_accrued_total,2017,39277.6,20180101,0
1-НДС,nds_accrued_total,2018,30524.9,20180801,0
1-НДС,nds_accrued_total,2019,47571.8,20200101,0
1-НДС,nds_accrued_total,2020,47082.6,20201101,0
1-НДС,nds_accrued_total,2021,56544.4,20220101,0
1-НДС,nds_accrued_total,2022,71768.2,20230101,0
1-НДС,nds_accrued_total,2023,76011.7,20240101,0
1-НДС,nds_accrued_total,2024,90713.7,20250101,0
1-НДС,nds_accrued_total,2025,94644.4,20260101,0
1-НДС,nds_accrued_total,2026,27295.4,20260201,1
5-НДФЛ,income_total,2020,53387687.4,20200410,0
5-НДФЛ,income_total,2021,38613143.2,20210416,0
5-НДФЛ,income_total,2022,60977163.7,20230101,0
5-НДФЛ,income_total,2023,75638602.9,20240101,0
5-НДФЛ,income_total,2024,95845042.4,20250101,0
5-НДФЛ,ndfl_withheld,2020,6357781.7,20200410,0
5-НДФЛ,ndfl_withheld,2021,3882700.5,20210416,0
5-НДФЛ,ndfl_withheld,2022,5483438.9,20230101,0
5-НДФЛ,ndfl_withheld,2023,6406520.7,20240101,0
5-НДФЛ,ndfl_withheld,2024,7817283.8,20250101,0
5-П,exp_sales_profit,2016,11059.4,20170101,0
5-П,exp_sales_profit,2017,11268.2,20180101,0
5-П,exp_sales_profit,2018,239426.6,20190101,0
5-П,exp_sales_profit,2019,251201.1,20200101,0
5-П,exp_sales_profit,2020,243003.8,20210101,0
5-П,exp_sales_profit,2021,206250.4,20211001,0
5-П,exp_sales_profit,2022,289593.6,20230101,0
5-П,exp_sales_profit,2023,229477.9,20231001,0
5-П,exp_sales_profit,2024,364814.5,20250101,0
5-П,exp_sales_profit,2025,336509.2,20260101,0
5-П,nonop_exp_profit,2016,20075.5,20170101,0
5-П,nonop_exp_profit,2017,25871.8,20180101,0
5-П,nonop_exp_profit,2018,147922.1,20190101,0
5-П,nonop_exp_profit,2019,119189.7,20200101,0
5-П,nonop_exp_profit,2020,262602.6,20210101,0
5-П,nonop_exp_profit,2021,151141.2,20211001,0
5-П,nonop_exp_profit,2022,620788.8,20230101,0
5-П,nonop_exp_profit,2023,247357.3,20231001,0
5-П,nonop_exp_profit,2024,348891.3,20250101,0
5-П,nonop_exp_profit,2025,366881.9,20260101,0
5-П,nonop_inc_profit,2016,18928.4,20170101,0
5-П,nonop_inc_profit,2017,24058.2,20180101,0
5-П,nonop_inc_profit,2018,154561.3,20190101,0
5-П,nonop_inc_profit,2019,127765.0,20200101,0
5-П,nonop_inc_profit,2020,273933.7,20210101,0
5-П,nonop_inc_profit,2021,157064.3,20211001,0
5-П,nonop_inc_profit,2022,629563.8,20230101,0
5-П,nonop_inc_profit,2023,267604.9,20231001,0
5-П,nonop_inc_profit,2024,372037.9,20250101,0
5-П,nonop_inc_profit,2025,383039.2,20260101,0
5-П,rev_loss,2016,237910.9,20170101,0
5-П,rev_loss,2017,238176.8,20180101,0
5-П,rev_loss,2018,28868.8,20190101,0
5-П,rev_loss,2019,20777.5,20200101,0
5-П,rev_loss,2020,28308.7,20210101,0
5-П,rev_loss,2021,20074.4,20211001,0
5-П,rev_loss,2022,37890.1,20230101,0
5-П,rev_loss,2023,25807.2,20231001,0
5-П,rev_loss,2024,73496.5,20250101,0
5-П,rev_loss,2025,102077.1,20260101,0
5-П,rev_profit,2018,257580.7,20190101,0
5-П,rev_profit,2019,267886.6,20200101,0
5-П,rev_profit,2020,262349.7,20210101,0
5-П,rev_profit,2021,224482.8,20211001,0
5-П,rev_profit,2022,317091.0,20230101,0
5-П,rev_profit,2023,251863.1,20231001,0
5-П,rev_profit,2024,394400.0,20250101,0
5-П,rev_profit,2025,362760.3,20260101,0
5-ТН,tnpayers,2018,0.7,20181026,0
5-ТН,tnpayers,2019,0.7,20191230,0
5-ТН,tnpayers,2020,0.8,20201214,0
5-ТН,tnpayers,2021,0.9,20211122,0
5-ТН,tnpayers,2022,0.6,20230101,0
5-ТН,tnpayers,2023,0.6,20240101,0
5-ТН,tnpayers,2024,,20250101,0
5-ТН,tnpayers,2026,0.6,20260724,1
5-УСН,usn_expense,2015,1673.2,20151911,0
5-УСН,usn_expense,2017,1178.5,20170808,0
5-УСН,usn_expense,2018,1492.0,20180720,0
5-УСН,usn_expense,2019,1959.3,20190723,0
5-УСН,usn_expense,2020,2284.6,20201013,0
5-УСН,usn_expense,2021,2765.4,20210722,0
5-УСН,usn_expense,2022,5443.0,20230101,0
5-УСН,usn_expense,2023,6461.2,20240101,0
5-УСН,usn_expense,2024,7279.3,20250101,0
5-УСН,usn_expense,2025,7283.0,20251117,0
5-УСН,usn_expense,2026,6730.3,20260709,1
5-УСН,usn_income,2015,6338.7,20151911,0
5-УСН,usn_income,2017,4864.8,20170808,0
5-УСН,usn_income,2018,5767.5,20180720,0
5-УСН,usn_income,2019,6903.2,20190723,0
5-УСН,usn_income,2020,7483.6,20201013,0
5-УСН,usn_income,2021,7701.4,20210722,0
5-УСН,usn_income,2022,11993.3,20230101,0
5-УСН,usn_income,2023,13629.3,20240101,0
5-УСН,usn_income,2024,15249.1,20250101,0
5-УСН,usn_income,2025,15257.3,20251117,0
5-УСН,usn_income,2026,14489.9,20260709,1
