month,query,n_days,vol_mean
2017-01,construction company,31,0.04
2017-01,infrastructure project,31,0.009
2017-02,construction company,28,0.046
2017-02,infrastructure project,28,0.012
2017-03,construction company,31,0.063
2017-03,infrastructure project,31,0.014
2017-04,construction company,30,0.065
2017-04,infrastructure project,30,0.015
2017-05,construction company,31,0.06
2017-05,infrastructure project,31,0.015
2017-06,construction company,30,0.076
2017-06,infrastructure project,30,0.018
2017-07,construction company,31,0.078
2017-07,infrastructure project,31,0.017
2017-08,construction company,31,0.083
2017-08,infrastructure project,31,0.018
2017-09,construction company,30,0.074
2017-09,infrastructure project,30,0.017
2017-10,construction company,31,0.079
2017-10,infrastructure project,31,0.016
2017-11,construction company,30,0.075
2017-11,infrastructure project,30,0.018
2017-12,construction company,29,0.075
2017-12,infrastructure project,29,0.019
2018-01,construction company,31,0.056
2018-01,infrastructure project,31,0.013
2018-02,construction company,28,0.071
2018-02,infrastructure project,28,0.018
2018-03,construction company,31,0.086
2018-03,infrastructure project,31,0.017
2018-04,construction company,30,0.086
2018-04,infrastructure project,30,0.019
2018-05,construction company,31,0.074
2018-05,infrastructure project,31,0.019
2018-06,construction company,30,0.074
2018-06,infrastructure project,30,0.019
2018-07,construction company,31,0.096
2018-07,infrastructure project,31,0.025
2018-08,construction company,31,0.11
2018-08,infrastructure project,31,0.031
2018-09,construction company,30,0.096
2018-09,infrastructure project,30,0.028
2018-10,construction company,31,0.092
2018-10,infrastructure project,31,0.027
2018-11,construction company,30,0.092
2018-11,infrastructure project,30,0.027
2018-12,construction company,31,0.114
2018-12,infrastructure project,31,0.033
2019-01,building materials,31,0.018
2019-01,construction company,31,0.071
2019-01,construction project,31,0.051
2019-01,developer,31,0.018
2019-01,residential complex,31,0.016
2019-01,special equipment,31,0.039
2019-02,building materials,28,0.021
2019-02,construction company,28,0.084
2019-02,construction project,28,0.068
2019-02,developer,28,0.024
2019-02,residential complex,28,0.016
2019-02,special equipment,28,0.041
2019-03,building materials,31,0.019
2019-03,construction company,31,0.081
2019-03,construction project,31,0.064
2019-03,developer,31,0.024
2019-03,residential complex,31,0.014
2019-03,special equipment,31,0.038
2019-04,building materials,30,0.02
2019-04,construction company,30,0.085
2019-04,construction project,30,0.066
2019-04,developer,30,0.026
2019-04,residential complex,30,0.02
2019-04,special equipment,30,0.039
2019-05,building materials,31,0.017
2019-05,construction company,31,0.073
2019-05,construction project,31,0.059
2019-05,developer,31,0.022
2019-05,residential complex,31,0.015
2019-05,special equipment,31,0.035
2019-06,building materials,30,0.023
2019-06,construction company,30,0.092
2019-06,construction project,30,0.073
2019-06,developer,30,0.031
2019-06,residential complex,30,0.018
2019-06,special equipment,30,0.042
2019-07,building materials,31,0.022
2019-07,construction company,31,0.087
2019-07,construction project,31,0.071
2019-07,developer,31,0.029
2019-07,residential complex,31,0.02
2019-07,special equipment,31,0.045
2019-08,building materials,31,0.02
2019-08,construction company,31,0.081
2019-08,construction project,31,0.068
2019-08,developer,31,0.028
2019-08,residential complex,31,0.019
2019-08,special equipment,31,0.05
2019-09,building materials,30,0.021
2019-09,construction company,30,0.085
2019-09,construction project,30,0.069
2019-09,developer,30,0.027
2019-09,residential complex,30,0.02
2019-09,special equipment,30,0.043
2019-10,building materials,31,0.022
2019-10,construction company,31,0.094
2019-10,construction project,31,0.075
2019-10,developer,31,0.03
2019-10,residential complex,31,0.019
2019-10,special equipment,31,0.05
2019-11,building materials,30,0.023
2019-11,construction company,30,0.09
2019-11,construction project,30,0.073
2019-11,developer,30,0.027
2019-11,residential complex,30,0.017
2019-11,special equipment,30,0.048
2019-12,building materials,31,0.027
2019-12,construction company,31,0.118
2019-12,construction project,31,0.098
2019-12,developer,31,0.03
2019-12,residential complex,31,0.022
2019-12,special equipment,31,0.054
2020-01,building materials,31,0.02
2020-01,construction company,31,0.075
2020-02,building materials,29,0.021
2020-02,construction company,29,0.08
2020-03,building materials,31,0.02
2020-03,construction company,31,0.066
2020-04,building materials,30,0.021
2020-04,construction company,30,0.071
2020-05,building materials,31,0.025
2020-05,construction company,31,0.082
2020-06,building materials,30,0.022
2020-06,construction company,30,0.082
2020-07,building materials,31,0.026
2020-07,construction company,31,0.093
2020-08,building materials,31,0.027
2020-08,construction company,31,0.092
2020-09,building materials,30,0.022
2020-09,construction company,30,0.094
2020-10,building materials,30,0.022
2020-10,construction company,30,0.093
2020-11,building materials,30,0.026
2020-11,construction company,30,0.109
2020-12,building materials,31,0.03
2020-12,construction company,31,0.116
2021-01,building materials,31,0.023
2021-01,developer,31,0.029
2021-01,special equipment,31,0.05
2021-02,building materials,28,0.027
2021-02,developer,28,0.038
2021-02,special equipment,28,0.057
2021-03,building materials,31,0.027
2021-03,developer,31,0.037
2021-03,special equipment,31,0.056
2021-04,building materials,30,0.033
2021-04,developer,30,0.04
2021-04,special equipment,30,0.059
2021-05,building materials,31,0.032
2021-05,developer,31,0.031
2021-05,special equipment,31,0.057
2021-06,building materials,30,0.034
2021-06,developer,30,0.036
2021-06,special equipment,30,0.06
2021-07,building materials,31,0.035
2021-07,developer,31,0.036
2021-07,special equipment,31,0.061
2021-08,building materials,31,0.035
2021-08,developer,31,0.036
2021-08,special equipment,31,0.069
2021-09,building materials,30,0.039
2021-09,developer,30,0.042
2021-09,special equipment,30,0.059
2021-10,building materials,31,0.037
2021-10,developer,31,0.04
2021-10,special equipment,31,0.058
2021-11,building materials,30,0.036
2021-11,developer,30,0.036
2021-11,special equipment,30,0.065
2021-12,building materials,31,0.044
2021-12,developer,31,0.04
2021-12,special equipment,31,0.079
2023-01,building materials,31,0.365
2023-01,developer,31,0.38
2023-01,infrastructure project,31,0.434
2023-01,residential complex,31,0.524
2023-01,special equipment,31,0.717
2023-02,building materials,28,0.468
2023-02,developer,28,0.457
2023-02,infrastructure project,28,0.538
2023-02,residential complex,28,0.634
2023-02,special equipment,28,0.894
2023-03,building materials,30,0.38
2023-03,developer,30,0.384
2023-03,infrastructure project,30,0.416
2023-03,residential complex,30,0.489
2023-03,special equipment,30,0.704
2023-04,building materials,30,0.206
2023-04,developer,30,0.216
2023-04,infrastructure project,30,0.22
2023-04,residential complex,30,0.254
2023-04,special equipment,30,0.363
2023-05,building materials,31,0.015
2023-05,developer,31,0.024
2023-05,infrastructure project,31,0.018
2023-05,residential complex,31,0.018
2023-05,special equipment,31,0.033
2023-06,building materials,30,0.016
2023-06,developer,30,0.026
2023-06,infrastructure project,30,0.024
2023-06,residential complex,30,0.019
2023-06,special equipment,30,0.037
2023-07,building materials,31,0.015
2023-07,developer,31,0.024
2023-07,infrastructure project,31,0.02
2023-07,residential complex,31,0.023
2023-07,special equipment,31,0.04
2023-08,building materials,31,0.015
2023-08,developer,31,0.028
2023-08,infrastructure project,31,0.022
2023-08,residential complex,31,0.023
2023-08,special equipment,31,0.035
2023-09,building materials,30,0.014
2023-09,developer,30,0.025
2023-09,infrastructure project,30,0.024
2023-09,residential complex,30,0.017
2023-09,special equipment,30,0.034
2023-10,building materials,31,0.014
2023-10,developer,31,0.024
2023-10,infrastructure project,31,0.022
2023-10,residential complex,31,0.017
2023-10,special equipment,31,0.032
2023-11,building materials,30,0.014
2023-11,developer,30,0.026
2023-11,infrastructure project,30,0.023
2023-11,residential complex,30,0.018
2023-11,special equipment,30,0.036
2023-12,building materials,31,0.015
2023-12,developer,31,0.027
2023-12,infrastructure project,31,0.024
2023-12,residential complex,31,0.02
