month,'construction','infrastructure project',building materials,construction company,construction project,developer,infrastructure project,residential complex,special equipment
2017-01,,,,0.04,,,0.009,,
2017-02,,,,0.046,,,0.012,,
2017-03,,,,0.063,,,0.014,,
2017-04,,,,0.065,,,0.015,,
2017-05,,,,0.06,,,0.015,,
2017-06,,,,0.076,,,0.018,,
2017-07,,,,0.078,,,0.017,,
2017-08,,,,0.083,,,0.018,,
2017-09,,,,0.074,,,0.017,,
2017-10,,,,0.079,,,0.016,,
2017-11,,,,0.075,,,0.018,,
2017-12,,,,0.075,,,0.019,,
2018-01,,,,0.056,,,0.013,,
2018-02,,,,0.071,,,0.018,,
2018-03,,,,0.086,,,0.017,,
2018-04,,,,0.086,,,0.019,,
2018-05,,,,0.074,,,0.019,,
2018-06,,,,0.074,,,0.019,,
2018-07,,,,0.096,,,0.025,,
2018-08,,,,0.11,,,0.031,,
2018-09,,,,0.096,,,0.028,,
2018-10,,,,0.092,,,0.027,,
2018-11,,,,0.092,,,0.027,,
2018-12,,,,0.114,,,0.033,,
2019-01,,,0.018,0.071,0.051,0.018,,0.016,0.039
2019-02,,,0.021,0.084,0.068,0.024,,0.016,0.041
2019-03,,,0.019,0.081,0.064,0.024,,0.014,0.038
2019-04,,,0.02,0.085,0.066,0.026,,0.02,0.039
2019-05,,,0.017,0.073,0.059,0.022,,0.015,0.035
2019-06,,,0.023,0.092,0.073,0.031,,0.018,0.042
2019-07,,,0.022,0.087,0.071,0.029,,0.02,0.045
2019-08,,,0.02,0.081,0.068,0.028,,0.019,0.05
2019-09,,,0.021,0.085,0.069,0.027,,0.02,0.043
2019-10,,,0.022,0.094,0.075,0.03,,0.019,0.05
2019-11,,,0.023,0.09,0.073,0.027,,0.017,0.048
2019-12,,,0.027,0.118,0.098,0.03,,0.022,0.054
2020-01,,,0.02,0.075,,,,,
2020-02,,,0.021,0.08,,,,,
2020-03,,,0.02,0.066,,,,,
2020-04,,,0.021,0.071,,,,,
2020-05,,,0.025,0.082,,,,,
2020-06,,,0.022,0.082,,,,,
2020-07,,,0.026,0.093,,,,,
2020-08,,,0.027,0.092,,,,,
2020-09,,,0.022,0.094,,,,,
2020-10,,,0.022,0.093,,,,,
2020-11,,,0.026,0.109,,,,,
2020-12,,,0.03,0.116,,,,,
2021-01,,,0.023,,,0.029,,,0.05
2021-02,,,0.027,,,0.038,,,0.057
2021-03,,,0.027,,,0.037,,,0.056
2021-04,,,0.033,,,0.04,,,0.059
2021-05,,,0.032,,,0.031,,,0.057
2021-06,,,0.034,,,0.036,,,0.06
2021-07,,,0.035,,,0.036,,,0.061
2021-08,,,0.035,,,0.036,,,0.069
2021-09,,,0.039,,,0.042,,,0.059
2021-10,,,0.037,,,0.04,,,0.058
2021-11,,,0.036,,,0.036,,,0.065
2021-12,,,0.044,,,0.04,,,0.079
2022-01,0.256,0.032,,,,,,,
2022-02,0.286,0.04,,,,,,,
2022-03,0.244,0.033,,,,,,,
2022-04,0.273,0.037,,,,,,,
2022-05,0.228,0.03,,,,,,,
2022-06,0.271,0.038,,,,,,,
2022-07,0.241,0.035,,,,,,,
2022-08,0.252,0.034,,,,,,,
2022-09,0.247,0.035,,,,,,,
2022-10,0.264,0.044,,,,,,,
2022-11,0.281,0.047,,,,,,,
2022-12,0.357,0.077,,,,,,,
2023-01,,0.434,0.365,,,0.38,0.434,0.524,0.717
2023-02,,0.538,0.468,,,0.457,0.538,0.634,0.894
2023-03,,0.416,0.38,,,0.384,0.416,0.489,0.704
2023-04,,0.22,0.206,,,0.216,0.22,0.254,0.363
2023-05,,0.018,0.015,,,0.024,0.018,0.018,0.033
2023-06,,0.024,0.016,,,0.026,0.024,0.019,0.037
2023-07,,0.02,0.015,,,0.024,0.02,0.023,0.04
2023-08,,0.022,0.015,,,0.028,0.022,0.023,0.035
2023-09,,0.024,0.014,,,0.025,0.024,0.017,0.034
2023-10,,0.022,0.014,,,0.024,0.022,0.017,0.032
2023-11,,0.023,0.014,,,0.026,0.023,0.018,0.036
2023-12,,0.024,0.015,,,0.027,0.024,0.02,0.039
2024-01,,0.016,,0.044,,0.022,0.016,0.017,0.031
2024-02,,0.023,,0.053,,0.026,0.023,0.019,0.037
2024-03,,0.019,,0.049,,0.025,0.019,0.018,0.034
2024-04,,0.023,,0.059,,0.027,0.023,0.025,0.036
2024-05,,0.018,,0.052,,0.025,0.018,0.021,0.035
2024-06,,0.023,,0.059,,0.026,0.023,0.019,0.034
2024-07,,0.025,,0.059,,0.026,0.025,0.02,0.037
2024-08,,0.022,,0.057,,0.026,0.022,0.024,0.035
2024-09,,0.026,,0.059,,0.026,0.026,0.024,0.036
2024-10,,0.025,,0.059,,0.029,0.025,0.023,0.035
2024-11,,0.026,,0.055,,0.026,0.026,0.021,0.04
2024-12,,0.028,,0.064,,0.029,0.028,0.028,0.043
2025-01,0.171,0.021,,0.046,,,,0.017,
2025-02,0.214,0.028,,0.059,,,,0.029,
2025-03,0.208,0.029,,0.056,,,,0.022,
2025-04,0.213,0.031,,0.057,,,,0.023,
2025-05,0.201,0.028,,0.051,,,,0.019,
2025-06,0.203,0.033,,0.054,,,,0.021,
2025-07,0.237,0.034,,0.058,,,,0.024,
2025-08,0.235,0.037,,0.06,,,,0.027,
2025-09,0.257,0.039,,0.068,,,,0.024,
2025-10,0.246,0.04,,0.064,,,,0.025,
2025-11,0.24,0.039,,0.065,,,,0.028,
2025-12,0.26,0.043,,0.073,,,,0.029,
2026-01,,,,0.047,0.035,0.024,,,0.043
2026-02,,,,0.059,0.042,0.034,,,0.042
2026-03,,,,0.054,0.041,0.029,,,0.041
2026-04,,,,0.06,0.046,0.035,,,0.041
2026-05,,,,0.053,0.042,0.029,,,0.04
2026-06,,,,0.064,0.053,0.032,,,0.044
2026-07,,,,0.06,0.048,0.032,,,0.046
2026-08,,,,0.058,0.047,0.029,,,0.045
