date,pc1,std
2018-02-01,0.0698,0.0393
2018-03-01,-1.5343,-0.8639
2018-04-01,0.3073,0.1730
2018-05-01,-0.9542,-0.5373
2018-06-01,0.7589,0.4273
2018-07-01,2.8861,1.6250
2018-08-01,0.8230,0.4634
2018-09-01,-1.4886,-0.8382
2018-10-01,-0.1358,-0.0765
2018-11-01,-1.3416,-0.7554
2018-12-01,-2.1076,-1.1867
2019-01-01,4.1560,2.3401
2019-02-01,-1.6774,-0.9445
2019-03-01,-0.2919,-0.1644
2019-04-01,-1.6671,-0.9387
2019-05-01,-0.3462,-0.1949
2019-06-01,1.8036,1.0155
2019-07-01,2.6944,1.5171
2019-08-01,0.8762,0.4934
2019-09-01,-2.5445,-1.4327
2019-10-01,-0.4032,-0.2271
2019-11-01,-0.9084,-0.5115
2019-12-01,-2.4402,-1.3740
2020-01-01,2.8561,1.6082
2020-02-01,-0.2975,-0.1675
2020-03-01,-1.7806,-1.0026
2020-04-01,-2.7817,-1.5663
2020-05-01,3.6825,2.0735
2020-06-01,2.4969,1.4059
2020-07-01,1.4453,0.8138
2020-08-01,1.9862,1.1184
2020-09-01,-2.3919,-1.3468
2020-10-01,-0.5715,-0.3218
2020-11-01,-1.0755,-0.6056
2020-12-01,-2.6552,-1.4950
2021-01-01,4.2646,2.4012
2021-02-01,-0.9600,-0.5405
2021-03-01,-0.8376,-0.4716
2021-04-01,-0.3699,-0.2083
2021-05-01,-0.3824,-0.2153
2021-06-01,0.7414,0.4175
2021-07-01,1.5910,0.8958
2021-08-01,2.4496,1.3793
2021-09-01,-2.4000,-1.3513
2021-10-01,-1.1075,-0.6236
2021-11-01,-0.6472,-0.3644
2021-12-01,-3.7295,-2.0999
2022-01-01,3.2044,1.8043
2022-02-01,-2.0180,-1.1362
2022-03-01,-1.6462,-0.9269
2022-04-01,-1.2816,-0.7216
2022-05-01,1.4606,0.8224
2022-06-01,1.6833,0.9478
2022-07-01,1.3807,0.7774
2022-08-01,0.8541,0.4809
2022-09-01,-1.7672,-0.9951
2022-10-01,-1.1472,-0.6459
2022-11-01,-0.3322,-0.1871
2022-12-01,-1.0139,-0.5709
2023-01-01,2.1345,1.2019
2023-02-01,-0.3121,-0.1757
2023-03-01,0.7120,0.4009
2023-04-01,-0.9323,-0.5250
2023-05-01,0.2421,0.1363
2023-06-01,0.7084,0.3988
2023-07-01,1.9883,1.1195
2023-08-01,1.2175,0.6855
2023-09-01,-2.4569,-1.3834
2023-10-01,-1.2340,-0.6948
2023-11-01,-0.1274,-0.0717
2023-12-01,-2.9993,-1.6888
2024-01-01,2.0533,1.1562
2024-02-01,0.0153,0.0086
2024-03-01,-1.7755,-0.9997
2024-04-01,0.0127,0.0071
2024-05-01,0.4751,0.2675
2024-06-01,1.6906,0.9519
2024-07-01,0.5269,0.2967
2024-08-01,-0.3321,-0.1870
2024-09-01,-1.1259,-0.6340
2024-10-01,-1.0135,-0.5707
2024-11-01,-0.6482,-0.3650
2024-12-01,-1.9840,-1.1171
2025-01-01,2.9865,1.6816
2025-02-01,-1.6055,-0.9040
2025-03-01,0.6087,0.3427
2025-04-01,0.0349,0.0196
2025-05-01,1.0698,0.6024
2025-06-01,-0.0900,-0.0507
2025-07-01,2.2677,1.2769
2025-08-01,2.2030,1.2404
2025-09-01,-0.6057,-0.3411
2025-10-01,0.1285,0.0724
2025-11-01,3.4298,1.9312
2025-12-01,-3.8841,-2.1870
2026-01-01,2.4794,1.3961
2026-02-01,0.3808,0.2144
2026-03-01,0.2264,0.1275
2026-04-01,-1.7371,-0.9781
2026-05-01,-1.4592,-0.8216
2026-06-01,1.6416,0.9243
2026-07-01,0.2464,0.1387
2026-08-01,-0.5943,-0.3346
