,ЦФО,СЗФО,ПФО,Юг,Сибирь,ДВ,Урал
2018-02-01,-1.1255,-0.9952,-1.2790,-0.8013,-1.1316,-1.8636,-1.1725
2018-03-01,1.4033,1.1358,0.9842,0.7401,0.7469,0.6465,1.0001
2018-04-01,-2.4903,-1.8357,-1.8911,-3.0533,-1.1935,-1.1470,-1.3817
2018-05-01,-0.7101,-1.4763,-1.5187,0.3161,0.1267,-0.2895,-0.8850
2018-06-01,0.3847,0.7858,0.2395,0.6664,-1.9872,0.1303,-0.6203
2018-07-01,2.0956,1.2065,2.0887,2.7335,2.7296,1.8222,1.3054
2018-08-01,1.1809,1.7786,1.5951,1.4334,1.7297,1.2304,1.9450
2018-09-01,-0.3605,-0.0710,-0.5406,-1.6791,-1.0058,-0.8164,-0.4098
2018-10-01,1.3110,1.2096,1.3178,0.2922,0.9441,0.9564,1.4645
2018-11-01,-1.9928,-1.8169,-1.7013,-1.5235,-1.9632,-1.7337,-1.8007
2018-12-01,-2.7908,-2.8096,-2.4690,-1.8540,-2.0186,-1.9782,-2.3106
2019-01-01,4.2455,3.8123,3.5954,3.5308,4.1104,4.6248,3.8957
2019-02-01,-1.1644,-1.0048,-0.9933,-0.7154,-1.2318,-1.4975,-1.1020
2019-03-01,0.0431,0.0793,-0.1712,-0.3485,0.0088,-0.2721,0.1863
2019-04-01,-2.3852,-1.9091,-1.6653,-1.9907,-0.9296,-0.9483,-1.1284
2019-05-01,-1.4487,-1.0049,-2.0718,-0.8312,-1.7047,-1.4121,-1.9843
2019-06-01,-0.0037,-0.8595,0.0877,0.4167,-0.6761,-0.3287,-0.0742
2019-07-01,1.2403,0.8312,1.5065,1.8117,0.7199,0.9121,0.4172
2019-08-01,0.4513,0.7715,0.5004,0.2016,0.8695,0.2491,0.9027
2019-09-01,0.4852,0.1785,-0.1515,-0.8614,-0.2489,0.8055,0.0988
2019-10-01,2.0207,1.8671,2.2724,0.8024,1.6542,0.9893,1.9191
2019-11-01,-0.0243,0.0127,-0.1890,-0.2359,-0.2822,-0.6964,-0.2943
2019-12-01,-1.6067,-1.8680,-1.4880,-1.1925,-1.4448,1.9331,-1.6347
2020-01-01,4.1854,4.3192,4.2938,4.0910,4.6158,3.5782,4.1815
2020-02-01,0.9403,0.2914,-0.2166,-0.2744,0.0891,-1.4684,-0.0480
2020-03-01,-1.2723,-0.8452,-0.5735,-0.4052,0.1340,-0.8981,-0.1979
2020-04-01,-3.4112,-2.0574,-2.3319,-2.0962,-2.2760,-2.3038,-1.7993
2020-05-01,3.1403,2.8702,2.1524,3.0690,2.0566,2.1391,1.9257
2020-06-01,0.4152,-0.3078,0.5284,-0.0551,0.8020,0.0832,0.9068
2020-07-01,1.9227,1.8348,0.8150,1.8141,0.3834,0.4503,-0.0488
2020-08-01,0.8663,0.6947,1.7608,0.9752,0.8316,1.0701,1.3367
2020-09-01,-0.7131,0.0424,-1.1244,-1.5598,-1.1063,-1.0351,-0.7942
2020-10-01,1.9860,3.3180,1.6445,0.5341,1.4510,1.4790,1.8369
2020-11-01,0.0024,-1.3036,0.0027,-0.0201,-0.0226,-0.5199,-0.0004
2020-12-01,-2.7130,-3.4290,-2.0700,-1.9415,-2.1444,-2.5792,-2.3351
2021-01-01,2.5000,2.7445,2.5960,3.0171,3.2701,4.0800,3.2012
2021-02-01,-1.0101,-1.1140,-1.0097,-0.8585,-1.3791,-1.6294,-1.1781
2021-03-01,1.1337,1.0394,0.7901,1.1716,0.8932,0.6859,1.1506
2021-04-01,-0.7588,-0.7071,-1.0491,-0.7434,-0.7436,-0.4085,-1.1763
2021-05-01,0.9758,-0.5064,-1.5617,-0.3596,-0.7048,-0.2483,-2.0504
2021-06-01,-1.9753,-1.3637,0.7872,1.0394,-0.2912,-0.7677,0.7036
2021-07-01,0.3260,0.5987,0.5191,0.3627,0.0119,-0.0974,0.6199
2021-08-01,1.2596,1.2130,0.5552,0.2889,0.9593,0.7519,0.4438
2021-09-01,-0.8086,-0.6122,-0.6345,-1.6037,-1.1137,-0.3344,-0.5632
2021-10-01,0.3911,0.7991,0.6446,-0.3784,0.8692,0.7997,0.3892
2021-11-01,0.2539,0.3994,0.7651,0.2018,0.0459,0.1571,0.3563
2021-12-01,-1.2339,-1.3435,-1.4247,-1.2241,-1.3878,-1.4856,-1.5248
2022-01-01,2.2867,3.0545,2.9850,2.4144,3.7038,3.8311,3.3414
2022-02-01,0.3558,0.3266,-0.7744,-0.7525,-1.0132,-1.3892,-0.8029
2022-03-01,-0.6670,-0.8285,0.6491,0.6775,0.4225,-0.3517,0.5250
2022-04-01,-3.6138,-3.8900,-4.6445,-3.8363,-4.0058,-2.8386,-4.2423
2022-05-01,-0.1586,-0.6611,-0.3409,0.7059,-1.0473,-0.7608,-0.1427
2022-06-01,-0.4674,-0.0214,0.1506,0.7158,1.2600,0.8667,0.3206
2022-07-01,0.6870,0.8256,0.6255,1.0665,0.5006,1.8960,0.1836
2022-08-01,0.7541,0.4561,1.1101,0.5042,0.8042,0.0239,1.2601
2022-09-01,-2.0391,-1.6100,-1.8227,-2.3982,-2.1440,-1.9352,-1.9554
2022-10-01,-0.9956,-1.2002,-0.7202,-1.4722,-0.1258,-1.1296,-0.3960
2022-11-01,0.1849,0.2875,0.9115,0.9753,0.7003,1.1315,0.6158
2022-12-01,-1.9423,-2.2780,-1.6144,-1.3648,-1.8882,-2.3219,-1.5700
2023-01-01,3.0015,2.9956,2.9909,2.7745,3.3028,3.9601,3.2997
2023-02-01,-0.8173,-1.1703,-0.9789,-1.3621,-0.9990,-1.7661,-1.1014
2023-03-01,1.3569,1.5195,0.9896,1.0349,1.2062,1.3664,1.2649
2023-04-01,-2.8690,-1.4050,-1.9457,-1.2017,-0.7565,-0.3097,-1.3212
2023-05-01,0.1981,-1.0028,-0.9044,-0.6059,-1.6897,-1.2336,-1.5677
2023-06-01,0.1842,-0.5007,0.1157,0.0348,-0.4697,-0.6755,0.3183
2023-07-01,1.1779,2.1244,2.0898,2.5118,1.7580,1.3383,1.5109
2023-08-01,1.5795,1.5971,1.8003,1.7043,2.0220,1.9427,1.9880
2023-09-01,-0.5821,-0.5888,-0.7951,-1.4634,-1.2290,-0.8104,-0.9230
2023-10-01,0.6073,0.5964,0.2621,-0.4356,0.4800,0.2302,0.4203
2023-11-01,-1.1715,-0.4992,-0.6313,-0.8116,-0.9599,-0.7705,-0.9102
2023-12-01,-2.5112,-2.6262,-2.9889,-2.4765,-2.8627,-2.1939,-3.0532
2024-01-01,3.3240,2.6760,2.5492,2.4263,3.6825,3.1199,3.0793
2024-02-01,-0.9144,-0.1255,-0.8821,-0.6194,-0.9975,-1.2357,-0.8478
2024-03-01,-0.5845,-1.0757,-0.1194,-0.5110,-0.1062,-0.8872,0.1277
2024-04-01,-0.7712,-0.3232,-1.8049,-1.0691,-1.0524,-0.7747,-1.1642
2024-05-01,1.3504,-0.3068,0.7767,0.7743,-0.4339,-0.0468,0.7427
2024-06-01,-1.0225,-0.8977,-1.3803,-0.4469,-1.3334,-0.7356,-2.0389
2024-07-01,0.2059,1.1507,1.4164,1.5211,0.9964,0.4421,0.9222
