,pc1,std
2018-01-08,10.7534,4.1369
2018-01-15,0.9007,0.3465
2018-01-22,0.6661,0.2562
2018-01-29,0.2905,0.1117
2018-02-05,0.9443,0.3633
2018-02-12,-3.8261,-1.4719
2018-02-19,-0.3291,-0.1266
2018-02-26,2.7295,1.0500
2018-03-05,-5.1865,-1.9953
2018-03-12,4.8082,1.8497
2018-03-19,0.0371,0.0143
2018-03-26,-2.7225,-1.0474
2018-04-02,-2.0800,-0.8002
2018-04-09,1.5256,0.5869
2018-04-16,-0.2798,-0.1076
2018-04-23,-0.2907,-0.1118
2018-04-30,-5.2469,-2.0185
2018-05-07,2.1981,0.8456
2018-05-14,1.5491,0.5959
2018-05-21,-0.2725,-0.1048
2018-05-28,0.5151,0.1982
2018-06-04,2.3256,0.8947
2018-06-11,-2.8820,-1.1087
2018-06-18,1.1176,0.4299
2018-06-25,0.6691,0.2574
2018-07-02,0.1694,0.0652
2018-07-09,0.3528,0.1357
2018-07-16,2.2077,0.8493
2018-07-23,3.1184,1.1997
2018-07-30,-0.5524,-0.2125
2018-08-06,1.5351,0.5906
2018-08-13,0.8319,0.3200
2018-08-20,-2.0993,-0.8076
2018-08-27,-1.4643,-0.5633
2018-09-03,0.6179,0.2377
2018-09-10,0.5010,0.1927
2018-09-17,0.7787,0.2996
2018-09-24,1.8067,0.6950
2018-10-01,-1.2919,-0.4970
2018-10-08,0.1150,0.0442
2018-10-15,-0.0537,-0.0207
2018-10-22,0.3109,0.1196
2018-10-29,-1.1884,-0.4572
2018-11-05,-1.7620,-0.6779
2018-11-12,0.8199,0.3154
2018-11-19,-1.3903,-0.5349
2018-11-26,-1.6326,-0.6281
2018-12-03,0.6291,0.2420
2018-12-10,-0.5273,-0.2029
2018-12-17,-2.8289,-1.0883
2018-12-24,-5.8315,-2.2434
2018-12-31,0.1286,0.0495
2019-01-07,12.7188,4.8930
2019-01-14,2.4876,0.9570
2019-01-21,-0.4525,-0.1741
2019-01-28,-0.3212,-0.1236
2019-02-04,-0.2156,-0.0829
2019-02-11,-2.3267,-0.8951
2019-02-18,0.2297,0.0884
2019-02-25,-0.1614,-0.0621
2019-03-04,-3.7659,-1.4487
2019-03-11,4.7246,1.8176
2019-03-18,-0.5043,-0.1940
2019-03-25,0.1958,0.0753
2019-04-01,0.2875,0.1106
2019-04-08,-0.7577,-0.2915
2019-04-15,-2.9048,-1.1175
2019-04-22,-3.3624,-1.2935
2019-04-29,-2.5996,-1.0001
2019-05-06,-2.1550,-0.8291
2019-05-13,5.2086,2.0038
2019-05-20,-0.1105,-0.0425
2019-05-27,-0.3203,-0.1232
2019-06-03,-0.6766,-0.2603
2019-06-10,-0.6261,-0.2409
2019-06-17,0.9704,0.3733
2019-06-24,0.0541,0.0208
2019-07-01,0.3301,0.1270
2019-07-08,-0.1731,-0.0666
2019-07-15,-0.3212,-0.1236
2019-07-22,0.9014,0.3468
2019-07-29,0.2787,0.1072
2019-08-05,1.0833,0.4168
2019-08-12,0.0960,0.0369
2019-08-19,-0.4194,-0.1614
2019-08-26,-0.8384,-0.3225
2019-09-02,0.1097,0.0422
2019-09-09,0.4382,0.1686
2019-09-16,0.5436,0.2091
2019-09-23,0.2245,0.0864
2019-09-30,1.3921,0.5356
2019-10-07,0.0063,0.0024
2019-10-14,-0.3782,-0.1455
2019-10-21,1.6712,0.6429
2019-10-28,-1.8513,-0.7122
2019-11-04,1.5299,0.5885
2019-11-11,0.6499,0.2500
2019-11-18,-0.2957,-0.1138
2019-11-25,0.1535,0.0591
2019-12-02,-0.2677,-0.1030
2019-12-09,0.0165,0.0063
2019-12-16,-1.1019,-0.4239
2019-12-23,-6.1105,-2.3507
2019-12-30,-3.3642,-1.2942
2020-01-06,13.0394,5.0164
2020-01-13,3.9276,1.5110
2020-01-20,-0.1555,-0.0598
2020-01-27,-2.1170,-0.8144
2020-02-03,1.1630,0.4474
2020-02-10,-0.2050,-0.0789
2020-02-17,-1.9198,-0.7386
2020-02-24,0.9468,0.3642
2020-03-02,-3.0046,-1.1559
2020-03-09,5.0870,1.9570
2020-03-16,-2.6248,-1.0098
2020-03-23,-6.1000,-2.3467
2020-03-30,-6.2007,-2.3855
2020-04-06,1.3387,0.5150
2020-04-13,4.4082,1.6959
2020-04-20,5.6763,2.1837
2020-04-27,-2.7527,-1.0590
2020-05-04,-2.0411,-0.7852
2020-05-11,3.0907,1.1890
2020-05-18,2.0168,0.7759
2020-05-25,-0.8085,-0.3110
2020-06-01,0.0810,0.0312
2020-06-08,-2.0625,-0.7934
2020-06-15,2.4490,0.9422
2020-06-22,0.5532,0.2128
2020-06-29,-0.4187,-0.1611
2020-07-06,-0.3084,-0.1186
2020-07-13,1.5571,0.5990
2020-07-20,0.7101,0.2732
2020-07-27,0.5714,0.2198
2020-08-03,1.3111,0.5044
2020-08-10,-0.8085,-0.3111
2020-08-17,0.8815,0.3391
2020-08-24,0.2757,0.1061
2020-08-31,-2.5813,-0.9930
2020-09-07,0.5380,0.2070
2020-09-14,0.2518,0.0969
2020-09-21,0.6429,0.2473
2020-09-28,-0.0807,-0.0311
2020-10-05,1.6340,0.6286
2020-10-12,0.7093,0.2729
2020-10-19,0.0084,0.0032
2020-10-26,0.4648,0.1788
2020-11-02,0.4612,0.1774
2020-11-09,-1.2301,-0.4732
2020-11-16,-0.4263,-0.1640
2020-11-23,0.7764,0.2987
2020-11-30,-0.8048,-0.3096
2020-12-07,-0.9231,-0.3551
2020-12-14,-2.1299,-0.8194
2020-12-21,-3.9823,-1.5320
2020-12-28,-7.4316,-2.8590
2021-01-04,11.9517,4.5979
2021-01-11,3.5459,1.3641
2021-01-18,-0.5192,-0.1997
2021-01-25,0.5892,0.2267
2021-02-01,0.7391,0.2843
2021-02-08,-1.0603,-0.4079
2021-02-15,-0.9016,-0.3469
2021-02-22,-1.8576,-0.7146
2021-03-01,-1.6156,-0.6215
2021-03-08,2.2138,0.8517
2021-03-15,2.8768,1.1067
2021-03-22,-1.1931,-0.4590
2021-03-29,-0.0792,-0.0305
2021-04-05,0.1190,0.0458
2021-04-12,-0.9695,-0.3730
2021-04-19,2.2456,0.8639
2021-04-26,-5.0653,-1.9486
2021-05-03,-0.4782,-0.1840
2021-05-10,2.6592,1.0230
2021-05-17,1.4165,0.5449
2021-05-24,-0.7999,-0.3077
2021-05-31,1.9973,0.7684
2021-06-07,0.2026,0.0779
2021-06-14,-3.6978,-1.4226
2021-06-21,-0.9069,-0.3489
2021-06-28,2.7900,1.0733
2021-07-05,-1.3502,-0.5194
2021-07-12,-0.1361,-0.0523
2021-07-19,1.1161,0.4294
2021-07-26,0.6635,0.2553
2021-08-02,0.1241,0.0477
2021-08-09,1.0100,0.3886
2021-08-16,3.4042,1.3096
