date,pc1,std
2018-02-01,-1.3270,-0.5818
2018-03-01,1.4259,0.6251
2018-04-01,-2.4444,-1.0716
2018-05-01,-0.6981,-0.3060
2018-06-01,1.0443,0.4578
2018-07-01,3.9406,1.7276
2018-08-01,2.1001,0.9207
2018-09-01,-2.3010,-1.0088
2018-10-01,1.8700,0.8198
2018-11-01,-2.5040,-1.0978
2018-12-01,-3.6922,-1.6187
2019-01-01,5.3486,2.3449
2019-02-01,-1.3783,-0.6042
2019-03-01,0.3496,0.1533
2019-04-01,-2.4202,-1.0610
2019-05-01,-2.0104,-0.8814
2019-06-01,0.0196,0.0086
2019-07-01,2.0057,0.8793
2019-08-01,0.8944,0.3921
2019-09-01,-0.8380,-0.3674
2019-10-01,2.0074,0.8801
2019-11-01,0.0728,0.0319
2019-12-01,-1.1148,-0.4887
2020-01-01,5.3410,2.3415
2020-02-01,-0.5672,-0.2487
2020-03-01,-1.0034,-0.4399
2020-04-01,-4.5467,-1.9933
2020-05-01,3.7715,1.6535
2020-06-01,0.5773,0.2531
2020-07-01,3.1224,1.3689
2020-08-01,2.3402,1.0260
2020-09-01,-1.8243,-0.7998
2020-10-01,2.0776,0.9108
2020-11-01,-0.3203,-0.1404
2020-12-01,-3.6818,-1.6141
2021-01-01,4.0986,1.7968
2021-02-01,-1.6753,-0.7345
2021-03-01,1.0392,0.4556
2021-04-01,-0.9345,-0.4097
2021-05-01,-0.4111,-0.1802
2021-06-01,-0.6191,-0.2714
2021-07-01,0.9917,0.4348
2021-08-01,2.2947,1.0060
2021-09-01,-1.7250,-0.7562
2021-10-01,0.3764,0.1650
2021-11-01,-0.0277,-0.0122
2021-12-01,-2.0435,-0.8959
2022-01-01,4.0004,1.7538
2022-02-01,-1.3935,-0.6109
2022-03-01,0.4825,0.2115
2022-04-01,-4.9348,-2.1634
2022-05-01,-0.1666,-0.0730
2022-06-01,0.2556,0.1121
2022-07-01,1.8308,0.8026
2022-08-01,2.0400,0.8943
2022-09-01,-3.9527,-1.7329
2022-10-01,-1.1644,-0.5105
2022-11-01,-0.1548,-0.0679
2022-12-01,-3.0548,-1.3393
2023-01-01,4.1748,1.8303
2023-02-01,-1.6424,-0.7200
2023-03-01,1.9415,0.8512
2023-04-01,-2.5102,-1.1005
2023-05-01,-0.7525,-0.3299
2023-06-01,0.3533,0.1549
2023-07-01,2.5904,1.1356
2023-08-01,2.2178,0.9723
2023-09-01,-2.0023,-0.8778
2023-10-01,0.2487,0.1090
2023-11-01,-1.4671,-0.6432
2023-12-01,-4.2081,-1.8449
2024-01-01,4.4631,1.9567
2024-02-01,-1.2767,-0.5597
2024-03-01,-0.6592,-0.2890
2024-04-01,-1.6562,-0.7261
2024-05-01,0.8825,0.3869
2024-06-01,-1.1438,-0.5015
2024-07-01,2.0423,0.8953
2024-08-01,-0.2406,-0.1055
2024-09-01,-1.6250,-0.7124
2024-10-01,0.6725,0.2948
2024-11-01,-0.3982,-0.1746
2024-12-01,-2.1220,-0.9303
2025-01-01,3.6095,1.5825
2025-02-01,-2.3258,-1.0197
2025-03-01,1.5731,0.6896
2025-04-01,-2.9471,-1.2920
2025-05-01,-0.9256,-0.4058
2025-06-01,1.0948,0.4800
2025-07-01,2.7449,1.2034
2025-08-01,0.1864,0.0817
2025-09-01,-1.7711,-0.7765
2025-10-01,1.7301,0.7585
2025-11-01,-0.0471,-0.0207
2025-12-01,-3.5578,-1.5598
2026-01-01,3.4634,1.5184
2026-02-01,-3.5124,-1.5399
2026-03-01,1.8943,0.8305
2026-04-01,-0.3491,-0.1531
2026-05-01,-2.2955,-1.0064
2026-06-01,1.2255,0.5373
2026-07-01,1.5379,0.6742
