date,query,avg_tone,vol_index
20170101,"""real estate"" Russia",-1.0908,0.0523
20170101,housing Russia,-1.7611,0.0925
20170101,mortgage Russia,-2.964,0.0129
20170101,mortgage sourcecountry:RS,-1.1898,0.004
20170102,"""real estate"" Russia",-1.6704,0.0506
20170102,housing Russia,-1.1673,0.1768
20170102,mortgage Russia,-2.0735,0.0162
20170102,mortgage sourcecountry:RS,-0.415,0.0101
20170103,"""real estate"" Russia",-1.965,0.0611
20170103,housing Russia,-1.4171,0.1282
20170103,mortgage Russia,-2.0804,0.0162
20170103,mortgage sourcecountry:RS,0.3567,0.0036
20170104,"""real estate"" Russia",-1.8768,0.0888
20170104,housing Russia,-1.5891,0.0751
20170104,mortgage Russia,-2.1308,0.0157
20170104,mortgage sourcecountry:RS,0.5038,0.0051
20170105,"""real estate"" Russia",-1.6869,0.0955
20170105,housing Russia,-1.619,0.0682
20170105,mortgage Russia,-3.0985,0.0189
20170105,mortgage sourcecountry:RS,0.0023,0.0025
20170106,"""real estate"" Russia",-1.9646,0.0584
20170106,housing Russia,-1.4202,0.0717
20170106,mortgage Russia,-2.4933,0.0183
20170106,mortgage sourcecountry:RS,0.0988,0.0034
20170107,"""real estate"" Russia",-0.227,0.0728
20170107,housing Russia,-1.6012,0.0713
20170107,mortgage Russia,-3.4148,0.0146
20170107,mortgage sourcecountry:RS,-0.453,0.0033
20170108,"""real estate"" Russia",-2.2012,0.1897
20170108,housing Russia,-2.1987,0.0659
20170108,mortgage Russia,-3.092,0.0106
20170108,mortgage sourcecountry:RS,0.0747,0.0055
20170109,"""real estate"" Russia",-1.6852,0.1301
20170109,housing Russia,-1.5156,0.0988
20170109,mortgage Russia,-2.1661,0.0155
20170109,mortgage sourcecountry:RS,-0.5345,0.0141
20170110,"""real estate"" Russia",-1.2987,0.0767
20170110,housing Russia,-1.639,0.0799
20170110,mortgage Russia,-1.2151,0.0123
20170110,mortgage sourcecountry:RS,-0.2626,0.0158
20170111,"""real estate"" Russia",-1.9396,0.3259
20170111,housing Russia,-0.8179,0.1916
20170111,mortgage Russia,-1.3908,0.0138
20170111,mortgage sourcecountry:RS,-0.2649,0.0107
20170112,"""real estate"" Russia",-1.6981,0.1894
20170112,housing Russia,-1.6959,0.1363
20170112,mortgage Russia,-2.2498,0.0214
20170112,mortgage sourcecountry:RS,-0.0753,0.0096
20170113,"""real estate"" Russia",-1.8415,0.0826
20170113,housing Russia,-1.3246,0.1368
20170113,mortgage Russia,-2.9009,0.0192
20170113,mortgage sourcecountry:RS,0.0821,0.0079
20170114,"""real estate"" Russia",-1.1541,0.0866
20170114,housing Russia,-1.485,0.0938
20170114,mortgage Russia,-1.9259,0.0206
20170114,mortgage sourcecountry:RS,-0.9883,0.0041
20170115,"""real estate"" Russia",-1.164,0.083
20170115,housing Russia,-1.3483,0.0818
20170115,mortgage Russia,-1.7123,0.0196
20170115,mortgage sourcecountry:RS,-1.1111,0.0037
20170116,"""real estate"" Russia",-1.1369,0.0739
20170116,housing Russia,-1.6794,0.0559
20170116,mortgage Russia,-1.4223,0.0113
20170116,mortgage sourcecountry:RS,-0.9935,0.0134
20170117,"""real estate"" Russia",-0.8698,0.0616
20170117,housing Russia,-1.2341,0.0778
20170117,mortgage Russia,-2.0172,0.018
20170117,mortgage sourcecountry:RS,0.0666,0.0086
20170118,"""real estate"" Russia",-1.2817,0.0719
20170118,housing Russia,-1.4322,0.0608
20170118,mortgage Russia,-1.9311,0.0308
20170118,mortgage sourcecountry:RS,-1.0455,0.0174
20170119,"""real estate"" Russia",-1.8752,0.0854
20170119,housing Russia,-0.775,0.0838
20170119,mortgage Russia,-2.3984,0.0183
20170119,mortgage sourcecountry:RS,0.2873,0.0115
20170120,"""real estate"" Russia",-0.8024,0.2127
20170120,housing Russia,-0.8961,0.0828
20170120,mortgage Russia,-1.3907,0.01
20170120,mortgage sourcecountry:RS,0.3441,0.0094
20170121,"""real estate"" Russia",-0.7287,0.1592
20170121,housing Russia,-0.9221,0.072
