date,n_queries,tone_mean,vol_mean,tone_z,sentiment_index
20170101,4,-1.7514,0.0404,-1.8305,-1.8305
20170102,4,-1.3316,0.0634,-0.953,-0.953
20170103,4,-1.2765,0.0523,-0.8378,-0.8378
20170104,4,-1.2732,0.0462,-0.8311,-0.8311
20170105,4,-1.6005,0.0463,-1.5152,-1.5152
20170106,4,-1.4448,0.0379,-1.1897,-1.1897
20170107,4,-1.424,0.0405,-1.1462,-1.1462
20170108,4,-1.8543,0.0679,-2.0456,-2.0456
20170109,4,-1.4754,0.0646,-1.2535,-1.2535
20170110,4,-1.1038,0.0462,-0.4771,-0.4771
20170111,4,-1.1033,0.1355,-0.4759,-0.4759
20170112,4,-1.4298,0.0892,-1.1583,-1.1583
20170113,4,-1.4962,0.0616,-1.2972,-1.2972
20170114,4,-1.3883,0.0513,-1.0717,-1.0717
20170115,4,-1.3339,0.047,-0.958,-0.958
20170116,4,-1.308,0.0386,-0.9038,-0.9038
20170117,4,-1.0136,0.0415,-0.2885,-0.2885
20170118,4,-1.4226,0.0452,-1.1433,-1.1433
20170119,4,-1.1903,0.0498,-0.6578,-0.6578
20170120,4,-0.6863,0.0787,0.3957,0.3957
20170121,4,-0.9173,0.0648,-0.0871,-0.0871
20170122,4,-0.8932,0.0832,-0.0367,-0.0367
20170123,4,-0.8921,0.0465,-0.0345,-0.0345
20170124,4,-0.7899,0.0439,0.1792,0.1792
20170125,4,-0.8379,0.0437,0.0787,0.0787
20170126,4,-1.3924,0.0296,-1.0803,-1.0803
20170127,4,-1.0449,0.0404,-0.3538,-0.3538
20170128,4,-1.2375,0.041,-0.7564,-0.7564
20170129,4,-1.505,0.0295,-1.3154,-1.3154
20170130,4,-1.7332,0.0322,-1.7926,-1.7926
20170131,4,-1.2364,0.0625,-0.7541,-0.7541
20170201,4,-1.2915,0.0997,-0.8693,-0.8693
20170202,4,-1.3964,0.0634,-1.0885,-1.0885
20170203,4,-1.167,0.0538,-0.6091,-0.6091
20170204,4,-1.7589,0.0684,-1.8462,-1.8462
20170205,4,-1.3961,0.0221,-1.0879,-1.0879
20170206,4,-1.0598,0.0268,-0.385,-0.385
20170207,4,-1.3872,0.0343,-1.0693,-1.0693
20170208,4,-0.9944,0.0286,-0.2483,-0.2483
20170209,4,-1.6212,0.0318,-1.5583,-1.5583
20170210,4,-1.5252,0.0296,-1.3576,-1.3576
20170211,4,-1.84,0.025,-2.0156,-2.0156
20170212,4,-1.4488,0.0236,-1.1981,-1.1981
20170213,4,-0.8411,0.025,0.0721,0.0721
20170214,4,-1.2614,0.0396,-0.8063,-0.8063
20170215,4,-1.0109,0.0402,-0.2829,-0.2829
20170216,4,-0.9482,0.0479,-0.1518,-0.1518
20170217,4,-0.9883,0.0514,-0.2356,-0.2356
20170218,4,-0.7703,0.0551,0.22,0.22
20170219,4,-0.9466,0.0398,-0.1485,-0.1485
20170220,4,-0.9256,0.043,-0.1045,-0.1045
20170221,4,-1.0504,0.0417,-0.3653,-0.3653
20170222,4,-0.2759,0.0426,1.2534,1.2534
20170223,4,-0.6563,0.0412,0.4583,0.4583
20170224,4,-0.7988,0.051,0.1605,0.1605
20170225,4,-1.14,0.043,-0.5526,-0.5526
20170226,4,-0.668,0.0385,0.4338,0.4338
20170227,4,-0.6074,0.0399,0.5605,0.5605
20170228,4,-0.488,0.0752,0.81,0.81
20170301,4,-0.3189,0.0368,1.1634,1.1634
20170302,4,-0.5353,0.0467,0.7111,0.7111
20170303,4,-0.5538,0.0565,0.6726,0.6726
20170304,4,-1.1254,0.0662,-0.522,-0.522
20170305,4,-0.9336,0.0352,-0.1214,-0.1214
20170306,4,-1.0216,0.0297,-0.3051,-0.3051
20170307,4,-1.0825,0.0369,-0.4326,-0.4326
20170308,4,-0.4782,0.0322,0.8306,0.8306
20170309,4,-0.6563,0.0306,0.4584,0.4584
20170310,4,-0.8313,0.0404,0.0925,0.0925
20170311,4,-0.6111,0.0334,0.5529,0.5529
20170312,4,-0.8816,0.0659,-0.0125,-0.0125
20170313,4,-0.5678,0.0583,0.6432,0.6432
20170314,4,-0.6519,0.0325,0.4674,0.4674
20170315,4,-1.1363,0.0351,-0.545,-0.545
20170316,4,-1.0657,0.029,-0.3974,-0.3974
20170317,4,-0.3305,0.0385,1.1392,1.1392
20170318,4,-0.5633,0.041,0.6526,0.6526
