week_end,n_days,tone_mean,tone_z_mean,vol_mean
2017-01-08,7,-1.4578,-1.2169,0.0506
2017-01-15,7,-1.333,-0.956,0.0708
2017-01-22,7,-1.0616,-0.3888,0.0574
2017-01-29,7,-1.1,-0.4689,0.0392
2017-02-05,7,-1.4256,-1.1497,0.0574
2017-02-12,7,-1.4109,-1.1189,0.0285
2017-02-19,7,-0.9667,-0.1904,0.0427
2017-02-26,7,-0.7879,0.1834,0.043
2017-03-05,7,-0.6518,0.4677,0.0509
2017-03-12,7,-0.7947,0.1692,0.0384
2017-03-19,7,-0.7144,0.3367,0.0384
2017-03-26,7,-1.3443,-0.9797,0.0491
2017-04-02,7,-1.2649,-0.8136,0.049
2017-04-09,7,-1.2603,-0.8042,0.0515
2017-04-16,7,-1.2375,-0.7564,0.0508
2017-04-23,7,-0.7601,0.2414,0.037
2017-04-30,7,-0.9062,-0.064,0.0371
2017-05-07,7,-0.7472,0.2684,0.0354
2017-05-14,7,-1.2172,-0.7139,0.0453
2017-05-21,7,-1.1013,-0.4718,0.0548
2017-05-28,7,-1.1793,-0.6349,0.0405
2017-06-04,7,-0.8537,0.0458,0.0429
2017-06-11,7,-1.2077,-0.6942,0.0698
2017-06-18,7,-1.2868,-0.8594,0.1118
2017-06-25,7,-1.0442,-0.3525,0.0526
2017-07-02,7,-1.1683,-0.6119,0.0425
2017-07-09,7,-0.9273,-0.1081,0.0443
2017-07-16,7,-0.9554,-0.1668,0.066
2017-07-23,7,-0.9131,-0.0783,0.0515
2017-07-30,7,-1.086,-0.4397,0.0442
2017-08-06,7,-1.011,-0.283,0.0531
2017-08-13,7,-1.0532,-0.3711,0.0583
2017-08-20,7,-1.0332,-0.3294,0.0428
2017-08-27,7,-1.043,-0.35,0.0342
2017-09-03,7,-0.8927,-0.0358,0.0488
2017-09-10,7,-0.8477,0.0584,0.0359
2017-09-17,7,-1.1043,-0.478,0.0335
2017-09-24,7,-0.9105,-0.073,0.04
2017-10-01,7,-0.9477,-0.1508,0.0368
2017-10-08,7,-0.7892,0.1804,0.0459
2017-10-15,7,-0.7546,0.2529,0.0872
2017-10-22,7,-0.7556,0.2508,0.0504
2017-10-29,7,-1.0643,-0.3945,0.0495
2017-11-05,7,-1.4815,-1.2664,0.0598
2017-11-12,7,-0.7796,0.2005,0.0484
2017-11-19,7,-0.9394,-0.1334,0.0424
2017-11-26,7,-0.6336,0.5057,0.039
2017-12-03,5,-0.864,0.0241,0.0521
2017-12-10,7,-1.1034,-0.4762,0.0463
2017-12-17,7,-0.8951,-0.0409,0.0404
2017-12-24,7,-0.9599,-0.1762,0.0421
2017-12-31,7,-0.7455,0.2719,0.0437
2018-01-07,7,-0.7902,0.1785,0.0419
2018-01-14,7,-1.0066,-0.2739,0.0365
2018-01-21,7,-1.1341,-0.5402,0.0375
2018-01-28,7,-0.9629,-0.1826,0.0426
2018-02-04,7,-0.9314,-0.1166,0.0468
2018-02-11,7,-0.8287,0.0979,0.0428
2018-02-18,7,-1.0971,-0.4631,0.0404
2018-02-25,7,-1.3049,-0.8973,0.0532
2018-03-04,7,-1.0317,-0.3263,0.0521
2018-03-11,7,-0.8662,0.0197,0.0375
2018-03-18,7,-1.4981,-1.301,0.0626
2018-03-25,7,-0.957,-0.1701,0.0598
2018-04-01,7,-0.9941,-0.2476,0.0535
2018-04-08,7,-1.0569,-0.379,0.0366
2018-04-15,7,-1.3907,-1.0766,0.051
2018-04-22,7,-1.286,-0.8579,0.0455
2018-04-29,7,-0.9824,-0.2233,0.0324
2018-05-06,7,-1.1405,-0.5538,0.041
2018-05-13,7,-0.911,-0.074,0.0337
2018-05-20,7,-1.3195,-0.9279,0.0356
2018-05-27,7,-1.0761,-0.4191,0.0374
2018-06-03,7,-0.9163,-0.0852,0.0349
2018-06-10,7,-0.738,0.2875,0.0427
2018-06-17,7,-0.9336,-0.1212,0.0436
2018-06-24,7,-1.1081,-0.4861,0.045
2018-07-01,7,-0.8507,0.052,0.0423
2018-07-08,7,-1.1467,-0.5667,0.0442
2018-07-15,7,-0.9943,-0.2482,0.0413
2018-07-22,7,-0.8831,-0.0157,0.0922
2018-07-29,7,-1.1243,-0.5199,0.0788
2018-08-05,7,-1.4914,-1.287,0.0945
2018-08-12,7,-1.5066,-1.3188,0.0753
2018-08-19,7,-1.2924,-0.8711,0.0721
2018-08-26,7,-1.2667,-0.8175,0.0696
2018-09-02,7,-0.8112,0.1345,0.0553
2018-09-09,7,-0.9519,-0.1595,0.0573
2018-09-16,7,-0.9889,-0.2367,0.0575
2018-09-23,7,-0.8085,0.1402,0.0519
2018-09-30,7,-0.6231,0.5276,0.0536
2018-10-07,7,-0.7398,0.2838,0.045
2018-10-14,7,-0.7081,0.3499,0.0524
2018-10-21,7,-1.0631,-0.392,0.0526
2018-10-28,7,-0.7695,0.2218,0.0482
2018-11-04,7,-0.6278,0.5179,0.0512
2018-11-11,7,-0.8008,0.1564,0.0565
2018-11-18,7,-0.64,0.4924,0.0457
2018-11-25,7,-0.7223,0.3203,0.0538
2018-12-02,7,-1.1021,-0.4735,0.0986
2018-12-09,7,-1.1846,-0.6458,0.0793
2018-12-16,7,-1.0125,-0.2862,0.0643
2018-12-23,7,-0.6068,0.5617,0.0675
2018-12-30,7,-0.3058,1.1909,0.0851
2019-01-06,7,-1.6266,-1.5696,0.0627
2019-01-13,7,-1.3809,-1.0562,0.0573
2019-01-20,7,-1.2466,-0.7754,0.0936
2019-01-27,7,-1.4079,-1.1127,0.0809
2019-02-03,7,-1.0251,-0.3126,0.0651
2019-02-10,7,-0.8209,0.1142,0.0619
2019-02-17,7,-0.8987,-0.0482,0.0666
2019-02-24,7,-0.8871,-0.0241,0.07
2019-03-03,7,-1.4462,-1.1925,0.1097
2019-03-10,7,-1.1852,-0.6472,0.059
2019-03-17,7,-1.4509,-1.2024,0.0643
2019-03-24,7,-1.4677,-1.2376,0.0964
2019-03-31,7,-1.1131,-0.4963,0.0726
2019-04-07,7,-0.6661,0.4378,0.0511
2019-04-14,7,-0.7421,0.279,0.0545
2019-04-21,7,-1.0872,-0.4422,0.0732
2019-04-28,7,-0.8547,0.0437,0.0635
2019-05-05,7,-0.8728,0.0057,0.0453
2019-05-12,7,-0.9063,-0.0642,0.0447
2019-05-19,7,-0.7665,0.2279,0.05
2019-05-26,7,-0.9013,-0.0537,0.0584
2019-06-02,7,-0.6554,0.4602,0.0539
2019-06-09,7,-0.8418,0.0705,0.0588
2019-06-16,7,-1.1358,-0.5438,0.0599
2019-06-23,7,-1.3939,-1.0834,0.0665
2019-06-30,7,-1.0556,-0.3762,0.0683
2019-07-07,7,-0.9367,-0.1277,0.0632
2019-07-14,7,-0.8953,-0.0412,0.0534
2019-07-21,7,-0.8467,0.0604,0.0621
2019-07-28,7,-0.8892,-0.0284,0.0671
2019-08-04,7,-1.264,-0.8118,0.0661
2019-08-11,7,-0.8892,-0.0284,0.0563
2019-08-18,7,-0.729,0.3063,0.0617
2019-08-25,7,-0.5454,0.6901,0.0604
2019-09-01,7,-0.5011,0.7828,0.0555
2019-09-08,7,-0.587,0.6031,0.0604
2019-09-15,7,-0.9559,-0.1678,0.0645
2019-09-22,7,-0.8049,0.1476,0.0581
2019-09-29,7,-0.738,0.2875,0.0675
2019-10-06,7,-0.8003,0.1573,0.0622
2019-10-13,7,-0.8421,0.0699,0.0675
2019-10-20,7,-0.8904,-0.0309,0.0664
2019-10-27,7,-0.904,-0.0593,0.0641
2019-11-03,7,-0.5466,0.6876,0.06
2019-11-10,7,-0.7854,0.1886,0.0533
2019-11-17,7,-0.8474,0.0589,0.06
2019-11-24,7,-0.8097,0.1378,0.0529
2019-12-01,7,-0.6562,0.4586,0.0544
2019-12-08,7,-0.6207,0.5328,0.0534
2019-12-15,7,-0.7402,0.2828,0.0666
2019-12-22,7,-1.0386,-0.3407,0.071
2019-12-29,7,-0.5476,0.6855,0.0853
2020-01-05,7,-0.6763,0.4165,0.0365
2020-01-12,7,-0.7669,0.2272,0.0187
2020-01-19,7,-0.4153,0.962,0.0457
2020-01-26,7,-0.4913,0.8032,0.0362
2020-02-02,7,-0.7703,0.2199,0.0315
2020-02-09,7,-0.7012,0.3644,0.0321
2020-02-16,7,-0.6309,0.5115,0.0373
