GLOBALEVENTID,SQLDATE,THEMES,AVG_TONE
20260825000000-67,20260825000000,ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;TAX_RELIGION;TAX_RELIGION_CHRISTIAN;TAX_ETHNICITY;TAX_ETHNICITY_CHRISTIAN;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;CRISISLEX_T11_UPDATESSYMPATHY;TAX_ETHNICITY_UKRAINIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_UKRAINIAN;TAX_FNCACT_OFFICIALS;TAX_FNCACT_LEADERS;TAX_FNCACT_MILITARY_PERSONNEL;TAX_FNCACT_CHAPLAINS;TAX_ETHNICITY_SOVIET;GENERAL_GOVERNMENT;TAX_RELIGION_ATHEISM;RELIGION;SELF_IDENTIFIED_HUMAN_RIGHTS;PERSECUTION;DISCRIMINATION;TAX_RELIGION_CHURCHES;TAX_FNCACT_SENATORS;TAX_FNCACT_VICE_PRESIDENT;CRISISLEX_CRISISLEXREC;TAX_RELIGION_CHURCH;EPU_POLICY;EPU_POLICY_POLITICAL;TAX_RELIGION_CHRISTIANS;TAX_ETHNICITY_CHRISTIANS;TAX_RELIGION_CHRISTIANITY;PROTEST;STRIKE;TAX_RELIGION_PAGAN;TAX_FNCACT_PRINCE;USPEC_POLICY1;EPU_POLICY_REFORM;,1.40646976090014
20260825000000-944,20260825000000,TAX_ETHNICITY;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIAN;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_RUBLES;SANCTIONS;TRIAL;TAX_WORLDLANGUAGES_RUSSIA;WB_1857_ARBITRATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_936_ALTERNATIVE_DISPUTE_RESOLUTION;WB_843_DISPUTE_RESOLUTION;DELAY;USPEC_UNCERTAINTY1;MEDIA_SOCIAL;TAX_FNCACT;TAX_FNCACT_MESSENGER;EPU_ECONOMY_HISTORIC;SURVEILLANCE;MEDIA_CENSORSHIP;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_SPOKESPERSON;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY_AUTHORITIES;LEGISLATION;USPEC_POLITICS_GENERAL1;USPEC_POLICY1;EPU_POLICY_LEGISLATION;ECON_BANKRUPTCY;EPU_POLICY_LAW;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_410_BUSINESS_LAW_AND_REGULATION;,-4.16666666666667
20260825053000-583,20260825053000,MANMADE_DISASTER_IMPLIED;ENV_COAL;TAX_FNCACT;TAX_FNCACT_DIRECTOR;,-1.07936507936508
20260825120000-6,20260825120000,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_DANISH;TAX_FNCACT_MINISTER;TAX_FNCACT_FOREIGN_MINISTER;TAX_ETHNICITY;TAX_ETHNICITY_UKRAINIAN;TAX_WORLDLANGUAGES_UKRAINIAN;SOVEREIGNTY;EPU_POLICY;EPU_POLICY_POLITICAL;TAX_WORLDLANGUAGES_RUSSIA;IDEOLOGY;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;KILL;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;TAX_FNCACT_WORKERS;CRISISLEX_O02_RESPONSEAGENCIESATCRISIS;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_CHILDREN;DRONES;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SANCTIONS;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_590_ECOSYSTEMS;UNGP_FORESTS_RIVERS_OCEANS;CRISISLEX_C07_SAFETY;FOOD_SECURITY;WB_199_FOOD_SECURITY;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1967_AGRICULTURAL_RISK_AND_SECURITY;UNGP_AFFORDABLE_NUTRITIOUS_FOOD;MARITIME_INCIDENT;MARITIME;TAX_ETHNICITY_BLACK;TAX_FOODSTAPLES;TAX_FOODSTAPLES_GRAIN;TAX_ECON_PRICE;FUELPRICES;TAX_WORLDLANGUAGES_LATIN;CRISISLEX_T11_UPDATESSYMPATHY;TRANSPARENCY;SOC_GENERALCRIME;EPU_CATS_MIGRATION_FEAR_FEAR;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;CEASEFIRE;TAX_WEAPONS;TAX_WEAPONS_GUN;TAX_ETHNICITY_LATVIAN;TAX_WORLDLANGUAGES_LATVIAN;ARREST;POLITICAL_PRISONER;TAX_ETHNICITY_SOVIET;TRIAL;TAX_ETHNICITY_UKRAINIANS;TAX_WORLDLANGUAGES_UKRAINIANS;,-3.67751060820368
20260825130000-775,20260825130000,TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIA;TRIAL;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;WB_1857_ARBITRATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_936_ALTERNATIVE_DISPUTE_RESOLUTION;WB_843_DISPUTE_RESOLUTION;MEDIA_SOCIAL;TAX_FNCACT;TAX_FNCACT_MESSENGER;SANCTIONS;TAX_FNCACT_CITIZEN;SURVEILLANCE;MEDIA_CENSORSHIP;USPEC_UNCERTAINTY1;TAX_ETHNICITY;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES_RUSSIAN;USPEC_POLICY1;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_RUBLES;TAX_FNCACT_REGULATORS;BAN;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY_AUTHORITIES;SEIZE;MEDIA_MSM;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;CRISISLEX_T01_CAUTION_ADVICE;EXTREMISM;TERROR;ARMEDCONFLICT;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_406_COMPETITION_POLICY;WB_2101_ANTITRUST;EPU_CATS_REGULATION;ECON_WORLDCURRENCIES_DOLLARS;,-4.5531197301855
20260825141500-392,20260825141500,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;CRISISLEX_T11_UPDATESSYMPATHY;TAX_ETHNICITY;TAX_ETHNICITY_UKRAINIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_UKRAINIAN;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_LEADERS;TAX_RELIGION;TAX_RELIGION_CHURCH;TAX_FNCACT_GENTLEMEN;HUMAN_RIGHTS_ABUSES;HUMAN_RIGHTS_ABUSES_GULAG;EPU_POLICY_POLITICAL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;WB_2492_COUNTER_TERRORISM;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;TAX_FNCACT_OFFICERS;TAX_FNCACT_OFFICIALS;TAX_WORLDLANGUAGES_POLISH;TAX_FNCACT_INTERPRETER;TAX_FNCACT_ESCORT;WB_1609_FOOD_AND_IN_KIND_TRANSFERS;WB_1620_ELDERLY;WB_1466_SOCIAL_ASSISTANCE;WB_1618_FOOD_DISTRIBUTION;WB_697_SOCIAL_PROTECTION_AND_LABOR;TAX_RELIGION_CHRISTIANS;TAX_ETHNICITY_CHRISTIANS;TAX_RELIGION_CHRISTIANITY;PROTEST;STRIKE;TAX_RELIGION_PAGAN;CRISISLEX_CRISISLEXREC;TAX_RELIGION_CHURCHES;TAX_RELIGION_CHRISTIAN;TAX_ETHNICITY_CHRISTIAN;TAX_FNCACT_PRINCE;USPEC_POLICY1;EPU_POLICY_REFORM;TAX_FNCACT_MAN;TAX_RELIGION_BAPTIST;TAX_ETHNICITY_SOVIET;TAX_FNCACT_PASTOR;TAX_RELIGION_PRESBYTERIAN;TAX_ETHNICITY_AMERICAN;TAX_FNCACT_REVEREND;TAX_WORLDLANGUAGES_RUSSIA;EPU_POLICY_CONGRESS;LEGISLATION;EPU_POLICY_LAW;EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;TAX_FNCACT_CHILDREN;UNGP_FREEDOM_FROM_DISCRIMINATION;UNGP_CRIME_VIOLENCE;PERSECUTION;DISCRIMINATION;ARREST;SOC_GENERALCRIME;KILL;CRISISLEX_T03_DEAD;POLITICAL_PRISONER;TAX_FNCACT_AUTHORITIES;EPU_POLICY_AUTHORITIES;RELIGION;WB_2931_IRON;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;TAX_FNCACT_WOMEN;CRISISLEX_T02_INJURED;,-1.42768466790813
20260825151500-315,20260825151500,WB_508_POWER_SYSTEMS;WB_509_NUCLEAR_ENERGY;WB_507_ENERGY_AND_EXTRACTIVES;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT;TAX_FNCACT_REPRESENTATIVES;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIA;TAX_FNCACT_OFFICIAL;ECON_ELECTRICALDEMAND;EPU_ECONOMY_HISTORIC;URBAN;ENV_NATURALGAS;ECON_ELECTRICALGENERATION;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;ENV_SOLAR;WB_529_WIND_ENERGY;WB_525_RENEWABLE_ENERGY;CRISISLEX_O01_WEATHER;TAX_FNCACT_PRODUCER;ELECTION;SCIENCE;MANMADE_DISASTER;MANMADE_DISASTER_RADIOACTIVE;TAX_FNCACT_DEPUTY;TAX_FNCACT_MINISTER;TAX_FNCACT_PRIME_MINISTER;WB_137_WATER;PUBLIC_TRANSPORT;,0.746268656716418
20260825151500-504,20260825151500,ELECTION;GENERAL_GOVERNMENT;USPEC_POLITICS_GENERAL1;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_DEMOCRATIC_PARTY;TAX_POLITICAL_PARTY_SOCIAL_DEMOCRATIC_PARTY;TAX_POLITICAL_PARTY_PEOPLE_PARTY;TAX_FNCACT;TAX_FNCACT_OFFICIAL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;WB_2203_HUMAN_RIGHTS;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;EPU_POLICY;EPU_POLICY_POLITICAL;CONSTITUTIONAL;EPU_POLICY_CONGRESS;WB_2670_JOBS;WB_2769_JOBS_STRATEGIES;WB_2840_INTEGRATION;WB_2836_MIGRATION_POLICIES_AND_JOBS;USPEC_POLICY1;EPU_UNCERTAINTY;TAX_FNCACT_LEADER;DELAY;,0.68259385665529
20260825153000-894,20260825153000,TAX_FNCACT;TAX_FNCACT_KING;MEDIA_SOCIAL;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_VOLUNTEER;TAX_FNCACT_FOUNDER;TAX_FNCACT_EMPLOYEE;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;WB_2670_JOBS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_FURLAN;TAX_FNCACT_PIONEER;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_STEWARDS;TAX_ETHNICITY;TAX_ETHNICITY_TAY;TAX_WORLDLANGUAGES_TAY;TAX_WORLDLANGUAGES_ARIANA;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_NURSE;TAX_RELIGION;TAX_RELIGION_ORTHODOX;TAX_RELIGION_JEW;TAX_ETHNICITY_ORTHODOX_JEW;WB_2769_JOBS_STRATEGIES;WB_2840_INTEGRATION;WB_2836_MIGRATION_POLICIES_AND_JOBS;TAX_FNCACT_CEO;TAX_FNCACT_CHILD;TAX_FNCACT_ARTIST;AFFECT;TRANSPARENCY;NATURAL_DISASTER;NATURAL_DISASTER_WILDFIRES;CRISISLEX_T01_CAUTION_ADVICE;TAX_FNCACT_COMEDIAN;,1.32408575031526
20260825171500-703,20260825171500,SCIENCE;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;WB_678_DIGITAL_GOVERNMENT;WB_2946_OPEN_SOURCE;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SOC_INNOVATION;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_590_ECOSYSTEMS;UNGP_FORESTS_RIVERS_OCEANS;MEDIA_MSM;WB_2670_JOBS;WB_2769_JOBS_STRATEGIES;WB_2840_INTEGRATION;WB_2836_MIGRATION_POLICIES_AND_JOBS;WB_672_NETWORK_MANAGEMENT;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_POET;CRISISLEX_C07_SAFETY;WB_653_ENTERPRISE_ARCHITECTURE;WB_657_INTEROPERABILITY;WB_2375_ICT_METHODS_AND_PROCEDURES;CRISISLEX_T11_UPDATESSYMPATHY;,4.09276944065484
