GLOBALEVENTID,SQLDATE,Actor1Code,Actor1Name,Actor1CountryCode,Actor2Code,Actor2Name,Actor2CountryCode,IsRootEvent,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,THEMES,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1319761439,20260726,RUS,RUSSIAN,RUS,UKR,UKRAINE,UKR,1,043,04,1,2.8,2,1,2,-0.89126559714795,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319761440,20260726,UKR,UKRAINE,UKR,RUS,RUSSIAN,RUS,1,042,04,1,1.9,2,1,2,-0.89126559714795,,-2960561,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319761601,20260825,,,,RUS,RUSSIAN,RUS,0,192,19,4,-9.5,10,1,10,-5.1605504587156,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762616,20260825,JUD,DISTRICT COURT,,RUS,RUSSIAN,RUS,0,172,17,4,-5.0,7,1,7,-4.27698574338085,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762740,20260825,MNCUSAMED,GOOGLE,USA,RUS,MOSCOW,RUS,0,043,04,1,2.8,10,1,10,-4.27698574338085,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762884,20260825,RUS,MOSCOW,RUS,,,,1,120,12,3,-4.0,1,1,1,-5.1605504587156,,,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762885,20260825,RUS,MOSCOW,RUS,,,,1,120,12,3,-4.0,1,1,1,-5.1605504587156,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762886,20260825,RUS,RUSSIA,RUS,BUS,COMPANY,,1,101,10,3,-5.0,8,1,8,-4.27698574338085,,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762887,20260825,RUS,RUSSIA,RUS,GOV,SECRETARY OF STATE,,0,010,01,1,0.0,3,1,3,-5.1605504587156,,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
1319762888,20260825,RUS,RUSSIAN,RUS,GOV,SOVEREIGN,,0,040,04,1,1.0,1,1,1,-5.1605504587156,,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167
1319762889,20260825,RUS,RUSSIAN,RUS,GOV,SOVEREIGN,,0,040,04,1,1.0,7,1,7,-5.1605504587156,,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156
