raw_name,count,region_code,canonical_name,level,method,sources
moscow city,81643,moscow,Москва,region,exact,fns_tochno_sectors
sankt-petersburg,35834,spb,Санкт-Петербург,region,exact,fns_tochno_sectors
moscow reg.,22518,moscow_obl,Московская область,region,exact-norm,fns_tochno_sectors
Московская область,20821,moscow_obl,Московская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Пермский край,20627,perm,Пермский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Ленинградская область,20578,leningrad,Ленинградская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Омская область,20542,omsk,Омская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Красноярский край,20540,krasnoyarsk,Красноярский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Самарская область,20510,samara,Самарская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Краснодарский край,20499,krasnodar,Краснодарский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Калининградская область,20497,kaliningrad,Калининградская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Ростовская область,20474,rostov,Ростовская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Новосибирская область,20451,novosibirsk,Новосибирская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Приморский край,20448,primorsky,Приморский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Оренбургская область,20447,orenburg,Оренбургская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Нижегородская область,20446,nizhni,Нижегородская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Свердловская область,20438,sverdlovsk,Свердловская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Хабаровский край,20422,khabarovsk,Хабаровский край,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Воронежская область,20410,voronezh,Воронежская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Саратовская область,20410,saratov,Саратовская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Челябинская область,20402,chelyabinsk,Челябинская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Иркутская область,20392,irkutsk,Иркутская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Вологодская область,20389,vologda,Вологодская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Ярославская область,20388,yaroslavl,Ярославская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Тульская область,20374,tula,Тульская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Владимирская область,20367,vladimir,Владимирская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Тверская область,20357,tver,Тверская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
Калужская область,20356,kaluga,Калужская область,region,canonical,"cbr_lending,regions_panel,rosreestr_deals,rosstat_construction"
