date,ипотека,ключевая ставка,купить квартиру,новостройки,вторичное жильё,снять квартиру,цены на квартиры,инфляция,курс доллара,вторичное жилье
2018-01-01,2.00,1.00,1.82,3.82,,1.81,4.00,2.00,1.35,77.33
2018-02-01,2.00,2.00,1.82,3.55,,1.89,4.00,1.50,1.35,77.33
2018-03-01,2.00,1.00,1.73,3.27,,1.89,2.00,2.00,1.35,58.00
2018-04-01,2.00,1.00,1.73,3.27,,1.92,2.00,2.00,3.10,77.33
2018-05-01,2.00,1.00,1.67,3.00,,1.92,2.00,2.50,1.74,58.00
2018-06-01,2.00,1.00,1.73,3.00,,2.11,2.00,2.00,1.35,58.00
2018-07-01,2.00,1.00,1.94,3.27,,2.60,4.00,1.00,1.35,58.00
2018-08-01,2.00,1.00,2.10,3.82,,2.91,2.00,1.00,2.71,77.33
2018-09-01,2.00,2.00,2.07,3.55,,2.49,2.00,1.50,2.32,77.33
2018-10-01,2.00,1.00,2.07,3.55,,2.45,2.00,1.50,1.55,58.00
2018-11-01,2.00,1.00,2.04,3.00,,2.15,2.00,2.00,1.55,58.00
2018-12-01,1.00,1.00,1.85,2.73,,1.92,2.00,2.50,1.55,58.00
2019-01-01,2.00,1.00,2.43,3.27,,2.23,4.00,2.00,1.55,77.33
2019-02-01,2.00,1.00,2.28,3.00,,2.08,2.00,2.00,1.35,58.00
2019-03-01,2.00,1.00,2.16,3.00,,2.04,2.00,2.00,1.35,58.00
2019-04-01,1.00,1.00,2.01,2.45,,2.04,2.00,2.00,1.35,58.00
2019-05-01,1.00,1.00,2.01,2.73,,2.08,2.00,2.50,1.16,38.67
2019-06-01,2.00,1.00,1.97,2.73,,2.34,2.00,2.00,1.35,58.00
2019-07-01,2.00,1.00,2.13,3.00,,2.83,4.00,1.00,1.35,58.00
2019-08-01,2.00,1.00,2.43,3.27,,2.91,4.00,1.00,1.74,58.00
2019-09-01,2.00,1.00,2.31,3.00,,2.49,2.00,1.50,1.55,38.67
2019-10-01,2.00,2.00,2.22,3.00,,2.38,2.00,2.00,1.35,58.00
2019-11-01,2.00,1.00,2.16,2.73,,2.19,2.00,2.00,1.16,38.67
2019-12-01,2.00,2.00,1.82,2.18,,1.85,2.00,2.50,1.35,38.67
2020-01-01,2.00,1.00,2.34,3.00,,2.08,2.00,2.00,1.55,38.67
2020-02-01,2.00,2.00,2.34,2.73,,1.92,2.00,2.00,1.74,58.00
2020-03-01,2.00,3.00,2.13,2.45,,1.74,2.00,2.00,8.90,38.67
2020-04-01,2.00,2.00,1.58,2.18,,1.25,2.00,2.50,4.45,38.67
2020-05-01,3.00,1.00,2.13,2.73,,1.58,2.00,2.00,2.52,38.67
2020-06-01,3.00,2.00,2.52,3.00,,2.08,2.00,1.50,2.71,58.00
2020-07-01,3.00,2.00,2.61,3.55,,2.64,2.00,1.50,2.32,58.00
2020-08-01,3.00,1.00,3.04,3.55,,3.21,2.00,1.00,2.71,58.00
2020-09-01,2.00,1.00,2.73,3.27,,2.57,2.00,1.50,3.10,58.00
2020-10-01,2.00,1.00,2.86,3.27,,2.26,2.00,2.00,2.71,58.00
2020-11-01,2.00,1.00,2.76,2.73,,2.19,2.00,2.50,3.29,58.00
2020-12-01,2.00,2.00,2.34,1.91,,1.89,2.00,3.00,2.90,58.00
2021-01-01,2.00,1.00,2.98,3.00,,2.26,4.00,2.00,2.52,58.00
2021-02-01,2.00,1.00,2.92,3.00,,2.08,2.00,2.00,2.32,58.00
2021-03-01,2.00,2.00,2.79,2.73,,2.15,2.00,2.50,2.13,58.00
2021-04-01,2.00,2.00,2.73,2.45,,2.19,2.00,2.50,2.71,58.00
2021-05-01,2.00,1.00,2.49,2.18,,2.26,2.00,2.50,1.94,58.00
2021-06-01,2.00,2.00,2.64,2.45,,2.53,2.00,2.50,2.13,58.00
2021-07-01,2.00,2.00,2.70,2.73,,2.98,2.00,1.50,1.94,58.00
2021-08-01,2.00,1.00,3.04,2.73,,3.77,4.00,1.50,1.55,77.33
2021-09-01,2.00,2.00,2.79,2.45,,2.94,4.00,2.00,1.55,58.00
2021-10-01,2.00,2.00,2.92,2.45,,2.60,2.00,2.50,1.74,58.00
2021-11-01,2.00,2.00,2.70,2.45,,2.30,2.00,3.00,2.13,77.33
2021-12-01,1.00,3.00,2.19,1.91,,1.85,2.00,3.50,1.74,58.00
2022-01-01,2.00,2.00,2.58,2.45,,2.04,4.00,3.50,2.71,58.00
2022-02-01,2.00,13.00,2.34,2.18,,1.81,4.00,4.00,11.23,58.00
2022-03-01,3.00,5.00,2.07,1.64,,2.00,4.00,8.00,19.35,38.67
2022-04-01,2.00,5.00,1.79,1.36,,2.11,2.00,4.50,11.03,38.67
2022-05-01,2.00,5.00,1.82,1.64,,2.15,2.00,3.50,10.65,58.00
2022-06-01,3.00,5.00,2.01,1.64,,2.57,2.00,3.00,7.35,58.00
2022-07-01,2.00,4.00,2.13,1.91,,3.06,2.00,2.00,7.74,58.00
2022-08-01,2.00,2.00,2.43,1.91,,3.09,2.00,2.00,4.26,58.00
2022-09-01,2.00,3.00,2.04,1.64,,2.91,2.00,2.50,3.68,58.00
2022-10-01,2.00,2.00,2.07,1.36,,2.45,2.00,3.00,3.29,58.00
2022-11-01,2.00,2.00,2.10,1.36,,2.15,2.00,3.00,2.13,58.00
2022-12-01,2.00,2.00,1.88,1.36,,1.85,2.00,3.00,3.68,58.00
2023-01-01,2.00,1.00,2.37,1.64,,2.08,2.00,3.00,3.29,58.00
2023-02-01,2.00,2.00,2.34,1.64,,1.92,2.00,2.50,3.48,58.00
2023-03-01,2.00,2.00,2.34,1.91,,2.08,2.00,2.50,3.48,58.00
2023-04-01,2.00,2.00,2.19,1.64,,1.96,2.00,2.50,3.87,58.00
2023-05-01,2.00,1.00,2.19,1.64,,2.11,2.00,3.00,3.48,58.00
2023-06-01,2.00,2.00,2.25,1.64,,2.53,2.00,2.50,4.26,58.00
2023-07-01,2.00,4.00,2.52,2.18,,3.06,2.00,2.00,5.03,58.00
2023-08-01,3.00,8.00,2.64,2.45,,3.47,2.00,2.50,7.16,77.33
2023-09-01,2.00,5.00,2.25,2.18,,2.68,2.00,2.50,4.06,58.00
2023-10-01,2.00,7.00,2.25,1.91,,2.30,2.00,3.00,4.65,58.00
2023-11-01,2.00,4.00,2.10,2.18,,2.15,2.00,3.50,3.87,58.00
2023-12-01,2.00,6.00,1.73,1.64,,1.70,2.00,3.50,3.10,38.67
2024-01-01,2.00,3.00,2.04,1.64,,1.96,2.00,3.00,2.52,58.00
