quarter,A_invest,B_rent,C_panic,D_broad,rii_A,rii_B,rii_C
2018Q1,2240069,12656527,134821,56252412,0.03982,0.225,0.0024
2018Q2,1872625,12545031,121345,48990564,0.03822,0.25607,0.00248
2018Q3,2304240,17451540,141379,59422878,0.03878,0.29368,0.00238
2018Q4,2089288,16765184,156391,61864326,0.03377,0.271,0.00253
2019Q1,1909350,15530935,128312,62736530,0.03043,0.24756,0.00205
2019Q2,1635899,15165625,105631,51979587,0.03147,0.29176,0.00203
2019Q3,1847169,19698852,128777,56175654,0.03288,0.35067,0.00229
2019Q4,1833522,16211342,138080,56682471,0.03235,0.286,0.00244
2020Q1,2226821,16185446,196052,70862577,0.03142,0.22841,0.00277
2020Q2,2210170,15001410,159322,64735000,0.03414,0.23174,0.00246
2020Q3,2614737,23055254,179231,76501184,0.03418,0.30137,0.00234
2020Q4,2776466,20117446,227852,82801304,0.03353,0.24296,0.00275
2021Q1,2824166,20700859,247703,90227788,0.0313,0.22943,0.00275
2021Q2,2729823,23919220,228910,84281446,0.03239,0.2838,0.00272
2021Q3,2835157,31395864,234533,84380470,0.0336,0.37208,0.00278
2021Q4,2671199,25534410,244774,85657167,0.03118,0.2981,0.00286
2022Q1,3591008,25511813,366771,98741136,0.03637,0.25837,0.00371
2022Q2,2847598,24454021,178475,72488273,0.03928,0.33735,0.00246
2022Q3,2364426,30050371,201488,75450158,0.03134,0.39828,0.00267
2022Q4,2057710,21788361,163392,64181277,0.03206,0.33948,0.00255
2023Q1,2454012,20643962,176287,72094134,0.03404,0.28635,0.00245
2023Q2,2062097,21214593,155180,61906586,0.03331,0.34269,0.00251
2023Q3,2766919,28172369,156892,67614362,0.04092,0.41666,0.00232
2023Q4,2871351,21030184,150601,61046855,0.04704,0.34449,0.00247
2024Q1,3338047,19962284,166343,63130312,0.05288,0.31621,0.00263
2024Q2,3418793,19799415,128258,56197390,0.06084,0.35232,0.00228
2024Q3,4277475,26846108,136345,59076598,0.07241,0.45443,0.00231
2024Q4,4257856,19051456,170215,54053470,0.07877,0.35246,0.00315
2025Q1,4743099,17398884,157958,58736320,0.08075,0.29622,0.00269
2025Q2,4030029,17428987,136972,48173139,0.08366,0.3618,0.00284
2025Q3,4487870,21941646,143994,53791519,0.08343,0.4079,0.00268
2025Q4,4825286,16003669,199614,54607889,0.08836,0.29307,0.00366
2026Q1,4360661,14538167,142343,54538498,0.07996,0.26657,0.00261
2026Q2,3733235,16083438,121749,50030291,0.07462,0.32147,0.00243
2026Q3,1718845,11523738,65105,27443585,0.06263,0.41991,0.00237
