date,A_invest,B_rent,C_panic,D_broad,rii_A,rii_B,rii_C
2018-01-01,137638,780299,8045,2967469,0.04638,0.26295,0.00271
2018-01-08,186107,1005541,11413,4401796,0.04228,0.22844,0.00259
2018-01-15,181286,987728,11428,4491299,0.04036,0.21992,0.00254
2018-01-22,184424,998235,11067,4602635,0.04007,0.21688,0.0024
2018-01-29,185239,986490,10655,4719027,0.03925,0.20905,0.00226
2018-02-05,184994,1011858,11117,4779073,0.03871,0.21173,0.00233
2018-02-12,163881,949728,10276,4226575,0.03877,0.2247,0.00243
2018-02-19,163392,981243,9997,4192219,0.03898,0.23406,0.00238
2018-02-26,176748,1056236,10787,4618360,0.03827,0.2287,0.00234
2018-03-05,151607,926102,9308,3851121,0.03937,0.24048,0.00242
2018-03-12,182400,1037484,10635,4573237,0.03988,0.22686,0.00233
2018-03-19,179293,996187,10676,4596780,0.039,0.21671,0.00232
2018-03-26,163060,939396,9417,4232821,0.03852,0.22193,0.00222
2018-04-02,148499,888134,9570,3945224,0.03764,0.22512,0.00243
2018-04-09,154448,926414,10467,4027730,0.03835,0.23001,0.0026
2018-04-16,151051,952789,10357,4063768,0.03717,0.23446,0.00255
2018-04-23,153836,965322,9860,3980463,0.03865,0.24252,0.00248
2018-04-30,120477,857595,8040,3275991,0.03678,0.26178,0.00245
2018-05-07,129163,878634,8220,3494265,0.03696,0.25145,0.00235
2018-05-14,136830,961307,8984,3697192,0.03701,0.26001,0.00243
2018-05-21,132720,963618,9132,3679155,0.03607,0.26191,0.00248
2018-05-28,143960,998737,9652,3730995,0.03858,0.26769,0.00259
2018-06-04,158903,1045042,9257,3937471,0.04036,0.26541,0.00235
2018-06-11,139905,1003165,9250,3540637,0.03951,0.28333,0.00261
2018-06-18,149587,1027272,9789,3778947,0.03958,0.27184,0.00259
2018-06-25,153246,1077002,8767,3838726,0.03992,0.28056,0.00228
2018-07-02,154031,1142405,9674,3870523,0.0398,0.29516,0.0025
2018-07-09,158540,1163832,9961,3865221,0.04102,0.3011,0.00258
2018-07-16,170347,1254580,10025,4221758,0.04035,0.29717,0.00237
2018-07-23,186273,1359098,10528,4824247,0.03861,0.28172,0.00218
2018-07-30,179384,1391703,10026,4658922,0.0385,0.29872,0.00215
2018-08-06,186188,1457484,11393,4875944,0.03819,0.29891,0.00234
2018-08-13,205822,1468014,11628,4887586,0.04211,0.30036,0.00238
2018-08-20,185587,1434882,10971,4658312,0.03984,0.30803,0.00236
2018-08-27,169389,1412551,10463,4408505,0.03842,0.32041,0.00237
2018-09-03,170390,1354973,11483,4576029,0.03724,0.2961,0.00251
2018-09-10,171412,1307038,11577,4650819,0.03686,0.28103,0.00249
2018-09-17,177941,1325967,11988,4903308,0.03629,0.27042,0.00244
2018-09-24,188936,1379013,11662,5021704,0.03762,0.27461,0.00232
2018-10-01,180116,1372507,10980,4961899,0.0363,0.27661,0.00221
2018-10-08,176448,1357785,11928,5018819,0.03516,0.27054,0.00238
2018-10-15,176344,1337338,10862,4934318,0.03574,0.27103,0.0022
2018-10-22,175213,1345374,11441,5092258,0.03441,0.2642,0.00225
2018-10-29,171734,1290464,10852,4792106,0.03584,0.26929,0.00226
2018-11-05,155949,1232752,25175,4617257,0.03378,0.26699,0.00545
2018-11-12,169170,1257782,11791,4661523,0.03629,0.26982,0.00253
2018-11-19,152542,1206106,10680,4492076,0.03396,0.2685,0.00238
2018-11-26,141211,1146965,9824,4270743,0.03306,0.26856,0.0023
2018-12-03,140537,1159887,9871,4433194,0.0317,0.26164,0.00223
2018-12-10,135178,1115356,9445,4161700,0.03248,0.268,0.00227
2018-12-17,119282,1045600,8988,3900400,0.03058,0.26808,0.0023
2018-12-24,93003,915650,7198,3243376,0.02867,0.28231,0.00222
2018-12-31,102561,981618,7356,3284657,0.03122,0.29885,0.00224
2019-01-07,164302,1322224,11124,5211556,0.03153,0.25371,0.00213
2019-01-14,172357,1352121,11648,5581511,0.03088,0.24225,0.00209
2019-01-21,167997,1381644,11467,5675707,0.0296,0.24343,0.00202
2019-01-28,166467,1368070,11712,5610304,0.02967,0.24385,0.00209
2019-02-04,166230,1342129,11207,5571987,0.02983,0.24087,0.00201
2019-02-11,158322,1220549,10162,4996512,0.03169,0.24428,0.00203
2019-02-18,159266,1214769,9609,4962335,0.03209,0.2448,0.00194
2019-02-25,155291,1233149,10684,5042409,0.0308,0.24456,0.00212
2019-03-04,132923,1123650,9470,4453339,0.02985,0.25232,0.00213
2019-03-11,157475,1344355,10959,5252117,0.02998,0.25596,0.00209
2019-03-18,155407,1314268,10091,5175539,0.03003,0.25394,0.00195
2019-03-25,153313,1314007,10179,5203214,0.02947,0.25254,0.00196
2019-04-01,157858,1302068,9629,5137088,0.03073,0.25346,0.00187
2019-04-08,153303,1315877,9474,4945637,0.031,0.26607,0.00192
2019-04-15,135285,1220240,9301,4518298,0.02994,0.27007,0.00206
2019-04-22,118336,1108199,8051,3989087,0.02966,0.27781,0.00202
2019-04-29,111237,1068044,7156,3502772,0.03176,0.30491,0.00204
2019-05-06,103174,971440,6314,3271158,0.03154,0.29697,0.00193
2019-05-13,126089,1120582,7864,3911025,0.03224,0.28652,0.00201
2019-05-20,123829,1123954,7772,3938367,0.03144,0.28539,0.00197
2019-05-27,121607,1136970,7572,3849362,0.03159,0.29537,0.00197
2019-06-03,117971,1153876,7512,3768491,0.0313,0.30619,0.00199
2019-06-10,117822,1169189,8093,3627726,0.03248,0.32229,0.00223
2019-06-17,122841,1205410,8000,3749009,0.03277,0.32153,0.00213
2019-06-24,126547,1269776,8893,3771567,0.03355,0.33667,0.00236
2019-07-01,126389,1300192,8418,3808310,0.03319,0.34141,0.00221
2019-07-08,125701,1329678,8353,3761942,0.03341,0.35346,0.00222
2019-07-15,123551,1326586,8335,3764190,0.03282,0.35242,0.00221
2019-07-22,125321,1386111,8259,3864374,0.03243,0.35869,0.00214
2019-07-29,129613,1421898,8905,3958387,0.03274,0.35921,0.00225
2019-08-05,133241,1488439,9127,4128967,0.03227,0.36049,0.00221
2019-08-12,134091,1544062,9453,4032945,0.03325,0.38286,0.00234
2019-08-19,132410,1554760,10134,3986667,0.03321,0.38999,0.00254
2019-08-26,130924,1518846,9764,3869283,0.03384,0.39254,0.00252
