date,Дальний Восток,Поволжье,Республика Крым,Северный Кавказ,Северо-Запад,Сибирь,Урал,Центр,Юг
2018-01-01,119.2367,179.5475,123.2089,118.6199,166.088,120.0924,143.4321,242.4465,169.3187
2018-02-01,100.9688,161.7643,120.642,112.6352,158.9001,112.4125,134.0586,234.7979,157.6465
2018-03-01,104.2011,164.4711,123.9362,105.619,158.5935,112.7363,137.699,244.6926,161.4866
2018-04-01,117.1321,161.6554,112.7149,103.1537,158.6861,117.1264,144.0943,237.1371,158.3328
2018-05-01,112.8992,157.0323,113.5578,106.6653,148.5908,116.5615,142.6721,234.8426,167.44
2018-06-01,130.507,187.1309,130.1676,130.4627,164.6689,129.7767,157.4898,266.0797,191.1521
2018-07-01,169.7034,237.859,142.7288,178.7748,205.1207,173.7427,191.5949,315.1023,241.0689
2018-08-01,186.9425,269.965,162.9286,190.1229,221.0379,185.3852,215.8155,342.8903,268.3676
2018-09-01,139.9684,204.0884,139.5795,139.9974,177.4197,139.3372,165.1686,278.3606,212.5351
2018-10-01,122.5497,186.3112,117.6964,117.7623,165.2696,125.7244,153.0793,254.6738,181.6222
2018-11-01,118.6735,177.5609,121.3567,113.9181,165.9221,125.7407,145.9728,237.1246,178.8
2018-12-01,104.0184,152.3246,98.5511,108.9031,137.9737,106.9655,128.837,197.0848,153.7991
2019-01-01,143.7161,179.6335,125.5161,148.7613,163.3957,138.9567,157.8501,237.0441,189.572
2019-02-01,134.6933,164.2251,118.551,140.4357,155.4172,126.4559,148.0639,234.8503,189.3115
2019-03-01,121.5872,150.168,115.2725,118.0365,153.722,122.8171,140.9938,217.3883,170.8357
2019-04-01,111.9147,139.9107,103.5388,101.1108,136.655,117.3133,129.1584,189.4425,154.1175
2019-05-01,105.8197,125.8332,117.2618,105.5698,127.0846,110.9453,115.246,179.9442,151.9326
2019-06-01,110.1602,140.9847,118.1933,122.0195,140.9096,116.8379,129.5803,197.6985,166.6344
2019-07-01,124.3044,155.4306,118.9104,144.2078,139.1336,126.1281,134.3402,187.0937,180.8143
2019-08-01,128.1961,152.8029,116.2892,138.3866,141.1447,124.0089,135.3078,189.9827,172.8774
2019-09-01,110.3725,131.0306,111.0113,108.43,128.8562,110.5783,117.7827,177.4164,151.2191
2019-10-01,106.9623,134.5319,108.6423,99.7954,131.7472,107.1983,117.219,182.675,148.9684
2019-11-01,112.2363,136.9481,95.8752,100.3287,137.3699,108.5137,127.4635,193.5986,146.5887
2019-12-01,105.6125,123.7031,97.1924,93.2137,113.7473,95.7765,110.7244,173.535,132.1314
2020-01-01,129.9717,156.2945,121.5285,114.8668,140.4174,124.7621,134.64,208.9928,173.397
2020-02-01,129.246,153.5214,120.5371,106.8402,147.0633,129.0198,135.4645,212.0218,174.5496
2020-03-01,129.6034,150.8211,105.5883,102.3168,146.6777,133.0118,140.758,192.4516,163.6642
2020-04-01,85.2945,100.1282,67.357,67.6001,97.8218,83.9144,98.4665,117.3707,113.5547
2020-05-01,94.8846,124.5595,95.0566,90.7231,125.0664,97.1939,119.0934,152.5576,155.017
2020-06-01,113.0251,144.4712,112.1025,103.7566,132.2962,114.8289,136.1611,180.4942,171.3897
2020-07-01,137.1815,171.6033,131.0524,132.7793,161.3898,134.5634,157.8473,221.6771,209.6431
