date,Дальний Восток,Поволжье,Республика Крым,Северный Кавказ,Северо-Запад,Сибирь,Урал,Центр,Юг
2018-01-01,186.3737,203.924,183.3483,144.4663,181.9979,176.3105,190.2227,179.9413,179.1148
2018-02-01,170.4454,176.3244,132.2452,123.1961,151.1436,159.4042,167.9454,149.1337,159.0604
2018-03-01,186.4594,185.9791,123.7164,127.3908,150.7383,170.4056,185.9762,157.712,173.2933
2018-04-01,241.1348,245.9258,167.5818,185.3817,198.8397,231.6147,212.4717,196.9214,208.9088
2018-05-01,243.7696,284.6797,185.5796,214.4588,228.7217,300.1866,269.4609,248.6949,248.3854
2018-06-01,191.1449,229.8806,154.1838,193.533,204.8325,227.7884,226.9566,226.2229,210.759
2018-07-01,92.9548,103.54,93.8256,90.561,107.3756,94.5515,100.2697,120.3958,100.3461
2018-08-01,101.2546,112.0245,93.6104,84.1747,121.7549,102.2927,107.6293,125.2333,114.2639
2018-09-01,142.9673,152.9561,114.5512,111.0169,152.4075,138.5141,149.2525,155.9087,138.7817
2018-10-01,294.6462,282.1172,210.2855,229.8542,248.3638,278.9057,260.2525,249.5388,266.6259
2018-11-01,251.3543,253.1575,224.6846,182.2952,217.6203,251.2732,236.1111,219.3719,215.337
2018-12-01,248.4596,276.6537,204.1069,189.0643,241.5053,265.4528,245.613,250.6962,238.9721
2019-01-01,208.5864,228.5577,205.8601,172.6629,219.3238,212.5931,228.6121,223.7578,211.8
2019-02-01,181.0558,192.8597,157.9701,138.2127,172.1589,178.9598,192.2541,184.4041,178.5602
2019-03-01,193.496,193.6753,156.2329,133.2823,168.1593,184.2022,187.9775,179.0294,182.871
2019-04-01,194.6497,239.6224,183.6386,176.338,195.6103,226.2697,216.8416,204.0533,216.1705
2019-05-01,245.3653,292.3316,210.73,203.2006,220.6106,287.5708,284.6502,234.9292,222.797
2019-06-01,190.9767,200.069,139.2101,151.6979,172.3678,208.049,203.9754,196.8764,179.6993
2019-07-01,94.1949,98.1553,91.2677,80.6105,105.5433,92.9791,95.3351,126.7434,97.0059
2019-08-01,82.0001,85.2055,78.3858,71.9603,91.9534,81.0813,84.9549,98.8511,85.1936
2019-09-01,129.8275,133.7708,100.5162,90.6455,125.8776,131.3164,124.0236,134.6606,129.4876
2019-10-01,170.8639,184.7572,132.8794,150.8303,162.7547,180.1061,173.5386,173.8808,162.6766
2019-11-01,244.8515,248.1118,206.0061,177.383,225.6109,259.3857,312.0682,224.4198,225.8575
2019-12-01,275.1456,260.6293,199.0556,186.526,226.6705,277.317,244.847,232.8157,219.412
2020-01-01,199.8163,210.1052,225.5441,147.684,209.9319,192.2589,193.3244,202.5297,184.954
2020-02-01,187.2014,187.8834,181.9551,126.406,168.6219,177.8603,176.2332,179.2748,173.7293
2020-03-01,247.6498,270.4399,210.7309,204.5296,229.4981,255.8894,256.7432,249.7835,244.2823
2020-04-01,386.0441,404.2549,315.5826,313.3815,331.4683,392.0822,393.7136,341.2934,371.8429
