id,name,macro_region
1,Москва и область,Центр
10645,Белгородская область,Центр
10650,Брянская область,Центр
10658,Владимирская область,Центр
10672,Воронежская область,Центр
10687,Ивановская область,Центр
10693,Калужская область,Центр
10699,Костромская область,Центр
10705,Курская область,Центр
10712,Липецкая область,Центр
10772,Орловская область,Центр
10776,Рязанская область,Центр
10795,Смоленская область,Центр
10802,Тамбовская область,Центр
10819,Тверская область,Центр
10832,Тульская область,Центр
10841,Ярославская область,Центр
10174,Санкт-Петербург и Ленинградская область,Северо-Запад
10842,Архангельская область,Северо-Запад
10853,Вологодская область,Северо-Запад
10857,Калининградская область,Северо-Запад
10897,Мурманская область,Северо-Запад
10904,Новгородская область,Северо-Запад
10926,Псковская область,Северо-Запад
10933,Республика Карелия,Северо-Запад
10939,Республика Коми,Северо-Запад
11070,Кировская область,Поволжье
11079,Нижегородская область,Поволжье
11084,Оренбургская область,Поволжье
11095,Пензенская область,Поволжье
11108,Пермский край,Поволжье
11111,Республика Башкортостан,Поволжье
11077,Республика Марий Эл,Поволжье
11117,Республика Мордовия,Поволжье
11119,Республика Татарстан,Поволжье
11131,Самарская область,Поволжье
11146,Саратовская область,Поволжье
11148,Удмуртская Республика,Поволжье
11153,Ульяновская область,Поволжье
11156,Чувашская Республика,Поволжье
10946,Астраханская область,Юг
10950,Волгоградская область,Юг
10995,Краснодарский край,Юг
11004,Республика Адыгея,Юг
11015,Республика Калмыкия,Юг
11029,Ростовская область,Юг
11235,Алтайский край,Сибирь
11266,Иркутская область,Сибирь
11282,Кемеровская область (Кузбасс),Сибирь
11309,Красноярский край,Сибирь
11316,Новосибирская область,Сибирь
11318,Омская область,Сибирь
10231,Республика Алтай,Сибирь
10233,Республика Тыва,Сибирь
11340,Республика Хакасия,Сибирь
11353,Томская область,Сибирь
11375,Амурская область,Дальний Восток
10243,Еврейская автономная область,Дальний Восток
21949,Забайкальский край,Дальний Восток
11398,Камчатский край,Дальний Восток
11403,Магаданская область,Дальний Восток
11409,Приморский край,Дальний Восток
11330,Республика Бурятия,Дальний Восток
11443,Республика Саха (Якутия),Дальний Восток
11450,Сахалинская область,Дальний Восток
11457,Хабаровский край,Дальний Восток
11471,Алушта,Республика Крым
28892,Армянск,Республика Крым
24696,Бахчисарайский район,Республика Крым
27555,Джанкой,Республика Крым
11463,Евпатория,Республика Крым
11464,Керчь,Республика Крым
27693,Красноперекопск,Республика Крым
24702,Ленинский район,Республика Крым
20556,Саки,Республика Крым
959,Севастополь,Республика Крым
146,Симферополь,Республика Крым
11472,Судак,Республика Крым
11469,Феодосия,Республика Крым
11470,Ялта,Республика Крым
11013,Кабардино-Балкарская Республика,Северный Кавказ
11020,Карачаево-Черкесская Республика,Северный Кавказ
11010,Республика Дагестан,Северный Кавказ
11012,Республика Ингушетия,Северный Кавказ
11021,Республика Северная Осетия — Алания,Северный Кавказ
11069,Ставропольский край,Северный Кавказ
11024,Чеченская Республика,Северный Кавказ
11158,Курганская область,Урал
11162,Свердловская область,Урал
11176,Тюменская область,Урал
11193,Ханты-Мансийский автономный округ - Югра,Урал
11225,Челябинская область,Урал
11232,Ямало-Ненецкий автономный округ,Урал
