date,phrase,group,count,share
2018-01-01,экскаватор купить,S6a_mach_buy,9342,0.0006356523882780591
2018-01-08,экскаватор купить,S6a_mach_buy,13289,0.0007683998452998153
2018-01-15,экскаватор купить,S6a_mach_buy,14198,0.0007692053489556113
2018-01-22,экскаватор купить,S6a_mach_buy,14995,0.0007909098085274603
2018-01-29,экскаватор купить,S6a_mach_buy,14383,0.0007613000555110698
2018-02-05,экскаватор купить,S6a_mach_buy,16845,0.0008732254744891448
2018-02-12,экскаватор купить,S6a_mach_buy,15538,0.0008242544015918429
2018-02-19,экскаватор купить,S6a_mach_buy,15291,0.0007809999779991013
2018-02-26,экскаватор купить,S6a_mach_buy,16498,0.0008150262588413658
2018-03-05,экскаватор купить,S6a_mach_buy,14971,0.0008112308153076525
2018-03-12,экскаватор купить,S6a_mach_buy,16359,0.000826213189030076
2018-03-19,экскаватор купить,S6a_mach_buy,16468,0.0008745714441265644
2018-03-26,экскаватор купить,S6a_mach_buy,15781,0.0008567536916287442
2018-04-02,экскаватор купить,S6a_mach_buy,16053,0.0009053499842729208
2018-04-09,экскаватор купить,S6a_mach_buy,14476,0.0008188914876594162
2018-04-16,экскаватор купить,S6a_mach_buy,14034,0.0007856457709939616
2018-04-23,экскаватор купить,S6a_mach_buy,14197,0.0007886505899654141
2018-04-30,экскаватор купить,S6a_mach_buy,12579,0.0007960415863566346
2018-05-07,экскаватор купить,S6a_mach_buy,12195,0.000726986772313827
2018-05-14,экскаватор купить,S6a_mach_buy,13851,0.0007902653972971335
2018-05-21,экскаватор купить,S6a_mach_buy,14976,0.0008940938097267022
2018-05-28,экскаватор купить,S6a_mach_buy,13961,0.0008309831804433009
2018-06-04,экскаватор купить,S6a_mach_buy,13729,0.0008134700809582263
2018-06-11,экскаватор купить,S6a_mach_buy,12591,0.0008021807057268061
2018-06-18,экскаватор купить,S6a_mach_buy,12876,0.0007875281787426457
2018-06-25,экскаватор купить,S6a_mach_buy,12866,0.0008028968683758999
2018-07-02,экскаватор купить,S6a_mach_buy,13213,0.0008265947391488243
2018-07-09,экскаватор купить,S6a_mach_buy,12906,0.0008417973713082734
2018-07-16,экскаватор купить,S6a_mach_buy,12772,0.0008152387563677539
2018-07-23,экскаватор купить,S6a_mach_buy,13659,0.0008622796690556364
2018-07-30,экскаватор купить,S6a_mach_buy,13115,0.000826053508728035
2018-08-06,экскаватор купить,S6a_mach_buy,14235,0.0008943924357564291
2018-08-13,экскаватор купить,S6a_mach_buy,14962,0.000931140937745006
2018-08-20,экскаватор купить,S6a_mach_buy,14811,0.0009477539079287966
2018-08-27,экскаватор купить,S6a_mach_buy,14892,0.0009238136130403569
2018-09-03,экскаватор купить,S6a_mach_buy,15607,0.0008933346637362886
2018-09-10,экскаватор купить,S6a_mach_buy,16033,0.0008855217585719598
2018-09-17,экскаватор купить,S6a_mach_buy,16967,0.0008810409586942793
2018-09-24,экскаватор купить,S6a_mach_buy,18592,0.0009124153552380459
2018-10-01,экскаватор купить,S6a_mach_buy,17670,0.0008585126489519871
2018-10-08,экскаватор купить,S6a_mach_buy,19290,0.0009259172388407205
2018-10-15,экскаватор купить,S6a_mach_buy,18186,0.0008719560874705899
2018-10-22,экскаватор купить,S6a_mach_buy,19671,0.0009478389034728066
2018-10-29,экскаватор купить,S6a_mach_buy,19412,0.0009581899501600547
