date,phrase,group,count,share
2018-01-01,строительство домов под ключ,S1_ihb,14512,0.000987431755372639
2018-01-08,строительство домов под ключ,S1_ihb,18423,0.0010652592632973508
2018-01-15,строительство домов под ключ,S1_ihb,18584,0.0010068257645436736
2018-01-22,строительство домов под ключ,S1_ihb,18553,0.0009785761705641861
2018-01-29,строительство домов под ключ,S1_ihb,19291,0.0010210831795080335
2018-02-05,строительство домов под ключ,S1_ihb,18381,0.0009528499523054302
2018-02-12,строительство домов под ключ,S1_ihb,17999,0.0009548046707588865
2018-02-19,строительство домов под ключ,S1_ihb,18826,0.0009615529125505907
2018-02-26,строительство домов под ключ,S1_ihb,21055,0.0010401489804767218
2018-03-05,строительство домов под ключ,S1_ihb,19751,0.001070243793543614
2018-03-12,строительство домов под ключ,S1_ihb,21424,0.0010820216004511494
2018-03-19,строительство домов под ключ,S1_ihb,21915,0.001163847048702554
2018-03-26,строительство домов под ключ,S1_ihb,20252,0.001099485188699406
2018-04-02,строительство домов под ключ,S1_ihb,19301,0.0010885292497633866
2018-04-09,строительство домов под ключ,S1_ihb,18411,0.0010414901339663935
2018-04-16,строительство домов под ключ,S1_ihb,19833,0.0011102830679865499
2018-04-23,строительство домов под ключ,S1_ihb,19364,0.00107568007495177
2018-04-30,строительство домов под ключ,S1_ihb,18931,0.001198017590533226
2018-05-07,строительство домов под ключ,S1_ihb,18582,0.0011077382700398143
2018-05-14,строительство домов под ключ,S1_ihb,20225,0.0011539323991289095
2018-05-21,строительство домов под ключ,S1_ihb,18681,0.0011152888928622146
2018-05-28,строительство домов под ключ,S1_ihb,18883,0.0011239492440592255
2018-06-04,строительство домов под ключ,S1_ihb,18439,0.0010925467858393719
2018-06-11,строительство домов под ключ,S1_ihb,17721,0.0011290163042002009
2018-06-18,строительство домов под ключ,S1_ihb,17156,0.001049303621816467
2018-06-25,строительство домов под ключ,S1_ihb,16954,0.001058006645922976
2018-07-02,строительство домов под ключ,S1_ihb,18865,0.0011801793501886454
2018-07-09,строительство домов под ключ,S1_ihb,19623,0.001279915528992891
2018-07-16,строительство домов под ключ,S1_ihb,19993,0.0012761563150689402
2018-07-23,строительство домов под ключ,S1_ihb,21101,0.0013320860455921357
2018-07-30,строительство домов под ключ,S1_ihb,22840,0.0014385865146281601
2018-08-06,строительство домов под ключ,S1_ihb,21852,0.0013729724977976456
2018-08-13,строительство домов под ключ,S1_ihb,21945,0.001365719013421612
2018-08-20,строительство домов под ключ,S1_ihb,21124,0.0013517219330962055
2018-08-27,строительство домов под ключ,S1_ihb,18688,0.0011592955144035851
2018-09-03,строительство домов под ключ,S1_ihb,17371,0.000994304891636001
2018-09-10,строительство домов под ключ,S1_ihb,16537,0.0009133582811391816
2018-09-17,строительство домов под ключ,S1_ihb,18044,0.0009369660552059631
2018-09-24,строительство домов под ключ,S1_ihb,18078,0.000887190447073655
2018-10-01,строительство домов под ключ,S1_ihb,17741,0.0008619622470320998
2018-10-08,строительство домов под ключ,S1_ihb,17975,0.0008627974270690486
2018-10-15,строительство домов под ключ,S1_ihb,17148,0.0008221875611979366
2018-10-22,строительство домов под ключ,S1_ihb,18482,0.0008905474360217787
2018-10-29,строительство домов под ключ,S1_ihb,16477,0.0008133162893461376
2018-11-05,строительство домов под ключ,S1_ihb,14024,0.0007247430747686852
