region,month,index_value,mom_pct,n_deals
Алтайский край,2021-01-01,100,0,480
Алтайский край,2021-02-01,101.06392,1.0639228,720
Алтайский край,2021-03-01,102.163605,2.1636055,730
Алтайский край,2021-04-01,103.20291,3.2029107,704
Алтайский край,2021-05-01,103.58243,3.5824268,563
Алтайский край,2021-06-01,104.33826,4.338258,610
Алтайский край,2021-07-01,105.724655,5.724656,366
Алтайский край,2021-08-01,107.94792,7.947922,443
Алтайский край,2021-09-01,109.47328,9.473281,448
Алтайский край,2021-10-01,110.68873,10.688725,519
Алтайский край,2021-11-01,114.43316,14.433159,546
Алтайский край,2021-12-01,119.498085,19.498089,479
Алтайский край,2022-01-01,122.195854,2.2575827,248
Алтайский край,2022-02-01,125.69774,5.188072,456
Алтайский край,2022-03-01,130.17403,8.933981,726
Алтайский край,2022-04-01,133.69307,11.878832,153
Алтайский край,2022-05-01,137.51753,15.079272,95
Алтайский край,2022-06-01,138.14442,15.603874,129
Алтайский край,2022-07-01,137.0508,14.688692,168
Алтайский край,2022-08-01,136.07335,13.87073,261
Алтайский край,2022-09-01,138.6338,16.013414,296
Алтайский край,2022-10-01,137.52261,15.083523,274
Алтайский край,2022-11-01,139.24104,16.521572,383
Алтайский край,2022-12-01,141.20123,18.16192,549
Алтайский край,2023-01-01,141.65791,0.32342038,262
Алтайский край,2023-02-01,141.02098,-0.12765355,412
Алтайский край,2023-03-01,140.92197,-0.19778244,685
Алтайский край,2023-04-01,144.73485,2.5025373,484
Алтайский край,2023-05-01,145.91887,3.3410754,482
Алтайский край,2023-06-01,147.37006,4.3688116,452
Алтайский край,2023-07-01,149.40094,5.8071084,500
Алтайский край,2023-08-01,152.86827,8.262702,810
Алтайский край,2023-09-01,156.02934,10.5014,822
Алтайский край,2023-10-01,161.97711,14.713665,624
Алтайский край,2023-11-01,166.55022,17.952381,707
Алтайский край,2023-12-01,168.11516,19.060688,808
Алтайский край,2024-01-01,168.8719,0.45012966,208
Алтайский край,2024-02-01,172.86507,2.8253891,251
Алтайский край,2024-03-01,175.11198,4.16192,323
Алтайский край,2024-04-01,175.87358,4.6149435,330
Алтайский край,2024-05-01,176.27316,4.8526278,429
Алтайский край,2024-06-01,178.43681,6.139632,608
Алтайский край,2024-07-01,182.20476,8.380917,126
Алтайский край,2024-08-01,179.78973,6.944385,264
Алтайский край,2024-09-01,180.15604,7.162274,270
Алтайский край,2024-10-01,183.50623,9.155076,242
