GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31
Республика Адыгея;5666741;5638570;738;16081;16081;81;0;0;0;4838742;4835350;675;0;0;0;15114;15114;13;870641;846267;761;656126;2059378;370688;203974;36716;7359;326613;646772;4540;656126;15115
Республика Башкортостан;196110629;198197052;15430;289012;285961;2632;8371;6595;12;171655058;174517569;14618;3807;2224;2;11398944;11400409;224;21766992;21306969;17232;159553679;44140202;7945238;20173230;3631180;605098;3708960;17274681;450701;159556130;11398338
Республика Бурятия;11913410;11920472;1192;4990;5044;204;34;0;0;9560612;9553536;1079;0;0;0;876084;875054;89;2751282;2751508;1306;13760023;5628354;1013100;925724;166631;116071;730398;423758;3063;13760025;873970
Республика Алтай;6674609;6655945;542;486;481;21;0;0;0;6161279;6135962;502;0;0;0;146979;149482;8;706024;702600;530;1953497;3269545;588518;337135;60687;13798;514033;40710;0;1953498;149482
Республика Дагестан;10562113;10397671;1364;9217;9120;38;127;61;1;9034565;8988102;1258;0;0;0;48708;47894;11;1596318;1476274;1345;1361925;3301688;594304;591050;106390;34747;453167;429251;304;1361926;46821
Республика Ингушетия;1306326;1174467;203;2427;2427;2;0;0;0;1278398;1153548;186;0;0;0;0;0;0;196594;179680;199;20337;94106;16938;57096;10277;0;6661;0;0;20337;0
Кабардино-Балкарская Республика;7480526;7451772;799;3139;3116;42;940;940;3;6960760;7032183;752;-822;0;0;4411;4890;2;555710;484767;807;406713;1867081;336075;290005;52202;11118;272755;54728;2851;417266;4990
Республика Калмыкия;1645543;1511488;259;311;311;38;0;0;0;1262094;1129509;219;0;0;0;683;683;1;466266;466036;280;24636;179069;32233;73697;13266;711;18256;7329;0;24635;683
Карачаево-Черкесская Республика;9899264;9881787;556;914;914;21;0;0;0;9407547;9395355;511;87;87;1;9651;8787;7;513880;509516;560;183176;1824352;328384;812787;146300;4572;177512;52769;0;183175;8786
Республика Карелия;11695661;11722998;1905;31238;31054;585;959;0;0;10073245;10097449;1764;0;0;0;1064593;1064943;96;1939977;1940736;2326;16738514;3343165;601771;772547;139058;64386;398327;571675;18135;16738513;1063696
Республика Коми;37078315;37064116;1576;92015;92205;1033;13191;0;0;30118396;30113799;1446;20;0;0;5474361;5474390;51;5399941;5382760;2488;87131174;18610405;3349877;890334;160265;63641;3125971;1095805;5105;87131173;5440261
Республика Марий-Эл;20575485;20395120;1921;16323;16392;232;792;0;0;19009785;18843760;1781;167;0;0;205608;205233;29;1896740;1881804;2078;2660445;5368066;966252;2400360;432066;57393;476793;932768;153867;2656265;205577
Республика Мордовия;19893279;20020609;2184;9221;9297;266;61;61;2;17579448;17728080;2013;0;0;0;59972;74664;26;2722706;2688036;2315;2973197;13864431;2495594;5745302;1034157;79000;1382437;410568;5166;2973198;74654
Республика Саха (Якутия);23993895;23871708;1371;90014;89852;320;0;0;0;21033838;21026553;1245;0;0;0;4235244;4235203;48;4806691;4704430;1539;78806610;22654592;4077830;4303465;774622;155597;3147611;3206445;245779;78806610;4235201
Республика Северная Осетия-Алания;4861353;4849149;602;910;798;57;425;599;1;4199765;4205327;546;-628;0;0;37734;37065;21;652515;644765;631;654206;1171861;210936;149206;26860;63245;120831;17161;1056;644217;37682
Республика Татарстан;323283094;322479544;23972;544923;542969;595;34789;2266;21;285165085;285065502;23171;18644;488;4;13510116;13287707;232;34093216;33610756;23665;191446419;192618575;34671345;64726934;11650849;564126;22456370;6170384;556493;191446423;13252722
Республика Тыва;1657971;1678738;121;12873;12910;18;0;0;0;1286017;1315711;99;0;0;0;257701;257701;5;302883;293252;122;3791853;252828;45509;25523;4593;5128;35788;84427;0;3518956;257701
Удмуртская Республика;54754241;54921522;7386;78643;78536;357;938;407;6;44319238;44472753;7146;126;7;2;837750;835017;81;10442419;10396242;7529;29685898;21523899;3874301;5651779;1017322;233200;2623779;1631988;88402;29685898;834886
Республика Хакасия;11916547;11914351;999;169278;169432;176;0;0;0;11061435;11059340;883;0;0;0;1175600;1175614;19;1290456;1296411;1144;11969128;2781709;500709;712280;128210;43647;328852;220647;0;11969129;1175583
Чеченская Республика;8880828;8512066;620;2058;2057;13;0;0;0;9075079;8684447;585;0;0;0;1945;1945;1;356140;405786;599;43975;1176675;211802;281585;50684;11906;149212;58446;9064;43974;1945
Чувашская Республика;24713057;24830898;3738;28061;28202;466;15;0;0;20316969;20413244;3549;8;0;0;86940;83404;50;4600521;4623434;3982;1770460;9573349;1723204;1995376;359169;70860;1293175;628045;14720;1770220;83678
Алтайский край;54093928;54106606;9164;41464;42257;689;552;109;3;48526682;48524340;8736;92;0;0;1025558;1026027;219;6091321;6098228;9376;16812358;10926890;1966835;3792909;682722;305136;978977;2424431;259430;16812305;1010998
Краснодарский край;258112728;250770822;18488;440360;422506;1033;2831;1394;9;231437840;224104582;17458;497;497;2;12071706;12071723;316;33570984;33559107;15886;143458593;101511094;18272002;58663667;10559461;1032996;6679545;8643457;3003445;143496596;11924243
Красноярский край;162288116;162216657;13241;557215;556312;1110;8709;7938;5;127010325;127258080;12604;2571;2267;4;13761969;13766302;247;38890301;38583904;13582;221626261;69736681;12552604;24592472;4426644;984576;7141384;5036159;219736;220154989;13752564
Приморский край;81784587;81171160;8943;136182;137256;774;2001;142;3;78404187;77860894;8481;679;78;2;3221493;3224642;289;7154225;7095585;9182;67704801;43848163;7892671;15605322;2808961;288344;4795366;5188795;2054102;67684216;3212012
Ставропольский край;63165398;63330839;6527;55755;55156;367;432;175;2;57213009;57221974;6080;254;0;0;1259013;1257459;50;7969462;7937230;6633;14756293;14605259;2628947;4402961;792538;171615;1664794;2420533;1021476;14731854;1261198
Хабаровский край;63798598;63722499;5549;74579;74315;921;36851;6496;2;56083367;55989174;5237;26772;416;3;2851028;2853076;118;10129660;10060691;6142;41391081;14881754;2678718;7155006;1287901;281811;1109006;1010038;767308;41391075;2844542
Амурская область;20321759;20229596;2131;35653;35403;461;26;0;0;22993284;22939099;1972;441;0;0;1943727;1943781;72;4403061;4362587;2401;24772892;42637942;7674833;24983951;4497110;388630;2789093;29479160;2322;24616708;1943779
Архангельская область;26391173;26421278;2381;64993;61199;774;0;0;0;22401117;22427474;2177;0;0;0;1232193;1232547;55;4596599;4593104;3004;19273535;57400895;10332163;1972651;355080;3426615;6550468;2614271;1005149;19273503;1230455
Астраханская область;23856082;23842224;1588;110647;110646;173;0;0;0;13283519;13288926;1461;1022;1022;1;2034631;2036140;130;9222604;9218531;1594;37955633;4097285;737508;469370;84491;15245;637772;360464;915151;37955633;2098841
Белгородская область;84894970;85394579;8781;142154;134861;749;21994;708;7;76913270;77457697;8577;7249;3;2;2958013;2959240;131;10388293;10354769;8873;44146177;13121658;2361898;7188952;1294011;43887;1024000;29137077;264781;44096246;2956001
Брянская область;25360914;25445820;3591;97734;97392;473;341;140;2;24187678;24221616;3359;125;125;2;223922;223756;156;3171333;3222449;3783;4742041;6826115;1228698;3308800;595586;87894;545218;205910;152679;4726045;219827
Владимирская область;44948110;44875701;4785;377534;376467;601;3450;2637;7;37812821;37543338;4555;421;2;1;360057;358326;150;7890533;7918219;5207;10683888;8355667;1504021;2832343;509826;74392;919803;2724401;811842;10683886;356827
Волгоградская область;75385721;75328430;6686;115647;115440;979;10223;633;7;65742389;65758208;6192;4787;296;1;5996320;5996402;103;8420378;8352876;7383;48741916;31767806;5718208;19574665;3523439;272731;1922038;2496911;112939;48741918;5991488
Вологодская область;64247044;64114126;5912;100776;100039;498;5698;5301;3;54498157;54395945;5649;682;0;0;7246945;7248598;110;6386362;6362656;6173;60560547;319861793;57575126;298309105;53695641;99620;3779865;996827;415904;60560546;7247952
Воронежская область;104797225;98724254;12252;116270;113442;738;974;565;7;97151782;91133099;11771;77;0;0;911395;911395;123;9005551;8955190;12464;15216645;28704299;5166775;9367001;1686057;207774;3272944;1632391;388169;15194560;870836
Ивановская область;25462266;25393014;5461;31832;31812;241;672;15;2;23816220;23815853;5173;6;6;1;131562;130625;72;1940625;1875008;5501;2156373;11872428;2137037;3521904;633940;138007;1365090;659805;145333;2151225;130647
Иркутская область;109170279;109217721;8286;412328;411703;1156;333;333;1;87705911;87836999;7633;708;708;2;3998848;4004588;310;23504942;23435075;8807;70746527;21995710;3959227;7330062;1319412;288536;2351279;824772;52113;70746527;3971268
Калининградская область;50396962;50490011;3309;77475;77210;309;-599;1;1;34090321;34198591;3058;-498;1;1;466620;467466;148;17398828;17386697;3367;24658581;25508010;4591440;17363693;3125468;79028;1386944;5064008;563937;24671139;467410
Калужская область;76765030;76660308;4555;512714;511213;437;27447;753;7;67821078;67648441;4280;19579;0;0;1321409;1321443;103;9979026;9960765;4676;20368275;30384324;5469169;16406295;2953130;188546;2327493;1053134;279148;20371227;1298098
Камчатский край;9329070;9356956;712;20495;20374;68;0;0;0;8468439;8506072;629;0;0;0;638370;639565;20;1538066;1531761;707;9785865;1352975;243534;295426;53178;50823;139533;90125;560082;9741350;639565
Кемеровская область;111656156;111531660;6862;180533;180027;565;167178;9374;10;93866214;93827069;6357;185211;6643;6;15653974;15550350;109;16439855;16518948;7000;167367103;45621570;8211886;29333543;5280039;452727;2479120;3764959;38516;167367103;15517320
Кировская область;22331058;22193494;4157;102753;102636;1163;732;466;4;19365181;19233803;3942;120;0;0;249504;248131;76;3511863;3501202;5162;4296652;26735985;4812475;21691514;3904475;169984;738016;1424127;2872;4296387;247446
Костромская область;13922637;13913287;1850;43077;42873;305;597;39;1;11843032;11840153;1697;335;12;1;418854;419301;65;2033425;2032729;2070;3877341;115060991;20710979;30088314;5415895;279438;15015646;706608;583;3877163;416954
Курганская область;13588393;13668378;1727;12443;11571;228;50;50;1;12050856;12132086;1597;0;0;0;79063;78645;40;1692140;1689698;1851;1242205;3446419;620355;971428;174856;37764;407735;135710;680;1240884;78424
Курская область;34952995;35247352;3817;23672;23525;300;-121;11;1;31087423;31392751;3577;0;0;0;332465;335426;50;4775388;4762030;3869;9070745;13816542;2486981;5650495;1017090;179219;1290672;1140069;10349;9070743;329190
Ленинградская область;100666894;100617096;5577;1161577;1157351;1170;24361;23817;7;85658089;85657995;5274;880;880;2;10401562;10401999;225;18718477;18665540;6240;105210180;27755780;4996040;6144750;1106057;279885;3610098;3576890;19233628;105210952;10399101
Липецкая область;46820405;46552434;4091;215328;214842;341;68;12;1;42318654;42548055;3876;0;0;0;7028545;7222501;38;3546158;3510422;4213;64683231;8450528;1521096;5034602;906231;56217;558648;1375205;57784;64682330;7217121
Магаданская область;7706378;7698259;534;40535;40648;155;0;0;0;7681921;7675600;487;0;0;0;2567042;2567043;66;1601203;1599647;583;32552398;2502132;450384;201474;36267;29515;384602;123090;24279;32494955;2567343
Московская область;759177344;760000190;41283;3208526;3213670;3200;178401;166478;81;683223623;684519235;39613;23374;21250;18;3764954;3785038;884;89282415;88838941;42275;113271567;317290283;57112249;91281144;16430606;3623193;37058450;24060349;9936550;113198490;3639175
Мурманская область;14964970;14951355;2097;332902;331074;669;0;0;0;12020927;11945232;1960;0;0;0;1578217;1578881;30;2971207;3031635;2618;16481765;6963638;1253457;1615614;290811;147504;815142;11056315;1866723;16481763;1578777
Нижегородская область;203094176;203137512;18866;478833;505879;1062;3757;1976;17;178064941;178829234;18071;700;3;2;8991370;8991029;360;23680779;23599004;19229;78267386;76793659;13822862;24596486;4427369;1527196;7868297;16395140;29010159;78353286;8859485
Новгородская область;19357498;19458576;2147;66585;67131;228;220;0;0;16344160;16445565;2000;0;0;0;1603738;1603859;53;3004275;3003728;2203;16243842;5206105;937099;955543;171998;94322;670779;297377;77074;16270003;1601936
Новосибирская область;135185780;139488216;22575;219776;201628;780;68746;19313;29;121158669;125589589;21897;11291;3989;7;3455891;3457590;323;15726192;15728476;22395;45386215;114923936;20686303;35436708;6378620;697750;13609933;11611205;1304194;45337130;3368228
Омская область;52277190;52401927;7727;54110;54326;484;224;53;4;44492667;44605347;7373;148;13;2;731185;731228;173;8229081;8207461;7875;9498687;17755604;3196009;8562570;1541263;163460;1491286;2597593;1055982;9498687;726985
Оренбургская область;59137132;59238228;5256;81293;80356;428;1342;382;6;44018158;44133586;4813;452;121;1;2612231;2610873;115;14816465;14793876;5437;33877827;47220005;8499603;39342540;7081661;164710;1253232;504459;279506;33877827;2610336
Орловская область;16574682;16682342;2699;35554;36015;220;4636;0;0;15254613;15394134;2470;3433;0;0;34223;34112;46;2101779;2089439;2762;3308837;4853087;873557;2077610;373973;52262;447322;312022;54129;3308838;32757
Пензенская область;32809531;33017594;4227;28645;28461;349;2859;1036;9;29361313;29586297;4029;423;423;2;63022;62254;45;4530519;4515135;4388;3245583;9040751;1627336;2467269;444109;122738;1060489;537225;110869;3245583;61217
Пермский край;117874579;117674369;13847;194056;194014;1099;414;234;6;93618563;93485823;13109;420;379;2;9124309;9119341;185;21564262;21499386;14519;116538064;48234299;8682175;16709107;3007640;392488;5282047;14485733;620959;116538064;9116307
Псковская область;14127443;14026791;2501;8532;8555;300;343;60;2;12804223;12708672;2366;78;0;0;154014;152104;125;1660023;1657434;2555;4474624;4854614;873830;2941353;529442;84828;259560;53940;30597;4464453;149202
Ростовская область;155267446;155073875;15585;116896;124803;796;16067;16767;15;142109040;142014683;14690;2644;2546;4;5173238;5166458;442;17738294;17672139;15440;127028072;48235783;8682444;17797345;3203524;480146;4998774;2846503;4375465;127028069;5156139
Рязанская область;44694244;44769464;5394;34982;35078;385;1766;800;5;38812947;38908267;5129;770;656;3;606178;606832;67;6050170;6024804;5583;9087292;11823266;2128188;4058471;730524;137128;1260536;1606734;108960;9087293;605970
Самарская область;211474426;209601317;22563;323188;324575;803;15155;1118;14;182109854;180217757;21697;6576;6563;1;4784004;4777775;292;28904507;28924531;22396;71737112;154291105;27772404;43794810;7883074;979844;18909486;10128570;427663;71737110;4770262
Саратовская область;63288426;63197705;8132;108010;107925;300;1044;409;8;53942254;54040625;7726;1063;196;4;798277;798854;138;10120065;9932910;8124;14204601;15460052;2782806;6862256;1235207;254230;1293369;1603503;140602;14204599;790488
Сахалинская область;20738357;20745011;1369;835868;835415;252;1144;1;1;17951367;17958906;1244;0;0;0;674569;673741;32;6355657;6357723;1463;10146388;3414800;614664;584562;105222;129922;379520;413848;903605;10128768;673741
Свердловская область;276506370;275284511;29914;406338;402252;1867;45501;38654;35;241590464;240487727;28699;16079;13131;7;13330964;13327239;577;32162487;32096847;30730;128319887;251105167;45198928;170993656;30778856;1809810;12610262;27623176;1283249;128305941;13249235
Смоленская область;30126220;30035193;4785;85667;85194;603;27720;27322;8;27568385;27517772;4623;31306;28177;7;1913652;1917239;655;3417463;3381685;4534;22193193;8774226;1579355;3389740;610152;74550;894653;3761040;1191866;22193193;1900654
Тамбовская область;27763812;27247049;2925;42105;42167;363;38;0;0;26919206;26345568;2762;0;0;0;137144;137144;12;2648909;2613626;3129;2727426;3937942;708827;1333753;240075;75163;393589;734547;2400;2727426;136807
Тверская область;36833222;36834959;5286;49991;49102;846;2154;193;2;32662544;32668210;4877;1891;0;0;329838;329707;92;4650790;4648213;5882;5339494;7545542;1358196;2674457;481403;119539;757254;1851836;1162560;5338312;314771
Томская область;63952070;63879905;4874;43909;43927;465;1904;948;1;46888557;47412380;4628;0;0;0;494837;499171;46;16837180;16805775;5131;6003026;9921424;1785859;2217323;399121;135136;1251602;3383957;233283;6003028;495947
Тульская область;59662773;59596544;6585;114762;114765;504;6887;6946;7;55643121;55582161;6271;192;192;1;3978621;3976299;98;8447082;8444998;6829;45393527;10137223;1824702;3529973;635395;271060;918247;1201851;476299;45396479;3954620
Тюменская область;132308973;131787066;7814;2504112;2500609;575;7029;67;1;112946608;113163104;7375;5290;401;1;8122485;8121991;40;26011328;25290426;8040;65946408;52731316;9491640;18752659;3375478;767440;5348722;3563117;1596782;65952835;8118994
Ульяновская область;41060581;41076679;5312;59320;59215;442;376;0;0;37274508;37308036;5075;0;0;0;242413;242414;62;4788428;4777195;5499;6550162;11761418;2117058;4061986;731159;650499;735400;717757;2756778;6549435;235512
Челябинская область;177241811;179397740;20960;555505;654348;1010;8093;3511;34;156503309;158914028;20154;3265;1060;7;7730704;7546071;505;19306288;19387492;21127;67617341;154653861;27837698;102447658;18440578;703263;8693857;3754102;1121929;67634361;7505982
Забайкальский край;13074312;13050993;1218;54856;54704;394;0;0;1;11935277;11908995;1063;0;0;0;775188;774635;73;3076419;3075908;1461;11109830;7988735;1437974;890254;160245;31751;1245978;3751855;1555;11077814;774627
Ярославская область;60419181;60824768;9603;88225;87659;417;2835;388;5;51667550;52082345;9122;157;152;2;649558;650937;115;9598414;9595236;9701;15601325;27297148;4913486;9177876;1652019;422898;2838569;32433801;130309;15601323;648334
город Москва;4082961398;4089464955;186014;28438114;28517849;9961;567891;265631;329;3632172282;3640618931;180217;139226;55912;92;213398807;213465975;3050;495554780;494335190;183325;2372850450;32537482712;5856746893;15527734750;2794992255;42685126;3019069512;1622223459;32401452341;2369164016;212660289
город Санкт-Петербург;1175251879;1186475769;85047;3449941;3441806;3579;66592;51485;71;1061357652;1072463635;83029;17293;7598;20;27829404;27830174;1499;131363016;131583234;84433;329721313;1426431268;256757638;580134070;104424135;10226248;142107255;1543121349;42511148;329718627;27704360
Еврейская автономная область;1072006;1070904;172;1653;1655;177;1847;1478;1;973177;970446;153;0;0;0;215863;215261;12;158273;159082;325;5951081;241508;43473;45355;8164;3834;31475;27455;0;5951079;214892
Ненецкий АО;1498971;1503933;83;3877;1449;5;0;0;0;1890087;1890200;79;0;0;0;678769;678769;4;337930;340511;78;15418530;844445;151998;55458;9983;5973;136042;1607182;4791;15418530;677868
Ханты-Мансийский АО - Югра;241516113;240987105;5959;331937;341755;565;361;247;1;152495044;151874178;5503;150;150;1;14434312;14434315;28;75745325;75828772;6259;346040700;49523181;8914172;11062596;1991266;1143192;5779714;3539112;2296531;346040698;14431218
Чукотский АО;2150228;2147045;101;41096;40507;242;0;0;0;1958106;1952297;94;0;0;0;1361923;1312623;14;362397;363367;289;15510190;311765;56117;98988;17818;16521;21778;45538;0;15510192;1311296
Ямало-Hенецкий АО;170250242;170197466;1273;969034;968657;266;0;0;0;120908316;120904904;1125;0;0;0;1909015;1909015;7;68465144;68415079;1420;51542457;20608958;3709619;7611223;1370021;260707;2078891;2000020;3011;51542458;1909017
Республика Крым;33173037;31813202;4820;45144;44018;856;64;44;1;29035853;27921879;4562;0;0;0;28302;28302;13;4782752;4536821;5487;507938;12481957;2246753;3040595;547307;261619;1437827;1925707;1370;507937;28302
город Севастополь;6267579;6268983;1704;7914;8010;257;-66;2;1;5091067;5101100;1643;0;0;0;1589;1589;5;1212058;1203642;1926;86785;3781989;680761;259771;46757;29349;604655;4668982;19239;86785;1464
БАЙКОНУР;600491;589552;136;635;635;39;0;0;0;275433;299878;94;0;0;0;0;0;0;325692;290308;160;3404;280413;50474;194964;35093;23494;-8113;874;0;3404;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
