GA;GB;G1;G2;G3;G4;G5;G6;G7
Республика Адыгея;159 291;80 462;24;171 714;3;5 409;1;612
Республика Башкортостан;1 429 696;894 923;558;3 039 113;23;1 051 709;8;26 923
Республика Алтай;106 850;43 230;26;348 016;1;274;1;9 960
Республика Бурятия;329 034;73 380;38;333 420;5;18 230;2;5 140
Республика Дагестан;298 090;334 927;110;2 831 274;21;28 230;4;2 915
Республика Ингушетия;41 333;270 245;31;726 508;0;0;0;0
Кабардино-Балкарская Республика;153 031;460 400;57;497 250;3;5 865;1;11 471
Республика Калмыкия;92 296;37 161;16;50 488;32;15 174;0;0
Карачаево-Черкесская Республика;107 346;75 005;57;1 213 862;13;8 018;3;2 892
Республика Карелия;316 645;276 817;47;528 965;9;50 714;2;189
Республика Коми;385 729;160 014;77;1 926 936;2;41 710;1;2 970
Республика Марий-Эл;277 000;71 690;57;365 326;8;54 973;2;3 684
Республика Мордовия;302 280;181 024;55;557 871;10;12 867;1;75
Республика Саха (Якутия);408 600;227 395;112;1 156 587;30;56 440;3;3 158
Республика Северная Осетия-Алания;164 804;831 429;22;259 356;0;0;0;0
Республика Татарстан;1 932 109;1 027 801;362;6 470 419;18;90 132;11;25 765
Республика Тыва;69 789;49 871;24;62 897;32;40 632;5;7 772
Удмуртская Республика;668 915;302 860;147;1 479 050;12;102 572;6;24 267
Республика Хакасия;215 575;72 711;53;215 325;9;64 930;4;8 452
Чеченская Республика;113 850;143 047;56;136 993;5;9 782;2;4 473
Чувашская Республика;523 029;209 395;83;717 187;29;38 928;11;40 630
Алтайский край;1 005 472;269 815;92;1 102 913;11;34 249;2;22 206
Краснодарский край;2 646 441;1 943 657;638;5 373 905;42;330 092;6;16 232
Красноярский край;1 405 388;391 834;208;3 073 875;15;67 960;4;5 065
Приморский край;998 128;344 810;145;1 229 650;17;134 479;2;97 622
Ставропольский край;998 108;541 270;149;6 519 694;16;63 704;4;75 146
Хабаровский край;610 546;493 351;72;854 931;13;100 903;1;411
Амурская область;352 274;265 905;81;732 073;29;57 121;2;2 745
Архангельская область;441 712;223 204;45;964 773;14;289 339;0;0
Астраханская область;363 459;147 506;19;674 201;3;6 395;0;0
Белгородская область;714 559;348 760;87;1 519 127;13;62 197;6;17 566
Брянская область;456 107;210 862;74;1 333 585;4;45 783;3;6 049
Владимирская область;591 042;364 342;39;2 150 356;2;86 589;2;52 356
Волгоградская область;948 813;959 680;187;3 719 378;36;342 318;4;29 462
Вологодская область;631 560;173 727;115;1 208 808;6;49 823;0;0
Воронежская область;1 043 643;350 544;207;1 609 982;11;92 309;2;10 333
Ивановская область;482 564;90 778;91;471 566;10;13 987;1;4 822
Иркутская область;1 080 360;1 700 606;154;2 610 467;25;135 412;4;6 519
Калининградская область;625 868;203 352;18;690 283;6;13 999;2;2 144
Калужская область;479 925;278 995;60;1 099 785;2;337;0;0
Камчатский край;162 658;51 703;29;163 507;1;2 092;0;0
Кемеровская область;928 222;825 670;322;4 451 845;5;33 164;5;21 904
Кировская область;634 791;267 014;32;676 711;19;57 823;12;17 433
Костромская область;316 720;99 529;34;646 807;3;79 233;0;0
Курганская область;296 973;121 126;36;319 330;9;18 665;5;496
Курская область;456 115;414 401;80;1 431 336;13;108 982;1;300
Ленинградская область;677 169;401 430;87;2 824 141;1;6 259;1;251
Липецкая область;455 728;189 023;41;649 615;4;46 319;1;2 060
Магаданская область;87 953;109 422;14;317 051;13;29 240;0;0
Московская область;3 356 834;3 333 294;828;21 156 370;13;73 792;5;22 491
Мурманская область;294 764;814 008;46;1 019 778;7;45 100;7;10 865
Нижегородская область;1 612 957;832 796;450;5 133 728;27;214 865;6;5 266
Новгородская область;256 011;250 143;25;129 661;3;3 722;1;6 107
Новосибирская область;1 678 423;919 530;205;2 741 903;9;32 410;8;42 872
Омская область;750 890;527 097;105;3 320 683;10;38 186;0;0
Оренбургская область;699 104;189 241;116;1 533 950;24;82 332;8;23 452
Орловская область;311 278;128 859;44;317 607;5;18 045;0;0
Пензенская область;536 739;202 257;60;2 126 799;11;30 548;3;17 046
Пермский край;1 249 223;378 764;203;2 776 820;7;41 166;1;880
Псковская область;275 933;120 910;27;373 875;0;0;0;0
Ростовская область;1 792 610;1 488 897;405;3 985 262;19;90 099;1;1 487
Рязанская область;491 062;225 871;99;1 520 076;27;160 547;11;14 799
Самарская область;1 608 965;1 221 872;650;8 188 232;18;51 748;13;10 509
Саратовская область;911 680;524 677;220;2 090 562;34;69 806;3;2 852
Сахалинская область;264 760;167 491;27;851 973;9;17 208;3;210 992
Свердловская область;2 203 866;1 081 448;479;3 656 811;51;117 742;10;14 035
Смоленская область;478 146;114 087;144;883 079;23;59 722;6;27 439
Тамбовская область;399 924;194 058;74;470 118;0;0;0;0
Тверская область;621 872;258 637;103;890 268;12;18 439;3;10 773
Томская область;501 646;419 066;115;2 243 944;33;307 544;20;7 288
Тульская область;612 318;245 923;92;1 713 839;3;8 354;0;0
Тюменская область;771 943;420 877;127;1 802 011;29;172 966;20;41 162
Ульяновская область;539 677;188 630;100;887 964;22;19 851;6;8 854
Челябинская область;1 640 913;799 041;261;4 899 918;54;197 852;36;135 904
Забайкальский край;366 609;133 895;85;843 048;20;52 596;3;1 810
Ярославская область;697 545;445 627;98;827 915;8;19 979;3;1 726
город Москва;8 973 263;16 772 077;1 634;124 100 855;66;183 131;84;153 291
город Санкт-Петербург;4 049 728;1 965 492;231;16 734 728;8;29 691;5;12 914
Еврейская автономная область;55 853;30 159;7;168 810;1;4 844;0;0
Ненецкий АО;23 410;1 513 949;9;439 127;0;0;0;0
Ханты-Мансийский АО - Югра;636 408;374 750;161;3 373 963;30;115 812;6;7 516
Чукотский АО;26 452;6 168;9;3 026 361;1;1 455;0;0
Ямало-Hенецкий АО;213 293;1 417 284;101;2 777 193;7;30 280;0;0
Республика Крым;793 616;315 241;16;957 753;1;772;3;1 336
город Севастополь;203 891;31 392;14;409 891;0;0;1;2 997
