GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125
Республика Адыгея;27439096;27365847;2885;2788257;2786519;27865186;368;24038;24172;265893;8;5397313;5344552;29691958;790;14882034;14882034;74460364;2001;15539;17161;112497;32;100423;100423;602538;58;312;312;1558;3;0;0;0;0;21465;21465;109802;44;3442755;3434879;23208604;1320;553858;538253;447;1446;1897;5;718937;704610;676;25783;22879;276;136;136;5;2;2;1;103;103;10;98;43;2;0;0;0;23525663;23502552;2648;19007294;19000721;2630;703879;704236;131;9845;9958;21;463120;478711;401;19435;21178;40;3307621;3271783;1230;12341;14311;35;0;0;0;-3114;0;0;54103;52170;40;4332077;4276999;3037;14099;6581;3;1525524;5151573;1030314;102683;20537;11797;997980;6874214;1374843;372481;74497;12566;1287780;1915788;6619;1525461;48813
Республика Башкортостан;884455656;864307134;60908;22009855;21350203;213532198;4690;100125;100744;1108045;42;181960492;168203666;934497984;18646;457043483;457043483;2285234142;42724;1788617;1388318;9101185;477;3053120;3053120;18345656;809;9556;9556;67443;21;0;0;0;0;856054;843527;4381725;391;184470419;179981312;1124202872;23472;28679425;27883323;8206;1850238;1847496;177;33155390;32322390;11507;1275404;1259944;9560;5108;3886;21;337;337;6;4568;4488;58;2895441;453853;61;85;86;26;805218541;787113104;57917;573310894;561286215;57481;6226492;6241380;1004;1463933;1461605;426;30690588;29861117;8109;847323;834803;364;181204553;176434485;21666;1263089;1148888;872;1101;1101;5;100344;75734;16;51670890;52011328;581;88075771;85232195;67589;8000620;7898183;151;764560802;64139922;12827987;14767071;2953413;1644143;8230431;130748740;26149751;47028215;9405643;1711301;15032807;187282209;4834404;764309227;51838312
Республика Бурятия;58099258;57811261;4842;4386278;4382918;43829172;935;107;107;1175;9;10819705;10613713;58964133;1480;26775925;26775925;133880607;3176;10501;14331;93952;40;42747;42747;256485;78;3078;3078;16774;4;0;0;0;0;60399;61011;327641;41;13046101;12975028;80287285;1521;2688619;2675105;577;10795;18354;11;2957610;2948501;1031;73584;66947;754;259;255;15;0;0;0;84;84;12;14801;4341;5;0;0;0;52648176;52365714;4430;36208181;36244648;4361;902110;903881;136;99750;100111;28;2527953;2597119;531;97096;61011;42;13696314;12642564;1394;11885;11499;73;0;0;1;4548;4548;31;3952425;3951255;316;7735518;7661864;5297;241637;241637;22;78034542;16336873;3267375;2133115;426622;397364;2443389;18533049;3706610;2400651;480129;400057;2826424;1722137;38547;78034541;4107498
Республика Алтай;26649566;26628279;1881;3483170;3426352;34263522;244;2010;2010;22115;8;5062616;5102765;28348693;577;12369503;12369503;61848275;1282;53044;51031;334539;18;177124;177124;1062745;37;0;0;0;0;0;0;0;0;238;238;1207;8;4263023;4262840;32488239;733;1185722;1184768;330;69;69;1;1235589;1233166;483;9434;9450;114;0;0;0;0;0;0;39;39;6;5626;0;0;0;0;0;24124514;24171135;1748;18527736;18579719;1738;322513;322513;46;1986;1986;9;1168438;1166501;301;238;238;8;4098911;4095392;684;4793;4793;21;0;0;0;3206;0;0;421505;419638;45;3267883;3201170;1889;0;0;0;5671476;1708556;341712;299993;60000;5951;275761;13228970;2645795;8922061;1784414;14578;846803;223059;0;5671476;417216
Республика Дагестан;40053842;39666877;6192;1604389;1597777;15977754;535;3029;3114;34263;23;10502007;10109711;56165067;1951;22668041;22668041;113340815;4045;-91794;36954;242265;79;570872;571322;3424700;139;1556;1556;9570;4;0;0;0;0;29205;29205;148986;29;3646499;3604802;22608529;1336;1015067;951864;624;1154;14;1;1121466;1046272;871;27241;24601;145;35;35;3;0;0;0;0;0;0;3526;3518;5;-216;124;3;33307795;33167988;5798;28214839;28160737;5706;588216;572321;189;62388;62404;48;1181531;1157839;727;28953;28953;28;3183030;3134851;1113;1396;1376;23;0;0;0;0;0;0;53214;53983;36;6275105;6074873;4836;91584;91584;7;4020862;11946327;2389074;1985629;397124;640761;1351189;14213510;2842508;2052537;410507;642504;1789497;1528079;111081;4091219;49593
Республика Ингушетия;7470370;7073724;1378;64273;62744;627438;41;8;8;92;2;2737319;2340565;13003142;480;4015282;4015282;20077327;880;-2650;1118;7330;5;38182;38182;229093;19;0;0;0;0;0;0;0;0;0;0;0;1;420491;417941;2603936;134;197393;197810;97;0;0;0;197393;197810;97;28190;28187;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6968604;6598019;1264;6075290;5708058;1257;150559;158556;20;0;0;0;179381;167476;78;0;0;0;533022;533577;109;30352;30352;4;0;0;0;0;0;0;914;838;3;722212;705522;1372;9029;9029;2;30987;267897;53580;121644;24328;1161;28091;268123;53625;121644;24328;1161;28136;0;0;30987;838
Кабардино-Балкарская Республика;28391871;28114198;3659;1334974;1333055;13330543;580;28737;29404;323440;21;7643791;7438702;41326035;1075;14880837;14880878;74404301;2378;393664;344297;2257066;51;802574;802574;4815427;91;154;154;1096;3;0;0;0;0;7373;7373;37979;21;2756152;2740911;17378547;937;466406;459863;352;-55;1;2;543125;536402;511;12363;11725;144;13;13;1;0;0;0;185;185;4;1512;2487;7;0;0;0;24616451;25740774;3421;21029541;22131247;3389;632611;631666;127;12198;12016;19;561206;597416;397;7105;7105;20;2371498;2359279;783;6075;5828;24;0;0;0;23;23;2;-47773;4709;12;4162518;2699246;3646;4708;4708;4;1032258;3451039;690210;869535;173906;12524;503780;5712854;1142574;910075;182014;30974;929586;762947;1195;1032257;4710
Республика Калмыкия;7410799;7489950;952;80164;127089;1270883;134;1584;1584;17419;5;2920620;2935111;16306174;271;3644093;3644093;18220468;617;3054;2471;16194;12;3675;3675;22050;25;338;338;1688;2;0;0;0;0;3948;3948;20818;11;620890;648840;4123148;238;122694;101882;114;0;0;0;132779;123130;165;27314;27268;146;36;36;3;0;0;0;86;86;2;0;0;0;-7;10;3;5945005;6057392;820;5188206;5280637;816;5318;5318;1;0;0;0;65921;83241;89;3948;3948;11;654283;656884;206;27330;27364;14;2;2;1;0;0;0;4549;4549;4;1926831;1898690;1062;6145;6145;3;255290;727593;145518;200213;40041;1725;103752;771539;154307;202280;40454;1753;112100;36613;0;255291;4532
Карачаево-Черкесская Республика;22370662;22373711;2337;1339109;1333076;13330770;276;3944;3840;42245;13;4793583;4849994;26944385;670;12801969;12801969;64010112;1531;5934;12779;83774;45;31922;31922;191525;69;190;190;1283;1;0;0;48;0;88266;88364;474057;26;2802501;2771348;17646008;634;451707;421682;258;1276;1298;7;503361;480420;379;11292;11230;82;0;0;0;0;0;0;88;88;12;865;75;1;0;0;0;20537848;20626208;2217;16848648;16950978;2195;466897;467950;49;57776;57712;34;440077;420000;227;88266;88364;26;2619322;2624339;554;9462;9462;20;0;0;0;20;20;1;25746;25742;21;1995015;1914684;2374;136797;136688;10;1645814;760184;152036;165611;33121;16455;102460;2788939;557787;290994;58197;29013;470577;60453;0;1645814;25741
Республика Карелия;63323157;62806855;7088;1635986;1636020;16360201;677;0;0;0;1;12046165;11570478;64280438;2037;39554162;39554162;197770800;4921;14916;14589;95640;43;115180;115180;691087;110;8;8;39;2;0;0;0;0;174247;174247;905367;104;6355989;6308580;39247561;2935;1623525;1620093;1078;223898;227060;11;3434210;3433138;1576;100982;100683;1846;677;656;52;20;20;2;130;355;12;8954;1418;9;0;0;0;47417384;47028529;6710;38337918;37995708;6619;1332911;1330874;234;55105;54606;47;1321330;1322524;893;171876;171876;96;6141426;6089096;2749;62866;62801;185;0;0;2;89;146;6;2795133;2789849;321;19672256;19546669;8367;524316;525538;29;59663565;8339684;1667938;2404881;480973;125225;1061740;20709112;4141823;10379754;2075948;133917;1931958;9799344;2871797;59663566;2780200
