GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147
Республика Адыгея;19672377;19665011;2099;2664798;2668390;26683892;285;19717;19495;214441;6;33124;0;13673557;13670165;68350827;1998;30;0;130230;129675;778054;80;1100;1100;9554;5;0;0;0;0;24418;24418;122094;45;2559288;2566999;17420664;1004;418703;416100;358;13322;13322;6;559902;557481;552;12992;12981;173;0;0;0;228;228;11;150;4;1;15;15;1;16741119;16770764;1974;13362203;13388970;1951;545070;543585;97;7612;7612;15;335261;337607;301;23768;23768;40;2457143;2459163;960;9982;9982;26;75;75;1;0;0;0;33275;33258;20;3300735;3259718;2161;0;0;0;474949;373882;67;0;0;0;905918;3611754;722351;257918;51584;7242;663525;0;0;0;0;0;0;0;0;883171;176634;6105;1222;1;175411;0;0;0;0;4494925;898985;264023;52806;7243;838936;278922;16455;295377;7106;0;2;0;905919;33259
Республика Башкортостан;637805536;636894759;47308;18760460;18430725;184306049;3728;4447;4632;50969;19;3416509;0;461999679;460899660;2304593114;45845;-163168;0;5328062;5909641;35457836;834;3958;7911;72517;13;0;0;0;0;682301;671752;3358758;305;123778399;123087120;747894464;18450;20106963;20787613;7190;536734;537080;96;23997705;24598411;10717;893791;887662;5888;342;342;2;1510;1455;38;48607;4461;35;133;98;19;587500932;587047122;45164;438291590;437268032;44874;4961519;4953812;804;881924;996135;332;21133628;21955070;6961;673590;663132;288;120729747;120383862;17082;824435;829141;548;753;753;10;40527;38837;10;12654505;12654354;306;68840991;68339085;50970;0;0;0;30396489;30305670;555;6915973;7049841;108;447261134;48289641;9657927;12016219;2403244;928811;6325872;1301530;260306;139430;27886;23626;208794;24;0;46130550;9226109;24089327;4817866;16556;4391687;0;0;0;0;94420191;18884036;36105546;7221110;945367;10717559;67988481;2298706;70287187;263679;10020;29;0;447457863;12561503
Республика Бурятия;43417674;43149505;3491;3820816;3812222;38122203;682;221;221;2427;8;37010;0;26825746;26747078;133736908;3247;58;0;38789;36986;221922;60;22292;22292;113749;4;0;0;0;0;207482;207482;1037406;26;9961836;9858633;59828482;1117;2284156;2282140;476;64999;64999;7;2509452;2467052;887;66204;65309;477;0;0;0;11;138;8;3259;788;3;-10;0;1;42302021;42073337;3178;30820031;30999186;3142;453033;453110;98;43294;43239;20;2127319;2106342;426;227281;207482;26;8587267;8234059;1044;43683;29888;58;10;10;1;152;152;1;4406580;4429496;181;6291029;6182474;3646;0;0;0;9504768;9462096;301;251528;254616;9;57355652;13539425;2707887;3248959;649793;242744;1815350;2455;491;0;0;0;491;1;0;1900680;380136;5173;1034;211;378891;0;0;0;0;15440105;3088023;3254132;650827;242955;2194241;2575241;212750;2787991;0;0;0;0;57355652;4428442
Республика Алтай;17454934;17522866;1249;1730093;1760061;17600590;174;1125;1449;15936;4;314;0;12650648;12683766;63418885;1201;-412;0;84277;86667;520003;34;0;0;0;0;0;0;0;0;2618;1636;8182;7;2311590;2315319;15798636;512;655708;653999;249;0;0;0;674711;671545;372;34376;34364;76;0;0;0;121;119;6;3502;3502;2;0;0;0;15807372;15923057;1157;12612198;12724288;1152;167067;166807;26;60252;60179;7;591016;589325;213;2618;1636;7;2357328;2363929;490;16893;16893;10;0;0;0;51;51;1;227541;227541;25;2776538;2711236;1249;0;0;0;1320814;1300911;46;0;0;0;3628182;1188697;237739;140019;28001;4666;205072;0;0;0;0;0;0;0;0;9103236;1820647;2185029;437006;1852;1381789;0;0;0;0;10291933;2058386;2325048;465007;6518;1586861;237461;0;237461;1012842;155889;3;0;3628182;227541
Республика Дагестан;35711182;34928189;4764;1563524;1548650;15486528;440;2258;2940;32343;14;53586;6;28117086;28133254;140664945;4497;645147;0;1053783;1053245;6319467;104;247;247;4534;1;0;0;0;0;22434;8204;41022;22;3170637;3116650;19009549;1101;985560;969997;582;0;0;0;1079935;1056654;828;11434;11387;96;0;0;0;82;82;1;484;655;4;153;86;4;29598318;29181923;4452;25490754;25074561;4367;345245;373268;146;93406;79230;49;1111574;1096608;673;21559;7329;20;2500048;2515268;819;11001;11001;21;24657;24657;1;0;0;0;43744;47819;15;6276891;5909434;4702;0;0;0;193687;191532;81;38780;38780;4;3089662;3613438;722689;553734;110747;3058;608884;5863;1172;1424;284;1;887;6;0;215424;43085;19712;3942;383;38760;0;0;0;0;3828862;765774;573446;114689;3441;647644;157644;0;157644;0;0;0;0;0;0
Республика Ингушетия;5682976;5479467;1036;203644;201011;2010110;38;11;6;64;1;-131499;0;5094767;4850709;24253538;1004;0;0;8082;9597;57583;11;0;0;0;0;0;0;0;0;0;0;0;0;355745;267708;1609334;102;152224;150139;84;0;0;0;152224;150139;84;258;258;1;0;0;0;0;0;0;0;0;0;-3;0;0;5252280;5059489;989;4754381;4654215;980;21282;21282;10;0;0;0;94811;94568;58;0;0;0;379389;288954;76;1945;0;0;0;0;0;0;0;0;3992;3992;2;502250;491455;992;0;0;0;76648;74702;7;7769;7769;3;70825;576404;115280;529479;105896;402;8982;7410;1482;0;0;0;1482;5;0;7919;1584;0;0;0;1584;0;0;0;0;584323;116864;529479;105896;402;10566;19837;0;19837;0;0;0;0;70825;3992
Кабардино-Балкарская Республика;21641342;20903232;2704;1420471;1409620;14096200;554;10371;10385;114230;11;617199;0;15775592;15710472;78559807;2411;7297;0;376062;375612;2253156;95;-36;0;4031;0;0;0;0;0;10720;10720;53604;16;2923880;2880502;17689354;739;283379;276775;301;0;0;0;503483;497268;438;11317;10313;80;0;0;0;135;135;2;719;719;3;0;0;0;19405435;18732851;2533;16209482;15561744;2492;604912;617266;116;14204;15715;11;371846;376210;325;10394;10561;15;2182170;2139200;627;9860;9759;14;2;2;1;0;0;0;1012;1012;5;2505913;2506847;2660;0;0;0;381998;323227;63;271;271;1;1694148;4034384;806876;735536;147107;7507;652262;5462;1092;1817;363;819;-90;7;0;1665155;333031;57403;11480;15808;305743;0;0;0;0;5699539;1139907;792939;158587;23315;958005;563805;29;563834;18387;1012;10;0;1694148;1012
Республика Калмыкия;4091971;4093133;656;157525;155135;1551337;114;845;808;8887;5;-16908;0;3504117;3490400;17451995;588;-906;0;12779;11813;70879;29;-189;0;0;0;0;0;0;0;1529;1529;7648;9;324183;324901;2029419;177;91035;90562;100;0;0;0;108808;108330;138;15410;15340;86;0;0;0;135;25;2;0;0;0;0;0;0;3434506;3456710;571;3017900;3038140;563;794;794;3;5988;5988;5;87259;87326;81;1485;1485;8;299186;301081;158;14974;14974;11;0;0;0;0;0;0;3769;3769;2;1537887;1516805;702;0;0;0;861569;861628;12;1206;1206;1;76632;529566;105913;109845;21968;253;83692;0;0;0;0;0;0;0;0;28187;5637;1137;227;3;5407;0;0;0;0;557753;111550;110982;22195;256;89099;35760;0;35760;0;0;0;0;76632;3769
Карачаево-Черкесская Республика;19760207;19502676;1774;1191347;1188451;11884507;233;4480;4478;49256;9;233808;0;15567696;15535606;77674631;1635;176;0;27363;33319;199911;59;0;0;155;0;0;0;0;0;32447;32424;162122;23;2361605;2342621;14570043;518;235952;234148;201;535;535;4;345254;337407;320;8704;8704;52;0;0;0;73;73;4;8;0;0;40;40;1;17991631;17803854;1681;15072388;14922884;1655;330773;330629;35;47167;46605;24;486855;484067;200;32373;32350;22;2013151;1978396;458;8924;8924;14;0;0;0;23;0;0;7460;7460;10;1853438;1793215;1767;0;0;0;124726;98316;18;29666;29592;6;1398123;673895;134778;143666;28733;10992;95053;19345;3869;3571;714;0;3155;11;0;432886;86578;2111;423;2502;83653;0;0;0;0;1106781;221356;145777;29156;13494;178706;33866;0;33866;7320;0;1;0;1398125;7459
Республика Карелия;43943087;43768426;4915;1668525;1668561;16685620;516;45;0;0;0;165042;0;35025271;35018004;175090141;4744;0;0;159429;159110;954665;91;0;0;0;0;0;0;0;0;96420;96204;481021;78;5076592;5072915;30918236;2169;1387186;1378966;821;224194;220325;10;1751760;1740698;1324;78611;78115;1141;24;24;2;231;229;5;9812;47;3;0;0;1;35184857;34967713;4632;27709627;27577417;4580;1075818;1075966;168;84564;84477;42;1437510;1441193;723;96327;96155;78;4728154;4643265;2046;52857;49236;136;0;0;0;353;0;0;1678263;1683071;217;10912076;10912338;5589;0;0;0;3730151;3703223;415;275584;275584;20;35509509;4999045;999809;1286097;257219;116834;625756;0;0;0;0;0;0;0;0;4454498;890900;3441;689;1855;888356;0;0;0;0;9453543;1890709;1289538;257908;118689;1514112;1343331;2267052;3610383;0;0;0;0;35509507;1676945
