GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156
   Республика Адыгея;32889961;32817977;3075;3088457;3088324;30883241;418;30395;30065;330720;18;24386;23569090;23500534;117502658;2899;283;440921;440588;2643530;139;1234;1234;6170;2;0;0;0;0;35040;33885;169425;60;5025770;5025346;31876629;1505;547299;546025;631;12880;16829;6;675617;674491;946;28872;25928;215;0;0;0;603;603;14;747;747;5;0;0;0;27579270;27614797;2846;21214486;21299145;2822;981059;966852;150;13965;13077;28;757181;757425;617;35093;33487;52;4522334;4521323;1401;23551;23487;27;0;0;0;0;0;0;68117;68076;25;5952109;5810404;3158;0;0;0;642337;642649;71;13492;13626;3;2426938;1045;7058806;1411762;171544;34308;14117;1363337;5;1;0;0;0;1;1;1;708470;141695;46108;9222;7660;124813;0;0;0;0;7767276;1553457;217652;43530;21777;1488150;723649;144730;27;5;0;144725;131;0;0;0;131;24234;747883;0;0;0;0;2426938;68076
   Республика Башкортостан;1027666145;1022031858;62941;35356738;35320994;353208290;5371;6420;6764;74409;36;2723116;727788300;724274620;3622120537;60999;-34557;4671653;4977855;29867131;1028;7217;7217;64057;16;0;0;0;0;968443;964330;4821651;400;217348697;217613508;1327571579;26145;35774843;35626749;11375;1329415;1330964;106;38835601;38669172;16731;1073980;1066328;6810;56;56;1;4695;4562;52;-161400;-199964;56;1367;1367;14;948803269;943717465;60367;691099738;686739571;59939;10024154;9670689;1152;2130707;2128649;462;39901007;39845915;10925;963604;958592;385;203719432;203497398;23858;1012408;868778;682;1622;389;8;16364;15349;11;9248965;9266172;344;109680343;108832701;66892;0;0;0;39353838;38771062;674;10106683;10111205;131;496503737;22306;87697664;17539534;23117970;4623595;1580273;11335666;863910;172782;146465;29293;21499;121990;52;27;81704828;16340964;57475570;11495115;82937;4762912;0;0;0;0;169402492;33880498;80593540;16118710;1663210;16098578;118997322;23799466;650562;130113;60250;23609103;18831;62826;12565;6893;-627;3722294;122719616;161522;6955;30;16;496503737;9216147
   Республика Бурятия;59623025;59487887;4848;6259782;6205199;62051991;951;146;146;1609;3;50099;39293065;39195204;195978734;4509;-55;67290;62074;372441;88;1580;246;1232;2;0;0;0;0;320400;320400;1601998;44;11173322;11186459;68319099;1691;2071495;2077485;780;70429;148775;7;2458603;2517490;1436;20658;18903;649;0;0;0;523;523;13;5889;1182;2;0;0;0;56702705;56580893;4525;42898812;42926398;4447;753714;727448;151;89609;82489;34;2645101;2642308;728;320400;320400;44;9986148;9876540;1497;5298;4920;66;0;0;0;348;348;2;5224364;5232230;254;9633102;9456139;5123;0;0;0;11894476;11746078;402;164596;164596;12;134598274;1760;19090098;3818018;3090959;618193;326337;2873488;0;0;0;0;0;0;0;0;1664763;332952;8030;1606;268;331078;0;0;0;0;20754861;4150970;3098989;619799;326605;3204566;2477687;495538;15012;3002;0;492536;36857;0;0;0;36857;213713;2691400;0;0;0;0;134598274;5222645
   Республика Алтай;29361543;29323572;1541;3026279;3025934;30259384;234;784;784;8622;3;8097;20167068;20131728;100658662;1480;4;208314;208314;1249882;39;0;0;0;0;0;0;0;0;921;921;4605;10;4411323;4415413;30659950;641;1492589;1494812;312;0;0;0;1540666;1539132;513;28163;28163;97;0;0;0;67;67;7;2721;272;3;1182;1182;1;26018003;26048619;1435;20116811;20152918;1426;216468;215926;33;56823;56823;8;1672248;1675222;282;921;921;10;3938935;3935548;606;11262;11262;23;0;0;0;0;0;0;236177;236114;30;3943693;3865852;1519;0;0;0;859348;792926;61;773;0;0;7604965;507;1322412;264483;141399;28279;16652;219552;3150;630;3150;630;0;0;1;1;7943543;1588708;5444695;1088939;3115;496654;0;0;0;0;9265955;1853191;5586094;1117218;19767;716206;1124383;224876;62428;12486;397;211993;0;0;0;0;0;0;1124383;161805;23436;1;1;7604965;233665
   Республика Дагестан;53843357;53620176;7466;3629833;3642181;36421798;762;10892;11797;129769;24;37106;41929368;41786200;208931006;7016;-175;65182;65317;391904;124;7062;3674;32091;7;101;101;1425;1;11883;10578;52892;20;5841734;5804732;35712028;1958;1568478;1560399;1128;0;0;0;2317010;2295019;1519;44783;44353;137;0;0;0;0;0;0;395;395;3;0;0;0;45962403;45918361;6942;38118158;38166652;6831;863965;840059;263;162360;163778;66;1852235;1823774;1180;7566;6261;17;4934629;4895052;1634;22638;22506;43;0;0;0;0;0;0;46975;47470;32;9382145;9185706;7364;0;0;0;1483051;1448164;98;4361;4377;3;8646102;2590;13934878;2786975;4172946;834590;122583;1829802;28510;5702;1153004;230601;2290;-227189;21;10;3241658;648333;59051;11810;50507;586016;0;0;0;0;17176536;3435308;4231997;846400;173090;2415818;1890468;378096;49071;9814;76154;292128;13089;5818;1164;179;11746;2390372;4280840;107228;0;9;6;8646102;45469
   Республика Ингушетия;9517867;9020051;1476;191500;190544;1905440;70;6;6;65;1;110208;7939143;7570907;37850221;1416;0;216500;218117;1308704;21;0;0;0;0;865;865;4323;4;963;698;3492;2;795102;777922;4667532;205;248405;245678;162;0;0;0;264445;261733;192;730;730;16;0;0;0;397;397;2;0;0;0;0;0;0;8992080;8493188;1418;7861343;7379308;1398;54453;54453;23;0;0;0;358443;357907;150;963;698;2;716879;700822;172;0;0;0;0;0;0;0;0;0;15643;15643;4;797063;777310;1446;0;0;0;280857;257561;11;4720;4720;7;121621;560;243854;48771;86688;17338;3562;27871;79769;15954;0;0;0;15954;10;5;3299;660;27611;5522;0;-4862;0;0;0;0;247153;49431;114299;22860;3562;23009;181488;36298;0;0;0;36298;36298;0;0;0;36298;645;182133;0;0;0;0;121621;15643
   Кабардино-Балкарская Республика;30170654;29773877;3715;2681373;2667505;26676198;821;57350;57325;630574;13;66871;22943514;22632736;113163685;3221;-478;81822;88536;531216;94;0;0;0;0;0;0;617;0;29116;29116;145579;22;3257767;3244886;20206908;1095;698757;696141;528;0;0;0;1053318;1050073;735;13471;13750;115;0;0;0;580;580;4;295;295;3;0;0;0;27439607;27250507;3492;22941609;22774042;3449;641439;637880;149;63833;63833;21;777082;776897;541;22803;22803;19;3008677;2990888;893;9585;9585;15;1;1;1;0;0;0;22516;22516;9;3158501;2953021;3656;0;0;0;449392;420614;60;571;571;2;1400929;1255;6673374;1334671;1018569;203714;10907;1120050;825;165;825;165;825;-825;2;1;928562;185711;13404;2681;9253;173777;0;0;0;0;7601936;1520382;1031973;206395;20160;1293827;1125974;225196;131693;26339;13300;185557;14795;48628;9726;2640;2429;8437;1134411;57441;5305;15;7;1400929;22516
   Республика Калмыкия;5531900;5581004;921;228189;224639;2246393;171;35764;35764;393405;12;-79256;4749303;4731536;23657680;820;0;31979;27257;163539;43;-119;0;0;0;0;0;0;0;2494;2494;12469;10;429078;424942;2878889;256;119133;119038;144;0;0;0;134348;134280;184;8327;8197;129;0;0;0;0;0;0;930;0;0;0;0;0;3919270;3992891;797;3388751;3465113;786;238;238;2;16056;16056;10;133830;133572;134;2494;2494;10;372877;370638;223;4782;4782;12;0;0;0;0;0;0;3135;3135;3;2381044;2355376;1012;0;0;0;749171;749081;8;12118;12118;3;132090;344;992982;198597;215681;43136;1262;154199;0;0;0;0;0;0;0;0;63329;12666;8654;1731;0;10935;0;0;0;0;1056311;211263;224335;44867;1262;165134;48463;9693;0;0;0;9693;427;0;0;0;427;313;48776;0;0;0;0;132090;3135
   Карачаево-Черкесская Республика;25305589;25313950;2410;1686570;1685031;16850330;319;5073;5071;55780;9;-37019;19817418;19774521;98872604;2218;-309;224154;228402;1370414;71;217;217;11179;1;0;0;0;0;67578;66460;332302;15;2912479;2861197;17714984;711;586704;581356;302;276;276;2;662809;654811;502;4962;4966;56;0;0;0;52;52;7;1471;1301;3;170;170;1;22026605;22401148;2270;18164272;18526105;2242;490400;487621;48;102020;99905;36;716736;739277;320;67576;66459;14;2489218;2485400;633;3689;3689;10;0;0;0;0;0;0;3646;1345;11;3439155;3056678;2432;0;0;0;130061;137327;10;22861;22861;5;1888430;797;1127566;225514;271735;54346;10174;160994;27454;5491;3960;792;0;4699;16;5;583436;116687;67;13;1169;115505;0;0;0;0;1711002;342201;271802;54359;11343;276499;575835;115166;1097176;219435;29616;-133885;1289;6000;1200;6000;-5911;13852;589687;0;0;0;0;1888430;1345
   Республика Карелия;78840958;78838447;6393;2700932;2700836;27008356;699;16;16;174;2;31208;65391090;65434649;327173134;6175;1447;208290;207910;1247463;112;0;0;0;0;0;0;0;0;139090;108119;540596;112;8293049;8281245;50832336;2953;1627344;1655329;1205;281364;281460;16;2074578;2100722;1901;218173;117880;1473;134;0;0;1114;253;7;4963;3903;8;76;77;2;55421858;55531169;6101;42911950;43067648;6033;2295148;2295592;249;469409;469409;54;1576602;1577407;1085;138643;107672;109;7820891;7805089;2802;209214;208352;186;0;0;0;3508;3508;2;2385389;2383219;300;28000590;27791399;7172;0;0;0;6629274;6621428;572;398470;398470;24;83697120;2341;9899566;1979915;2490298;498062;356497;1125356;0;0;0;0;0;0;0;0;6062685;1212535;68077;13616;10144;1188775;0;0;0;0;15962251;3192450;2558375;511678;366641;2314131;4338502;867701;51565;10312;2189;855200;879;0;0;0;879;6918091;11256593;0;0;0;0;83697120;2374497
