GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158
   Республика Адыгея;19038684;19009172;1559;1733583;1732995;17329956;219;18131;17400;191404;7;485;13391665;13376232;66881110;1463;0;331616;338740;2032445;68;0;0;0;0;0;0;0;0;30054;30054;150272;28;2944311;2930493;18954950;795;469602;467359;359;0;0;0;586817;580749;536;7729;7729;98;0;0;0;437;437;7;472;0;0;2019;2019;2;15875550;15883092;1462;12029223;12050098;1442;412240;411444;74;6250;7138;14;450140;453131;319;29617;29617;23;2943794;2927379;747;4287;4287;15;0;0;0;0;0;0;50180;50180;14;3481002;3451811;1587;0;0;0;354693;363029;44;1309;1309;2;1061781;933;3599364;719872;113501;22700;45841;651331;1810;362;1810;362;302;-302;2;0;255732;51147;3814;763;2369;48015;0;0;0;0;3855096;771019;117315;23463;48210;699346;312505;62501;4;1;0;62500;234;4;1;0;233;1;0;0;312505;5430;0;1;0;1061781;50169
   Республика Башкортостан;586033751;582484837;29720;21596847;21571964;215691183;2678;2801;2801;30808;19;886106;405554855;402493504;2012451418;28807;0;3928821;3908559;23451348;497;6631;7004;48211;19;0;0;0;0;580451;564275;2821373;196;127052519;127296995;785072486;13054;25059916;24905037;6435;195879;182917;60;26431658;26287679;9375;764817;762978;3432;68;68;2;1092;1091;27;235154;203391;20;392;392;8;553773993;550449474;28551;397932784;394823054;28347;5043539;5043842;555;1372658;1358554;233;30768497;30733744;6074;653921;657562;196;117368322;117195113;12159;637156;632943;390;-1161;177;3;3848;279;4;11443195;11443957;143;59135287;58770246;31791;0;0;0;37248954;37168106;383;20747780;20816315;66;417905488;18245;49414216;9882841;22905497;4581099;783722;4518020;233350;46670;94898;18980;9501;18189;19;0;80019200;16003842;64236987;12847398;8836;3147608;0;0;0;0;129433416;25886683;87142484;17428497;792558;7665628;76689848;15337970;288790;57757;16324;15263889;88842;31165;6233;7245;75364;15;0;2371559;79061407;78330;0;14;0;417905488;11406656
   Республика Бурятия;37924679;37912356;2432;3617899;3616690;36166433;477;54;52;575;2;50;24278730;24261561;121307110;2249;0;74853;75317;451903;46;0;0;0;0;598;598;2988;3;74617;74617;373082;24;8232352;8261716;50233733;810;1290151;1280098;437;164556;217718;4;1646124;1622353;782;22884;22590;327;0;0;0;367;114;7;5651;1616;1;0;0;0;36728774;36643882;2303;26680631;26623551;2269;485437;485129;73;53138;53138;13;2039458;2018448;376;71237;71237;22;7345611;7353036;761;53187;39345;45;0;0;0;1504;1504;1;2351904;2369993;113;4565560;4549616;2510;0;0;0;5684726;5620141;233;152956;152956;5;75471101;1502;9477916;1895583;2214042;442809;247466;1205308;211;42;0;0;0;42;2;0;1587272;317455;2439;488;129;316838;0;0;0;0;11065188;2213038;2216481;443297;247595;1522146;1559633;311928;12019;2404;223;309301;56;109;22;109;-75;1;0;435803;1995436;0;0;0;0;75471101;2287449
   Республика Алтай;18447641;18403924;748;2007616;2004973;20049728;109;54;54;591;1;83;11898397;11886905;59434444;711;0;143203;143203;859219;29;0;0;6377;0;0;0;0;0;116;116;578;2;3321338;3320333;23370531;307;983737;980151;157;0;0;0;1072467;1043890;254;14834;14822;44;0;0;0;79;79;4;2377;2377;2;0;0;0;17518978;17510808;688;13212564;13209240;684;51809;51809;9;53708;53708;7;1267468;1265926;137;116;116;2;2926798;2923495;278;6515;6515;12;0;0;0;526;526;1;128969;128969;18;2119636;2086616;734;0;0;0;1311417;1305475;37;0;0;0;7769623;445;1002880;200574;80179;16035;10701;173838;0;0;0;0;0;0;0;0;659907;131981;162469;32494;1130;98357;0;0;0;0;1662787;332555;242648;48529;11831;272195;254268;50854;3569;714;26;50114;0;0;0;0;0;0;0;363;254631;0;0;0;0;7769623;128969
   Республика Дагестан;32079117;31765098;3833;2413150;2311101;23111005;427;19152;19213;211339;11;-3687;25076834;24909672;124548405;3594;-1151;168744;166445;998673;64;6725;4951;24791;9;6;6;30;1;24535;24532;122660;21;3254682;3246137;19856460;1058;1016880;985023;657;0;0;0;1126858;1084717;889;20303;19869;63;0;0;0;0;0;0;289;273;1;0;0;0;27263930;27087246;3602;22376426;22249104;3549;478321;482215;141;94678;94286;32;1116016;1064600;694;20007;20005;20;3173324;3171850;897;7251;7281;17;0;0;0;0;0;0;20707;23377;14;5407224;5263284;3746;0;0;0;593530;573770;60;2347;2347;1;5538953;2353;11580552;2316109;2440037;488005;92706;1735398;10939;2188;604905;120981;24;-118817;8;0;1760449;352090;4609;922;229;350939;0;0;0;0;13341001;2668199;2444646;488927;92935;2086337;1298620;259723;280276;56055;49569;154099;21436;8735;1747;392;19297;21;0;31220;1329840;7858;0;3;0;5538953;23378
   Республика Ингушетия;6615455;6178462;729;241636;242698;2426983;39;11;11;119;2;17380;5537891;5193306;25967019;685;0;123556;122400;734400;14;337;337;1695;1;262;262;1308;2;1180;1180;5899;2;448142;379707;2234756;106;234143;228531;98;0;0;0;245659;239160;122;1957;1957;9;0;0;0;1707;1707;2;0;0;0;0;0;0;6121312;5654759;698;5515359;5086436;695;51321;50966;10;547;547;1;239328;220773;96;1180;1180;2;313535;294816;86;40;40;1;0;0;0;0;0;0;7567;7555;2;574757;583164;704;0;0;0;93891;65059;6;32927;32927;4;38764;470;313071;62615;194910;38982;10;23623;28794;5759;6525;1305;0;4454;5;0;1605;321;0;0;0;321;0;0;0;0;314676;62936;194910;38982;10;23944;79013;15803;0;0;0;15803;15803;0;0;0;15803;2;0;0;79013;0;0;0;0;38764;7555
   Кабардино-Балкарская Республика;17572621;17403177;1906;1636458;1649145;16491512;493;23742;23742;261157;11;26;13227950;13078237;65391339;1594;0;52347;42312;253871;53;1126;1126;2031;2;0;0;0;0;25199;25189;125943;13;2013373;2002388;12775266;564;519815;510744;305;300;300;1;593533;582147;418;4915;4915;58;0;0;0;657;657;3;0;0;0;0;0;0;15805732;15771874;1788;12443522;12408603;1768;807631;810318;74;37273;37273;11;621412;611958;311;25199;25189;13;1868429;1876312;492;2276;2230;6;-1;0;0;0;0;0;2535;2498;7;2640748;2507802;1870;0;0;0;859288;857439;37;747;747;1;823598;1165;4539651;907932;630822;126164;7134;774634;28;6;0;0;0;6;1;0;289453;57891;9043;1809;7528;48554;0;0;0;0;4829104;965823;639865;127973;14662;823188;1793580;358715;1175120;235024;26463;97228;1211;13393;2679;0;-1468;2;0;102281;1895861;20393;1123;6;0;823598;2552
   Республика Калмыкия;3107224;3100927;471;286275;285041;2850410;96;32155;29455;320297;13;2;2409637;2409161;12045847;408;0;8844;8594;51544;30;0;0;0;0;0;0;0;0;2695;2695;13476;4;282998;281833;1870553;144;80747;80285;89;0;0;0;84619;84146;125;25617;25598;78;0;0;0;351;351;2;30;30;1;0;0;0;1799137;1800355;404;1492511;1493360;399;0;0;0;6150;6150;3;82071;82438;79;2695;2695;4;215643;215645;133;67;67;4;0;0;0;0;0;0;5373;5373;4;1404231;1391051;533;0;0;0;45006;45134;5;9548;9548;3;97286;302;581007;116202;104419;20884;438;94880;0;0;0;0;0;0;0;0;57225;11445;2066;413;0;11032;0;0;0;0;638232;127647;106485;21297;438;105912;23137;4628;0;0;0;4628;0;0;0;0;0;0;0;1320;24457;0;0;0;0;97286;5372
   Карачаево-Черкесская Республика;13819583;13867471;1187;881925;880715;8807146;159;1127;1127;12392;4;37900;10377113;10457179;52286734;1098;-38;108348;106847;640333;34;-217;0;19225;0;0;0;0;0;32219;32174;160870;5;1930671;1925254;11894532;358;416556;389389;184;0;0;0;450318;426840;286;2893;2845;32;0;0;0;92;92;5;0;0;0;0;0;0;12373843;12627528;1088;10041180;10302677;1076;190495;189684;28;37471;37352;11;388083;392939;177;32221;32174;5;1687022;1675347;316;1377;1360;5;0;0;0;0;0;0;661;661;3;1792485;1492587;1196;0;0;0;342127;248079;8;28832;28832;5;888092;705;660881;132177;182056;36411;7493;88273;12579;2516;2026;405;0;2111;7;0;308580;61716;202300;40460;201;21055;0;0;0;0;969461;193893;384356;76871;7694;109328;210778;42155;117652;23531;14422;4202;0;0;0;0;0;0;0;27027;237805;0;0;0;0;888092;660
   Республика Карелия;39935410;39716376;3164;1939168;1936953;19369530;348;17;17;191;1;37;31550838;31356857;156784285;3054;0;88046;85948;515688;50;1736;1736;10361;6;0;0;0;0;82983;82048;410242;57;5100392;5103863;31293194;1499;822325;813574;654;174732;174732;6;1173602;1150533;1030;83374;82266;718;0;0;0;107;107;4;336;57;2;220;0;0;34262245;34095353;3011;27199942;27043248;2981;1097861;1099066;123;330060;330060;30;1097112;1098521;588;82840;81905;56;4397283;4385509;1415;58074;57971;104;0;0;0;12;0;0;1946364;1944537;135;9180698;9125067;3531;0;0;0;5430377;5349812;302;250337;294588;10;70930209;2064;5256748;1051352;1799178;359836;247763;443753;0;0;0;0;0;0;0;0;3513664;702733;684249;136850;1487;564396;0;0;0;0;8770412;1754085;2483427;496686;249250;1008149;1108806;221760;19248;3849;1563;216348;2558;13856;2771;189;-402;3;0;4371044;5479850;0;0;0;0;70930209;1944537
