Республика Адыгея;12 290 210;12 285 092;834;1 400 073;1 400 351;14 003 039;117;11 354;11 354;124 889;6;0;8 611 097;8 613 765;43 068 827;792;0;159 330;159 330;955 980;29;0;0;0;0;0;0;0;0;8 563;8 563;42 816;17;1 719 073;1 715 478;11 114 510;435;358 523;355 333;214;0;0;0;380 720;376 251;314;16 862;16 862;44;0;0;0;871;871;4;0;0;0;0;0;0;9 759 976;9 745 660;788;7 653 926;7 648 267;782;205 103;205 103;34;19 354;19 354;15;370 857;366 493;210;9 947;9 947;15;1 499 380;1 495 088;403;1 367;1 367;6;0;0;0;0;0;0;20 477;20 477;4;2 664 635;2 673 662;848;0;0;0;122 409;122 239;22;4 500;4 500;6;594 704;0;2 462 389;492 477;222 203;44 442;4 250;443 785;0;0;0;0;0;0;0;0;251 362;50 272;9 655;1 931;8 315;40 026;0;0;0;0;2 713 751;542 749;231 858;46 373;12 565;483 811;282 461;56 492;3 517;704;597;55 191;9;2;0;0;0;2;1;0;0;282 461;0;0;0;0;594 704;20 478
Республика Башкортостан;383 092 568;382 602 630;14 847;12 679 393;12 667 723;126 643 891;1 309;862;478;5 257;4;1 306;259 541 952;258 972 776;1 354 350 304;14 437;4;1 423 779;1 417 989;8 779 234;283;971;739;4 762;2;0;0;0;0;636 193;631 302;3 156 509;110;85 923 765;86 046 082;525 956 810;7 081;20 107 644;20 082 028;4 249;192 525;192 525;16;22 882 951;22 862 232;5 941;278 223;266 829;1 458;0;0;0;307;307;12;4 137;907;6;260;14;3;363 752 100;363 225 812;14 304;251 515 328;250 872 138;14 204;4 821 949;4 822 124;335;946 565;950 796;187;21 305 364;21 310 891;4 050;632 207;627 175;107;84 239 993;84 358 475;6 995;188 429;183 242;171;60;60;1;255;182;2;7 060 021;7 060 010;51;35 486 250;35 521 940;15 708;0;0;0;22 897 165;22 904 681;211;5 767 644;5 763 517;94;255 503 227;0;43 450 497;8 690 099;10 015 761;2 003 150;689 688;5 997 261;0;0;0;0;0;0;0;0;63 311 677;12 662 336;55 163 091;11 032 618;4 724;1 624 994;0;0;0;0;106 762 174;21 352 435;65 178 852;13 035 768;694 412;7 622 255;17 914 017;3 582 804;193 999;38 800;10 303;3 533 701;384;77;125;25;0;52;6;0;671 097;18 585 114;28 689;589;5;0;255 503 227;6 988 270
Республика Бурятия;38 243 320;38 211 936;1 324;2 154 588;2 153 040;21 530 397;246;0;0;0;0;0;23 764 564;23 720 989;118 603 648;1 245;0;25 992;25 817;155 202;27;84;0;0;0;0;0;0;0;43 769;43 769;218 843;15;9 697 760;9 714 708;58 910 278;504;2 359 991;2 357 501;276;53 901;53 901;1;2 556 637;2 553 612;491;8 995;8 051;163;0;0;0;163;163;3;0;0;1;10;1;1;35 085 207;35 075 980;1 271;19 333 277;19 388 095;1 253;1 221 058;1 223 010;58;321 636;321 636;14;3 379 820;3 378 588;283;43 330;43 330;14;10 717 416;10 717 201;497;3 841;3 831;22;0;0;0;0;0;0;1 765 067;1 764 680;33;5 376 411;5 354 806;1 388;0;0;0;3 964 175;3 966 426;95;179 391;179 391;5;32 620 102;0;5 624 513;1 124 904;1 460 721;292 147;170 973;661 784;0;0;0;0;0;0;0;0;1 124 294;224 859;2 035;407;120;224 332;0;0;0;0;6 748 807;1 349 763;1 462 756;292 554;171 093;886 116;1 038 179;207 636;2 442;488;0;207 148;0;0;0;0;0;0;0;0;87 317;1 125 496;0;0;0;0;32 620 102;1 764 563
Республика Алтай;8 851 465;8 848 306;342;299 755;299 755;2 997 414;53;314;314;3 450;1;0;6 172 358;6 170 406;30 850 923;329;0;70 728;70 726;424 356;5;0;0;0;0;0;0;0;0;838;795;3 974;3;1 465 156;1 464 663;8 954 893;153;819 078;818 331;94;2 474;2 520;1;842 317;841 648;138;2 737;2 748;17;0;0;0;11;22;2;0;0;0;0;0;0;9 577 869;9 578 184;329;7 620 183;7 627 521;326;51 827;51 827;6;14 207;14 207;5;543 086;537 228;95;795;795;3;1 347 321;1 346 157;145;450;450;5;0;0;0;0;0;0;104 589;108 258;10;1 320 666;1 313 536;328;0;0;0;2 147 170;2 147 172;27;6 519;6 519;5;3 089 021;0;693 256;138 650;89 786;17 958;3 725;116 967;0;0;0;0;0;0;0;0;2 682 484;536 497;2 244 457;448 891;977;86 629;0;0;0;0;3 375 740;675 147;2 334 243;466 849;4 702;203 596;198 661;39 731;9 843;1 969;0;37 762;0;0;0;0;0;0;0;0;1 645;200 306;0;0;0;0;3 089 021;108 259
Республика Дагестан;24 054 790;23 891 971;1 993;1 241 497;1 233 546;12 335 464;200;22 907;22 965;252 610;6;-177;17 936 161;17 843 911;89 219 553;1 887;0;40 271;40 009;240 056;38;3 857;3 780;25 223;2;3 164;2 134;10 670;1;14 723;14 723;73 617;6;3 870 740;3 842 492;23 303 251;662;839 982;810 816;429;0;0;0;928 666;893 418;577;38 554;38 554;25;0;0;0;0;0;0;719;330;1;0;0;0;20 335 712;20 206 979;1 890;15 532 984;15 467 650;1 853;448 658;443 452;85;93 281;96 188;28;1 217 620;1 202 346;457;14 723;14 723;6;3 010 975;2 964 011;613;18 082;18 609;10;0;0;0;0;0;0;32 575;31 072;7;4 118 395;4 086 873;1 950;0;0;0;383 027;383 540;36;3 614;3 614;4;6 862 614;0;5 183 561;1 036 712;1 618 883;323 777;69 258;643 677;0;0;0;0;0;0;0;0;1 056 608;211 321;2 554;511;135;210 675;0;0;0;0;6 240 169;1 248 033;1 621 437;324 288;69 393;854 352;1 136 194;227 239;228 300;45 660;25 720;155 859;251 048;50 210;205 271;41 054;25 720;-16 564;5;0;64 975;1 201 169;13;0;1;0;6 862 614;31 072
Республика Ингушетия;3 557 379;3 343 610;340;122 515;114 707;1 146 790;22;48;48;528;2;8;2 726 534;2 602 767;13 015 823;322;0;126 386;125 971;755 825;6;0;0;0;0;0;0;0;0;5 133;5 133;25 666;1;437 467;369 260;2 272 169;77;138 089;122 099;57;0;0;0;139 288;125 715;84;606;606;3;0;0;0;416;416;1;0;0;0;0;0;0;3 390 546;3 212 788;327;2 633 932;2 481 456;323;55 832;61 426;7;0;0;0;235 512;236 173;62;5 133;5 133;1;445 287;428 600;67;0;0;0;0;0;0;0;0;0;1 829;1 829;1;332 429;297 333;333;0;0;0;166 444;166 541;8;1 002;1 002;1;121 109;0;95 718;19 144;26 508;5 301;1 258;12 585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95 718;19 144;26 508;5 301;1 258;12 585;185 359;37 072;62 539;12 508;0;24 564;185 359;37 072;62 539;12 508;0;24 564;1;0;215 329;400 688;0;0;0;0;121 109;1 829
Кабардино-Балкарская Республика;13 844 405;13 723 509;1 076;1 373 064;1 367 724;13 676 505;294;27 405;26 482;291 159;7;-27;9 702 306;9 624 936;48 116 513;911;0;19 643;19 099;114 595;30;0;0;0;0;0;0;952;0;15 263;15 263;76 316;4;2 137 841;2 106 641;13 262 246;351;537 859;533 973;213;0;0;0;568 904;563 386;295;2 758;2 758;23;0;0;0;13;13;1;1 028;1 028;1;6;6;1;12 757 527;12 654 798;1 019;9 956 465;9 913 528;1 004;168 101;165 097;33;74 450;74 450;16;732 075;726 639;238;15 263;15 263;4;1 791 521;1 758 674;341;1 146;1 146;4;0;0;0;0;0;0;2 164;2 164;4;1 666 681;1 653 689;1 053;0;0;0;574 789;579 998;34;121 423;124 646;7;686 091;0;1 977 998;395 601;169 065;33 813;5 607;356 181;0;0;0;0;0;0;0;0;258 990;51 798;3 653;731;3 653;47 414;0;0;0;0;2 236 988;447 399;172 718;34 544;9 260;403 595;160 965;32 193;14 359;2 872;4 143;25 178;4 286;857;9 590;1 918;0;-1 061;1;0;0;160 965;7 247;1 162;3;0;686 091;1 166
Республика Калмыкия;2 386 673;2 384 158;276;246 153;245 865;2 458 655;61;8 204;8 202;90 224;8;0;1 773 498;1 772 828;8 864 141;241;0;3 959;3 170;19 019;19;0;0;118;0;0;0;0;0;5 516;5 516;27 582;1;269 344;268 574;1 763 395;97;73 717;73 717;48;0;0;0;80 000;80 002;72;19 442;19 431;65;0;0;0;53;53;2;0;0;0;0;0;0;1 913 640;1 912 744;241;1 472 756;1 471 030;239;71 754;71 754;9;3 179;3 179;4;84 235;84 232;63;5 516;5 516;1;273 300;274 133;93;2 901;2 901;3;0;0;0;0;0;0;2 673;2 673;1;680 823;679 145;355;0;0;0;178 486;178 486;6;36 164;36 164;2;124 728;0;1 009 576;201 915;470 359;94 073;14 996;92 846;0;0;0;0;0;0;0;0;248 130;49 626;0;0;0;49 626;0;0;0;0;1 257 706;251 541;470 359;94 073;14 996;142 472;279 109;55 821;150;30;229;55 562;0;0;0;0;0;0;0;0;7 354;286 463;0;0;0;0;124 728;2 673
Карачаево-Черкесская Республика;9 517 121;9 505 561;599;723 736;716 820;7 168 198;84;51;51;561;1;12;6 311 937;6 319 429;31 718 439;557;0;8 409;7 400;44 400;19;22;22;130;1;0;0;0;0;23 523;23 451;117 099;5;2 061 419;2 059 981;13 230 162;210;339 303;329 211;116;0;0;0;388 034;378 417;181;1 566;1 566;17;0;0;0;13;13;1;0;0;0;0;0;0;8 580 302;8 552 012;551;6 118 395;6 092 435;546;144 693;144 693;17;56 421;57 038;9;382 594;372 573;116;23 492;23 420;4;1 853 799;1 860 945;203;908;908;5;0;0;0;0;0;0;1 137;1 137;3;1 000 603;1 017 333;601;0;0;0;60 845;60 845;5;25 966;25 966;3;591 782;0;435 156;87 032;35 329;7 066;1 723;78 243;0;0;0;0;0;0;0;0;42 624;8 525;0;0;11;8 514;0;0;0;0;477 780;95 557;35 329;7 066;1 734;86 757;447 998;89 599;118 967;23 793;322;65 484;0;0;0;0;0;0;0;0;0;447 998;0;0;0;0;591 782;1 137
Республика Карелия;25 148 029;25 172 193;1 521;1 365 983;1 364 925;13 649 252;168;11;11;118;1;0;19 231 388;19 262 386;96 311 915;1 472;0;41 775;41 775;250 648;26;0;0;0;0;0;0;0;0;25 894;25 894;129 472;34;3 287 273;3 282 579;20 120 024;762;1 124 077;1 121 983;358;3 139;3 141;3;1 195 700;1 194 624;563;38 562;37 573;380;0;0;0;46;46;2;22 033;0;0;0;0;0;20 692 856;20 732 149;1 448;15 531 343;15 493 642;1 431;124 098;123 904;39;149 171;149 171;21;1 195 774;1 202 020;337;25 252;25 252;33;3 648 844;3 712 086;757;25 751;25 739;49;0;0;0;-25;0;0;65 948;63 744;32;5 814 356;5 798 352;1 782;0;0;0;1 359 807;1 379 902;105;247 323;247 323;15;15 697 946;0;4 914 311;982 863;749 520;149 903;98 034;734 926;0;0;0;0;0;0;0;0;1 335 507;267 101;464 545;92 909;27;174 165;0;0;0;0;6 249 818;1 249 964;1 214 065;242 812;98 061;909 091;527 203;105 440;11 436;2 287;2 704;100 449;0;0;0;0;0;0;0;0;1 643 288;2 170 491;0;0;0;0;15 697 946;37 361
