"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195"
"Белгородская область","312129599","311858797","15475","658662","658662","13173686","681","15123","15123","317328","20","41261","41261","589444","17","0","0","0","0","0","0","0","0","71828481","71760697","717576517","2293","10493","9487","104362","13","106","177302141","176936754","884715182","14053","0","0","0","0","0","1859896","1916082","11498674","222","9407","9407","65501","5","0","0","0","0","512833","511955","2559777","141","44214626","44311401","315154827","7554","15047114","15043761","4129","5762","5762","11","15706810","15696675","6167","154582","152485","656","4","4","1","3738","3738","16","4943","5186","8","20279","1362","11","5","5","1","276278711","276094321","14580","204892845","204800618","14366","14244955","14240909","560","1289791","1245693","439","12176321","12109420","3600","509372","508430","134","43032040","43050204","7140","138496","137654","107","1424","1424","1","-151","15","1","600223","550184","48","52465077","52364092","15545","0","0","0","0","0","0","16939690","16898942","325","2091366","2091562","167","143345944","0","19310325","3862066","2025710","405144","381200","3075722","12754","2551","27","5","0","2546","4","0","24336844","4867368","104552","20910","7252","4839206","0","0","0","0","0","0","0","0","0","0","43647169","8729434","2130262","426054","388452","7914928","2406287","481257","93547","18709","1989","460559","102436","20487","18490","3698","795","15994","8","0","1664143","4070430","0","0","0","0","143345944","539777"
"Брянская область","142470981","142203546","6802","488894","488894","9777880","507","20109","20109","422292","40","33246","33246","474941","9","3578","3578","54699","1","0","0","0","0","17976892","17807248","178072468","1085","4270","4270","46970","9","0","81654203","81591172","407955861","5953","0","0","0","0","0","963801","966034","5796203","143","0","0","0","0","0","0","0","0","492230","490572","2452861","66","32515411","32499914","219250672","3368","7569743","7573834","1384","123882","123657","6","8318315","8298476","2329","138819","138606","415","0","0","0","606","606","15","12357","12188","10","16754","15386","11","4","4","3","120145092","120121343","6117","77693886","77674735","5987","2047708","2041511","235","3750588","3753589","588","6319179","6314782","1214","492242","490584","67","29702817","29708626","3049","137719","137471","114","0","0","0","0","0","0","327523","327611","116","26157270","25941619","6885","0","0","0","0","0","0","3974642","4009779","224","1344896","1350184","68","23596283","0","14212827","2842563","2225539","445105","383944","2013514","0","0","0","0","0","0","0","0","14663043","2932608","34950","6989","2852","2922767","0","0","0","0","0","0","0","0","0","0","28875870","5775171","2260489","452094","386796","4936281","2113704","422742","22532","4506","15755","402481","0","0","0","0","0","0","0","0","192757","2306461","0","0","0","0","23596283","323948"
"Владимирская область","203175002","203112238","9885","765153","765153","15303059","815","11025","11025","231515","39","37099","37099","529989","16","0","0","0","0","0","0","0","0","21189403","21188576","211885755","1132","3765","3765","41415","6","3","135371420","135341237","676706185","8695","0","0","0","0","0","835944","836394","5018364","191","0","0","0","0","0","0","0","0","224426","224302","1126770","101","38836771","38833450","242735949","5366","5207048","5184306","2345","2788","2788","16","5900060","5871302","3680","884978","882599","579","0","0","0","597","597","14","2404","2404","6","6857","5141","20","0","0","0","169917638","169940567","9006","109098273","109167406","8787","18366820","18378972","443","722739","722603","311","5697546","5688757","2041","225089","223843","96","34979849","34934093","4968","831609","829181","121","0","0","0","1","0","0","137788","139214","60","37424061","37338503","10104","0","0","0","0","0","0","3367572","3373092","185","378724","379010","125","29368507","0","21246537","4249309","4918490","983697","318816","2946796","204","41","12","2","0","39","2","0","4870228","974044","413277","82656","5575","885813","0","0","0","0","0","0","0","0","0","0","26116765","5223353","5331767","1066353","324391","3832609","9728078","1945616","322801","64560","11920","1869136","2662","532","0","0","5","527","4","0","3039071","12767149","0","0","0","0","29368507","136565"
"Воронежская область","396622858","395143456","25300","1498521","1498521","29969887","1424","14905","14905","311664","46","133248","133248","1903557","34","0","0","0","0","0","0","0","0","59523260","59425994","594262993","3748","2789","4026","44283","12","131","223767803","222511126","1112553560","22588","0","0","0","0","0","2053289","2046977","12281747","397","0","0","0","0","0","0","0","0","248787","248803","1244016","122","87097880","87083526","588347553","12881","19691187","19604563","6640","20470","20470","14","22402101","22296045","9491","168024","166395","739","0","0","0","1889","1851","12","4038","4027","26","4834","4261","19","0","0","0","347148961","346133445","23400","244090763","243049846","23000","7413040","7414191","648","1489396","1491508","568","22027594","22088291","5893","169031","169013","117","71781097","71683010","12053","171205","156673","166","0","0","0","0","0","0","528062","528062","71","60256421","59783687","25290","0","0","0","0","0","0","11052641","11046149","237","1380681","1380098","252","59412156","0","71621323","14324267","11476438","2295285","1208317","10820665","0","0","0","0","0","0","0","0","142274640","28454928","117706716","23541344","4413","4909171","0","0","0","0","0","0","0","0","0","0","213895963","42779195","129183154","25836629","1212730","15729836","8472946","1694589","105641","21128","18524","1654937","0","0","0","0","0","0","0","0","1162347","9635293","0","0","0","0","59412156","525136"
"Ивановская область","97630844","97537116","10310","1130185","1130185","22602127","976","31516","31516","661721","59","85295","85295","1218509","30","10595","10595","161946","1","0","0","0","0","4539577","4538959","45390070","1069","21181","21181","232988","10","2","74209800","74246313","371262671","9026","0","0","0","0","0","259697","258449","1550694","190","14566","14566","69296","5","36","36","180","1","198609","200911","1004574","38","14049561","13933423","86448082","4531","2699678","2697687","1884","51769","51720","6","3101544","3087004","2941","153555","153050","265","0","0","0","861","861","11","0","0","1","4938","476","10","0","0","0","83409106","83675746","9269","55905564","56122802","9085","9728543","9736087","597","836984","835154","219","2874033","2937408","1712","198538","200841","36","13774793","13749739","4136","109098","108568","57","0","0","0","738","738","2","139807","138714","24","15139873","14787312","10332","0","0","0","0","0","0","890443","891898","93","199637","199801","73","9210941","0","13071202","2614238","2338602","467720","289458","1857060","0","0","0","0","0","0","0","0","5354371","1070874","311695","62338","40784","967752","0","0","0","0","0","0","0","0","0","0","18425573","3685112","2650297","530058","330242","2824812","1719767","343953","484899","96979","710","246264","0","0","0","0","0","0","0","0","25672","1745439","14353","0","4","0","9210941","137221"
"Калужская область","291671647","290139621","10488","599598","599598","11991961","630","11475","11475","240974","28","69613","69613","994472","19","196","196","3001","1","0","0","0","0","20635534","20629908","206299081","947","1450","1450","15949","2","62","180992421","180979245","904896226","9439","0","0","0","0","0","2916106","2913396","17479838","148","0","0","0","0","0","0","0","0","130651","133647","675542","72","69626381","68161501","418046633","5721","15622724","15582083","2709","23492","28532","8","16688160","16639526","3910","291974","292097","498","4389","4389","2","539","539","15","25844","25840","21","10504","9886","30","0","0","0","256136180","254807369","9467","147981487","148310323","9233","27454118","27440552","532","1667741","1672678","338","16505653","16533397","2337","130016","124923","71","62127235","60457358","5459","269930","268137","188","0","0","0","0","0","0","467797","467906","45","39803384","39578970","10558","0","0","0","0","0","0","4440247","4367462","212","982522","985822","141","26631233","0","29864781","5972957","5176494","1035298","377325","4560334","15013","3003","0","0","0","3003","2","0","1963589451","392717890","1926576740","385315349","45507","7357034","0","0","0","0","0","0","0","0","0","0","1993454232","398690847","1931753234","386350647","422832","11917368","5346119","1069224","157055","31411","14251","1023562","55609","11122","27838","5568","0","5554","4","0","632948","5979067","8944","0","1","0","26631233","464195"
"Костромская область","69939753","70028789","4616","536833","536833","10741461","514","9933","9933","208597","23","29498","29498","421397","10","7","7","110","1","0","0","0","0","4267964","4268192","42681930","580","2998","2998","32976","3","1249","54671699","54662965","273310021","3955","0","0","0","0","0","131250","131189","787264","71","0","0","0","0","0","0","0","0","98172","97314","486570","50","8659169","8758365","54192802","2246","1145244","1144755","923","0","0","0","1531446","1530693","1649","38080","35248","320","0","0","0","91","91","5","202","202","4","6115","6115","11","-18","0","0","57365849","57484545","4088","45472020","45511861","3972","1637743","1637750","154","661527","662470","121","1133886","1134296","816","95959","96995","49","8286096","8385722","2007","58477","56108","51","316","316","4","0","0","0","28998","29005","16","13324502","13291726","4801","0","0","0","0","0","0","718947","718957","59","40503","40356","45","281550208","0","16222120","3244424","8502495","1700501","94874","1449049","0","0","0","0","0","0","0","0","1309029346","261805869","1255433657","251086732","83947","10635190","0","0","0","0","0","0","0","0","0","0","1325251466","265050293","1263936152","252787233","178821","12084239","6427067","1285414","3462","692","0","1284722","4","1","0","0","0","1","1","0","784338","7211405","55540","0","2","0","281550208","27566"
"Курская область","131544457","131624390","7205","428996","428996","8579084","429","23860","23860","498649","32","18469","18469","263845","6","80","80","1220","1","0","0","0","0","30259677","30256518","302565682","1589","14830","14830","163126","11","1","68897980","69061737","345314582","6095","0","0","0","0","0","540875","536805","3220942","107","169","169","8067","2","-36","0","0","0","204106","204412","1022061","62","23790959","23752076","167681087","3440","7002973","6960086","1567","-32","0","0","7361551","7323904","2473","50486","43671","382","0","0","0","178","178","9","4350","4350","4","-1221","3325","11","0","0","0","120238769","120478239","6565","86799337","87131455","6459","4036083","4039040","177","544630","547655","217","6467051","6452575","1428","206327","206577","64","22154684","22074534","3142","37543","34341","74","1","1","1","-1576","25","1","581159","580659","18","18783138","18643259","7197","0","0","0","0","0","0","7992993","8015483","257","611254","610398","77","53223899","0","16218127","3243627","2584929","516985","358397","2368245","0","0","0","0","0","0","0","0","3209023","641804","106403","21281","1665","618858","0","0","0","0","0","0","0","0","0","0","19427150","3885431","2691332","538266","360062","2987103","1954863","390973","6845","1369","2722","386882","0","0","0","0","0","0","0","0","450404","2405267","0","0","0","0","53223899","510218"
"Липецкая область","225905559","225106457","9713","403417","403417","8061604","481","19829","19829","415261","27","31574","31574","451052","13","0","0","0","0","0","0","0","0","33931220","33904958","339046180","1295","19099","16638","183015","12","1","137108542","136835914","684182148","8722","0","0","0","0","0","1047138","1043988","6263928","147","1796","1796","155857","3","0","0","0","0","105639","105145","525725","110","42685540","42297781","277696315","4503","9984691","9881519","2460","6830","6830","4","10567004","10447266","3678","586069","581458","466","0","0","0","130","130","6","17487","17394","7","1562","1562","4","1435","1435","1","232112447","231663315","8981","169681948","169286839","8836","10096237","10163943","276","1195131","1195769","210","9806976","9847135","2168","105740","103642","106","40644350","40483734","4167","608771","608455","144","0","0","0","0","0","0","19178","19178","14","28787904","28509925","9756","0","0","0","0","0","0","34399237","34481137","148","5869799","5868057","130","232920015","0","15656028","3131206","3915577","783118","185832","2162256","4545","909","1344","269","38","602","5","0","4249252","849851","15629","3126","3871","842854","0","0","0","0","0","0","0","0","0","0","19905280","3981057","3931206","786244","189703","3005110","2004207","400842","107325","21466","61","379315","57945","11589","58","12","0","11577","5","0","292943","2297150","12078","0","6","0","232920015","18943"
"Московская область","3640921564","3636700700","100271","7997274","7997391","159939691","7707","230872","230854","4846251","364","775814","775815","11083072","276","2319","2319","35444","6","0","0","0","0","223160955","222682922","2226829176","7722","4934","6026","66284","27","232317","2477619731","2466150374","12330751873","89175","113","0","0","0","0","11349555","11352451","68114708","1127","24915","24915","220796","13","26219","26219","152422","11","1559006","1550177","7752099","459","762378914","761364154","4720987228","59327","138734431","137550853","26278","9042057","8964339","89","155603322","164586373","37071","5760438","5717525","3631","86094","86094","9","5419","5417","65","183259","141997","167","1552188","1295248","176","3260","3260","14","3163705240","3161718080","91554","2046573477","2046595858","88869","215925330","215711660","7434","50777837","50860336","3400","157251475","156640715","22612","1559809","1540197","454","686455437","685291026","55624","5300149","5186826","1281","9164","10028","10","573368","483980","24","24109749","24212427","661","557202151","554676300","100502","0","0","0","0","0","0","96829322","96856732","1017","10980727","12300475","1140","830282610","0","1013542210","202708436","175755601","35151120","14187028","153370288","67095","13419","86095","17219","79","-3879","36","0","484564588","96912918","230156486","46031298","784472","50097148","0","0","0","0","0","0","0","0","0","0","1498106798","299621354","405912087","81182418","14971500","203467436","346498072","69299613","6029325","1205865","429401","67664347","980030","196006","27741","5548","191","190267","24","0","86772529","433270601","579565","17894","58","0","830282610","23297791"
