"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200","G201","G202","G203","G204","G205","G206"
"Республика Адыгея","68111672","68067105","4648","950879","950879","19018193","752","36231","36231","759246","43","109989","109989","1571267","34","0","0","0","0","0","0","0","0","7248735","7247001","72470001","633","62077","62077","682846","17","50","46051152","45975868","229879419","3579","0","0","0","0","0","659007","658979","3953876","129","2406","2406","12036","4","0","0","0","0","72680","75562","377811","58","9702017","9658737","66424208","2312","3030716","3028366","980","0","0","0","3218854","3291731","1482","24771","24711","141","0","0","0","1113","1113","16","60","60","2","239","239","4","1","1","1","56399163","56518143","3887","37965076","38121866","3682","5430113","5434910","139","531849","531849","71","3693193","3692396","890","72278","74515","53","8693113","8645042","2080","17561","17561","31","4","4","1","0","0","0","96044","96044","24","14578693","14414296","4685","0","0","0","0","0","0","2909710","2910201","93","106091","105558","65","3213317","0","19499904","423703","3921166","2588887","517776","36282","3367108","0","0","0","0","0","0","0","0","0","0","1697661","2852","339674","39885","7977","30405","301292","0","0","0","0","0","0","0","0","0","0","21197565","4260840","2628772","525753","66687","3668400","765542","1037440","204980","34714","6942","2166","195872","6128","0","1226","0","0","0","1226","8","0","0","0","765542","1037440","0","0","0","0","0","0","3213317","13010","95905"
"Республика Башкортостан","1538079233","1527812506","65781","5016083","5016083","100323752","4781","134721","134721","2829165","271","464835","464835","6640493","156","13452","13452","205622","7","0","0","0","0","61346833","61347217","613474513","5935","28154","28154","309703","52","473","1037356781","1027343345","5149746959","58409","15","0","0","0","0","6700911","6678690","40071860","1099","34148","34148","276903","9","83","83","501","1","2101639","2094792","10473972","349","344971755","345030832","2110533896","31432","75739301","75361233","17728","550019","550604","52","79974544","79661707","25395","876478","825353","5374","0","0","0","3546","3492","39","6436","6436","8","366230","358082","93","269","274","4","1384117660","1376476198","60061","961697180","954199180","58727","15523185","15773382","1378","3053233","3056176","679","78944845","78856734","15821","2102076","2096575","337","322235660","321913954","28841","691966","635450","688","3964","5322","5","2593","2593","10","23298796","23311261","191","197778078","194819992","68815","0","0","0","0","0","0","65268350","65089502","559","16482987","16453886","631","776201927","0","175916824","9159934","35641360","41096284","8219254","4192181","23229925","0","0","0","0","0","0","0","0","0","0","53913443","210948","10793236","18844665","3768933","19194","7005109","0","0","0","0","0","0","0","0","0","0","229830267","46434596","59940949","11988187","4211375","30235034","57789843","287471","11572340","1511553","302311","-655","11270684","0","0","0","0","0","0","0","0","0","0","2067359","59857202","449303","0","0","0","0","0","0","776201927","275557","23140921"
"Республика Бурятия","128909429","128718548","9052","3628279","3628279","72567048","2963","109748","109748","2303590","137","219122","219122","3130317","64","2","2","33","1","0","0","0","0","10511243","10507556","105076906","1301","1060","1060","11662","2","9","79743580","79714220","398568242","5568","0","0","0","0","0","73069","77927","478412","115","0","0","0","0","0","0","0","0","258308","258308","1291542","52","21825130","21672833","134632821","2979","11077136","11066409","1135","461113","461113","13","12539879","12529484","2277","31921","31743","604","0","0","0","297","297","9","0","0","0","4583","29","4","0","0","0","119485249","118720352","6691","83135095","83239666","6258","1782080","1785739","247","357005","357005","48","12059624","11301385","971","257856","257856","50","21880544","21765542","2485","12126","12126","77","0","0","0","-127","1","1","6555439","6557561","66","22710833","22510557","9187","0","0","0","0","0","0","19761214","18996746","347","521176","777404","60","137052291","0","39577802","4511607","8141143","7514775","1502954","1110056","5528133","0","0","0","0","0","0","0","0","0","0","18574270","161948","3722952","33343","6669","14543","3701740","0","0","0","0","0","0","0","0","0","0","58152072","11864095","7548118","1509623","1124599","9229873","2749309","318279","565776","137106","27421","168","538187","0","0","0","0","0","0","0","0","0","0","40440","2789749","327935","29586","0","0","1","0","0","137052291","275690","6552058"
"Республика Алтай","39542866","39533352","1998","364615","364615","7292236","345","7004","7004","147082","22","61079","61079","872555","15","8","8","117","1","0","0","0","0","1471574","1465666","14655926","280","59","59","634","5","0","26923937","26915648","134578303","1559","0","0","0","0","0","130728","130837","785011","34","0","0","0","0","289","289","5922","2","9993","9993","50034","18","8124698","8131357","49865331","780","2391424","2390362","394","0","0","0","2448080","2445995","650","31236","29205","64","0","0","0","13","13","2","0","0","0","3903","3903","4","1092","1092","2","39190418","39314185","1592","28955834","29092137","1514","187200","187200","25","65183","65183","16","4490748","4489995","345","6474","6474","13","5474662","5474025","671","26596","15449","24","0","0","0","0","0","0","630733","626506","41","6942529","6861810","1941","0","0","0","0","0","0","7169349","7223318","97","142019","142507","45","17284218","0","2919073","202573","593943","450505","90101","41325","462517","0","0","0","0","0","0","0","0","0","0","2185563","482","437137","37884","7577","1132","428428","0","0","0","0","0","0","0","0","0","0","5104636","1031080","488389","97678","42457","890945","1925192","75351","388807","100630","20126","769","367912","529","0","106","0","0","0","106","2","0","0","2356472","4281664","76051","71137","0","0","1","0","0","17284218","1010","626503"
"Республика Дагестан","113392995","112440478","12627","3098520","3098459","61969178","2907","183400","183400","3851410","215","99068","99068","1415250","33","0","0","0","0","0","0","0","0","7438405","7313106","73131056","1175","24551","88031","968340","40","36","79927717","79624088","398120436","8870","0","0","0","0","0","366494","333692","2002151","214","24366","22617","157145","16","2556","2115","11195","5","85071","85071","426335","44","16537867","16175869","101169070","3645","5162025","5019961","2014","0","0","0","5632488","5443632","2797","131256","116724","176","0","0","0","0","0","0","16","16","1","930","277","5","1197","1205","16","94737088","94487107","9627","72694990","72775815","9253","1756595","1749323","311","304065","307398","95","6473736","6402472","2048","82930","82930","40","13337638","13077423","2996","76072","73638","57","355","355","1","0","0","0","70487","70581","26","20653839","20160934","12679","0","0","0","0","0","0","1941081","2105226","46","665308","642136","55","20342524","0","40544347","3535781","8285659","13144885","2628973","1085152","4571534","183469","0","36694","540080","108016","80517","-151839","11","0","0","1063566","6454","213035","471030","94206","1441","117388","0","0","0","0","0","0","0","0","0","0","41607913","8498694","13615915","2723179","1086593","4688922","2124972","111425","430565","119772","23954","680","405931","250597","0","50119","66055","13211","515","36393","26","0","0","154488","2279460","111544","8218","0","0","5","0","0","20342524","30508","70581"
"Республика Ингушетия","15822775","15501688","1955","221570","221570","4412540","202","7870","7870","165277","6","12680","12680","181141","4","0","0","0","0","0","0","0","0","980091","979651","9798746","133","79","126","1391","4","0","10760020","10528397","52687379","1615","0","0","0","0","0","486800","486724","2920343","43","45196","45196","331042","6","0","0","0","0","12989","12989","64944","4","2447604","2393094","17518706","487","872096","837648","301","0","0","0","893010","858550","402","1869","1865","19","0","0","0","411","411","2","0","0","0","0","0","0","63","37","2","13917080","13670992","1718","10928791","10755277","1664","102209","111076","30","5779","5779","2","875171","870933","283","12989","12989","4","1990678","1913474","380","679","679","1","0","0","0","0","0","0","16352","16346","5","2049148","1986235","1926","0","0","0","0","0","0","158275","169980","15","15098","13186","6","516701","0","666345","60202","136280","239352","47870","2870","85540","15329","0","3066","0","0","0","3066","3","0","0","26","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","666371","136285","239352","47870","2870","85545","408692","0","81738","61002","12200","0","69538","206072","0","41214","0","0","0","41214","4","0","0","385","409077","0","8139","1734","0","2","1","0","516701","2552","16346"
"Кабардино-Балкарская Республика","54945073","54767063","5635","402132","402132","8042690","422","26351","26351","552471","45","45800","45800","654280","24","0","0","0","0","0","0","0","0","7366742","7340804","73360377","1479","11537","11537","126906","25","-8","37410047","37306584","186579095","4293","0","0","0","0","0","122685","121159","726956","111","0","0","0","0","3764","3764","33883","1","34021","34021","170104","11","7014460","6988356","45615390","1778","2181106","2162289","1073","0","0","0","2510967","2489884","1457","21462","21462","66","0","0","0","1604","1604","6","6868","6868","4","1809","1809","7","1","1","1","47330837","47411448","4836","38163850","38285927","4709","877445","875151","139","108833","106705","47","2558392","2546945","1052","34009","34009","10","5583566","5557810","1450","7358","7358","10","0","0","0","0","0","0","6365","6365","17","9089131","8754544","5573","0","0","0","0","0","0","1439195","1363280","87","202724","202748","48","3101275","0","12132557","1619101","2507465","1760611","352124","201351","1953990","9026","0","1805","9246","1849","1444","-1488","5","0","0","1013374","0","202675","16931","3386","16335","182954","0","0","0","0","0","0","0","0","0","0","13145931","2710140","1777542","355510","217686","2136944","1244092","0","248818","38686","7738","455","240625","0","0","0","32819","6564","0","-6564","0","0","0","1760","1245852","0","6551","0","0","2","0","0","3101275","0","5527"
"Республика Калмыкия","35982692","35936268","15510","16857064","16857064","337121220","12760","582197","582197","12224483","622","1142748","1142748","16327076","322","12835","12835","196188","9","0","0","0","0","1545249","1549141","15488139","581","66702","62184","684372","21","0","12733717","12698725","63504056","1852","0","0","0","0","0","55684","55698","334190","65","0","0","0","0","3891","3891","76607","3","5931","5931","29642","10","2443774","2432622","29968317","3643","500470","500468","354","0","0","0","536823","537153","675","64076","60248","265","0","0","0","496","496","14","2004","2004","5","303","303","12","0","0","0","13249894","13238862","7345","9832097","9818119","6217","920409","920847","92","80546","80546","37","616465","618031","332","5928","5928","9","1787074","1788104","2498","7289","7286","30","0","0","0","0","0","0","4451","4451","11","23098653","23058519","15806","0","0","0","0","0","0","232599","231001","17","317049","317049","17","1355635","0","13035838","8639508","3039142","3283420","656683","183369","2199090","4","5","1","0","0","0","1","1","1","0","475257","435644","116834","43518","8704","194","107936","0","0","0","0","0","0","0","0","0","0","13511095","3155976","3326938","665387","183563","2307026","3439667","1921900","784029","394548","78909","80175","624945","0","41221","2061","386","77","0","1984","0","13","0","15228","3454895","1934745","0","2825","0","0","2","0","1355635","195324","4452"
"Карачаево-Черкесская Республика","36276170","35876189","3335","573213","573213","11462356","575","50514","50514","1060804","52","44047","44047","629237","11","11283","11283","172469","2","0","0","0","0","3263998","3250326","32495303","402","10405","7175","78926","9","2","24045761","23719586","118600292","2467","0","0","0","0","0","71517","40958","245747","72","18","18","10875","2","0","0","0","0","123955","123955","619773","24","6732611","6727506","45607276","1028","1263709","1243275","556","0","0","0","1348857","1327617","849","6228","5940","57","0","0","0","27","27","4","160","160","4","0","0","0","8","8","2","32200294","31843270","2802","24485593","24170844","2727","465180","466292","51","90058","90058","42","1677581","1659515","534","123955","123955","24","5357349","5332029","856","4408","4408","22","0","0","0","0","0","0","5230","5230","14","4591908","4523414","3344","0","0","0","0","0","0","500785","477575","29","142288","113328","35","3726791","0","4074866","602473","845098","925744","185146","94035","565917","46757","0","9351","4257","851","0","8500","11","0","0","1605343","0","321068","0","0","0","321068","0","0","0","0","0","0","0","0","0","0","5680209","1166166","925744","185146","94035","886985","1020315","275","204077","15111","3022","4448","196607","27","0","5","0","0","0","5","2","0","0","0","1020315","275","43006","0","0","5","0","0","3726791","98","5203"
"Республика Карелия","93456291","93402073","7780","1318741","1318741","26374811","1470","13593","13593","284470","34","152160","152160","2173716","35","0","0","0","0","0","0","0","0","4380871","4380873","43808726","843","2532","2532","27847","2","0","71093706","71070197","355357942","6003","0","0","0","0","0","212654","211957","1266785","115","0","0","0","0","0","0","0","0","200431","178035","890360","142","11147226","11144688","71158002","3934","4657501","4653298","1427","17773","17640","11","4934174","4929094","2473","85320","80187","1491","0","0","0","159","159","9","432","432","4","14375","14479","11","4","4","3","75806635","75807183","6622","58720911","58744879","6146","729902","728680","153","869014","869014","109","4630224","4634038","1208","193063","171001","131","10589802","10587931","3517","74554","72478","186","0","0","0","0","0","0","525499","524515","150","24815752","24750962","8713","0","0","0","0","0","0","7564110","7558549","452","956992","956419","115","61566235","0","23046140","5396284","4879042","5026178","1005234","608472","3265336","8350","0","1670","0","0","0","1670","1","0","0","12531550","16492","2507135","5210891","1042178","17090","1447867","0","0","0","0","0","0","0","0","0","0","35577690","7386177","10237069","2047412","625562","4713203","1141027","31740","229792","75523","15105","6945","207742","0","0","0","45","9","0","-9","0","0","0","4454250","5595277","36228","953","5127","0","3","2","0","61566235","224478","514852"
