"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207"
"Республика Адыгея","24662816","24660761","1303","401071","382867","7623667","302","6629","10759","225940","14","79504","85017","1214528","23","407","407","6222","1","0","0","0","0","1815384","1814662","18146622","176","23901","23901","262916","6","-34","16949959","16953530","84767748","911","0","0","0","0","0","251735","251735","1510354","32","0","0","0","0","0","0","0","0","34095","34095","170475","20","4033802","4039715","26292498","603","1009430","1007590","248","0","0","0","1066362","1064072","397","8577","8573","38","0","0","0","509","509","4","30","30","1","211","211","2","0","0","0","19981441","19996953","1053","12163136","12174738","961","3626604","3624589","42","376236","376190","19","844539","836390","235","33972","33972","18","2931607","2945727","585","5346","5346","8","0","1","0","0","0","0","28857","28857","9","5184004","5167386","1303","0","0","0","0","0","0","521039","521992","22","524808","524808","20","870644","0","5613114","245592","1134901","1565554","313112","9254","812535","0","0","0","0","0","0","0","0","0","0","394266","1526","78930","4587","917","589","77424","0","0","0","0","0","0","0","0","0","0","6007380","1213831","1570141","314029","9843","889959","177770","34020","37255","1959","392","700","36163","0","0","0","0","0","0","0","0","0","0","0","266","177770","34286","0","0","0","0","0","0","870644","7818","28856"
"Республика Башкортостан","423687704","423900842","16918","2034830","2012289","40246537","1779","50597","49899","1047690","83","319674","309160","4427882","81","14894","14226","217454","5","0","0","0","0","17414150","17378818","173760972","1515","14654","13619","149808","21","18","289057794","289517059","1447677787","14571","0","0","0","0","0","1564777","1587507","9531199","296","7746","7430","39214","2","9","9","51","1","728717","723576","3617937","95","90039112","89994747","553188596","7497","21178353","21002591","4484","136585","136585","9","22448375","22299893","6548","110348","107684","1293","0","0","0","155","155","10","47","47","2","-9476","3397","18","29","29","3","376657437","374835489","15175","259431391","257932575","14662","2618355","2659208","375","779906","779070","178","19825967","19624833","3889","725901","720736","91","93288400","93030835","7726","89227","87587","165","134","134","2","743","743","3","5215089","5230278","50","52934246","54964585","17646","0","0","0","0","0","0","10980584","10977386","170","6182038","6189614","202","161020627","0","57321665","4182823","11673479","13268509","2653702","1164664","7855113","0","0","0","0","0","0","0","0","0","0","8707562","90871","1746055","1135504","227101","4223","1514731","0","0","0","0","0","0","0","0","0","0","66029227","13419534","14404013","2880803","1168887","9369844","3604628","172635","729557","201671","40333","5270","683954","0","0","0","0","0","0","0","0","0","0","986651","75797","4591279","248432","6577","0","0","2","0","0","161020627","87641","5220981"
"Республика Бурятия","41172814","41052577","2688","1545906","1524423","30491606","1118","39473","36878","772056","47","203088","203069","2900986","69","4","4","65","1","0","0","0","0","2705161","2704701","27046313","346","0","0","0","0","0","23243009","23190741","115958230","1439","0","0","0","0","0","33861","33884","203307","33","0","0","0","0","0","0","0","0","49870","49870","249352","15","8026223","8019262","50060689","809","4630672","4621192","289","206291","206291","1","5325219","5288740","619","9068","9045","145","0","0","0","165","165","2","0","0","0","8","8","1","0","0","0","33967201","33923306","1898","23942328","23900004","1723","366534","366784","67","83720","83720","16","3416743","3413990","259","45170","45170","14","6106990","6108079","809","5601","5559","18","0","0","0","0","0","0","2159957","2160254","17","9080481","9022439","2707","0","0","0","0","0","0","4019913","4038573","99","102356","102315","17","44627616","0","13151141","2636249","2762039","2303164","460631","522285","1779123","0","0","0","0","0","0","0","0","0","0","6305824","82155","1265273","794","159","18509","1246605","0","0","0","0","0","0","0","0","0","0","19456965","4027312","2303958","460790","540794","3025728","1303952","142223","267901","131734","26347","269","241285","0","0","0","0","0","0","0","0","0","0","59588","2075","1363540","144298","0","0","0","1","0","0","44627616","81691","2160254"
"Республика Алтай","10937507","10994568","546","121608","118494","2369885","125","2637","2645","55545","6","30736","30736","439082","7","0","0","0","0","0","0","0","0","322539","322082","3220849","73","166","166","1823","1","0","7229758","7211721","36059411","394","0","0","0","0","0","30253","30246","181479","7","0","0","0","0","0","0","0","0","634","634","3168","2","2296973","2303237","14066720","203","881177","953798","88","0","0","0","902204","974608","163","-6317","464","15","0","0","0","22","22","1","0","0","0","0","0","0","0","0","0","11678325","11750986","425","9197149","9269771","403","26906","26906","7","10607","3763","3","648421","649023","84","634","634","1","1801568","1801107","187","-6680","68","3","0","0","0","0","0","0","143641","140069","9","1889440","1859488","528","0","0","0","0","0","0","2849599","2754740","29","1059143","1076127","9","5320006","0","1052990","42617","212727","212477","42495","5076","165156","0","0","0","0","0","0","0","0","0","0","2716156","0","543231","1172453","234491","0","308740","0","0","0","0","0","0","0","0","0","0","3769146","755958","1384930","276986","5076","473896","129464","0","25892","1049","210","33","25649","4262","0","852","0","0","0","852","1","0","0","222","0","129686","0","222","0","0","1","0","0","5320006","216","140069"
"Республика Дагестан","34114005","33756855","3467","1227408","1169222","23384442","1052","60867","60004","1260084","86","132839","133183","1902621","37","552","552","8436","1","0","0","0","0","2000749","1979490","19794892","326","36516","34624","380861","12","0","24508293","24364410","121822052","2173","0","0","0","0","0","116529","117146","702876","52","1779","1779","24573","4","1035","1035","21726","1","10925","10925","54623","8","4231016","4138672","26039766","922","1623287","1589078","507","0","0","0","1789209","1751812","747","32838","33943","35","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","27279441","27198374","2510","20550392","20607716","2389","558989","560788","81","95419","95419","25","1582143","1547649","499","10272","10272","7","4459484","4354349","848","22219","22173","9","0","0","0","0","0","0","17375","18842","5","7405714","7133081","3479","0","0","0","0","0","0","482584","486229","18","229726","229726","20","5115914","0","11486815","3905286","2492628","3103446","620690","526515","1345423","168361","0","33672","164342","32868","160207","-159403","4","0","0","161187","30404","33758","2792","559","365","32834","0","0","0","0","0","0","0","0","0","0","11648002","2526386","3106238","621249","526880","1378257","622717","21225","125605","3288","657","119","124829","48644","0","9729","2852","570","119","9040","8","0","0","8176","0","630893","21225","12750","0","0","1","0","0","5115914","17645","18841"
"Республика Ингушетия","4518172","4474986","473","95685","91803","1836068","69","3751","3751","78771","2","4845","4845","69217","3","0","0","0","0","0","0","0","0","141905","126889","1273929","38","11","11","126","1","0","3087289","3110729","15554013","374","0","0","0","0","0","235612","235353","1405257","12","15539","15825","112859","3","0","0","0","0","1834","1834","9171","1","601527","563881","3622437","113","339901","332654","79","0","0","0","345713","335888","103","49","49","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4119246","4032785","408","3170231","3082993","390","31684","32589","9","50208","50208","2","188463","181789","63","1834","1834","1","676826","683371","104","0","0","0","0","0","0","0","0","0","2148","2148","1","408998","453192","473","0","0","0","0","0","0","11338","12258","4","93","239","1","22704","0","298179","41803","61726","145132","29027","43310","-10611","0","0","0","0","0","0","0","0","0","0","0","544","27","0","0","0","27","0","0","0","0","0","0","0","0","0","0","298179","61753","145132","29027","43310","-10584","93649","0","18730","0","0","0","18730","85851","0","17170","0","0","0","17170","1","0","0","45","0","93694","0","0","5813","0","0","1","0","22704","7013","2149"
"Кабардино-Балкарская Республика","17203177","17096141","1520","178407","169811","3370782","154","10556","10556","220923","14","36283","35581","508296","9","0","0","0","0","0","0","0","0","2106436","2104523","20981422","424","10843","10843","119277","6","0","12221441","12138964","60822006","1118","0","0","0","0","0","15686","19207","115241","29","0","0","0","0","0","0","0","0","13539","13539","67693","5","1744164","1730725","11147107","442","731824","727639","274","0","0","0","865316","861885","390","6756","6283","16","0","0","0","266","266","1","5407","5407","1","668","668","1","506","506","1","14549023","14499658","1311","11542107","11528506","1270","214883","214883","30","28925","29747","17","742730","726171","273","12302","12302","4","2004318","1984292","442","3758","3758","4","0","0","0","0","0","0","629","629","3","2931347","2874283","1506","0","0","0","0","0","0","257263","256796","27","57783","58184","14","545754","0","3683864","293748","751464","982485","196498","95175","459791","0","0","0","0","0","0","0","0","0","0","176620","3664","35507","45296","9059","45296","-18848","0","0","0","0","0","0","0","0","0","0","3860484","786971","1027781","205557","140471","440943","220373","0","44074","3000","600","0","43474","10519","0","2104","0","0","0","2104","1","0","0","653","0","221026","0","40","0","0","1","0","0","545754","436","629"
"Республика Калмыкия","14287969","14182263","5502","6476350","6416380","128332687","4580","202285","206695","4340295","213","1302207","1295766","19279557","319","18305","18305","279808","6","0","0","0","0","592136","591069","5907469","161","17535","17543","192969","7","0","4631505","4586594","28108721","570","0","0","0","0","0","15449","15449","92691","21","171","171","32120","1","123","123","617","1","2208","2208","11040","2","854541","857014","9436990","1242","160640","160546","86","0","0","0","175017","174808","182","17629","17601","64","0","0","0","1125","1125","6","945","945","2","333","346","5","81","81","1","5789961","5761137","2729","4425706","4399673","2264","446287","444042","38","68414","68414","14","135088","135737","91","2208","2208","2","709312","708117","1009","2938","2938","6","9","9","1","0","0","0","3652","3652","4","9589914","9513018","5554","0","0","0","0","0","0","1062390","1062390","6","156354","156354","6","529875","0","5806140","4628157","1392636","1368647","273730","101393","1017513","0","28415","1421","0","0","0","1421","0","2","0","157919","160862","39626","4971","994","1536","37096","0","0","0","0","0","0","0","0","0","0","5964059","1432262","1373618","274724","102929","1054609","1175613","866031","278423","359848","71969","1669","204785","0","13106","655","0","0","0","655","0","2","0","80922","15332","1256535","881363","0","0","0","0","0","0","529875","51674","3647"
"Карачаево-Черкесская Республика","9940844","9763585","901","348817","322755","6455103","197","10841","9951","208972","15","48795","48795","697065","11","1545","1545","23618","1","0","0","0","0","958590","957609","9576089","109","956","956","10521","2","0","6459760","6398076","31988609","642","0","0","0","0","0","156934","155555","933329","21","0","0","148909","0","0","0","0","0","39864","39864","199322","7","1539013","1455147","10224578","254","357787","354026","146","0","0","0","375705","373309","231","2714","2714","9","0","0","0","4","4","1","40","40","1","0","0","0","24","24","1","8595993","8508316","746","6567042","6521230","716","120618","120618","16","30279","30279","7","407282","407620","141","36087","36087","6","1433881","1391563","248","803","917","5","0","0","0","0","0","0","677","647","3","1480224","1403979","892","0","0","0","0","0","0","126792","139503","12","59477","59049","15","964978","0","1260992","273798","265888","393455","78691","36209","150988","10966","0","2193","2410","482","0","1711","3","0","0","444460","0","88892","360874","72175","0","16717","0","0","0","0","0","0","0","0","0","0","1705452","354780","754329","150866","36209","167705","305476","475","61119","11512","2302","486","58331","0","0","0","0","0","0","0","0","0","0","0","0","305476","475","0","0","0","0","0","0","964978","2398","635"
"Республика Карелия","25324724","25334737","2122","554100","557407","11116317","522","3418","3385","71076","15","59283","59283","846899","17","0","0","0","0","0","0","0","0","1590654","1590524","16289117","244","9","9","97","1","4","18311087","18320389","91639458","1517","0","0","0","0","0","72504","72696","424679","30","0","0","953","0","0","0","0","0","71371","71493","357790","42","3193693","3191667","20543589","1040","1319170","1318629","355","1505","1505","4","1468594","1467873","645","19229","19263","337","0","0","0","26","26","2","0","0","0","163","0","0","7","7","2","22295678","22311421","1786","17872272","17888843","1606","146640","146718","40","138881","138881","38","1088482","1089234","302","70151","69808","39","2966467","2965153","1037","12872","12870","47","0","0","0","0","0","0","398317","398793","39","5172905","5166385","2305","0","0","0","0","0","0","2513465","2513237","111","282747","290507","32","14794250","0","6949559","1998415","1489833","1487750","297550","137731","1054552","5583","3","1117","0","0","0","1117","1","1","0","2342210","16757","469279","186726","37345","663","431271","0","0","0","0","0","0","0","0","0","0","9291769","1959112","1674476","334895","138394","1485823","260472","7084","52449","4515","903","1023","50523","0","0","0","0","0","0","0","0","0","0","1027482","438","1287954","7522","0","0","0","0","0","0","14794250","71081","397255"
