"field name","english description","russian description","format"
"GA","Subjects of the Russian Federation","Субъект РФ","text"
"GB","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for the payment of taxable goods (works, services), total Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг), всего Начислено - всего тыс.рублей","integer"
"G1","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for the payment of taxable goods (works, services), total accrued according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousands of rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг), всего начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс.рублей","integer"
"G2","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services), total","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг), всего","integer"
"G3","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 5% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 5% Начислено - всего тыс.рублей","integer"
"G4","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 5% accrued on declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 5% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. .тыс.рублей","integer"
"G5","The taxable base calculated upon the sale (transfer within the Russian Federation for own needs) of goods (works, services), including goods of sellers from the member states of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for the payment of taxable goods (works, services) at a tax rate of 5% according to declarations for the tax periods Q4 2025 – Q1-Q3 2026, thousand rubles","Налоггвая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 5% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G6","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 5% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 5% (единиц)","integer"
"G7","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 5/105% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 5/105% Начислено - всего тыс.рублей","integer"
"G8","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 5/105% accrued according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 5/105% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. .тыс.рублей","integer"
"G9","The tax base calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for the payment of taxable goods (works, services) at a tax rate of 5/105% according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Налоговая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 5/105% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G10","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 5/105% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 5/105% (единиц)","integer"
"G11","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts associated with settlements for the payment of taxable goods (works, services) at a tax rate of 7% Accrued - total thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 7% Начислено - всего тыс.рублей","integer"
"G12","The total amount of tax calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for payment of taxable goods (works, services) at a tax rate of 7% accrued according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Общая сумма налога, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 7% начислено по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. .тыс.рублей","integer"
"G13","The tax base calculated on the sale (transfer on the territory of the Russian Federation for own needs) of goods (works, services), including goods of sellers of the states - members of the Eurasian Economic Union, sold through an electronic trading platform, the transfer of property rights at the relevant tax rates, as well as amounts related to settlements for the payment of taxable goods (works, services) at a tax rate of 7% according to declarations for the tax periods of Q4 2025 - Q1-Q3 2026, thousand rubles","Налоговая база, исчисленная при реализации (передаче на территории Российской Федерации для собственных нужд) товаров (работ, услуг), в том числе товаров продавцов государств - членов Евразийского экономического союза, реализуемых посредством электронной торговой площадки, передаче имущественных прав по соответствующим ставкам налога, а также суммы, связанные с расчетами по оплате налогооблагаемых товаров (работ, услуг) по налоговой ставке 7% по декларациям за налоговые периоды IV кв. 2025 г. – I-III кв. 2026 г. тыс. рублей","integer"
"G14","The number of declarations, the indicators of which are taken into account when forming the indicator in column 2 for the sale (transfer for own needs) of goods at a tax rate of 7% (units)","Количество деклараций, показатели которых учтены при формировании показателя в графе 2 при реализации (передаче для собственных нужд) товаров по налоговой ставке 7% (единиц)","integer"
