GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86
Республика Адыгея;347824;29395;1990;0;0;0;48705;0;0;33258;21479;21479;317690;6286;168019;10;57061;100;16563;993;0;993;95540;100093;12603;2068;0;2068;18627;1;24216;48314;72444;0;0;0;0;48;6679;0;104;104;2484;3579;80204;1686;0;0;0;35877;134474;77665;24489;50692;4920;16513;349485;808550;282123;393266;753;315189;36;146;75831;59604;61455;10922;90255;25804;17420;43289;625;14478;174626;227005;190026;770679;1159189;1050384;248159;75123;65925;11064;122;109706;2611
Республика Башкортостан;2447241;184095;19382;741;357;2271714;0;20502;1606051;352115;4084144;4082558;1552806;375647;347915;126391;294786;0;349708;32263;281;21820;262975;121556;85805;1718768;14;1718754;3216926;363728;549111;1382347;1773662;12849;0;438;11230;627195;19099;15873;3118;2781;658776;398852;1707761;944780;4013692;24461;3894408;1319956;2763841;989296;1463846;591300;146668;242171;6967591;10965130;3652119;6285770;139406;2205034;175914;19790;1735652;483019;1208059;130571;2340497;202085;941085;675042;173395;61384;2311769;6703655;2327413;5865326;10765007;10302452;2097496;781954;905614;184906;1507;754790;2740
Республика Бурятия;216454;337495;27376;399947;24029;6;0;2953;1243229;30499;14;14;398975;185522;18664;0;21931;0;13852;3375;0;3081;105363;203253;19953;0;0;0;2663;0;11999;121399;37474;0;0;0;0;224;47;0;0;0;126712;3036;41973;687;1880628;19;975992;157376;1014642;19;290772;107185;13188;20069;586237;2353873;651660;1533881;108782;233;2850;23851;161915;149765;218084;44828;211116;32321;82353;78323;41541;20039;377998;622958;390929;2776895;3314577;3514640;607896;162062;153076;26628;-268;0;0
Республика Алтай;174583;58283;1812;115108;0;515;0;0;76985;2574;147655;140091;82574;15362;31511;26;4562;0;5278;1304;195;675;17527;21;3404;8326;0;8326;3758;8747;3549;15186;15614;0;0;0;0;0;0;0;0;0;223;19;18565;5784;30;30;0;62599;122505;17407;65761;31672;2401;11862;334527;546026;226990;280592;15374;0;10466;23669;89336;40186;79035;31624;78827;10445;36510;52528;24688;840;71019;175494;66078;867974;1052804;761623;170847;40709;36352;8669;33;68802;1945
Республика Дагестан;704748;29906;29327;275;0;59199;39791;187;298;42201;3361;3361;108247;9825;8875;648;226985;0;155475;19554;160;18776;21922;1650;5839;26054;0;26054;5941;7307;28309;206474;190121;386;0;0;411;11;80;50;225;66;77776;36441;71611;1545;208906;3453;182733;82131;724712;43932;95228;110095;23145;24205;740908;3812573;658844;3062112;1838;450601;3094;2602;192048;137666;180018;14171;223398;73367;78082;93044;17864;9905;190504;518669;451573;2607410;5474545;4621212;605551;233826;194567;28839;25;290675;-15868
Республика Ингушетия;78523;8800;35;0;0;111234;0;0;0;712;14;14;1985;1518;17;0;2220;0;2607;0;0;0;1338;0;218;320;0;320;0;0;-1483;4845;8625;0;0;0;0;0;0;0;0;0;0;1421;91;728;0;0;0;379;60580;42138;62;40740;6476;1335;54062;111568;32892;70675;12575;0;12;15655;5087;26272;4871;878;48888;6988;9662;8950;7407;940;11539;40045;34992;632770;1090967;872959;194279;91074;10449;409;17556;0;48
Кабардино-Балкарская Республика;615337;11762;8212;0;0;3935;0;0;1127;16537;2867;144;170408;8523;50867;338;79262;37;92222;3019;622;1695;22605;12660;7496;36;0;36;4193;1314;18604;58927;94371;421;0;219;0;274;37114;0;37;0;22314;30547;-1242;3771;0;0;0;33511;385144;205753;106691;82897;2168;15606;214597;1766913;295579;1386489;1852;184;506;934;80875;77258;160189;19341;108124;13418;29062;54374;8146;8346;113865;270145;117158;1261851;1791477;1672510;270849;138122;123253;23526;0;397886;1893
Республика Калмыкия;316056;12186;6465;0;0;56111;0;0;0;200;30;30;14111;5015;77;0;23900;0;2049;64;0;56;96;442;5463;3681;0;3681;4782;0;190;2750;1560;0;0;0;0;0;0;0;0;0;77;33676;2;6;47;0;0;18049;185113;53291;24207;40617;5572;1840;115507;217127;38153;160271;0;13757;6040;13721;97460;39400;25716;5400;58248;11399;20666;4599;15180;1946;43435;106934;53453;732628;954441;691828;112913;34411;29539;4535;1207;50168;471
Карачаево-Черкесская Республика;343409;13458;444;0;0;0;0;0;144481;17975;0;0;74864;12755;37251;6919;149651;204;59550;665;204;132;9632;5889;4783;0;0;0;1169;8387;44166;169555;5474;0;0;0;0;0;0;0;0;0;8572;121487;14123;51697;0;0;0;8438;317546;105811;89015;54312;2211;4397;198463;681696;218497;417013;193;223;1192;0;52650;40271;66792;16917;60363;11753;14479;56378;800;10862;62544;184990;104814;805619;1231950;868061;140823;50949;40124;7838;0;84434;2427
Республика Карелия;191161;493748;436048;50;0;0;0;821120;0;576471;1216;0;319494;6171;110496;0;19932;0;14815;1206;0;1067;370319;1000577;12384;12;1;11;53234;181;12270;192948;370120;0;0;0;0;25508;55135;0;56936;3216;4461;7035;43223;134429;95713;89509;0;157408;942241;43692;230306;164429;7830;53854;704078;1690146;522726;923936;1247;20525;33114;3397;430537;128372;262786;75663;264764;25230;65869;51283;29398;15414;485706;695053;353611;2238885;2463171;2495223;500659;125642;193900;31470;247;120380;1539
