GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108
0100;Республика Адыгея;235 628;212 459;20 828;2 341;65 490;47 222;0;0;0;47 222;0;47 222;0;0;0;18 170;98;98;627 018;267 470;2 653;185 372;0;35 995;0;5 996;5 993;673;41;632;59 652;64 260;5 164;0;0;0;11 155;0;11 314;30 440;53 041;10 858;0;0;0;0;0;10 725;0;133;133;2 097;4 353;45 944;916;0;0;0;22 555;133 984;75 812;39 272;18 899;79 887;43 785;3 837;32 265;202 678;759 495;252 741;298 873;513 766;437 229;595;8 010;293 617;80;2 343;44 973;29 141;63 237;11 518;77 669;22 604;16 068;28 395;16 383;518;11 494;167 930;216 766;176 326;628;724 866;1 344 118;1 074 785;918 887;73 413;82 485;269 488;93 233;60 640;16 595;15 165;28 881;3;17 681;0
0200;Республика Башкортостан;1 761 951;1 573 454;178 149;10 348;7 189 935;2 449 591;404;13;391;2 449 187;2 449 187;0;1 764 050;56 101;1 707 949;198 812;2 777 482;2 777 321;16 193 436;1 017 782;208 941;223 718;87 082;171 679;216;99 894;150 896;19 879;7 895;11 984;264 073;74 828;36 144;2 095 083;0;2 095 083;3 332 173;303 544;401 111;909 817;1 251 416;649 286;773;0;0;10 219;612 585;23 166;19 076;2 543;2 141;430 136;294 825;1 033 173;766 017;2 738 729;15 916;2 626 684;802 021;3 278 949;1 908 699;619 594;750 656;933 835;592 953;48 935;291 947;5 170 483;9 092 494;3 776 660;4 412 745;7 387 626;5 826 715;90 153;31 400;2 692 301;55 465;8 998;1 164 470;331 978;835 141;83 003;1 605 207;182 374;595 005;470 505;412 254;16 895;41 356;1 477 810;4 780 053;1 516 072;5 779;6 320 450;13 380 595;10 678 009;9 745 534;498 474;434 000;2 018 219;664 092;587 502;180 609;127 379;279 515;838;109 721;0
0300;Республика Бурятия;471 668;142 937;305 133;23 598;2 040 244;535 647;535 639;508 601;27 038;8;8;0;1 404 989;378;1 404 611;86 877;12 732;3;1 751 810;198 239;79 876;10 245;0;9 135;0;4 128;5 164;3 210;361;2 850;62 385;117 890;10 307;0;0;0;4 537;33;13 863;81 056;62 818;1 264;0;0;0;0;1 262;3;0;0;0;71 785;644;934;204;1 043 617;5;665 307;61 861;900 435;639 918;0;260 517;205 140;138 235;11 210;55 695;315 185;1 777 410;457 978;1 112 105;431 265;200 486;3 687;3 104;2;732;35 160;100 723;94 164;188 126;36 067;159 984;23 216;67 609;77 532;48 512;12 487;16 533;245 980;534 266;313 362;708;2 220 412;4 267 231;3 424 173;3 061 305;191 504;171 365;607 514;188 992;111 932;35 759;18 244;57 928;342;23 694;0
0400;Республика Алтай;162 505;110 996;50 419;1 090;206 212;21 427;21 427;21 427;0;0;0;0;66 793;0;66 793;1 900;116 091;116 091;137 243;40 921;3 451;24 508;0;1 492;0;550;1 053;195;183;12;6 608;0;1 281;4 527;0;4 527;2 041;1 043;109;10 139;12 962;7 016;0;0;0;0;0;7 016;0;0;0;2;114;5 364;28 190;0;0;0;20 652;129 814;74 143;2 294;53 377;30 140;24 538;1 164;4 438;199 191;432 802;186 544;217 004;195 928;68 250;8 261;1 539;0;939;20 440;79 571;26 728;131 804;56 294;65 062;9 433;35 739;24 172;15 845;7 442;885;55 568;143 415;49 899;280;812 052;1 189 031;779 118;696 535;30 391;52 191;194 787;73 790;19 733;8 109;3 553;8 071;1;5 384;0
0500;Республика Дагестан;458 645;386 541;31 259;40 845;119 594;83 825;0;0;0;83 825;53 163;30 662;2;1;1;27 844;7 923;7 923;874 069;42 509;5 519;3 465;130;180 806;53;3 905;7 897;20 569;345;20 224;6 784;1 702;4 330;12 936;0;12 936;6 037;6 936;13 170;142 992;109 407;215;7;0;0;0;0;78;51;130;113;20 745;19 420;46 687;49;136 962;580;131 907;90 173;538 097;429 774;21 885;86 438;129 304;94 061;21 861;13 382;707 688;1 355 817;495 430;791 345;955 605;637 271;2 488;22 347;411 950;38 961;2 650;155 853;120 870;114 301;15 949;234 585;74 363;60 498;84 585;55 901;1 545;27 139;161 076;561 872;394 819;721;2 710 556;9 056 544;5 728 722;5 045 194;180 173;503 355;829 356;358 235;107 665;44 312;14 670;48 683;84;58 877;0
0600;Республика Ингушетия;86 366;77 764;8 510;92;69 568;64 157;0;0;0;64 157;64 157;0;0;0;0;5 411;0;0;61 338;18 681;12 147;14;5;1 533;0;102;1 687;783;2;781;1 766;153;673;73;0;28;37;0;345;13 674;10 889;7 882;0;0;0;0;0;6 485;0;1 397;0;0;245;1 042;8 682;0;0;0;973;67 505;43 814;23 662;30;40 701;28 789;6 734;5 178;97 831;122 833;49 258;68 941;54 585;19 341;42;1 466;0;29;14 042;2 711;18 462;9 357;2 074;57 098;6 872;17 522;15 385;4 444;10 637;304;16 558;44 213;44 379;60;562 804;1 381 617;760 097;718 676;32 037;9 385;195 115;98 574;9 692;5 190;456;4 046;1;6 644;0
0700;Кабардино-Балкарская Республика;299 118;278 059;11 197;9 862;21 004;2 932;0;0;0;2 932;2 932;0;0;0;0;6 127;11 945;0;362 623;91 345;2 942;30 002;0;36 021;119;6 709;45 286;2 069;253;1 816;4 609;12 140;3 144;83;0;83;10 276;63;8 264;20 432;60 150;35 818;270;0;225;76;0;35 472;0;0;0;23 771;17 650;6 356;5 554;0;0;0;8 582;479 003;236 703;144 153;98 147;107 869;76 003;1 534;30 332;124 880;554 246;218 422;307 342;210 856;112 849;459;5 951;5;3;0;41 608;56 396;61 471;18 403;105 317;7 625;12 404;20 161;15 864;217;4 080;63 358;218 732;92 828;457;1 136 523;2 070 655;1 669 151;1 521 435;73 371;74 345;293 669;153 954;57 953;30 758;5 518;21 677;38;22 460;0
0800;Республика Калмыкия;293 802;277 862;13 382;2 558;13 525;13 414;0;0;0;13 414;13 414;0;0;0;0;110;0;0;62 860;11 297;4 506;58;0;9 344;0;46;3 666;232;79;153;645;388;567;1 186;0;1 186;3 423;0;250;5 180;3 581;665;0;0;0;0;0;665;0;0;0;0;14 253;284;0;0;0;0;8 518;176 565;119 272;35 695;21 598;50 607;39 728;7 840;3 039;47 759;246 939;48 182;176 824;144 225;68 823;57;6 187;13 823;2 347;13;48 057;24 985;35 515;3 758;52 711;12 375;18 569;20 566;8 741;10 324;1 501;35 778;107 611;115 811;523;669 830;1 099 555;686 677;579 043;37 886;69 747;126 538;44 753;20 815;10 435;3 749;6 631;3;7 926;0
0900;Карачаево-Черкесская Республика;229 705;218 037;11 318;350;168 473;0;0;0;0;0;0;0;156 236;0;156 236;12 238;0;0;430 444;44 996;7 685;20 390;2 643;136 702;3;12 482;23 269;440;41;399;4 780;5 267;2 064;0;0;0;2 991;6 006;42 141;111 884;2 236;0;0;0;0;0;0;0;0;0;0;5 436;18 810;4 141;607;0;0;0;6 189;271 615;141 635;65 609;64 371;53 074;38 517;4 729;9 828;126 171;386 356;155 839;208 376;119 514;72 294;495;1 567;1;0;39;21 421;25 760;41 703;17 665;68 310;9 436;11 577;18 119;12 047;53;6 019;41 656;145 051;52 710;248;768 174;1 265 832;841 789;764 487;29 646;47 656;134 723;56 025;25 227;10 556;4 157;10 513;0;22 224;0
1000;Республика Карелия;776 640;96 441;354 553;325 646;1 523 045;59;59;59;0;0;0;0;1 172 445;1 172 445;0;348 761;1 780;0;2 116 481;165 237;3 838;48 239;0;11 140;180;3 092;6 095;540;140;400;296 046;868 096;6 887;0;0;0;33 575;50;7 678;91 394;312 403;121 258;0;0;0;0;22 250;14 961;0;84 047;2 630;1 999;5 152;23 826;102 595;61 382;55 347;0;119 114;645 126;425 606;40 354;179 167;143 599;109 171;3 995;30 433;434 069;1 043 302;391 900;444 936;824 967;383 194;1 029;6 392;0;15 694;1 122;345 252;79 705;227 997;56 338;239 031;16 606;58 155;36 644;23 151;5 789;7 704;377 100;698 686;266 981;1 063;2 092 217;2 745 423;2 482 655;2 162 215;167 904;152 536;508 341;140 291;130 914;47 935;22 403;60 576;6;18 514;0
