"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103"
"1","Республика Адыгея","492715","451950","36550","4215","144138","87130","0","0","0","87130","0","87130","0","0","0","55195","1813","1813","1916132","965919","7056","625000","0","154707","45","10250","14710","2068","0","1989","135562","143761","14414","1287","0","1287","22686","0","16335","116800","95173","0","0","0","0","0","27800","0","67","67","14318","28360","124913","2075","465","46","420","52284","380258","207683","142013","30562","185277","81100","7725","96452","677360","1650748","685226","570916","824245","665891","1448","6288","440033","172","7245","66803","84134","175766","47320","172072","42252","44536","44857","22891","397","21569","262152","460702","503583","1693","1278333","2296283","1804597","440237","111006","104259","28663","32908","0","20921","0"
"2","Республика Башкортостан","4656327","4294264","343457","18606","18020363","4236517","1074","0","1074","4235443","4235443","0","3673960","17695","3656265","542321","9567564","9567371","44990830","2731289","577494","613906","272775","464872","1454","327609","425197","34568","175","18115","558438","244851","94361","3232519","0","3232519","6321140","961094","1278800","2524585","3062816","1378","0","0","8737","1131880","37745","27780","7837","4991","1203463","1373060","3997506","2557472","11423080","51490","11132028","2172656","8172113","4610474","1761967","1799672","1779596","1002041","119577","657978","12922124","20335385","8146463","10666955","17778047","13671883","226870","36122","4608895","136224","28167","3160476","781297","2433085","256193","4994533","325055","1328690","749437","609618","26940","112879","2962678","9851472","3339451","28959","10371150","20320455","18750846","3343351","1075853","1166062","237708","471166","595","145527","0"
"3","Республика Бурятия","870457","321254","506586","42617","3649735","1097609","1097609","1045978","51631","0","0","0","2277603","766","2276837","236132","38391","196","6282278","620878","214665","31763","0","21269","83","4735","13971","3708","0","3305","114929","359839","25674","0","0","0","16967","4284","40512","359505","209932","12440","0","0","18","2983","0","0","0","0","317440","4448","4883","642","4029445","0","2286338","129134","2274839","1800334","0","474505","338698","194081","21033","123584","949438","3789233","700252","2613777","1501651","856043","12888","4861","0","2114","113990","321543","207961","511047","149421","662780","40606","136421","106752","75749","299","30704","388249","1540282","838610","6851","4000812","6389431","5873255","1052961","358020","235710","26316","95696","283","28508","0"
"4","Республика Алтай","269929","195464","72180","2285","577898","16584","16584","16584","0","0","0","0","112711","0","112711","3273","445331","425802","350069","72178","13825","25024","0","4071","0","697","33407","232","0","31","14101","0","3740","4489","0","4489","4864","206","787","46598","55364","0","0","0","0","0","5458","0","0","0","0","2499","6453","31046","0","0","0","69337","280304","69011","113406","97887","77218","56875","2177","18166","711017","751921","236996","467229","530132","152461","29773","1015","0","2756","70572","235312","69031","472961","326437","109544","16891","59833","33417","32338","0","1079","115625","260674","118683","756","1495467","2002066","1386861","773612","552982","42675","5146","12123","0","11823","0"
"5","Республика Дагестан","858626","723376","58961","76289","215313","133325","0","0","0","133325","78802","54523","0","0","0","60588","21400","21400","2287546","86772","14169","6625","227","481230","0","10267","17506","50375","84","49786","15245","4837","8262","37826","0","37826","10075","18768","32303","370566","274766","0","0","0","27","22","94","94","416","389","54078","32505","128651","273","409896","535","396576","243345","1768375","1272190","64837","431348","219409","115964","32190","71255","1829705","2828781","892594","1823269","2178201","1259745","4897","35116","786495","60506","10838","534147","312965","313445","61388","451559","114875","122639","117537","84477","1806","31254","332698","995492","746530","4999","5029735","13626734","9344011","1301324","489037","216912","23584","73563","164","52490","0"
"6","Республика Ингушетия","192698","174383","18124","191","109586","75182","0","0","0","75182","75182","0","32","0","32","7171","27200","27200","107385","55433","47911","197","1922","3829","0","260","4824","196","0","196","5441","179","884","0","0","0","3351","0","1001","6875","20845","0","0","0","0","0","11273","0","2467","0","0","19","97","15","10","0","0","4126","181378","112909","65946","2523","80118","74719","1060","4339","265340","271595","98777","153281","156907","75389","165","2406","0","335","23","32196","48964","27686","12808","99173","10210","29038","6392","6144","0","248","22463","94957","104740","317","957212","2407225","1305716","315684","106971","27892","1259","9078","0","6043","0"
"7","Кабардино-Балкарская Республика","616696","579330","18016","19350","47822","4840","0","0","0","4840","4840","0","4804","0","4804","16130","22048","0","970544","224727","8056","76333","146","123769","1479","12340","156048","3516","170","3081","7979","31026","6260","75","0","75","29114","1037","17135","118009","65178","297","0","251","1005","0","0","0","0","0","53715","46120","43476","12113","66","41","25","17362","1033417","628736","232449","172233","208158","148576","4739","54843","383766","1062581","454849","562733","436700","198111","1319","10441","0","0","17","102711","135861","149739","48914","181227","13911","20577","31694","25497","242","5955","121521","432120","306196","834","2103382","3627240","2888246","360388","112097","116392","9025","32983","232","22048","0"
"8","Республика Калмыкия","537520","505571","29151","2798","12226","5597","0","0","0","5597","5597","0","0","0","0","544","6086","6086","409741","78248","20645","756","0","19915","0","13624","74896","8593","0","8174","14304","1944","10702","2239","0","2239","10815","276","14113","23105","19420","0","0","0","0","0","454","0","0","0","62297","226","2924","0","297","0","0","51803","434612","299405","93691","41516","123217","67752","23179","32286","376688","2632203","326506","2229844","447289","222041","451","17818","28658","12062","328","140350","72508","333215","41092","181929","23069","32902","48531","23803","873","23855","300609","389876","533574","6245","1223098","1698782","1105191","222711","80766","80432","18261","34630","0","13038","0"
"9","Карачаево-Черкесская Республика","533775","512767","20402","606","299425","0","0","0","0","0","0","0","277805","395","277410","21620","0","0","1309511","192381","74719","74121","1945","313218","-26","58032","93457","2052","67","1929","10363","850","4654","0","0","0","1397","14069","105755","431555","3061","0","0","0","0","0","0","0","0","0","6912","38668","13275","920","0","0","0","18918","708073","425894","184346","97834","102033","69357","11262","21414","445849","691080","253313","405993","257718","144561","750","1748","10558","49","51","49702","63355","118949","59815","101844","15372","21148","25431","14950","62","10419","76398","294824","125254","571","1401946","2137106","1363490","196850","53815","48098","6028","14333","0","23418","0"
"10","Республика Карелия","1783234","264377","682559","836298","3365526","0","0","0","0","0","0","0","2088367","2088367","0","1268818","8340","0","5411329","461506","8213","169155","0","46413","0","5648","38357","2171","0","1802","669940","2243853","11713","0","0","0","72433","72","21467","349575","850220","0","0","0","0","41149","24718","0","145579","0","11723","15680","85294","27419","200600","181202","0","297245","1671209","1216699","116189","338321","379864","259196","9466","111202","1224848","2039549","563770","1100381","1661346","721995","4703","6733","0","61677","1144","686108","190422","700895","169027","483976","29088","118798","55905","29417","15922","10566","706245","1016129","491036","2188","3659926","4385631","4083428","785536","142959","249745","37704","105182","0","23839","0"
"11","Республика Коми","1157537","793688","358976","4873","10468279","5550523","2916654","2916654","0","2633869","1990384","643485","424947","0","424947","47480","4445329","4445317","7114836","379613","4423","65651","33","237701","0","231315","22184","5377","0","5332","2013581","1915864","22702","327857","0","327857","6630","0","128627","123934","122525","11583","0","0","0","0","0","0","0","0","813","27203","7450","886","2415","2292","86","1538159","3651533","2031532","288156","1331845","957527","715198","1967","240362","1622262","2312745","662788","1344143","10022838","8585853","55182","13184","6426419","69442","555791","514709","297043","856978","55489","419836","40834","116583","151509","140175","1712","9622","1011318","2390875","1597865","5052","5589890","7032666","7406141","1069073","239290","382095","70329","117814","0","25633","0"
"91","Республика Крым","1940741","1772952","126993","40796","969511","678739","2","0","2","678737","6815","671922","0","0","0","256252","34520","209","5705192","837163","295339","187950","0","589125","111632","19003","27980","2712","149","1463","23198","14396","67830","2619","0","2619","1252239","420","101688","455448","171661","202","0","0","66","5907","114","0","226","0","425772","60539","120731","3066","1001142","919141","3513","416828","2555314","1869893","474914","210507","1381932","1046188","15689","320055","3274017","8272491","2170303","5622039","5978871","3859182","2290042","16592","876","40192","18492","1566643","494362","2057902","545719","1452574","47416","899044","1805415","1746739","43228","15448","2016230","2183146","1436341","16180","5856078","8710669","10018817","1361480","300727","485662","77799","231685","560","77964","0"
"12","Республика Марий-Эл","1967135","1807018","158771","1346","37579","46","46","0","46","0","0","0","17","0","17","35818","1697","0","9642321","1807160","1211899","237538","0","27872","0","47536","65699","177980","0","177829","243713","870535","60996","22463","91","22373","226883","73162","60727","138317","1644899","262","0","0","0","1194","0","0","705","705","1351231","789179","1246931","399199","13414","1638","59","374425","998403","339195","182675","476533","317157","223113","23413","70631","977556","1964859","816497","1012084","1667009","998615","262","9065","536147","40213","139","238569","389473","459104","28595","387491","37261","46064","130914","125338","289","5287","486063","567295","302230","3578","2424113","3293052","2961063","635871","143036","186250","27130","77431","0","19529","0"
"13","Республика Мордовия","3925343","3850224","72661","2458","7022","0","0","0","0","0","0","0","1103","0","1103","5725","194","123","9816946","2023274","1011625","306664","181283","284578","46","30900","73327","2109","0","1749","215464","30109","24558","0","0","0","43092","423153","302512","918545","1562847","574","0","0","2998","256","58349","0","849832","0","713943","1197057","69012","118359","1498312","9","363","285749","1064860","949893","122","114845","312575","175657","8595","128323","1311787","2650145","753518","1722812","1674118","1331757","866","12706","486305","0","0","159380","182981","374073","64058","373987","47088","49371","141364","117568","350","23446","687058","969034","536670","3776","2284878","3591212","3246327","636167","194407","219142","38961","83765","87","24330","0"
