"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89"
"GA","GB","1015.2","1020.2","1028.2","1033.2","1087.2","1090.2","1095.2","1100.2","1105.2","1110.2","1115.2","1120.2","1125.2","1129.2","1131.2","1132.2","1133.2","1136.2","1140.2","1143.2","1145.2","1150.2","1155.2","1162.2","1165.2","1168.2","1177.2","1179.2","1180.2","1181.2","1182.2","1185.2","1190.2","1195.2","1200.2","1201.2","1211.2","1220.2","1227.2","1233.2","1237.2","1238.2","1240.2","1243.2","1255.2","1256.2","1257.2","1258.2","1259.2","1261.2","1262.2","1263.2","1270.2","1295.2","1301.2","1310.2","1320.2","1321.2","1322.2","1326.2","1328.2","1329.2","1335.2","1340.2","1345.2","1350.2","1355.2","1363.2","1364.2","1373.2","1382.2","1383.2","1388.2","1395.2","1400.2","1405.2","1430.2","1433.2","1460.2","1465.2","1470.2","1490.2","1496.2","1497.2","1502.2","1505.2","1506.2","1512.2","1513.2"
"1","Республика Адыгея","323451","300034","20064","3353","1134179","584062","3887","352107","0","90740","37","8899","8425","771","0","756","66883","90238","7259","456","0","456","12358","0","41042","44883","51748","0","0","0","0","0","13420","0","50","50","7947","3700","69845","1316","968","47","871","42602","190061","101929","69033","19099","111162","49262","3990","57910","397996","1217452","604277","392546","443676","363597","879","4261","202637","99","4076","34424","41480","120554","28832","106653","25101","27984","31778","20294","307","11177","141759","278599","329770","974","755341","1363855","1054043","258992","66937","62712","16359","21424","29","17148","0"
"2","Республика Башкортостан","2501261","2316176","173820","11265","23845253","1465419","296236","329664","160357","262452","3911","168735","267376","16136","141","7389","248145","153141","57318","1761485","0","1761485","3578435","460111","703406","1375522","1763992","3578","0","0","7165","590294","25317","16136","5743","3299","634894","761718","2218960","1124737","5551933","28654","5369212","1267427","4162865","2305635","930475","926755","982971","563265","69052","350654","6595151","11843233","4785495","6156585","9289031","7347909","116640","28383","2206601","57414","12953","1506796","363959","1425028","140397","2772711","184866","739347","348268","249542","15510","83216","1593152","5482474","1991115","13265","5811484","11686650","10399290","1969454","647064","707561","155180","317324","477","102632","0"
"3","Республика Бурятия","488862","180836","284108","23918","3308201","402817","123310","18156","0","11248","0","4941","12535","1914","0","1480","44977","175076","16045","0","0","0","16840","806","23565","161613","108533","1021","0","0","50","1391","0","0","0","0","173528","1705","3121","377","2070142","19","1174122","78418","1160549","869601","0","290948","207544","121640","12286","73618","598325","2265637","423344","1562017","914596","568376","6963","3763","0","1719","69720","174740","100041","337831","89629","204998","22000","81204","55440","34500","144","20796","228995","994004","546299","4197","2226280","3668475","3247088","612963","207024","150007","19352","66838","151","22077","0"
"4","Республика Алтай","166247","124419","39915","1913","207709","42900","7138","14845","0","1921","0","755","18840","128","0","8","8743","0","2436","2453","0","2453","3395","104","416","24231","41111","0","0","0","0","0","4174","0","0","0","0","279","222","19169","35","35","0","40571","110195","30290","16439","63466","45630","32568","1416","11646","445561","442398","149722","263146","297970","74722","10724","739","0","1467","39683","147213","34885","405473","317927","66987","9802","35273","7366","6818","0","548","67096","160126","66758","394","854887","1245232","831021","422196","294111","27015","3201","8014","0","5034","0"
"5","Республика Дагестан","523244","439198","31025","53021","1330148","60097","10757","3724","175","300087","0","7642","11713","29316","50","28756","9074","3409","5370","27544","0","27544","7393","7638","20232","208054","156295","0","0","0","34","27","99","99","254","162","33404","41137","58393","163","219804","235","211852","123383","1042955","586234","34657","422063","120240","66216","18720","35304","938388","2086886","515434","1475338","1322142","756511","3004","26538","393102","24670","3531","380356","157074","244342","38765","266219","63834","74038","77212","59822","1232","16158","192078","609040","426971","2510","2846397","7508462","4959723","707513","273741","122280","15489","49610","230","50177","0"
"6","Республика Ингушетия","131253","122046","9125","82","57064","23684","18869","246","0","2140","0","32","3168","-40","0","-40","3700","70","575","0","0","0","1814","0","532","3848","13886","0","0","0","0","4","6777","0","1319","0","40","0","575","0","0","0","0","3040","92581","56872","34468","1241","39929","37510","711","1708","148375","226440","65090","149157","87578","43246","230","3306","0","117","17","19518","24680","19717","6680","53167","5736","16557","3622","3505","0","117","14132","57182","76291","307","545478","1315146","717332","169041","63952","16830","892","6130","0","6643","0"
"7","Кабардино-Балкарская Республика","364423","339529","10638","14256","593434","135032","5570","46162","100","79204","1190","6362","98391","1570","141","1262","4883","16789","2442","75","0","75","22319","1122","9827","63289","55655","154","0","105","656","0","10831","0","0","0","13002","28064","23322","7223","69","50","0","23604","606508","316255","177701","112552","88240","80131","2648","5461","227409","724164","266924","424746","248495","127568","973","5690","22","0","9","53225","67693","122339","29920","111017","7997","13013","20039","15091","198","4750","73759","248188","188279","961","1193811","2045505","1621510","207124","68300","77041","6132","26165","59","19164","0"
"8","Республика Калмыкия","352763","334871","15008","2884","250378","50272","13460","498","0","14362","0","6576","44130","4301","0","3432","7859","1396","10747","1152","0","1152","6928","111","7571","18923","10148","0","0","0","0","0","90","0","0","0","31329","202","3618","0","667","0","50","30086","217669","146147","45764","25758","69555","38996","13656","16903","213246","1467194","176862","1239192","270614","138313","497","10892","19457","3514","38","89376","39373","247502","27090","108797","13001","17333","26232","15110","324","10798","138286","237918","387052","4426","689922","964615","659491","128468","46312","44657","9152","21277","0","8447","0"
"9","Карачаево-Черкесская Республика","272194","261993","9432","769","708830","121520","50369","42946","1126","143836","0","35291","66501","2341","38","2205","6341","512","2732","0","0","0","150","7771","61345","225423","2243","0","0","0","0","0","0","0","0","0","3871","9566","4927","420","0","0","0","14040","368481","210766","98531","59183","61824","42180","6549","13095","176563","429531","133032","274827","162512","100548","440","1349","4968","0","0","28830","33134","92628","48494","62540","9226","12545","14936","8397","50","6489","42849","185495","73865","324","745192","1273797","829835","121866","32969","27181","4337","7643","0","20085","0"
