"field name","english description","russian description","format"
"GA","Code of the constituent entity of the Russian Federation","Код субъекта Российской Федерации","text"
"GB","Name of the constituent entity of the Russian Federation","Наименование субъекта Российской Федерации","text"
"G1"," OKVED code A 01-03 Agriculture, forestry, hunting, fishing, fish farming – total","Код по ОКВЭД А 01-03  Сельское, лесное хозяйство, охота, рыболовство, рыбоводство – всего","integer"
"G2"," OKVED code A 01: crop and livestock production, hunting and provision of related services in these areas","Код по ОКВЭД А 01 растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях","integer"
"G3"," OKVED code A 02: forestry and logging","Код по ОКВЭД А 02 лесоводство и лесозаготовки","integer"
"G4"," OKVED code A 03: fishing, fish farming","Код по ОКВЭД А 03 рыболовство, рыбоводство","integer"
"G5"," OKVED code C 10-33 Manufacturing industries – total","Код по ОКВЭД  С 10-33 Обрабатывающие производства – всего","integer"
"G6"," OKVED code C 10: food production","Код по ОКВЭД С 10 производство пищевых продуктов","integer"
"G7"," OKVED code C 10.1: processing and preserving meat and meat food products","Код по ОКВЭД С 10.1 переработка и консервирование мяса и мясной  пищевой продукции","integer"
"G8","OKVED code C 10.5: production of dairy products","Код по ОКВЭД С 10.5 производство молочной продукции","integer"
"G9"," OKVED code C 10.81: sugar production","Код по ОКВЭД С 10.81 производство сахара","integer"
"G10"," OKVED code C 11: beverage production","Код по ОКВЭД С 11 производство напитков","integer"
"G11"," OKVED code C 12: production of tobacco products","Код по ОКВЭД С 12 производство табачных изделий","integer"
"G12"," OKVED code C 13: production of textiles","Код по ОКВЭД С 13 производство текстильных изделий","integer"
"G13"," OKVED code C 14: clothing production","Код по ОКВЭД С 14 производство одежды","integer"
"G14"," OKVED code C 15: production of leather and leather goods","Код по ОКВЭД С 15 производство кожи и изделий из кожи","integer"
"G15"," OKVED code C 15.11.1 dressing and dyeing of fur","Код по ОКВЭД С 15.11.1 выделка и крашение меха","integer"
"G16"," OKVED code C 15.2: footwear production","Код по ОКВЭД С 15.2 производство обуви","integer"
"G17","OKVED Code C 16: wood processing and production of wood and cork products, except furniture, production of straw products and wickerwork materials","Код по ОКВЭД С 16 обработка древесины и производство  изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения","integer"
"G18"," OKVED code C 17: production of paper and paper products","Код по ОКВЭД С 17 производство бумаги и бумажных изделий","integer"
"G19"," OKVED code C 18: printing and copying of information media","Код по ОКВЭД С 18 деятельность полиграфическая и копирование носителей информации","integer"
"G20"," OKVED code C 19: production of coke and petroleum products","Код по ОКВЭД С 19 производство кокса и нефтепродуктов","integer"
"G21"," OKVED code C 19.1: coke production","Код по ОКВЭД С 19.1 производство кокса","integer"
"G22"," OKVED code C 19.2: production of petroleum products","Код по ОКВЭД С 19.2 производство нефтепродуктов","integer"
"G23"," OKVED code C 20: production of chemicals and chemical products","Код по ОКВЭД С 20 производство химических веществ и химических продуктов","integer"
"G24","OKVED code C 21: production of medicines and materials used for medical purposes","Код по ОКВЭД С 21 производство лекарственных средств и материалов, применяемых в медицинских целях","integer"
"G25"," OKVED code C 22: production of rubber and plastic products","Код по ОКВЭД С 22 производство резиновых и пластмассовых изделий","integer"
"G26"," OKVED code C 23: production of other non-metallic mineral products","Код по ОКВЭД С 23 производство прочей неметаллической минеральной продукции","integer"
"G27"," OKVED code C 24-25: metallurgical production and production of finished metal products, except for machinery and equipment","Код по ОКВЭД С 24-25 производство металлургическое и производство готовых металлических изделий, кроме машин и оборудования","integer"
"G28"," OKVED code C 24.1: production of cast iron, steel, and ferroalloys","Код по ОКВЭД С 24.1 производство чугуна, стали и ферросплавов","integer"
"G29"," OKVED code C 24.10.3: production of hot-rolled sheet steel products","Код по ОКВЭД С 24.10.3  производство листового        горячекатаного  стального проката","integer"
"G30","OKVED code C 24.10.4: production of cold-rolled sheet steel products","Код по ОКВЭД С 24.10.4 производство листового       холоднокатаного  стального проката","integer"
"G31"," OKVED code C 24.2: production of steel pipes, hollow sections, and fittings","Код по ОКВЭД С 24.2 производство стальных труб, полых профилей и фитингов","integer"
"G32"," OKVED code C 24.3: production of other primary processed steel products","Код по ОКВЭД С 24.3 производство прочих стальных изделий первичной обработки","integer"
"G33"," OKVED code C 24.4: production of basic precious metals and other non-ferrous metals","Код по ОКВЭД С 24.4 производство основных драгоценных металлов и прочих цветных металлов","integer"
"G34"," OKVED code C 24.41: production of precious metals","Код по ОКВЭД С 24.41 производство драгоценных металлов","integer"
"G35"," OKVED code C 24.5: metal casting","Код по ОКВЭД С 24.5 литье металлов","integer"
"G36"," OKVED code C 24.51 cast iron","Код по ОКВЭД С 24.51 литье чугуна","integer"
"G37"," OKVED code C 26: production of computers, electronic and optical products","Код по ОКВЭД С 26 производство компьютеров, электронных и оптических изделий","integer"
"G38","OKVED code C 27: production of electrical equipment","Код по ОКВЭД С 27 производство электрического оборудования","integer"
"G39"," OKVED code C 28: production of machinery and equipment not included in other groups","Код по ОКВЭД С 28  производство машин и оборудования, не включенные в другие группировки","integer"
"G40"," OKVED code C 29: production of motor vehicles, trailers and semi-trailers","Код по ОКВЭД С 29 производство автотранспортных средств, прицепов и полуприцепов","integer"
"G41"," OKVED code C 30: production of other transport vehicles and equipment","Код по ОКВЭД С 30производство прочих транспортных средств и оборудования","integer"
"G42"," OKVED code C 30.1: construction of ships, vessels, and boats","Код по ОКВЭД С 30.1 строительство кораблей, судов и лодок","integer"
"G43"," OKVED code C 30.3: production of aircraft, including spacecraft, and related equipment","Код по ОКВЭД С 30.3 производство летательных аппаратов,      включая космические, и       соответствующего оборудования","integer"
"G44"," OKVED code C 31-33: other production","Код по ОКВЭД С 31-33 прочие производства","integer"
"G45","OKVED code D 35 Provision of electric power, gas and steam; air conditioning - total","Код по ОКВЭД D 35 Обеспечение электрической энергией, газом и паром; кондиционирование воздуха - всего","integer"
"G46"," OKVED code D 35.1: production, transmission and distribution of electric power","Код по ОКВЭД D 35.1  производство, передача и распределение электроэнергии","integer"
"G47"," OKVED code D 35.2: production and distribution of gaseous fuels","Код по ОКВЭД D 35.2 производство и распределение газообразного топлива","integer"
"G48"," OKVED code D 35.3 production, transmission and distribution of steam and hot water; air conditioning","Код по ОКВЭД D 35.3 производство, передача и распределение пара и  горячей воды; кондиционирование воздуха","integer"
"G49"," OKVED code E 36-39 Water supply, sanitation, waste collection and disposal, pollution control and elimination activities - total","Код по ОКВЭД E 36-39 Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность и ликвидация загрязнений-  всего","integer"
"G50"," OKVED code E 36: water collection, purification, and distribution","Код по ОКВЭД E 36 забор, очистка и распределение воды","integer"
"G51","OKVED code E 37: wastewater collection and treatment","Код по ОКВЭД E 37 сбор и обработка сточных вод","integer"
"G52"," OKVED code E 38-39 collection, processing and disposal of waste; processing of secondary raw materials, provision of services in the field of elimination of consequences of pollution and other services related to waste disposal","Код по ОКВЭД E 38-39 сбор,  обработка и утилизация отходов; обработка вторичного сырья, предоставление услуг в области ликвидации последствий загрязнений  и прочих услуг, связанных с удалением отходов","integer"
"G53"," OKVED code F 41-43 Construction","Код по ОКВЭД F 41-43 Строительство","integer"
"G54"," OKVED code G 45-47 Wholesale and retail trade; repair of motor vehicles and motorcycles - total","Код по ОКВЭД G 45-47 Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов - всего","integer"
"G55"," OKVED code G 46: wholesale trade, except for wholesale trade in motor vehicles and motorcycles","Код по ОКВЭД G 46 торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами","integer"
"G56","OKVED code G 47: retail trade, except for trade in motor vehicles and motorcycles","Код по ОКВЭД G 47 торговля розничная, кроме торговли автотранспортными средствами и мотоциклами","integer"
"G57"," OKVED code H 49-53 Transportation and storage - total","Код по ОКВЭД H 49-53 Транспортировка и хранение -всего","integer"
"G58"," OKVED code H 49: land and pipeline transport activities","Код по ОКВЭД H 49 деятельность сухопутного и трубопроводного транспорта","integer"
"G59"," OKVED code H 49.1-49.2 railway transport activities: intercity and international passenger and freight transportation","Код по ОКВЭД H 49.1-49.2 деятельность железнодорожного транспорта: междугородные и международные пассажирские и грузовые перевозки","integer"
"G60"," OKVED code H 49.32: passenger taxi and rented passenger cars with a driver activity","Код по ОКВЭД H 49.32 деятельность легкового такси и арендованных лкгковых автомобилей с водителем","integer"
"G61"," OKVED code H 49.5: pipeline transport activities","Код по ОКВЭД H 49.5 деятельность трубопроводного транспорта","integer"
