GA;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29
Республика Адыгея;1 637;1 186;431;426;0;0;6;0;54 001 259;2 816 921;68 149 727;8 445 106;63 734 203;6 686 747;3 071;0;48 254 539;48 251 468;3 071;977 179;64;973 655;102 571;135 020;103 936;0;0;31 084;0
Республика Башкортостан;13 061;7 678;5 265;5 168;0;0;120;0;455 677 712;42 830 008;753 380 903;199 912 558;719 063 392;180 102 733;84 184 766;2 095 661;627 610 352;550 224 523;77 385 829;12 883 993;1 439 227;10 059 385;1 431 193;3 920 090;2 806 247;0;0;1 113 843;0
Республика Бурятия;2 820;1 863;884;876;0;0;10;0;191 565 116;17 648 410;247 589 616;52 143 868;218 634 681;40 429 647;10 425 708;1 069 961;186 888 587;178 181 807;8 706 780;3 147 304;23 339;3 133 739;1 124 472;855 777;685 325;0;0;170 452;0
Республика Алтай;1 308;899;295;295;0;0;0;0;28 407 747;126 872;44 715 194;3 473 361;42 519 759;2 781 351;1 125 950;0;40 759 003;39 667 380;1 091 623;278 481;17 220;261 261;26 455;42 822;42 822;0;0;0;0
Республика Дагестан;4 207;3 742;447;416;0;0;37;0;121 655 273;11 161 192;194 263 879;26 350 458;188 028 980;25 364 417;1 726 284;0;163 687 702;161 975 774;1 711 928;3 093 653;13 066;3 078 086;576 485;709 913;337 159;0;0;372 754;0
Республика Ингушетия;595;535;60;50;0;0;10;0;10 761 916;312 008;25 465 796;4 865 081;25 968 210;4 994 020;1 031 855;521 894;21 178 243;20 668 282;509 961;450 743;9 566;441 177;11 492;119 524;77 529;0;0;41 995;0
Кабардино-Балкарская Республика;1 535;1 198;317;309;1;0;12;0;53 420 423;441 742;102 573 727;14 808 698;77 154 629;13 688 798;1 006 873;77 759;63 315 827;62 397 954;917 873;1 330 278;13 007;1 288 430;86 364;291 210;285 813;0;0;5 397;0
Республика Калмыкия;1 005;723;279;231;0;0;53;0;53 294 059;18 478 581;63 324 022;21 793 079;62 506 535;21 609 091;0;0;40 369 751;40 369 751;0;654 322;0;651 555;333 000;469 801;82 975;0;0;386 826;0
Карачаево-Черкесская Республика;1 465;1 138;327;224;0;0;103;0;39 995 627;8 146 919;70 876 049;25 757 682;58 748 006;22 000 143;0;0;34 984 579;34 984 579;0;732 651;0;733 715;29 018;454 027;417 103;0;0;36 924;0
Республика Карелия;2 724;965;1 745;1 433;0;0;772;18;141 733 623;23 379 507;191 637 116;49 823 833;181 264 746;45 993 393;0;0;135 104 563;135 104 563;0;1 955 146;0;1 912 709;582 472;1 506 436;843 350;0;0;663 086;0
Республика Коми;3 790;2 063;1 705;1 673;0;0;40;0;921 843 477;497 531;1 233 424 221;135 687 292;1 007 054 359;100 785 092;7 468 398;511 903;912 680 089;905 723 594;6 956 495;14 431 851;136 821;14 293 509;7 170 033;2 491 003;1 848 310;0;0;642 693;0
Республика Марий-Эл;2 450;1 330;1 111;1 101;0;0;17;0;91 111 286;6 783 049;121 262 435;26 021 875;120 772 314;25 982 028;0;0;89 747 243;89 747 243;0;1 540 604;0;1 539 745;205 077;737 307;413 313;0;0;323 994;0
Республика Мордовия;3 168;1 855;1 306;1 267;0;0;42;0;121 096 557;29 936 478;192 883 839;66 456 077;188 255 676;66 286 943;0;0;121 867 678;121 867 678;0;2 517 144;0;2 514 508;283 817;1 455 437;613 631;0;0;841 806;0
Республика Саха (Якутия);4 601;3 012;1 559;1 438;1;0;162;0;749 061 490;90 457 975;925 479 876;175 425 704;866 561 898;147 737 850;0;0;704 663 621;704 663 621;0;12 676 085;0;13 269 988;2 519 815;3 240 428;1 785 092;0;0;1 455 336;0
Республика Северная Осетия-Алания;1 808;1 546;262;261;1;0;0;0;49 619 804;178 420;104 402 787;39 633 281;101 082 244;37 670 236;246 423;3 776;51 532 738;51 304 618;228 120;908 980;11 598;851 442;132 643;811 712;811 705;7;0;0;0
Республика Татарстан;15 060;5 977;8 974;8 729;0;0;472;0;967 482 282;138 373 858;1 543 376 376;423 760 757;1 461 409 910;373 087 549;99 654 157;248 708;1 180 789 447;1 085 912 736;94 876 711;22 156 860;1 093 655;20 990 809;2 006 714;10 515 431;6 526 089;0;0;3 989 342;0
Республика Тыва;1 318;1 201;104;104;0;0;1;0;24 934 528;3 605 808;31 943 071;6 372 965;31 005 801;6 247 866;51 688;10 683;17 061 850;17 020 844;41 006;356 629;135;355 704;5 799;122 213;122 213;0;0;0;0
Удмуртская Республика;6 291;2 998;3 217;3 178;0;0;56;0;198 887 139;9 839 127;305 155 197;62 685 340;289 002 550;56 845 096;19 001 722;21 052;245 921 077;227 550 881;18 370 196;4 656 399;208 739;4 431 205;745 267;1 243 096;871 419;0;0;371 677;0
Республика Хакасия;1 889;599;1 286;474;0;0;969;0;125 783 075;22 086 126;182 110 353;53 253 431;174 792 253;52 038 114;8 827 432;706 137;109 726 387;103 631 516;6 094 871;2 090 835;86 976;2 002 416;303 218;1 114 253;396 063;0;0;718 190;0
Чеченская Республика;1 819;1 085;713;570;1;0;146;0;79 408 905;19 956 455;137 210 950;44 093 304;130 749 608;41 657 569;4 634 442;18 798;93 442 464;88 855 504;4 586 960;1 962 858;85 733;1 860 763;37 929;887 229;157 578;28;0;729 623;0
Чувашская Республика;4 221;1 955;2 263;2 154;0;0;136;0;160 562 403;29 520 088;214 354 010;61 932 928;208 726 380;57 783 189;11 311;0;146 771 611;146 760 300;11 311;2 740 771;171;2 725 709;425 073;1 246 759;791 039;0;0;455 720;0
Алтайский край;8 403;5 329;3 029;3 029;0;0;0;0;187 717 761;11 393 661;277 826 710;54 016 186;261 798 884;47 061 364;27 573 261;8 626;234 334 212;214 737 520;19 596 692;4 623 704;313 411;4 303 451;606 834;1 035 350;1 035 350;0;0;0;0
Краснодарский край;19 123;9 369;9 628;9 398;2;0;316;41;2 181 903 980;677 605 754;2 835 326 934;1 005 341 064;2 679 143 435;1 050 952 376;312 147;0;1 738 322 688;1 738 010 541;312 147;27 756 496;5 664;27 751 414;7 176 484;24 436 499;9 621 583;370 528;0;14 444 388;0
Красноярский край;11 512;3 205;8 283;3 451;2;0;4 976;0;1 096 209 209;135 268 436;1 509 920 449;390 006 272;1 358 642 146;359 464 591;131 727;12 277;948 089 612;947 970 162;119 450;19 135 342;2 389;19 132 953;2 294 126;8 053 870;3 839 354;125;0;4 214 391;0
Приморский край;6 612;2 325;4 251;2 656;0;0;2 055;20;629 561 700;96 523 470;792 160 003;192 353 833;757 317 399;188 115 095;16 962 950;3 406 143;580 477 896;567 219 349;13 258 547;9 455 642;77 337;9 291 204;3 174 332;4 897 658;2 773 051;0;0;2 124 607;0
Ставропольский край;9 359;5 757;3 602;3 469;0;0;165;0;310 536 943;42 131 888;570 902 706;192 945 470;556 866 775;174 572 163;15 126 711;2 785;399 248 358;384 124 432;15 123 926;7 692 892;219 991;7 454 292;1 219 285;3 885 389;3 033 945;0;0;851 444;0
Хабаровский край;4 599;2 307;2 243;2 195;0;1;68;4;594 723 730;56 436 587;876 927 291;150 985 253;735 568 140;133 455 614;9 556 589;0;605 234 356;597 904 627;7 329 729;11 699 573;73 254;11 636 440;3 189 116;2 657 228;1 722 317;0;0;934 911;0
Амурская область;3 310;2 216;1 065;985;0;0;86;84;460 200 016;33 012 651;523 883 945;65 113 697;477 221 669;56 258 737;14 642 321;0;418 256 141;404 342 958;13 913 183;6 887 255;236 299;6 642 376;2 672 314;1 399 429;1 174 943;0;0;224 486;0
Архангельская область;3 793;1 959;1 814;1 795;1;0;25;25;362 249 222;26 389 524;466 652 245;83 215 480;431 291 360;70 173 007;4 474;0;361 094 100;361 089 626;4 474;5 891 532;89;5 889 334;2 041 823;2 183 073;1 535 765;6 566;0;640 742;0
Астраханская область;2 567;1 105;1 433;678;0;0;773;0;332 090 314;125 465 611;416 485 053;180 298 361;379 036 438;163 331 031;106 501;0;215 618 981;215 512 480;106 501;3 931 705;1 887;3 917 306;647 831;3 682 493;2 929 162;0;0;753 331;0
Белгородская область;6 914;3 470;3 398;2 765;0;0;723;47;233 476 770;2 787 391;408 288 954;83 613 091;373 558 557;64 724 018;55 249 962;899 795;360 901 632;308 797 249;52 104 383;7 119 215;857 346;6 251 787;529 968;1 588 710;1 298 293;0;0;290 417;0
Брянская область;4 563;3 217;1 339;1 306;0;0;61;0;139 795 949;19 249 832;229 288 245;84 298 422;214 673 510;72 461 113;1 359;0;142 118 772;142 117 413;1 359;2 822 682;27;2 804 870;429 652;1 588 839;1 089 037;0;0;499 802;0
Владимирская область;5 268;2 969;2 290;2 269;0;0;38;0;214 032 670;40 971 144;319 869 848;104 372 145;297 807 124;99 491 436;27 208;0;185 498 693;185 471 485;27 208;3 561 531;559;3 560 361;676 187;2 135 431;1 387 490;0;0;747 941;0
Волгоградская область;7 828;4 154;3 622;3 457;0;0;283;1;368 398 196;52 297 616;607 204 685;211 012 328;545 353 367;170 067 533;10 881;0;372 937 561;372 926 680;10 881;7 303 788;218;7 300 119;1 222 030;3 693 054;2 130 467;0;0;1 562 587;0
Вологодская область;6 740;4 299;2 397;2 305;0;0;111;0;1 158 093 945;708 116 486;1 333 151 054;771 585 951;1 189 281 097;660 979 681;45 412 757;1 221 039;569 755 287;525 563 569;44 191 718;9 768 324;771 263;8 990 173;3 805 663;1 645 666;1 396 640;0;0;249 026;0
Воронежская область;8 248;4 127;4 063;4 025;0;0;45;22;310 627 475;16 293 867;625 163 189;156 928 616;595 902 920;137 173 858;12 366;0;456 012 231;455 999 865;12 366;8 163 046;247;8 141 615;904 912;2 526 058;2 141 940;0;0;384 118;0
Ивановская область;3 634;1 977;1 634;1 628;0;0;16;0;102 345 831;801 697;136 970 831;13 904 457;128 773 561;12 752 677;10 418 720;0;117 430 735;108 112 660;9 318 075;2 100 202;58 368;2 040 778;417 972;269 890;239 535;0;0;30 355;0
Иркутская область;8 569;2 045;6 500;3 658;0;0;3 016;0;666 605 679;67 202 187;1 008 544 955;219 019 102;946 411 212;193 198 966;346 109;0;750 111 336;749 999 814;111 522;13 528 295;2 140;13 574 211;3 397 196;4 878 312;3 356 604;0;0;1 521 708;0
Калининградская область;3 935;2 139;1 772;1 613;0;0;164;0;189 274 346;48 628 322;287 402 081;101 688 824;272 504 598;96 067 774;3 995 084;0;179 495 590;175 610 320;3 885 270;3 547 813;21 386;3 432 086;225 276;2 322 421;2 272 958;0;0;49 463;0
Калужская область;6 197;2 628;3 512;1 890;0;0;1 765;0;263 444 040;87 059 260;434 968 554;225 810 534;411 305 932;226 597 974;19 455;0;183 670 952;183 651 497;19 455;3 700 307;107;3 676 092;306 159;5 032 672;1 700 836;0;0;3 331 836;0
Камчатский край;1 517;839;672;638;0;0;76;0;104 478 347;21 065 274;135 085 887;35 953 886;125 869 994;28 268 794;0;0;97 601 218;97 601 218;0;1 906 276;0;1 906 276;249 039;665 834;231 653;0;0;434 181;0
Кемеровская область;7 408;4 441;2 967;2 748;0;0;270;46;447 400 430;52 796 942;709 823 761;190 219 284;682 306 618;162 836 180;15 658 227;2 279 090;506 759 845;493 560 149;13 199 696;9 881 589;247 962;9 552 071;1 010 918;4 367 416;2 141 383;0;0;2 226 033;0
Кировская область;6 220;3 802;2 349;2 050;0;0;331;25;158 896 427;25 256 205;228 517 519;69 426 792;204 177 768;60 452 215;11 000 761;53 777;141 771 438;132 887 916;8 883 522;2 329 119;82 120;2 247 409;448 603;1 667 629;620 809;0;0;1 046 820;0
Костромская область;2 729;1 547;1 144;1 115;0;0;37;0;72 800 769;9 957 455;111 330 590;33 184 917;97 986 208;29 463 901;10 486 015;1 069 409;75 855 452;66 687 424;9 168 028;1 357 629;84 008;1 273 205;275 339;628 967;435 442;0;0;193 525;0
Курганская область;3 156;2 206;935;924;0;0;12;0;99 691 462;2 366 353;147 244 439;27 275 872;138 970 570;27 604 975;3 536 879;37 323;114 333 419;110 852 553;3 480 866;2 000 834;33 227;1 953 531;668 209;579 564;514 773;0;0;64 791;0
Курская область;4 264;2 528;1 736;1 719;0;0;17;0;149 123 775;6 835 762;267 983 586;51 843 431;249 594 913;45 323 772;73 966;0;204 023 268;203 959 808;63 460;3 769 739;343;3 784 674;296 620;1 290 416;1 276 893;0;0;13 523;0
Ленинградская область;7 827;3 015;4 772;2 775;0;0;2 376;0;1 012 661 238;185 997 892;1 371 224 518;386 352 882;1 293 456 271;368 084 756;61 955;17 670;941 326 147;941 287 016;39 131;15 484 011;674;15 478 901;6 191 992;8 264 616;2 197 391;0;0;6 067 225;0
Липецкая область;4 716;2 731;1 965;1 920;0;0;84;0;206 864 085;25 972 424;361 005 975;105 785 804;348 756 017;94 559 365;10 327 664;66 131;259 724 521;250 018 523;9 705 998;5 219 408;186 480;4 991 333;552 113;2 114 982;1 795 374;0;0;319 608;0
Магаданская область;1 158;409;746;426;0;0;462;0;74 490 562;27 253 418;117 094 955;55 473 836;106 940 845;48 905 432;3 371 359;0;61 406 540;58 035 181;3 371 359;904 985;39 638;860 055;8 457;1 409 621;369 734;0;0;1 039 887;0
Московская область;35 279;16 751;18 204;18 138;0;0;126;1;1 666 162 164;217 050 674;2 685 803 787;717 297 570;2 508 945 704;647 279 737;320 916 869;4 061 743;2 158 499 975;1 854 678 929;303 821 046;43 021 184;4 464 149;38 327 781;2 778 261;14 821 499;13 646 624;0;0;1 174 875;0
Мурманская область;2 851;799;2 031;1 062;0;0;1 119;0;272 140 025;92 923 443;360 090 976;146 565 491;323 734 359;127 172 649;35 200;0;196 597 295;196 562 095;35 200;4 088 783;704;4 087 858;248 127;2 776 102;1 161 660;0;0;1 614 442;0
Нижегородская область;16 707;9 335;7 230;6 385;0;0;911;0;572 270 994;61 857 690;987 468 704;359 950 397;942 997 260;342 871 866;94 794 844;3 810 066;633 277 542;559 873 415;73 404 127;12 513 362;1 348 255;11 174 843;1 743 259;7 690 409;5 154 410;0;0;2 535 999;0
Новгородская область;2 949;1 726;1 203;1 150;0;0;56;0;204 706 221;21 037 916;260 135 462;66 573 954;220 526 745;49 304 287;1 819 550;9 706;166 557 980;164 748 136;1 809 844;3 056 412;4 815;3 029 319;790 506;1 084 857;830 110;0;0;254 747;0
Новосибирская область;12 270;7 319;4 719;4 667;0;0;76;0;458 779 458;94 458 646;744 580 670;238 798 217;716 807 463;225 684 278;50 010 274;707 633;513 115 510;465 505 907;47 609 603;10 169 351;638 397;9 499 559;874 958;4 943 646;3 545 086;0;0;1 398 560;0
Омская область;5 687;3 077;2 571;2 558;0;0;29;2;244 778 761;4 734 225;367 358 235;69 263 330;355 374 134;60 669 754;94 971;0;265 159 529;265 064 558;94 971;5 046 131;1 691;5 032 541;544 083;1 632 036;1 240 455;0;0;391 581;0
Оренбургская область;6 149;1 340;4 790;2 194;0;0;3 036;0;456 111 153;90 105 634;633 755 361;177 568 318;603 461 777;160 198 336;102 871;0;440 373 685;440 270 814;102 871;9 095 647;1 877;9 091 550;752 629;3 446 117;1 468 794;0;0;1 977 323;0
Орловская область;3 358;1 021;2 329;1 013;0;0;1 455;0;107 224 248;18 631 082;152 858 735;46 873 849;144 627 257;42 660 093;10 286;0;100 605 410;100 596 932;8 478;1 798 243;121;1 795 432;344 579;1 107 426;498 314;0;0;609 112;0
Пензенская область;4 838;3 357;1 468;1 449;0;0;6;1;139 183 878;7 534 742;209 306 826;46 553 158;203 336 684;43 693 575;14 061 905;0;173 506 998;159 775 599;13 731 399;3 147 676;261 183;2 893 401;484 735;1 177 202;909 960;0;0;267 242;0
Пермский край;13 181;7 791;5 337;4 480;0;0;1 066;80;652 585 114;45 378 480;910 925 778;176 382 030;873 109 449;166 865 180;13 930;0;701 699 111;701 685 181;13 930;11 850 966;46;11 849 165;2 491 008;5 287 519;2 730 317;0;0;2 557 202;0
Псковская область;2 819;1 480;1 327;1 233;0;0;147;0;80 403 409;5 312 723;116 980 563;21 757 555;110 649 495;20 031 786;4 538 440;0;94 993 632;90 616 797;4 376 835;1 397 587;74 249;1 320 608;177 335;719 874;346 482;0;0;373 392;0
Ростовская область;15 117;8 236;6 750;6 628;0;0;200;0;619 037 025;39 629 132;1 052 951 866;222 766 217;978 260 484;192 040 231;103 280;0;782 905 718;782 782 475;123 243;14 880 352;1 383;15 109 706;2 580 725;5 329 731;3 170 455;0;0;2 159 276;0
Рязанская область;6 188;2 836;3 274;2 791;0;0;1 456;0;208 110 270;42 194 108;334 322 548;100 593 136;324 369 347;95 403 476;41 898 152;772 378;263 809 479;226 961 592;36 847 887;4 809 218;383 349;4 419 581;639 077;2 155 357;1 313 866;0;0;841 491;0
Самарская область;13 567;7 798;5 725;5 584;0;0;205;0;595 819 364;102 317 283;1 012 959 667;331 912 994;950 099 363;306 266 602;104 333 482;302 533;735 824 448;636 739 496;99 084 952;13 565 713;872 592;12 629 467;1 967 705;6 737 096;3 880 156;0;0;2 856 940;0
Саратовская область;8 079;4 704;3 375;3 211;0;0;193;0;326 325 499;14 219 964;601 132 674;142 378 159;567 715 219;131 784 198;6 908 896;0;441 929 706;435 582 963;6 346 743;8 053 459;63 067;7 978 770;1 352 583;3 448 471;1 872 870;0;0;1 575 601;0
Сахалинская область;2 564;1 052;1 484;1 472;0;1;10;0;1 060 570 463;740 290 055;1 129 937 090;786 231 983;1 201 088 469;896 129 872;5 598 645;0;310 567 349;304 986 736;5 580 613;5 275 342;55 958;5 234 627;1 482 531;19 531 818;780 607;0;18 704 402;46 809;0
Свердловская область;18 049;6 743;11 096;10 170;0;0;968;0;1 031 755 557;53 348 424;1 813 644 589;408 562 215;1 607 994 916;363 051 430;49 552 129;12 326 962;1 279 209 591;1 243 829 205;35 380 386;25 253 140;425 104;24 571 107;3 762 197;7 856 766;5 860 503;0;0;1 996 263;0
Смоленская область;4 403;2 400;2 002;1 969;0;0;44;0;184 034 563;9 451 659;264 616 384;45 903 117;235 907 265;39 731 400;0;0;196 175 866;196 175 866;0;3 676 738;0;3 676 738;887 209;899 841;848 038;0;0;51 803;0
Тамбовская область;2 992;1 472;1 508;1 488;0;0;40;0;134 843 111;29 071 513;192 973 757;69 349 621;179 984 665;61 420 212;0;0;118 988 581;118 988 581;0;2 263 621;0;2 265 443;505 929;1 350 946;718 233;0;0;632 713;0
Тверская область;5 984;3 252;2 692;2 044;0;0;661;0;354 846 803;46 577 265;484 794 670;99 246 176;435 132 289;68 859 206;1 595 213;66 583;361 932 587;360 409 959;1 522 628;6 978 597;21 376;6 924 893;1 402 216;1 502 408;989 269;0;0;513 139;0
Томская область;4 087;1 265;2 789;1 494;0;0;1 408;0;280 983 939;59 561 530;390 953 567;112 651 000;378 466 650;102 397 530;10 489 284;0;279 092 287;275 905 425;3 186 862;5 564 119;29 513;5 516 486;705 788;2 256 381;959 236;0;0;1 297 145;0
Тульская область;7 126;4 523;2 549;2 438;0;0;142;9;220 323 107;12 317 444;363 128 669;97 826 801;347 301 521;86 067 758;26 708 656;97 169;280 922 216;257 567 317;23 354 899;4 892 878;428 931;4 394 881;526 333;2 376 300;1 462 998;0;0;913 302;0
Тюменская область;5 723;1 787;3 932;2 614;0;0;1 424;0;655 924 333;194 725 753;927 495 217;351 271 234;854 592 105;329 108 810;18 669 814;885 113;526 087 221;508 441 211;17 646 010;9 115 284;304 384;8 810 130;2 127 386;7 773 901;2 203 431;0;0;5 570 470;0
Ульяновская область;4 207;1 367;2 812;1 543;0;0;1 297;28;169 348 026;15 806 839;258 774 716;60 737 322;250 023 923;56 641 760;1 915;0;192 450 099;192 448 184;1 915;2 858 194;31;2 854 123;491 713;2 119 025;813 129;0;0;1 305 896;0
Челябинская область;13 004;7 511;4 964;4 836;0;0;138;0;461 900 347;25 520 394;875 774 733;226 877 392;798 107 765;200 672 429;25 987 694;0;616 506 053;591 260 771;25 245 282;12 660 049;277 732;12 324 687;717 126;4 348 873;3 923 458;0;0;425 415;0
Забайкальский край;3 465;2 036;1 403;775;0;0;730;0;219 220 827;28 414 363;359 373 712;67 987 062;322 224 932;56 994 276;11 830 967;1 047 329;275 798 511;265 138 505;10 660 006;4 899 321;148 556;4 732 434;1 516 743;1 253 221;1 127 100;0;0;126 121;0
Ярославская область;5 902;2 706;3 145;3 070;0;0;103;19;305 869 276;37 296 771;495 811 597;122 362 097;458 013 175;106 712 659;4 729 583;364;339 964 538;335 281 053;4 683 485;6 087 133;8 283;6 078 850;1 218 725;2 636 838;1 874 497;0;0;762 341;0
город Москва;82 309;33 018;47 346;43 486;29;0;4 186;0;4 475 559 649;2 205 275 180;7 717 030 087;4 657 596 115;7 243 609 781;4 290 338 618;4 337 569 066;220 980 229;6 839 004 517;2 943 974 058;3 895 030 459;104 903 836;45 323 412;60 037 175;6 133 850;97 512 687;44 091 841;49 260;0;53 371 586;0
город Санкт-Петербург;32 215;11 473;19 889;17 353;4;0;3 292;0;1 731 015 593;844 530 564;3 155 760 837;1 733 294 112;2 744 778 009;1 401 868 442;493 935 731;17 190 176;1 775 221 113;1 336 141 336;439 079 777;31 282 732;4 112 529;27 210 740;2 526 716;30 083 389;15 821 564;89;0;14 261 736;0
Еврейская автономная область;619;353;266;188;0;0;80;0;106 948 836;15 288 400;111 331 891;19 881 449;93 747 092;19 239 401;0;0;70 478 901;70 478 901;0;1 035 691;0;1 035 691;588 587;453 226;374 802;0;0;78 424;0
Ненецкий АО;404;109;293;123;0;0;212;0;267 786 887;9 049 084;281 661 090;17 998 468;273 426 037;14 104 468;0;0;259 030 412;259 030 412;0;5 561 442;0;5 561 442;207 158;309 783;92 300;0;0;217 483;0
Ханты-Мансийский АО - Югра;7 695;3 766;3 825;3 521;0;0;701;0;2 848 554 872;129 450 859;3 415 623 117;422 460 176;3 246 504 590;365 476 915;68 219 628;162 783;2 938 389 984;2 871 271 077;67 118 907;57 657 327;1 183 299;55 500 128;8 140 259;8 882 955;5 188 378;0;0;3 694 577;0
Чукотский АО;422;188;232;232;0;0;0;0;41 946 147;167 925;57 595 508;7 713 732;56 855 874;6 351 401;0;0;50 504 474;50 504 474;0;1 093 283;0;1 093 276;26 492;138 961;138 961;0;0;0;0
Ямало-Hенецкий АО;2 622;1 025;1 570;1 091;0;0;654;0;3 573 493 221;350 310 222;4 085 249 748;532 276 630;3 453 619 344;413 460 494;2 147;0;3 029 052 644;3 029 050 497;2 147;54 218 503;47;53 964 220;13 677 929;12 722 253;2 130 174;0;0;10 592 079;0
Республика Крым;5 031;2 155;2 814;2 753;0;0;115;0;146 744 744;43 050 232;217 117 695;89 954 042;206 190 054;75 566 331;0;0;130 471 562;130 471 562;0;1 293 015;0;1 302 279;44 607;756 020;664 150;0;0;91 870;0
