"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29"
"Республика Адыгея","1883","1856","25","19","0","0","6","0","55688833","3292466","73984338","4027389","66661539","3775030","8190612","0","65994465","54161238","11833227","1233066","1063474","169592","78104","28137","0","0","49967","0","0","0"
"Республика Башкортостан","18795","15999","403","152","0","0","128","0","514026446","45054836","902624127","102952402","858031887","207044071","69057511","570504","827831413","742031004","85800409","15824156","13618665","1627910","1950185","378367","0","0","1571818","9525","0","0"
"Республика Бурятия","2812","2528","70","51","0","0","13","0","198203948","20418289","308323734","58540740","287364572","47309049","6722475","171426","245917548","239072907","6844641","3980715","3944948","36431","768939","190002","0","0","578937","311","0","0"
"Республика Алтай","1228","957","13","13","0","0","0","0","24871836","110569","51893079","2837599","49472405","2928362","1079352","0","46293780","44977990","1315790","351434","326167","22125","5137","5137","0","0","0","0","0","0"
"Республика Дагестан","4421","3979","26","14","0","0","11","0","129493835","10623112","203310229","16313432","197013941","16632170","1712754","69934","182217972","179175225","3042747","3479189","3442743","33206","378734","132113","0","0","246621","909","0","0"
"Республика Ингушетия","596","519","17","3","0","0","15","1","18451694","2675468","38226826","5438856","34588872","3330377","1582318","1117858","31434462","31037524","396938","703089","624814","7219","57650","28020","0","0","29630","25817","0","0"
"Кабардино-Балкарская Республика","1567","1180","87","34","1","0","1","2","49825335","319427","82679128","6634103","81369104","5034552","8974700","0","85853518","75132371","10721147","1726695","1473432","191798","77771","75969","0","0","1802","0","0","0"
"Республика Калмыкия","1300","1108","65","24","0","0","41","1","56550615","11902718","65785056","13581976","66422069","15142594","651455","95","52031358","51071668","959690","998763","993995","7017","312783","30605","0","0","282178","19","0","0"
"Карачаево-Черкесская Республика","1625","1346","101","27","0","0","26","1","40718375","7809509","71125002","18223707","69577650","17719063","750146","343276","49206954","48800084","406870","930264","929875","5492","378776","290191","0","0","88585","2406","0","0"
"Республика Карелия","3295","1396","1606","39","0","0","1568","55","140674823","26374520","204285330","32193925","189455205","27804378","9006386","0","171689629","161407959","10281670","2618305","2458328","108745","1285614","507923","0","0","777691","80469","0","0"
"Республика Коми","3637","3203","78","40","0","0","37","144","947832669","8032355","1269919882","14371580","1227786519","7118778","12684039","0","1232621323","1219972629","12648694","22520299","22299372","192501","926851","30199","0","0","896652","0","0","0"
"Республика Марий-Эл","2513","2428","68","60","0","0","16","0","94673694","4374677","131969109","4887755","121824738","4993195","618437","0","111634626","110632647","1001979","2152667","2140807","9137","118916","99783","0","0","19133","0","0","0"
"Республика Мордовия","3101","2913","118","84","0","0","33","0","136771792","27117854","191371654","35233128","178544684","28534437","5788836","1464085","155123946","150178533","4945413","3100340","2855721","96771","617604","52706","0","0","564898","29282","0","0"
"Республика Саха (Якутия)","4634","4279","207","37","0","0","166","17","942431697","182613130","1100361044","217312416","1036664901","192190990","2111","0","828892788","828890677","2111","16522216","16469124","42","4105093","1311963","0","0","2793130","0","0","0"
"Республика Северная Осетия-Алания","1952","1758","25","19","1","0","5","0","46780847","57005","99778058","30903214","99216878","31215429","2251644","0","58935053","56683409","2251644","1030831","990036","28106","684953","682019","18","0","2916","0","0","0"
"Республика Татарстан","17428","15958","689","286","0","0","382","0","1049388863","186589126","1843612056","260563060","1726091171","215870009","92882240","30859","1604722838","1507668094","97054744","28871460","25745714","1487028","8773461","2407563","0","0","6365898","370","0","0"
"Республика Тыва","1159","940","34","26","0","0","0","3","26033862","480075","41156658","562354","41184680","584248","413644","0","35158809","34602708","556101","630150","686170","1985","8610","8610","0","0","0","0","0","0"
"Удмуртская Республика","7117","6215","165","76","0","0","74","0","217775893","22738687","322608724","35442259","316651508","33196136","17129296","57040","296189379","279145348","17044031","6010191","5340023","330647","655770","35717","0","0","620053","1199","0","0"
"Республика Хакасия","1923","1751","39","19","0","0","20","0","125807096","6048454","188911568","10501684","185103021","10484469","8459212","206218","164264610","156374038","7890572","3056556","2929519","127653","227119","28992","0","0","198127","7153","0","0"
"Чеченская Республика","2284","1668","616","7","0","0","683","0","115673844","14086121","147749921","44615297","158263682","44183730","923760","0","121212985","113573912","7639073","2538249","2251028","142193","1085899","204778","0","0","881121","0","0","0"
"Чувашская Республика","4101","3852","224","76","0","0","134","0","153408637","29847124","213819196","31968561","210147174","29698386","0","0","176641909","176641909","0","3126620","3097783","0","1021178","404600","0","0","616578","0","0","0"
"Алтайский край","8698","7927","106","60","0","0","4","0","207850712","2188730","298639620","9833970","281550651","10389603","14978506","31387","287313856","270978372","16335484","5503280","4984537","324987","221795","220409","0","0","1386","599","0","0"
"Краснодарский край","26607","22000","778","145","3","0","617","17","2331775632","512196089","2998581027","485899547","2911102762","478602991","121522303","550175","2617599478","2478069268","139530210","43950274","39029681","2563577","20163584","5771604","260884","0","14131096","109125","0","0"
"Красноярский край","12329","7416","4908","65","0","0","4817","0","1190054687","213831211","1696627482","232701747","1647254216","215840985","144549","0","1382679470","1382534921","144549","24677756","24664038","2877","6287011","413362","0","0","5873649","0","0","6475"
"Приморский край","7949","6797","685","86","0","0","702","141","648025757","114922388","831643524","124117825","805203719","124394146","25393319","4725554","702630123","678474384","24155739","12121695","11521819","341550","2867837","1379160","0","0","1488677","73180","0","845"
"Ставропольский край","10196","9881","315","164","0","0","151","0","325399009","44355627","563356008","87441202","642256867","84874085","20188305","0","486998978","466800083","20198895","9177186","8801983","360435","1709903","232141","0","0","1477762","0","0","0"
"Хабаровский край","5437","4720","128","46","1","0","60","24","462450279","24486244","985367855","29088300","856417364","32410176","5788673","0","828436173","821761925","6674248","14875835","14651545","102772","818863","319131","2144","0","497588","7","0","0"
"Амурская область","3946","3192","141","26","0","0","93","81","486702588","30868972","567708333","32983863","536760363","31958547","21675888","485","507993088","485875382","22117706","10143177","8358289","207379","902161","486908","0","0","415253","59","0","0"
"Архангельская область","4397","4203","42","41","1","0","0","25","393088791","20235779","508938695","20488674","475120604","20683201","9532856","11703","462597221","454406273","8190948","8295557","8233840","65385","454186","448844","5342","0","0","0","0","0"
"Астраханская область","3581","2244","748","48","0","0","689","0","528365347","19134617","614906185","28235048","587755140","31606182","20571313","12877","482147628","461701161","20446467","6650325","5841392","371054","4639360","96325","0","0","4543035","3526","0","0"
"Белгородская область","7935","7194","331","44","0","0","301","0","292660181","1446381","485405435","1930618","468301346","1570056","49773821","542420","516845846","465660695","51185151","9359264","8670742","998415","21371","21371","0","0","0","8429","0","0"
"Брянская область","6421","5279","177","85","0","0","53","0","127253393","30191249","249481986","84691643","240861929","84897809","26885687","3684574","177922365","154239139","23683226","3317448","2812707","450482","1357900","105844","0","0","1252056","72276","0","0"
"Владимирская область","5838","3680","2083","82","0","0","2002","8","228578184","36851130","347505651","114336128","337751205","110208921","17860","0","208674024","208635624","38400","4576139","4238006","714","2437597","345021","0","0","2092576","0","0","0"
"Волгоградская область","8466","7663","664","105","0","0","320","1","443879393","103328608","680989831","173971504","648281717","179686162","1665209","582717","468618561","466903628","1714933","8881845","7891467","28104","3814079","208551","0","0","3605528","12909","0","2511"
"Вологодская область","7187","6658","199","90","0","0","105","0","613581455","54565269","836047495","128501838","776596672","148895371","34794378","497923","660317328","623558012","36759316","12662493","11932209","525929","1735885","559851","0","0","1176034","11220","0","0"
"Воронежская область","10569","9223","206","119","0","0","67","32","442908881","10784805","824699439","47653756","806915896","45696753","6956143","37108","766111939","757219278","8892661","13115294","12878877","101773","662143","54655","0","0","607488","170","0","0"
"Ивановская область","4683","2939","1098","53","0","0","1049","0","98379163","942122","136838255","16000619","135472807","14740641","7679552","0","117918628","109902279","8016349","2464901","2223256","100912","188364","14456","0","0","173908","0","0","0"
"Иркутская область","8744","4909","3798","383","0","0","3685","3","771527480","67244912","1175736001","141344926","1115159305","127468343","103053","0","974743146","974641394","101752","17368815","17165946","1861","3174906","488734","0","0","2686172","0","0","11957"
"Калининградская область","5930","3960","1143","199","0","0","1175","0","263638566","38542859","418272330","84416282","323206192","90727807","60910776","4543115","301011519","244091107","56920412","5370082","4577357","756041","2253860","1039326","0","0","1214534","62192","0","0"
