"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31"
"Республика Адыгея","1511","1442","25","18","0","0","7","0","58948224","2426165","53910797","2359319","6074021","0","52270503","46308231","5962272","1107831","989949","113872","51842","28940","0","0","22902","0","0","0","0","0","0","0"
"Республика Башкортостан","14024","10784","259","157","0","0","96","0","569347092","69215937","555197194","71695434","88973505","2205913","567813465","470159760","97653705","13391608","9901972","1824723","1590140","352345","0","0","1237795","44284","9758","0","0","34526","0","0"
"Республика Бурятия","2789","2024","48","40","0","0","7","0","246128681","23336195","212186205","22149694","6780027","64110","197261662","189938405","7323257","3346666","3245511","34008","476565","213328","0","0","263237","377","377","0","0","0","0","48105"
"Республика Алтай","901","662","11","11","0","0","0","0","39510504","215573","37970342","215336","1361389","0","38224107","36812190","1411917","498780","472859","25921","4736","4736","0","0","0","0","0","0","0","0","0","0"
"Республика Дагестан","3573","3098","23","13","0","0","12","0","177091496","16780529","159186354","12215534","4957597","69934","151297204","146971298","4325906","3270439","3102140","54269","255870","134392","0","0","121478","9915","823","0","0","9092","0","0"
"Республика Ингушетия","573","547","11","4","0","0","7","0","34704126","4366027","32175899","4126303","1404977","796758","32137762","30804418","1333344","604163","561172","24322","84671","26427","0","0","58244","18991","6092","0","0","12899","0","0"
"Кабардино-Балкарская Республика","1721","1448","42","31","1","0","11","1","58027474","6167884","58560982","6193632","8269542","124865","59815358","51206168","8609190","1371175","1092450","167669","132909","130727","0","0","2182","2641","640","0","0","2001","0","0"
"Республика Калмыкия","1120","874","43","21","0","0","24","0","67357489","14566083","60159232","15325406","630349","1559","45501203","44631818","869385","998452","981774","9506","337106","101115","0","0","235991","1016","992","0","0","24","0","0"
"Карачаево-Черкесская Республика","1386","1204","46","31","0","0","15","0","63229713","23719008","53830218","16415862","2299161","837894","37236269","34540065","2696204","918695","746052","37307","367269","359460","0","0","7809","16177","16177","0","0","0","0","0"
"Республика Карелия","1980","1521","373","37","0","0","336","14","147695089","34577674","138753559","28007225","8885699","0","121613068","110599364","11013704","2041508","1922539","118970","803684","613195","0","0","190489","70145","105","0","0","70040","0","0"
"Республика Коми","2683","2540","36","24","0","0","13","0","951555944","12287073","953936668","13241597","14174356","0","953083367","938909164","14174203","20489593","20282139","207453","306204","38382","0","0","267822","0","0","0","0","0","0","0"
"Республика Марий-Эл","2450","2320","126","54","0","0","73","0","73223812","4804877","74366079","4827511","13595135","71748","78182551","64711562","13470989","1571422","1382364","189058","116475","95359","0","0","21116","1184","1184","0","0","0","0","0"
"Республика Мордовия","2602","2290","101","83","0","0","18","0","132825624","26179647","132539658","29376889","6382612","1455916","108406324","103181873","5224451","2698091","2091419","93858","642726","172264","0","0","470462","29118","0","0","0","29118","0","0"
"Республика Саха (Якутия)","3818","3318","201","33","0","0","151","12","1406953517","199609409","997124822","198295113","7265","0","783549747","783534877","14870","17113524","17111920","145","4367843","1391571","0","0","2976272","0","0","0","0","0","0","0"
"Республика Северная Осетия-Алания","1403","1204","25","20","0","0","5","0","87978626","28827845","83435671","29805942","2762763","0","48557918","45776399","2781519","852245","816031","34619","770009","767716","0","0","2293","0","0","0","0","0","0","0"
"Республика Татарстан","10636","9158","622","261","0","0","358","0","1334111280","176558260","1292014609","171836049","96648145","30859","1223006242","1118136037","104870205","24927752","22573442","1937867","5360431","2199224","0","0","3161207","370","370","0","0","0","0","0"
"Республика Тыва","1379","1283","21","19","0","0","0","1","28497179","637841","27567815","2475798","474306","0","24118016","23295636","822380","495644","392037","4241","12227","11253","0","0","974","0","0","0","0","0","0","0"
"Удмуртская Республика","5378","4752","133","71","0","0","61","0","240026133","23241234","232196486","22433858","36967950","493275","250384213","206546023","43838190","5146452","4309504","613769","493526","77433","0","0","416093","2420","1576","0","0","844","0","388"
"Республика Хакасия","1504","1375","129","22","0","0","107","0","129567706","6546513","126633152","6551061","10870699","477571","113201588","102181900","11019688","2384718","2122002","136343","135420","27023","0","0","108397","16746","673","0","0","16073","0","0"
"Чеченская Республика","1833","1649","66","7","0","0","57","0","160245323","23697048","146573934","19738664","1157417","0","131866575","127313938","4552637","2498867","2334522","71344","511753","232990","0","0","278763","82","82","0","0","0","0","0"
"Чувашская Республика","3284","2812","232","79","0","0","155","3","156692976","29512173","150857010","30392741","19261709","1270","139336205","116732912","22603293","2562691","2370394","190580","812038","420004","0","0","392034","1133","363","0","0","770","0","0"
"Алтайский край","6507","5705","61","57","0","0","4","0","204918244","12788509","197650213","9648085","16942342","29942","206324453","187935872","18388581","4199845","3892006","307839","205108","202108","0","0","3000","599","599","0","0","0","0","359"
"Краснодарский край","20461","17485","685","160","3","0","527","8","2441013716","697888571","2393235119","719798497","188116506","478866","2093168897","1880713184","212455713","40301381","32494482","3629212","18520851","7767272","205953","0","10547626","185261","10197","0","0","175064","0","620342"
"Красноярский край","7350","3435","3893","64","0","0","3829","0","1285333849","221921898","1258487049","216614321","151615","0","998138585","997986970","151615","18566464","18563729","2735","7502161","421118","0","0","7081043","0","0","0","0","0","0","30061"
"Приморский край","5314","4117","1077","74","0","0","1006","75","675930888","109448179","649574029","99936300","37132870","6544489","579075896","548576699","30499197","10828610","10150146","469857","1985288","930301","0","0","1054987","112640","0","0","0","112640","0","11035"
"Ставропольский край","7401","7011","273","168","0","0","105","0","390902774","68485179","347239152","58524946","24497846","4011","323398846","300172655","23226191","7050140","6300077","411224","1184862","218159","0","0","966703","80","25","0","0","55","0","0"
"Хабаровский край","3614","2984","90","48","0","0","42","8","617915153","24533283","585043951","21510506","7628247","0","572511126","562329929","10181197","11133399","10896804","184003","787975","323663","0","0","464312","0","0","0","0","0","0","67563"
"Амурская область","2997","2354","116","27","0","0","90","67","761187793","29932436","532497229","30229058","21062509","32815","504855707","482201062","22654645","9243172","8991465","198099","1007145","658113","0","0","349032","599","131","0","0","468","0","35271"
"Архангельская область","3309","3160","22","22","0","0","0","24","385413374","26855631","378714266","24059125","14023535","0","368799650","353888221","14911429","7628892","7408982","219910","529297","529297","0","0","0","0","0","0","0","0","0","0"
"Астраханская область","2776","1785","751","52","0","0","702","0","458558697","29138370","441983457","27069617","18184447","678875","431808478","414879321","16929157","6547292","5905774","299920","3567816","135918","0","0","3431898","15407","11385","0","0","4022","0","6629"
"Белгородская область","5386","4543","356","47","0","0","300","0","335314891","1491942","322176288","1552268","49232452","525244","375283077","320052491","55230586","7869749","6795084","991848","31893","31893","0","0","0","6299","0","0","0","6299","0","3"
"Брянская область","4251","3692","153","83","0","0","41","0","146691361","33928775","142337903","33546237","22009814","3572188","131771099","108621124","23149975","2672300","2193694","397830","857212","108990","0","0","748222","70680","480","0","0","70200","0","0"
"Владимирская область","4322","3530","138","87","0","0","41","0","251364960","39886926","242442232","36958475","32518","0","187352469","187319951","32518","4005136","3896783","650","784340","410662","0","0","373678","0","0","0","0","0","0","0"
"Волгоградская область","5970","5122","307","93","0","0","210","3","505828785","156518129","474173201","147372931","3885650","700099","329748060","325757414","3990646","7001533","6777918","54522","3237096","239760","0","0","2997336","15539","40","0","0","15499","0","24631"
"Вологодская область","5186","4598","186","76","0","0","111","0","593397290","76463539","602688134","70998365","31387049","672629","534983379","501580232","33403147","11262628","10724451","448362","1357425","710383","0","0","647042","12397","3424","0","0","8973","0","2096"
"Воронежская область","6991","5964","158","108","0","0","40","19","584729059","31261955","530626986","29744041","8092287","87513","503510866","490778190","12732676","9561784","9246782","115663","577606","107777","0","0","469829","508","21","0","0","487","0","295310"
"Ивановская область","2930","2051","64","53","0","0","7","0","104269612","1087843","101630061","1078639","8163909","0","97057022","89378990","7678032","2092401","1926808","119203","24805","15975","0","0","8830","0","0","0","0","0","0","0"
"Иркутская область","5972","3644","2328","78","0","0","2250","0","856392087","71025832","800957326","70731916","68458144","15978","769555361","727919457","41635904","13963357","13523070","441335","2858245","517137","0","0","2341108","610","31","0","0","579","19029","22365"
"Калининградская область","4402","3013","820","155","0","0","255","0","259482026","36291721","245650087","33156771","63091248","4315295","271004265","213433029","57571236","5418556","4492982","781377","926669","912736","0","0","13933","68576","40206","0","0","28370","0","0"
"Калужская область","5138","3356","1610","100","0","0","1534","0","348247913","153451282","328388783","131157468","15751556","716715","206675163","191494130","15181033","4190048","3940949","180834","3146727","691610","0","0","2455117","48730","40654","0","0","8076","0","0"
"Камчатский край","1605","1512","93","8","0","0","85","0","136746728","6555007","101413091","6172595","4703534","16444","93064186","87728593","5335593","1926835","1835399","91436","157173","16979","0","0","140194","484","93","0","0","391","0","0"
