"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32"
"Республика Адыгея","1444","1402","29","23","0","0","3","0","67896829","3161619","65463241","3221350","10267313","45640","68369955","55886989","12482966","1428225","1214155","40887","215696","71057","58594","0","0","12463","10718","0","0","0","10718","0","0"
"Республика Башкортостан","6256","3668","2992","147","0","0","2871","0","617326088","157462373","584360206","153333234","89978288","1612470","535072212","424005218","111066994","11063892","9081542","581621","1982540","3374065","453429","0","0","2920636","33791","12448","0","0","21343","0","0"
"Республика Бурятия","1647","1869","68","38","0","0","30","0","249959871","24983683","243621386","23779703","5952894","67354","227457947","219079533","8378414","4008924","3851889","1669808","157105","522085","214736","0","0","307349","1488","1483","0","0","5","0","340835"
"Республика Алтай","950","632","17","17","0","0","0","0","45159895","7930577","44652104","7077689","1542312","0","38083727","36561080","1522647","533055","504627","0","28428","155709","155709","0","0","0","0","0","0","0","0","0","0"
"Республика Дагестан","2979","2854","18","12","0","0","6","0","191367696","17903614","188924990","17060254","7394820","4244","177928892","170534076","7394816","3783071","3674577","187797","73351","366141","347285","0","0","18856","42","42","0","0","0","0","0"
"Республика Ингушетия","447","428","10","6","0","0","4","0","43876508","6561340","42198794","6764122","720066","122456","36550111","35326977","1223135","794898","775231","2654","19778","148811","141298","0","0","7513","7052","7052","0","0","0","0","0"
"Кабардино-Балкарская Республика","1171","1127","25","16","0","0","7","0","75693215","9250304","74090814","8917537","5909794","165735","64622960","57085061","7537899","1388577","1246654","20825","142544","195673","193437","0","0","2236","3542","0","0","0","3542","0","0"
"Республика Калмыкия","711","669","33","25","0","0","9","0","82046315","15538659","79224011","14846916","743431","1464","65149578","64135127","1014451","1422108","1407743","8412","14408","319301","167478","0","0","151823","1130","1087","0","0","43","0","0"
"Карачаево-Черкесская Республика","727","656","52","33","0","0","19","0","70095564","29441274","67946063","27696221","3108231","897934","40293777","37355332","2938446","859684","811869","3100","47229","533551","521410","0","0","12141","18448","17923","0","0","525","0","0"
"Республика Карелия","1862","1455","376","43","0","0","334","28","156384869","35978069","151593133","36447422","15780527","8294","132485833","115132692","17353141","2415663","2186139","535700","229635","838167","700256","0","0","137911","79582","4180","0","0","75402","0","0"
