GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182
Республика Адыгея;77313;1504400;0;204522;0;203;13;0;0;28;2267356;52276;77882;1868005;0;0;0;0;11522;995;11590;0;15;0;282848;458887;2060370;575;0;0;0;0;0;0;1023;0;0;41960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32655;0;0;0;17915;5101;914873;63283;57834;330166;2439;0;73915;0;0;0;62432;25658;0;34289;0;0;0;99222;21433;0;112278;6652;15368;13380;0;0;0;0;4;0;0;3572;3;0;7;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;20;12;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;319;0;0;4369;0;293;0;50;11;196;0;0;0;53;4;6;0;16;0;0;0;0;0;0;0
Республика Башкортостан;3654416;36250201;0;4853754;0;21514;981729;240085;0;125010;30115090;346587;394800;36073856;18173;22;0;10;0;37892888;-5114445;0;12905141;110637;76612;5004861;6239205;373;0;0;0;-2365523;49;0;831158;0;0;1242351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296;0;0;346086;0;0;0;97098;69716;11661563;523102;785810;2715766;6941;0;983615;0;0;0;289966;335184;0;222263;0;0;0;459656;142085;68083349;18900;0;88862;667220;0;0;0;0;0;1;0;86572;4320;0;55;0;88;0;0;665;0;0;0;1;0;0;0;-39;0;0;0;0;0;0;0;0;2612;731;2;0;40;0;0;0;2185;250;0;1;0;927;1327;0;0;0;2;0;0;0;0;0;0;0;0;12;0;0;111;0;25;0;0;276;0;0;0;0;7763;0;849688;9353;6;943;2676;50;4093;7536;0;0;0;653;2;32;139;148;0;-80;0;0;0;0;1
Республика Бурятия;475366;6586286;0;128766;0;0;10723;0;0;0;7711745;184102;73602;-976794;0;0;0;0;0;0;0;0;0;0;0;45132;13;0;0;0;0;0;-4420;0;0;0;0;59721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94176;0;0;0;26997;11406;3125292;0;92457;546612;1309;0;420482;0;0;140;57620;34115;0;152815;0;0;15;159764;26782;0;0;0;7252;1163589;0;0;64388;0;0;0;0;25642;1096;0;328;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;44;0;0;0;0;1;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;0;0;0;0;6166;0;0;2264;0;349;0;0;0;989;0;0;0;650;75;86;0;2;0;0;0;0;0;0;0
Республика Алтай;94656;734929;0;2059;1;1920;0;711;0;69;1448774;11992;17255;1965338;0;0;0;0;0;0;0;0;0;0;0;0;0;338;0;0;0;0;0;0;0;0;0;59179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17041;0;0;0;22395;0;285476;2788;22222;113329;472;0;49292;0;0;0;55218;0;0;8444;0;0;0;29754;0;0;0;0;2541;50734;0;0;0;0;0;0;0;1713;1550;0;-2;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;34;0;0;0;0;0;0;7;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;2;0;0;0;0;138;0;16;7495;96;23;0;0;-40;1555;0;0;0;101;0;102;0;0;0;0;0;0;100;0;0
Республика Дагестан;210862;3429084;0;607338;0;0;36;0;0;0;7383969;64131;20345;5809648;1;0;0;0;0;0;266;0;1914;0;596112;33921;2924959;0;0;0;0;0;-2724;0;3198;0;0;212909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90137;156666;0;51;75408;718;2851677;211060;94110;1326178;5004;0;232778;329788;0;5954;76896;4753;0;174475;296546;0;190;93676;3642;737466;67476;9089;13948;4592;0;0;0;0;0;0;0;5146;0;64;619;0;97;0;0;428;8;0;3;3;0;0;0;-2;0;57;0;0;0;0;0;0;198;224;0;0;882;0;0;212;970;0;0;0;0;2;417;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;33;4;7;0;0;32;0;0;0;0;1531;0;0;5506;0;502;0;0;1285;8281;0;0;0;1006;0;0;0;2;0;2390;0;0;0;0;0
Республика Ингушетия;38792;449594;0;12499;0;0;0;0;0;0;1322058;25929;212;784639;0;0;0;0;0;0;-7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11541;0;0;15;7471;376;470109;4418;5486;118638;192;0;39799;0;0;1564;9499;386;0;21402;0;0;46;11132;46;213277;0;0;2415;0;0;0;0;0;0;0;0;3929;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;47;0;0;22;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;477;0;0;2770;0;0;0;0;0;1019;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;100284;1928306;0;29885;0;0;654;0;0;0;3282448;25160;31195;7701352;-29579;0;0;0;0;0;0;0;0;0;426610;82354;31096115;1599;106;0;0;0;0;0;0;0;0;25407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45679;0;0;0;43640;21423;2089562;25525;26266;308731;4994;0;177146;0;0;0;72947;22184;0;44924;0;0;0;23314;10422;6976;0;0;8711;684;0;0;0;0;0;83;0;16809;136;0;0;0;102;0;0;38;0;0;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;18;35;0;0;2947;0;0;0;247;87;0;-1;0;28;426;66;177;0;8;0;0;0;0;0;0;0;0;32;0;0;10;0;45;0;0;25;0;0;0;0;0;0;0;4228;5;332;0;0;1;626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;13174;363034;0;188996;0;0;13;0;0;30;1119874;12509;30380;341253;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-3304;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93732;0;0;0;31582;7382;600744;43398;27718;161737;2118;0;97915;0;0;0;21263;9038;0;44062;0;0;0;83591;8190;633111;22116;0;494;0;0;0;0;0;0;0;0;1508;0;510;9;0;40;0;0;29;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;224;0;0;83;0;0;0;548;-26;0;0;0;-1;63;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;34;0;0;0;0;7645;0;0;3480;0;63;16199;0;65;937;0;0;0;447;586;66;0;0;0;54;0;0;0;0;0
Карачаево-Черкесская Республика;102365;1420960;0;18175;0;2180;139;1;0;0;2097210;24642;223226;2332380;0;0;0;0;2135;0;0;89140;0;0;0;39185;0;4204;0;0;0;0;0;0;0;0;0;127169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23131;0;0;0;13387;3650;702710;1480;32965;232413;526;0;106908;0;0;0;19433;7544;0;63514;0;0;0;34782;4315;0;0;0;6852;58396;0;0;0;0;0;0;0;5944;34;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;49;0;472804;2905;0;65;0;0;0;1602;0;0;0;111;40;0;10;0;0;0;0;0;0;0;0
Республика Карелия;221255;3737228;0;731900;0;55068;17946;5534;0;0;6974186;69455;74760;3685479;0;0;0;0;0;0;0;0;0;0;0;10062;871495;0;0;0;0;0;-409;0;0;0;0;18018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85609;0;0;0;8308;19920;2089836;14164;156070;598805;948;0;141776;0;0;0;76416;104857;0;22653;0;0;0;48153;29952;0;0;0;149616;590040;0;0;0;0;0;0;0;1083;2857;45681;296;0;1;-37;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;41;6;2;69;0;0;140;0;0;0;114;4;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3506;0;26;4899;0;665;0;0;121;1691;0;0;0;1307;1;852;70;539;0;0;0;0;0;0;0
