GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172
Республика Адыгея;127604;1537654;0;386660;0;146;17;426;0;0;0;3516753;40085;58312;0;2701240;0;0;0;0;8909;0;-11301;0;0;0;617567;435383;4296745;4250;0;0;0;0;0;150;0;0;0;0;0;27737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38568;0;0;0;21866;6416;998806;79157;50637;338490;2211;0;69688;0;0;0;65256;22149;0;38758;0;0;0;118172;44950;0;101901;6741;24579;13700;0;0;0;0;1;0;0;4364;102;0;18;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;10;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;357;0;0;6475;0;171;0;25;22;583;0;0;0;0;36;0;0;2;0;0;0;0;0;0;0
Республика Башкортостан;6078698;37592977;0;6692489;0;16673;1042038;194024;0;134727;44087;47136993;352659;529109;0;44563435;16154;19;0;0;0;37317052;-9468333;0;16131937;26005;165688;5753616;7172874;722;0;0;-2550684;-855;0;435098;0;0;0;0;0;1086911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;676698;0;0;0;134254;129389;11487618;593986;761859;2606051;8063;0;865431;0;0;0;353354;333348;0;231290;0;0;0;648785;175378;97230626;18559;0;91439;714250;0;0;0;0;0;0;0;99016;3248;0;63;0;39;0;0;414;0;0;-1;0;0;7;0;0;0;0;0;0;2730;137;1;0;20;0;0;2504;244;0;0;0;112;1167;0;0;0;5;0;0;0;0;0;-13;0;55;0;17;0;0;682;0;0;10856;29;793941;18636;1;1165;0;0;3216;1099;0;0;0;93;61;113;1796;23;0;3;0;0;0;0;0
Республика Бурятия;516108;4996737;0;281944;0;2431;1325;0;0;0;0;11875749;257476;47973;0;1080101;0;0;0;0;0;0;0;0;0;0;0;47599;1;0;0;0;0;-109;0;0;0;0;0;0;0;54518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99774;0;0;0;30614;14557;3174006;0;93440;576251;1075;0;418253;0;0;14;58613;33779;0;155329;0;0;-5;191693;32828;0;0;0;18013;1039822;0;0;92949;0;0;0;0;29127;979;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5970;2;0;2372;2;264;0;0;79;115;0;0;0;4;72;4;368;0;0;0;0;0;0;0;0
Республика Алтай;159103;833681;0;6996;1;453;13258;3934;0;415;0;2205590;14269;24976;0;2192887;0;0;0;0;0;0;0;0;0;0;0;0;0;630;0;0;0;0;0;0;0;0;0;0;0;5827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22558;0;0;0;24239;0;298276;3269;20638;114862;22;0;47718;0;0;0;61626;0;0;6163;0;0;0;35919;0;0;0;0;3610;70919;0;0;0;0;0;0;0;2072;2062;0;1;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;27;0;0;0;0;0;8;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;2;0;0;300;0;10;8407;220;94;0;0;337;541;0;0;0;8;2;172;74;0;0;0;0;0;0;0;0
Республика Дагестан;248500;3570372;0;842958;0;999;1;0;0;0;0;11607450;39307;59286;0;5692375;0;0;673;0;-3;0;27072;0;1160;0;177032;54637;2514800;0;0;0;0;-3506;0;0;1329;27429;0;0;0;220910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34820;105748;0;6;62858;265;3031852;264571;83337;1731159;5705;0;235463;434507;0;2752;81145;4613;0;204698;413833;1;127;123095;279;846943;51482;12676;18631;3435;0;0;0;0;0;0;0;5748;0;73;884;0;56;0;0;362;7;1;2;0;0;0;13;0;0;0;0;0;134;67;0;0;730;47;145;763;0;0;0;0;1;262;0;1;0;0;0;0;0;0;0;1;0;6;4;6;0;0;26;0;0;1667;0;0;16161;0;264;0;0;13;3781;0;0;0;813;0;16;15;0;0;2212;0;0;-114;0;0
Республика Ингушетия;31340;354177;0;14242;0;0;0;0;0;0;0;1966552;4451;2198;0;391964;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28189;0;0;111;9030;64;457849;4808;5878;136919;190;0;42977;0;0;1817;11361;2;0;40640;0;0;20;27571;77;261009;0;0;3364;0;0;0;0;0;0;0;0;4218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;39;0;93;0;0;0;0;0;0;1;-7;0;0;0;0;0;0;0;0;-9;0;0;0;0;0;0;0;0;0;354;0;0;5343;0;711;0;0;44;1550;0;0;0;2;0;0;155;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;97261;1747312;0;57147;0;0;686;0;0;0;0;4739050;24597;14000;0;2940100;73098;0;0;0;0;0;0;0;0;0;250859;475355;3379812;14504;4077;0;0;0;0;0;0;0;0;0;0;24407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36411;0;0;0;20665;11536;1692032;31034;26675;313682;6720;0;157104;0;0;0;65985;23387;0;60252;0;0;0;34794;18269;3534;0;0;7264;707;0;0;0;0;0;24;0;21736;261;0;0;0;25;0;0;54;0;1;0;0;0;0;0;0;0;0;0;0;-3009;-19;0;0;405;0;0;575;-4427;0;0;0;-56;727;39;202;0;7;0;0;0;0;0;-6;0;-18;0;-5;0;0;-511;0;0;0;0;0;6691;2;-100;0;0;87;619;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
Республика Калмыкия;19025;1061132;0;340895;0;0;23;0;0;-1;0;1808051;16348;14095;0;1860776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4480;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35568;0;0;0;7897;1899;667208;55922;26933;173059;1946;0;92901;0;0;0;24424;8283;0;78439;0;0;0;99306;8697;816067;36810;0;291;0;0;0;0;0;0;0;0;1492;0;466;5;0;-71;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;0;29;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;2;0;0;13861;0;0;6829;0;67;0;0;46;2223;0;0;0;128;437;395;30;0;0;24;0;0;0;0;2
Карачаево-Черкесская Республика;143474;1567828;0;40799;0;0;40;0;0;0;0;3010041;18082;16428;0;2624282;0;0;0;0;2866;0;0;101858;0;0;0;39884;0;816;0;0;0;0;0;0;0;0;0;0;0;80590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39497;0;0;0;30417;8114;852439;1615;31560;233402;592;0;77681;0;0;0;17920;5136;0;106671;0;0;0;61372;14197;0;0;0;6219;60731;0;0;0;0;0;0;0;5917;136;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;77;0;964974;10714;62;75;0;0;64;1373;0;0;0;224;10;0;30;2;0;0;0;0;0;0;0
Республика Карелия;239221;3254033;0;1134359;0;65324;7071;6283;0;0;256;10707638;95836;73404;0;4084798;0;0;0;0;0;0;0;0;0;0;0;13842;286853;0;0;0;0;-344;0;-803;0;0;0;0;0;17729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75248;0;0;0;7955;26063;2164563;16735;142923;613740;1440;0;179474;0;0;0;74159;58643;0;26418;0;0;0;54089;35384;0;0;0;167073;706762;0;0;0;0;0;0;0;1271;3378;43726;350;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;12;0;1;51;0;0;94;0;0;110;-5;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;6;0;0;4908;3;30515;4816;9;1163;0;0;275;36406;0;0;0;543;426;882;333;591;0;0;0;0;0;0;0
