GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176
Республика Адыгея;152985;1916772;0;498995;0;73;372;194;0;0;0;0;3921398;74947;68332;0;3644188;0;0;0;0;14006;0;183;0;0;0;255656;487850;5735606;7960;0;0;0;0;0;0;0;0;0;0;0;16325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51959;0;0;0;42282;10467;1126803;88739;53861;343357;3399;0;46628;0;0;0;60725;20318;0;26574;0;0;0;141047;29802;0;107087;7521;33132;11216;0;0;0;0;0;0;0;4737;77;0;18;0;3;0;0;0;0;0;0;0;0;-2;0;0;0;0;-6;0;-2;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274;0;0;4423;-75;240;0;8;230;184;0;0;0;0;0;40;622;0;0;0;0;0;0;0;0
Республика Башкортостан;10619909;62562816;0;7159333;0;17404;586546;202321;0;115509;0;9829;51927089;386952;850077;2832;40959624;30852;0;0;0;300;43118587;-10610125;0;18420939;23386;197209;6093852;8104250;560;0;0;-1857304;-1443;0;59994;0;0;0;0;0;1515480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1027142;0;0;0;188697;189776;14617281;573965;758043;2985217;19077;0;941098;0;0;0;332110;355915;0;274944;0;0;0;633458;159970;149669616;16862;0;110087;858796;0;0;0;0;0;-1;0;114380;3652;0;38;0;-3;0;0;79;0;0;0;0;0;3;0;0;0;0;0;0;2408;-67;0;0;-23;0;0;761;-72;0;0;0;31;-520;0;0;0;1;0;0;0;0;0;-34;0;15;0;-1;0;0;-44;0;0;11209;115;701055;21172;16;2912;3;253;2733;911;0;0;0;553;10;166;17590;39;0;-13;0;0;0;0;0
Республика Бурятия;764810;6236661;0;413296;0;1950;1405;3086;0;0;0;0;13654711;214626;149522;0;1634389;0;0;0;0;0;0;0;0;0;0;0;33288;0;0;0;0;0;-615;0;0;0;0;0;0;0;68082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135443;0;0;1;31659;14763;3772760;2;92500;646406;1774;0;383783;0;0;53;53199;28134;0;199068;0;0;13;154925;29646;0;0;0;12848;1231813;0;0;136649;0;0;0;0;35936;1146;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12885;2;0;4433;2;1087;0;0;580;65;0;0;0;1;101;0;627;0;0;0;0;0;0;0;0
Республика Алтай;217511;932844;0;4493;0;0;514;906;0;346;0;420;2584077;13928;20028;0;1947451;0;0;0;0;0;0;0;0;0;0;0;0;0;593;0;0;0;-113;0;0;0;0;0;0;0;7137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20764;0;0;0;26160;0;342588;3114;21022;126850;0;0;16773;0;0;0;46428;0;0;12773;0;0;0;54886;0;0;0;0;3414;103132;0;0;0;0;0;0;0;2267;2145;0;1;0;4;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;14;14;0;0;-1;0;0;1;0;0;0;0;0;4;0;-4;0;0;0;0;0;0;0;-1;0;-1;0;3;0;0;0;0;0;291;0;5;8631;20;1464;0;0;228;540;0;0;0;52;937;145;356;124;0;0;0;0;0;-4;0
Республика Дагестан;413556;4232703;0;953884;0;2415;0;0;0;0;0;0;12773182;45918;171078;0;6913177;0;0;0;0;-6;0;-26259;0;458;0;66476;42175;2381487;0;0;0;0;66;0;0;4149;306327;0;0;0;183063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52589;162250;0;3;46005;1424;3217893;287318;82557;1803165;11557;0;294338;489475;0;3689;81748;4534;0;196461;468518;-8;-53;109812;9866;1518080;56958;27558;18836;2634;0;0;0;0;0;0;0;29045;0;66;798;0;-64;0;0;182;5;15;-10;0;0;0;-30;0;0;0;0;0;118;6;0;0;545;20;97;824;0;0;0;0;1;271;0;1;0;0;0;0;0;0;0;0;0;-24;2;2;0;0;44;0;0;1712;0;0;19735;1;337;0;0;20;5383;0;0;0;204;0;0;70;0;0;0;0;0;1;0;2
Республика Ингушетия;28465;273762;0;8496;0;20;0;0;0;0;0;0;2249006;10730;4186;0;757722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37617;0;0;178;11824;0;747629;4113;6040;121676;342;0;42009;0;0;388;10537;0;0;39992;0;0;-85;20920;0;450021;0;0;1304;0;0;0;0;0;0;0;0;15297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;151;0;0;4889;0;2234;0;0;173;1702;0;0;0;10;0;0;155;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;106412;1581068;0;53674;0;0;22;0;0;0;0;0;5083323;49445;21928;0;3123000;1203177;0;0;0;3365;-2;0;0;0;0;221112;255302;2116699;214;6797;0;0;0;0;0;0;0;0;0;0;17850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66070;0;0;0;49795;38061;2020311;34736;27527;324583;12754;0;124152;0;0;0;30503;22671;0;45497;0;0;0;26263;12431;3504;0;0;9237;780;0;0;0;0;0;21;0;27514;134;0;0;0;24;0;0;25;0;-4;0;0;0;0;0;0;0;0;0;0;1;-33;0;0;304;0;0;532;-255;0;0;0;29;651;44;181;0;-20;0;0;0;0;0;-59;0;-13;0;10;0;0;-18;0;0;1;0;75;8548;13;144;1;0;204;2021;0;0;0;0;23;7;22;0;0;0;0;0;0;0;0
Республика Калмыкия;17240;1151501;0;400796;0;45;27;0;0;0;0;0;2056140;14518;26448;0;1587506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6542;0;0;0;0;0;642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50597;0;0;0;11192;2229;934922;58623;25213;180694;3057;0;91951;0;0;0;20931;8506;0;57708;0;0;0;92472;6475;1278278;38165;0;361;0;0;0;0;0;0;0;0;1442;0;379;26;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;-277;0;0;0;0;0;-29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;12357;0;0;4413;5;164;0;0;43;570;0;0;0;0;32;140;201;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;114348;1287474;0;42134;0;0;344;0;0;642;0;0;3428456;21462;18912;0;3494915;46;0;0;0;5087;0;0;84253;0;0;0;47599;0;108;0;0;0;0;0;0;0;0;0;0;0;53212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75576;0;0;0;34554;10003;971255;2460;38706;235522;1707;0;73222;0;0;0;16350;5047;0;105344;0;0;0;52500;12967;0;0;0;8259;64037;0;0;0;0;0;0;0;6960;27;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;55;0;949580;10124;10;34;0;0;254;547;0;0;0;1;-1;0;280;0;0;0;0;0;0;0;0
Республика Карелия;444026;5493739;0;2372435;0;-29201;32224;41464;0;0;0;0;11695286;70116;244899;0;4229204;0;0;0;0;0;0;0;0;0;0;0;20120;321545;0;0;0;0;-420;0;-5463;0;0;0;0;0;23605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65003;0;0;0;9200;20890;2093148;22498;147074;701662;1421;0;152412;0;0;0;66415;80470;0;30971;0;0;0;53653;35093;0;0;0;163403;743146;0;0;0;0;0;0;0;1381;3325;37705;416;0;-1;0;0;0;0;0;-4;0;0;1;0;0;0;0;-50;0;0;-93;0;0;15;0;0;105;-93;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;5170;0;24904;8025;0;1213;0;0;328;-34419;0;0;0;154;130;9415;587;0;0;-5;0;0;0;0;0
