GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188
Республика Адыгея;211354;1880487;0;517283;0;0;0;57;953;920;0;0;0;0;4331182;36768;551460;0;4008975;6;0;0;0;9463;0;120;0;0;0;210631;481871;6228199;10212;0;0;0;0;0;0;0;0;0;0;0;0;13796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58822;0;0;0;42770;19131;1115208;137366;51183;355002;3546;6;48382;0;0;0;65399;22050;0;28917;0;0;0;131362;25878;0;101438;7110;29661;10790;0;0;0;0;0;0;0;6534;71;0;8;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;3767;0;52;0;100;133;163;0;0;0;0;135;70;30;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;7376551;43776831;1;7013186;0;0;0;18720;301347;206413;0;128352;-734;6999;55072205;679190;1005435;288;41684873;33027;0;0;0;814;53191567;-10887938;0;34443108;15222;193530;7305008;8474271;727;0;-1765903;-533;0;372830;0;0;0;0;0;-45400857;0;1505567;0;0;0;0;0;0;1087;0;0;0;0;0;0;0;0;0;0;0;0;893111;0;0;0;175047;190405;11958481;441874;763471;2854146;29542;24;876612;0;59;1;387986;373126;0;199372;0;0;0;595052;130419;172633618;18052;0;134101;1075534;0;0;0;0;0;0;0;136860;3503;48;41;0;0;0;0;0;19;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;3410;59;60;0;0;5;0;0;271;23;11;0;39;0;169;71;0;0;0;1;0;0;0;0;0;27;0;17;0;1;0;0;12;0;0;12765;115;712395;13256;1;971;0;125;6003;1179;76;0;0;92;5;203;1786;447;1301;0;0;0;0;0;0;0;0
Республика Бурятия;874112;7907956;0;298323;0;0;0;571933;519;0;0;0;0;0;14385814;211096;70942;0;2056146;0;0;0;0;0;0;0;0;0;0;0;24615;0;0;0;0;-83;0;0;0;0;0;0;0;0;0;108411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109104;0;0;2;41167;17525;3509990;0;89859;645735;2040;0;355855;0;0;53;47286;29492;0;120400;0;0;8;154472;22703;0;0;0;11941;1340228;0;0;210638;0;0;0;0;29795;385;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8169;2;5;2576;0;3416;0;0;505;560;3;0;0;88;660;0;166;43553;0;0;0;0;0;0;0;0;0
Республика Алтай;272031;1168826;0;5120;0;0;0;0;3036;0;0;1452;0;487;2910079;15762;30910;0;2495953;0;0;0;0;0;0;0;0;0;0;0;220;0;351;0;0;-201;0;0;0;0;0;0;0;0;0;65610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21640;0;0;0;33846;0;476395;2989;24028;131391;0;0;16179;0;0;0;48550;0;0;12183;0;0;0;55395;0;0;0;0;6552;87962;0;0;0;0;0;0;0;2489;1967;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;-2;0;0;370;0;0;3384;0;96;0;0;1256;210;34;0;0;0;461;637;60;0;0;0;0;0;0;0;0;0;0
Республика Дагестан;399382;4056080;29;908172;0;0;0;218;2239;0;0;0;0;0;17631664;55014;169745;0;8627000;1128;0;0;0;873;-403;0;0;420;0;73321;50289;2786284;0;0;0;-235;0;3079;2723;345142;0;0;0;0;0;190645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;0;116527;264719;0;0;56643;1327;3131314;222103;83694;1595169;15506;1069;239554;439970;304;1497;98769;3413;0;149316;184218;122;80;105903;6669;1811174;26223;-7229;41871;3130;23;0;0;0;0;0;0;13946;82;23;888;0;0;0;0;0;14;1;0;335;5;0;75;0;0;0;2;0;0;0;0;0;115;48;24;0;0;432;35;73;728;0;0;0;0;0;1;211;0;1;0;0;0;0;0;0;0;12;20;158;3;2;0;0;33;0;0;1152;0;0;11694;10;61;0;0;-19;7079;0;0;0;49;0;0;10;0;0;0;10;0;0;0;62;7;2
Республика Ингушетия;49771;444737;0;12277;0;0;0;0;0;0;0;0;0;0;2462684;12233;8513;0;580201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30028;0;0;191;12280;0;754017;2845;5833;134291;80;0;51990;0;0;1142;12017;0;0;33810;0;0;16;21108;0;440632;0;0;1597;0;0;0;0;0;0;0;0;19792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;71;0;0;2909;0;3;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;150334;2086640;0;65616;0;0;0;0;943;3;0;0;0;0;5309728;43022;45030;-119;3522518;98333;0;0;0;-3339;0;0;0;0;0;298104;114643;1641840;0;14409;0;0;0;0;0;0;0;0;5669;0;0;28212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84380;0;0;0;35850;8458;1579038;34038;26354;298850;12447;0;134377;0;0;0;78786;21618;0;48183;0;0;0;26859;8711;2088;0;0;6817;943;0;0;0;0;0;16;0;29168;142;0;0;0;0;0;0;0;26;0;0;118;0;24;0;0;0;0;0;0;0;0;0;0;5217;18;148;0;0;847;0;0;1244;4276;24;0;0;0;82;1881;334;555;0;0;0;0;0;0;0;143;0;29;0;10;0;0;272;0;0;2;0;600;32317;0;116;0;0;13346;3524;0;0;0;0;0;-7;758;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;-86898;1881630;0;390160;0;0;0;5;0;0;0;0;0;0;2189444;10536;34386;0;1692967;0;0;0;0;0;0;10122;0;0;0;0;0;0;0;0;0;0;0;-9918;0;0;0;0;0;0;0;524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53105;0;0;0;13646;3214;940193;55343;25134;176861;3769;0;86703;0;0;0;21849;8485;0;48798;0;0;0;91809;6725;1233423;42584;0;410;0;0;0;0;0;0;0;0;1773;0;561;2;0;0;0;0;0;-38317;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;16;29;0;0;0;0;0;33;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;-2;0;1;0;0;0;0;0;0;0;11493;0;0;2444;0;59;0;0;4383;490;4;0;0;40;10;5;25;0;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;93624;1173768;0;45558;0;0;0;0;237;0;0;0;0;0;3401831;18679;31363;0;2735823;3;0;0;0;1642;0;0;1720;0;0;0;46710;0;703;0;0;0;0;0;0;0;0;0;0;0;0;64191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65142;0;0;0;41946;8451;788915;1797;39060;236428;2032;5;78746;0;0;0;16116;5155;0;60173;0;0;0;52158;8929;0;0;0;7216;86392;0;0;0;0;0;0;0;14565;16;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;42;0;82656;6624;0;18;0;0;44;527;0;0;0;208;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Карелия;605141;5269070;0;2454650;0;0;0;55013;33077;20028;0;0;0;6;12960073;55809;155077;0;13574107;0;0;0;0;0;0;0;0;0;0;0;19226;114764;0;0;0;-530;0;-9013;0;0;0;0;0;0;0;85709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77890;0;0;0;14997;39257;2171866;17279;145615;725277;1818;0;167056;0;0;0;82879;76389;0;30177;0;0;0;42283;30754;0;0;0;164906;791535;0;0;0;0;0;0;0;1637;4188;30116;563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;25;0;0;23;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5041;1;15008;6459;0;533;0;9;450;569;69;0;0;393;116;-8174;701;846;0;0;0;0;0;0;0;0;0
