GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179
  Республика Адыгея;174536;1866276;0;194105;0;0;0;0;-699;16357;0;0;0;0;4760722;23408;131050;0;4182170;0;0;0;0;141874;0;1352;0;0;0;0;0;220156;0;518210;5393246;0;10590;0;0;0;0;0;0;0;0;0;0;0;0;0;15625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65990;0;0;0;42300;20248;309943;33754;63647;391373;2633;-6;47387;0;0;0;84927;18544;0;26110;0;0;0;133054;25805;0;124601;8966;24720;10822;0;0;0;0;0;0;0;6623;89;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;672;7812;160;0;0;0;0;0;0
  Республика Башкортостан;4807365;28930855;0;1997571;0;0;0;25501;326598;258958;91;94472;734;1566;56922822;394275;759201;3228;61877929;67670;0;0;0;0;0;1695;43911574;-13277294;0;32255838;11741;84538;0;7261915;9054338;0;803;0;0;-1952396;-1012;0;-1316235;0;0;0;0;0;13817617;0;1711674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;988050;0;0;0;192324;181164;2635077;94954;889714;3019502;9014;-24;901334;0;16;0;483897;363993;0;234812;0;0;0;619738;133852;83829872;18566;0;172931;1092098;0;0;0;0;0;0;0;149154;3685;4;104;0;0;0;0;0;0;1;0;0;64;0;1;0;0;0;0;0;0;0;0;0;0;2799;58;53;0;0;1;0;0;255;2153;0;0;0;0;30;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;14239;115;1134229;32052;93;0;559;0;0;0;0
  Республика Бурятия;712407;5959685;0;515192;0;0;0;83101;251;206;0;0;0;0;15030680;222900;120158;0;-4082215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22980;0;0;0;0;0;0;-491;0;0;0;0;0;0;0;0;0;77439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125025;0;0;6;36913;17514;911908;0;95651;678798;1106;0;330683;0;0;52;47235;27527;0;153617;0;0;52;151404;23653;0;0;0;15076;1764588;0;0;220901;0;0;0;0;34530;0;2;182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10956;0;2760;4969;0;0;0;0;0;0;0
  Республика Алтай;299236;1114135;0;2983;0;0;0;0;371;0;944;4661;0;5474;3067421;7925;23186;0;2668787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;890;0;0;167;0;0;0;-2522;0;0;0;0;0;0;0;0;0;38142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19787;0;0;0;36355;0;147348;716;29584;140405;50;0;14616;0;0;0;46103;0;0;12298;0;0;0;56845;0;0;0;0;5484;122019;0;0;0;0;0;0;0;2805;1081;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;2;0;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;534;0;0;4414;5;0;0;0;0;0;0
  Республика Дагестан;416553;4259480;1;289154;0;-9;0;15;1525;0;0;1;0;0;21563160;50979;83014;0;8212646;32;0;1;0;65394;15752;59;0;48;0;0;0;96395;204533;48635;1294555;503834;0;0;0;0;-332;0;-92;347;42887;0;0;0;0;0;232803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;87844;125535;0;0;56473;2589;898819;72770;87366;1787715;10940;-88;201895;352598;455;1417;82798;4925;0;157893;361787;217;22;126619;10230;996802;38483;9743;30545;2501;0;0;0;0;0;0;0;7158;416;138;1400;0;0;0;0;0;0;5;3;0;93;4;0;0;0;0;0;0;0;0;0;0;0;83;34;18;0;0;109;170;58;373;0;0;0;0;0;1;185;0;1;0;0;0;0;0;0;0;1;0;0;2;1;0;0;5;0;0;1628;0;0;61872;0;0;0;0;0;0;0
  Республика Ингушетия;51806;425097;0;3790;0;0;0;0;0;0;0;0;0;0;2482739;6026;8176;0;833679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83712;0;0;245;18115;0;201439;336;6408;143495;0;0;47307;0;0;140;13522;0;0;25896;0;0;23;18225;0;428346;0;0;7256;0;0;0;0;0;0;0;0;36651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;30785;0;0;0;0;0;0;0
  Кабардино-Балкарская Республика;117193;1721044;0;27590;0;0;0;157;449;1;0;0;0;0;5709536;27048;30844;0;3041487;329654;0;0;0;0;2;0;0;0;1;0;0;521764;0;129195;1251508;0;1663;-1207;0;0;0;0;0;0;0;0;0;1875;0;0;45609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88774;0;0;0;49961;25854;585739;7263;28819;319082;7895;0;128699;0;0;1;68734;25757;0;48685;0;0;0;24127;10621;1253;0;0;5744;856;0;0;0;0;0;-32;0;31150;135;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2382;2;9;0;0;1335;0;0;56;228;0;0;0;0;3;176;3;35;0;0;0;0;0;0;0;208;0;0;0;4;0;0;81;0;0;61;0;672;12468;286;0;0;0;0;0;0
  Республика Калмыкия;29747;2261345;0;94438;0;0;0;0;19;0;0;0;0;0;2363840;11595;38058;0;1308281;0;0;0;0;0;0;0;0;-80;0;0;0;0;0;46;0;0;0;0;0;0;0;0;-16955;0;0;0;0;0;0;0;11113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69966;0;0;0;13589;2353;267317;11596;25964;184393;2513;0;86337;0;0;0;19620;8245;0;55467;0;0;0;91892;6648;758246;37890;0;983;0;0;0;0;0;0;0;0;2283;0;538;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10741;0;0;5244;0;0;0;0;0;0;0
  Карачаево-Черкесская Республика;127458;1396664;0;15932;0;0;0;0;12;0;0;0;0;0;3524171;18825;174325;0;2990269;2;0;0;0;0;0;428;0;0;0;0;0;0;0;62887;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;101140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75418;0;0;0;65822;14468;227063;359;46791;230180;1176;-5;92105;0;0;0;22616;4382;0;63880;0;0;0;52189;7592;0;0;0;6729;87365;0;0;0;0;0;0;0;5569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;41;0;0;9434;0;0;0;0;0;0;0
  Республика Карелия;475381;3806596;0;1868624;0;0;0;4435;8407;47549;0;315;0;1373;13636680;112047;127195;0;11030512;8823;0;0;0;0;0;0;0;0;0;0;0;0;0;15586;527268;0;0;0;0;0;-603;0;-37326;0;0;0;0;0;0;0;152982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79837;0;0;0;15878;52292;666645;4252;165665;772759;1650;0;172654;0;0;0;68358;50392;0;21797;0;0;0;34058;22443;0;0;0;195779;825686;0;0;0;0;0;0;0;2057;2025;41617;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;9;0;0;19;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7319;0;55545;8324;0;0;146;0;0;0;0
