GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198
  Республика Адыгея;327311;3033668;0;602474;0;-725;0;0;22;30057;0;0;0;0;5229638;92976;160035;0;0;0;106763;0;0;0;5244482;0;0;0;0;61741;99;3;0;0;0;0;0;176022;79;503516;5097080;0;16356;0;0;0;-208;0;0;0;0;0;0;0;0;0;0;0;20077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24208;0;0;0;0;27589;12919;1254069;133697;58458;434784;2583;0;44233;0;0;0;0;86803;23611;0;25301;0;0;0;146194;26474;0;0;111915;8241;33516;10368;0;0;0;0;0;0;0;7058;134;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;1248;12140;0;0;0;0;0;0;0
  Республика Башкортостан;8466077;54791616;1;8748477;0;156;0;114299;134072;265879;1071;83826;0;8210;61729154;610138;1009250;7429;0;0;3605067;0;0;0;72228647;52074;0;0;0;0;0;2506;58986653;-12961136;0;38679415;27517;223520;0;7448537;9553540;0;1235;0;0;-2061274;-1421;0;75316;0;0;0;0;0;-135896414;0;0;0;2524891;0;0;0;0;0;0;0;0;0;0;61686;0;0;0;0;0;0;0;0;0;1215182;0;0;0;0;230285;232499;9891792;362067;929468;3075006;7310;0;1120490;0;0;0;0;389860;175679;0;207380;0;0;0;567293;111564;0;140227050;20923;0;168668;421348;0;0;914;2322308;0;0;0;173952;4075;0;55;0;0;10054126;0;0;31777679;0;-1;0;0;0;10;0;1;0;0;0;0;2;0;0;0;0;0;0;2798;0;5;0;0;1;0;0;0;321;-2153;4;0;0;0;59;43;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14;0;0;0;0;0;0;0;0;13328;115;1722541;44650;10928;0;-399;0;0;0;0
  Республика Бурятия;1490223;11592569;0;401113;0;0;0;55839;647;300;0;0;0;0;16872707;267321;431871;5000;0;32;162074;0;0;0;-1834193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22878;0;0;0;0;0;0;-1587;0;0;0;0;0;0;0;0;0;0;0;92219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136860;0;0;0;0;46157;22166;3744050;0;96318;695465;889;0;363648;0;0;0;0;52703;25792;0;161010;0;0;1;153510;22149;0;0;0;0;27221;1580425;0;0;167508;430053;0;0;0;38780;749;0;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10392;-1;1380;11798;0;0;0;0;0;0;0
  Республика Алтай;259790;185116;0;5022;0;0;0;0;3309;0;840;2669;0;20;3236241;8418;437842;0;0;5;347564;0;0;0;3507041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;556;0;0;10;0;0;0;-2570;0;0;0;0;0;0;0;0;0;0;0;51950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19973;0;0;0;0;36458;0;524755;2809;29368;156305;0;0;14383;0;0;0;0;55645;0;0;13063;0;0;0;63125;0;0;0;0;0;7952;110383;0;0;0;0;0;0;0;3724;963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;625;0;0;8520;25;0;167;0;0;0;0
  Республика Дагестан;575681;5646951;1;977989;0;5;0;372;12156;1316;0;0;0;0;20372190;90526;336907;1;0;0;6094550;5000;0;0;9132440;50;0;3;0;0;38922;268;113494;361935;0;0;0;54503;205611;50284;1182969;671866;0;0;0;0;-215;0;349863;0;0;0;0;0;0;0;0;0;261898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;148372;282011;25;0;1;71953;2680;3311238;273141;95056;1994906;11044;0;180082;0;411298;1;136;56659;3300;0;160269;300798;71;50;112333;5804;0;1320657;36575;10853;24278;3756;0;0;0;0;0;0;0;8387;139;251;1070;0;0;611094;0;0;0;0;-12;4;0;0;84;4;0;28;0;0;0;0;8;0;0;0;0;0;87;31;19;0;0;-239;199;0;58;247;0;0;0;0;0;1;70;0;1;0;0;0;0;0;0;0;0;0;2;15;0;24;1;2;0;0;0;5;0;0;1397;0;0;105175;0;0;15;0;0;0;0
  Республика Ингушетия;61384;708559;0;12356;0;0;0;0;0;0;0;0;0;0;2683930;8719;22718;0;0;0;2571;0;0;0;895433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50458;0;0;0;251;14404;0;698960;962;5159;143725;0;0;35263;0;0;0;1918;7547;0;0;25632;0;0;16;19270;0;0;476450;0;0;1952;0;0;0;0;0;0;0;0;21660;0;0;0;0;0;1335760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;534;0;0;15919;0;0;0;0;0;0;0
  Кабардино-Балкарская Республика;128872;2021244;0;59626;0;0;0;2;548;0;0;0;0;0;6135658;37553;67589;24;0;0;102650;5000;0;0;3876400;10749351;0;0;0;0;1052;68;0;0;0;0;0;625736;0;103040;1998865;0;1959;0;0;0;0;0;0;0;0;0;0;13524;0;0;0;0;79474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90040;0;0;0;0;57704;29499;1602241;33855;23044;330150;6816;0;131659;0;0;0;0;65589;26325;0;43182;0;0;0;27213;11139;0;2410;0;0;6474;1113;0;0;0;0;0;0;0;34144;171;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;1;5;0;0;1333;0;0;0;8;5;0;0;0;0;2;11;7;1;0;0;0;0;0;0;0;0;0;505;0;0;9;0;2;0;0;0;0;0;0;23;0;672;21530;0;0;0;0;0;0;0
  Республика Калмыкия;30128;2616496;0;275034;0;0;0;0;0;0;0;0;0;0;2565547;19860;46542;0;0;0;22022;0;0;0;1667671;0;0;0;0;0;0;0;0;152;0;0;0;0;0;253;0;0;0;0;0;0;0;0;-12362;0;0;0;0;0;0;0;0;0;21218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78459;0;0;0;0;14253;2195;1014970;43929;30078;193460;1281;0;95688;0;0;0;0;23415;8358;0;50075;0;0;0;94568;6996;0;310191;31039;0;855;60;0;0;0;0;0;0;0;2228;0;553;5;0;0;1236015;0;0;43536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13925;0;0;10782;0;0;0;0;0;0;0
  Карачаево-Черкесская Республика;155591;1619241;1;49814;0;0;0;0;1;0;0;0;0;0;4105203;25506;216845;0;0;0;22215;0;0;0;2845700;0;0;0;0;0;0;353;0;0;0;0;0;0;0;71691;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77618;0;0;0;0;50058;13396;843530;3105;41934;284250;1162;0;135805;0;0;0;0;40585;6372;0;64640;0;0;0;49726;6799;0;0;0;0;9499;75418;0;0;0;187913;0;0;0;13774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;40;0;0;53712;0;0;0;0;0;0;0
  Республика Карелия;917566;7697870;0;5062513;0;0;0;2727;2801;52209;0;284;0;256;14749806;84572;268759;4;0;0;374106;0;0;0;21910547;-3574;0;0;0;0;0;634;0;0;0;0;0;0;0;9592;637182;0;0;0;0;0;-759;0;-24190;0;0;0;0;0;0;0;0;0;592072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143298;0;0;0;0;20180;36598;2245652;16542;164623;779926;1353;0;147358;0;0;0;0;53989;51211;0;22462;0;0;0;36790;23348;0;0;0;0;204009;81008;0;0;0;2602196;0;0;0;1505;2341;60549;515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7223;0;174513;11235;0;0;415;0;0;0;0
