GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232
  –еспублика јдыге¤;487773;0;0;289473;4327527;0;296038;0;0;0;0;0;0;0;16;0;-6528;8134;0;0;0;0;0;6808329;78531;281384;0;191452;0;49;270680;0;0;0;7226;64272;7480748;0;0;0;0;0;0;3142;0;89311;2170;0;0;0;0;0;0;149988;0;963854;7544966;0;10263;0;0;0;-718;0;0;0;0;0;0;0;0;0;0;0;61915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113646;0;0;0;0;89826;42628;1458689;192191;65479;563465;1813;0;47310;0;0;0;0;120994;36397;0;31808;0;0;0;134103;34870;0;0;163610;7490;50941;0;0;0;0;0;0;0;0;0;17997;0;0;0;0;0;0;9838;193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;11578;23465;5;0;12544;0;0;0;0;0;309605;0;11
  –еспублика Ѕашкортостан;11742488;0;240;11433134;73974964;7;2738414;0;71;0;0;2751025;0;0;0;241050;699348;97416;663;55471;0;5815;0;74600224;304422;1503071;3105;2609040;-2;716;4618384;0;4273;0;89515;1201353;91921372;170406;0;0;0;0;0;425;0;0;0;27835;54120472;-11233311;0;50694981;105513;219059;0;7791700;12489148;0;1076;0;0;-1893041;-7717;0;-36556;0;0;0;316;0;-264510446;0;0;0;4064035;0;0;0;0;0;0;0;1925;0;1545;438217;885;0;0;0;0;0;0;0;0;0;0;1331159;0;0;0;0;296113;258984;9479099;1117623;1007471;3278839;7070;0;1058802;0;0;0;0;386070;190394;0;264256;0;0;0;611654;122740;0;218839407;24234;0;368832;0;0;0;0;0;0;0;0;0;450725;0;2282;3950763;0;0;0;245032;5332;7;102;0;0;0;0;0;64392870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13444;268;3402044;50345;253;0;403743;0;0;0;0;0;3586723;0;20395
  –еспублика Ѕур¤ти¤;2563003;0;0;247776;17574435;0;169785;0;0;0;0;42398;0;0;0;24420;4841;595;0;0;2;0;0;21609885;75585;383044;549;517853;50;-176;1057595;650;0;4350;10927;82930;-3990888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19828;0;0;0;0;0;0;-6714;0;0;0;0;0;0;0;0;0;0;0;946625;0;0;0;2924;0;0;0;0;0;0;1284;0;0;0;0;0;0;0;0;0;0;0;170235;0;0;0;0;52094;23547;4286030;34;99531;717919;546;0;283287;0;0;0;38;52289;25839;0;139744;0;0;0;146041;23446;0;0;0;0;143206;0;0;0;0;0;0;0;0;0;2057503;0;939846;690469;0;0;0;50081;4062;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13861;4;1406;12668;228;0;17631;0;0;0;0;0;406605;0;-245
  –еспублика јлтай;426499;0;0;10178;1976753;0;-775;0;0;0;0;0;0;0;0;251;34;0;3073;113474;0;0;0;4189533;15801;96263;0;279787;0;0;161768;0;0;0;1773;82114;317681;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2083;0;0;0;0;0;0;-1472;0;0;0;0;0;0;0;0;0;0;0;20132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28889;0;0;0;0;45725;0;544523;4131;28286;182840;0;0;26797;0;0;0;0;62094;0;0;13267;0;0;0;63652;0;0;0;0;0;30916;0;0;0;0;0;0;0;0;0;180145;0;0;0;0;0;0;4889;2791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;994;1;255;5533;0;0;3425;0;0;0;0;0;225164;0;1039
  –еспублика ƒагестан;782038;0;0;531057;6888503;0;512610;1;0;0;0;42839;0;0;0;2201;324;0;0;0;6;0;0;21906273;111272;916225;-27;93191;0;1;632774;0;5041;0;10643;64907;12286449;0;0;20;0;0;0;6239;0;0;22693;390;1569;1858889;0;0;0;74467;175444;90252;2096792;1155466;0;0;0;0;-648;0;-452;0;0;0;0;0;0;0;0;0;658194;0;0;0;0;0;0;0;0;0;0;280;0;0;0;0;0;0;0;0;0;0;0;320526;909862;-27;0;0;123108;5235;3882082;518952;94620;1865636;8890;0;168238;0;399514;0;5230;178719;7579;0;150238;353994;-132;-25;126262;4844;0;1356575;36832;11234;28685;0;0;0;0;0;0;0;0;0;5602;0;0;0;0;0;0;12447;120;1981;1990;0;0;17873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4242;0;104;232358;0;0;163305;0;0;0;0;0;3621116;0;0
  –еспублика »нгушети¤;125706;0;0;28104;818381;0;519;0;0;0;0;0;0;0;0;26003;0;0;0;0;0;0;0;3786706;8717;116978;0;2;0;27;2470211;5;0;0;1904;987;1618058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112567;0;0;0;554;25265;0;927789;21759;11594;185641;0;0;46427;0;0;0;1168;10475;0;0;37442;0;0;15;26873;0;0;489781;0;0;1461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29107;0;0;0;0;0;2271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;5;15302;0;0;0;0;0;0;0;0;639378;0;0
   абардино-Ѕалкарска¤ –еспублика;231200;0;0;80397;2988209;62;18632;0;143;0;0;0;0;23;0;1629;2314;0;0;0;0;0;0;7793397;48636;250662;-23;213010;0;40;197093;650;0;4350;5515;44913;5333113;6425;0;0;0;0;0;5510;0;5473;2944;0;0;0;0;0;0;623792;3918;125252;2970829;0;19;0;0;0;0;0;0;0;0;0;0;8488;0;0;0;0;208361;0;0;0;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168397;0;0;0;0;56167;39174;1654995;71737;28567;367431;5586;0;100278;0;0;0;0;70926;17136;0;47336;0;0;0;28372;10757;0;3881;0;0;16848;0;0;0;0;0;0;0;0;0;1387;0;0;0;0;0;0;42138;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5431;41478;0;0;4112194;0;0;0;0;0;2219570;0;0
  –еспублика  алмыки¤;71406;0;0;309852;3969381;0;100940;0;0;0;0;45559;0;0;1180;51;0;0;0;0;0;0;0;3252062;21256;117606;0;19399;0;-15;77468;0;0;0;4058;21377;2638033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385;0;0;0;0;0;0;0;0;-334;0;0;0;0;0;0;0;0;0;85717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141903;0;0;0;0;38850;8989;763407;92029;32452;212082;1176;0;48740;0;0;0;0;16125;4471;0;35531;0;0;0;49174;4045;0;19723;50564;0;489;0;0;0;0;0;0;0;0;0;462;0;0;0;0;0;0;2792;10;567;3;0;0;-1384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11281;0;5;13851;130;0;34646;0;0;0;0;0;390829;0;0
   арачаево-„еркесска¤ –еспублика;284829;0;0;75042;2511040;-4;13670;0;0;0;0;0;0;0;0;2198;0;0;0;0;0;0;0;5311879;56836;213475;0;12245;0;91;105528;-5;0;0;1747;11513;5952299;0;0;0;0;0;0;6369;0;0;0;0;0;0;0;0;0;0;0;156250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96065;0;0;0;0;59371;13734;969035;3085;38206;272188;497;0;90753;0;0;0;0;31456;4748;0;66216;0;0;0;59982;7774;0;0;0;0;36872;0;0;0;0;0;0;0;0;0;22783;0;0;336003;0;0;0;18836;366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;42;32149;0;0;88;0;0;0;0;0;1309159;0;43
  –еспублика  арели¤;967515;0;0;3380515;7777012;0;73295;0;1901;0;0;551149;0;0;0;21788;6187;7997;0;0;0;0;0;17765352;87109;362530;0;448045;-8;670;684382;0;0;0;17463;219699;12459528;-441;0;0;0;0;0;1988;0;0;0;0;0;0;0;0;0;0;0;20687;643256;0;0;0;0;0;-6734;0;-3313;0;0;0;0;0;0;0;0;0;939509;0;0;0;0;0;0;0;222;0;43;0;0;0;0;0;0;0;0;0;0;0;0;214591;0;0;1282;0;28010;53117;2642189;24930;183643;843814;994;0;160444;5437;0;0;0;41204;49182;0;25285;0;0;0;42715;27356;2031;0;0;0;1146512;0;8542460;0;0;0;0;0;0;0;2;0;0;4700;0;0;0;2020;5337;208742;846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2814;2;110405;16729;48;0;24187;0;0;0;0;0;535732;0;3915
