GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228
Республика Адыгея;585440;0;0;211493;4731254;0;-47079;0;0;0;0;0;0;0;36;322;15764;36000;0;0;-128;0;19303;8185414;74926;412245;650;358357;101195;64;1084095;0;0;0;12981;102125;9184977;0;0;0;0;0;0;21670;0;58667;3855;0;0;0;0;0;0;219785;9968;1171544;7718119;0;14224;0;0;0;-98;0;0;0;0;0;0;0;0;0;0;0;159882;0;0;0;0;0;0;0;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139082;0;0;0;0;97883;41337;1563334;183703;70280;579923;1589;0;42473;0;0;0;0;99435;24986;0;29914;0;0;0;154432;41068;0;0;224795;67129;44330;0;0;0;0;0;0;0;0;0;16215;0;0;0;0;0;0;11877;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;0;7800;6890;43;0;30768;0;0;0;0;0;578495;568;-193
Республика Башкортостан;9980686;0;-240;806055;59207987;45;-962855;4;782;0;31;412559;0;0;0;299924;204380;28440;1433;59325;0;14254;3106895;90344644;317677;1923573;650;4120364;899538;2157;3296336;650;2655;4375;152961;1476396;72258230;191284;0;0;0;0;0;3374;0;0;0;84777;62036894;-13088056;0;55960091;110163;56205;0;9149322;14488613;0;79109;0;0;-2111829;-6657;0;42537;0;0;0;699;0;-335639494;0;0;0;4415494;0;0;0;0;0;0;0;2577;0;2237;582800;0;0;1080;0;0;0;0;0;0;0;0;1513193;0;0;0;0;337849;297436;10549874;1010916;1094610;3366130;7861;0;759193;0;0;0;0;291125;98184;0;270542;0;0;0;625786;92696;0;285715914;26430;0;430074;0;0;0;0;0;0;0;0;0;436487;0;2589;4626596;0;0;0;285601;9328;7;41;0;0;176780;0;0;95325662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14319;85;5746937;51414;28;0;293257;0;0;0;0;0;6774873;20384;-17280
Республика Бурятия;1212432;0;0;96829;10148313;0;-4425;0;0;0;0;4886;0;0;0;1474;1112;330;0;0;0;0;962283;24729659;89757;517897;0;1104342;119478;106;707953;650;0;4350;27892;150433;3620605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6190;0;0;0;0;0;0;-8507;0;0;0;0;0;0;0;0;0;0;0;854625;0;0;0;-2924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213135;0;0;0;0;54270;26150;4355253;440;108868;720601;504;0;272424;0;0;0;7;51195;24534;0;143183;0;0;0;141975;22382;0;0;0;0;84925;0;0;0;0;0;0;0;0;0;2584210;0;333790;699995;0;0;0;62751;14301;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14725;16;0;17915;0;0;58978;0;0;0;0;0;858154;416;-23
Республика Алтай;382551;0;0;13589;1727370;0;-108;0;0;0;0;0;0;0;0;0;49;0;227;115786;0;235;29039;5229001;17805;204781;650;481026;24270;35;219157;0;23995;0;1894;76964;-1599883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8427;0;0;0;0;0;0;-1356;0;0;0;0;0;0;0;0;0;0;0;77731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31272;0;0;0;0;49303;0;552432;3928;31448;197161;0;0;25407;0;0;0;0;62080;0;0;12280;0;0;0;67593;0;0;0;0;0;32729;0;0;0;0;0;0;0;0;0;280140;0;0;0;0;0;0;5653;5839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;873;-1;0;5301;0;0;46620;0;0;0;0;0;238837;0;0
Республика Дагестан;807178;0;0;260424;6177869;0;-82464;3;0;0;0;42980;0;0;0;7196;1905;0;0;0;0;0;40700;24309862;130484;430412;-1;260518;116173;76;244940;0;-74;5100;9382;110828;13657690;66093;0;65;0;0;0;15221;0;0;43807;302;-1569;-1858889;0;0;0;20861;229745;97738;2277717;1623757;0;0;0;0;-2845;0;-648;0;0;0;0;0;0;0;0;0;604473;0;0;0;0;0;0;0;0;0;309;0;0;0;0;0;0;0;0;0;0;0;0;343500;800316;-2;0;0;133013;6319;2979943;522120;120308;1816322;7756;0;146042;0;382339;0;5226;109208;3715;0;187159;340018;-21;-28;128913;4002;0;1462068;41995;15423;52492;0;0;0;0;0;0;0;0;0;4935;0;0;0;0;0;0;4555;660;1219;1593;0;0;189999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4786;0;10;115788;0;0;444405;0;0;0;0;0;4209427;0;-117
Республика Ингушетия;198697;0;0;18295;728842;0;-360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3795565;56096;77307;0;133850;10308;0;28276;5;0;0;2868;12414;1365166;0;0;0;0;0;0;1781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105823;0;0;0;548;16969;0;1080480;17186;12498;168352;0;0;35575;0;0;0;699;14253;0;0;36537;0;0;21;27388;0;0;611124;0;0;2128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19709;172;0;0;0;0;33987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14928;0;0;8244;0;0;0;0;0;909724;88;-1
Кабардино-Балкарская Республика;285547;0;0;62410;2895028;36;-2845;0;-143;0;0;0;0;0;0;254;951;0;0;0;0;0;0;8671515;56556;232761;0;144308;55387;94;98355;1300;0;3700;8071;59794;5730963;806182;0;0;0;0;0;45015;0;0;3359;469370;0;0;0;0;0;569235;8929;147472;4065715;0;1701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150571;0;0;0;1313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136158;0;0;0;0;78494;77866;1870615;59840;30305;332436;5754;0;95431;0;0;0;0;75979;17612;0;43775;0;0;0;30148;12164;0;3930;0;0;22624;0;0;0;0;0;0;0;0;0;1632;0;0;0;0;0;0;52210;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;5310;31640;0;0;8676713;0;0;0;0;0;2731000;3254;-8
Республика Калмыкия;59929;0;0;302703;3310222;0;-9521;0;0;0;0;55039;0;0;1035;606;0;0;0;0;0;0;0;4275883;44670;207675;0;112185;87580;107;212618;0;0;0;11266;73517;1942593;0;0;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;138411;0;0;0;0;32121;8537;1346821;82579;35050;254578;1176;0;23689;0;0;0;0;11879;2270;0;29051;0;0;0;44096;3815;0;11827;54519;0;1707;0;0;0;0;0;0;0;0;0;520;0;0;0;0;0;0;3213;13;589;0;0;0;471247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13932;0;3;20313;0;0;16600;0;4216;0;0;0;786898;239;-2
Карачаево-Черкесская Республика;335084;0;0;66027;2871501;0;-2295;0;1;0;0;0;4;0;0;597;926;2200;0;0;0;0;87226;5657101;40919;622225;0;62441;61909;5;80022;0;0;0;2190;28797;5366833;0;0;0;0;0;0;19716;0;0;0;0;0;0;0;0;0;0;0;244751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101536;0;0;0;0;68794;13503;1136588;2697;47596;223820;350;0;90465;0;0;0;0;33702;3760;0;68216;0;0;0;58380;7378;0;0;0;0;43460;0;0;0;0;0;0;0;0;0;28635;0;0;377562;0;0;0;20460;409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;20276;0;0;40648;0;1078;0;0;0;1569682;3794;0
Республика Карелия;630428;0;0;6565843;6251500;-31;-92093;1;-1858;0;0;1136409;0;0;0;16674;5425;3240;0;0;0;110;263353;21558950;63591;458259;0;551770;194892;1096;302879;0;0;0;25092;374356;18420105;0;0;0;0;0;0;4786;0;0;0;0;0;0;0;0;0;0;0;75384;618458;0;0;0;0;0;-7868;0;0;0;0;0;0;0;0;0;0;0;849772;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;246022;0;0;22750;0;28501;41859;3068064;23113;186781;862452;700;0;103352;12656;0;0;0;24075;22772;0;24969;0;0;0;35019;20120;9001;0;0;0;835496;0;8367850;0;0;0;0;0;0;0;444;0;0;6065;0;0;0;6215;11309;96698;641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4610;40;126615;17260;0;0;51509;0;0;0;0;0;952421;1433;-8932
