"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G94","G95","G96","G97","G98","G99","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G209","G210","G211","G212","G213","G214","G215","G216","G217","G218","G219","G220","G221","G222","G223","G224","G225","G226","G227","G228","G229","G230","G231","G232","G233","G234","G235","G236","G237","G238","G239","G240","G241","G242","G243","G244","G245","G246","G247","G248","G249","G250","G251"
"Республика Адыгея","1446931","0","0","221662","4834686","0","-6086","0","1","0","0","0","8","0","0","1585","25787","36000","0","0","0","0","0","9407480","85574","0","0","0","0","0","0","0","73925","44539","13895","0","0","0","620248","0","0","0","0","386861","362323","433","292520","0","-71","0","19109","83056","11748600","0","0","0","0","0","0","0","38666","0","0","-5","4376","0","0","0","0","0","0","0","0","344480","-6464","1044953","8390781","0","21885","0","0","-14","0","0","0","0","0","0","0","0","0","0","27658","971527","0","0","0","0","0","0","0","0","0","0","0","0","911122","0","0","0","0","0","0","0","3054","0","247608","0","0","0","0","161008","81342","1930239","174689","82138","568836","1512","0","49771","0","0","0","0","145724","43667","0","36989","0","0","0","188910","50520","0","0","239740","23710","38140","0","0","0","0","0","0","0","0","9983","0","0","0","0","0","0","14022","228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","535","0","1332","32508","0","0","-14","0","29353","0","0","0","1214131","421","-1"
"Республика Башкортостан","23061930","14","0","1890776","51090282","-87","-87506","0","0","0","0","4859988","8","0","0","139577","667118","14468","0","48911","0","3488","653","93341505","619662","0","0","0","0","0","0","0","808654","262392","155947","55302","0","0","2242324","0","0","0","0","4837314","2829486","1825","3794468","650","-28","4507","247176","1122190","143305466","157348","0","0","1161","0","0","0","20202","879417","0","0","0","162797","0","0","77243185","-9833367","35","66773143","121853","6433","0","12102642","17016069","0","127400","0","-1870474","-2690","0","9239","0","0","0","0","-225304065","0","0","0","69956","2493804","0","0","0","0","0","0","0","0","0","1896","0","1003","372383","0","0","0","0","0","0","0","0","0","1986451","0","0","0","0","399336","352912","11371367","900999","1212909","3572503","6538","0","834949","0","0","0","0","389524","103308","0","325786","0","0","0","793294","105286","0","203322884","27845","0","267178","0","0","0","0","0","0","0","0","900332","0","4077","5763956","0","0","0","325830","3962","-7","59","0","0","105114","0","0","71184596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12726","116","4012105","84968","30","0","-16165","0","97572","0","0","0","11854706","94645","-27126"
"Республика Бурятия","2180785","0","0","524738","9460308","0","-2653","4","625","0","0","173684","1847","0","0","5","2835","1169","0","0","0","0","0","22440833","102240","0","0","0","0","0","0","0","89488","16964","15679","0","0","0","567714","0","0","0","0","574192","461118","432","1169781","1300","0","8700","30361","132454","3367644","0","0","0","0","0","0","0","3961","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7901","0","0","0","0","0","-2872","0","0","0","0","0","0","0","0","0","0","21699","331150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3007","0","396730","0","0","0","0","72781","33203","4908951","404","125706","746512","350","0","292205","0","0","0","80","69957","28371","0","164768","0","0","0","167851","26214","0","0","0","0","96818","0","0","0","0","0","0","0","0","5506936","0","179100","411692","0","0","0","76412","9764","1","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15992","-18","0","37029","0","0","837","0","81632","0","0","0","855540","17161","-85"
"Республика Алтай","1377868","0","0","6030","2670316","0","-11","0","0","0","0","0","0","0","0","0","1288","0","0","313972","0","6258","0","5040732","22222","0","0","0","0","0","0","0","35062","30349","23901","9477","0","0","225459","0","0","0","0","662441","120839","151","1128199","650","0","4350","5028","43606","-913040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9004","0","0","324","0","0","-682","0","0","0","0","0","0","0","0","0","0","83392","71076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42699","0","0","0","0","79729","0","810936","4055","34476","195194","0","0","31567","0","0","0","0","81077","0","0","14039","0","0","0","85728","0","0","0","0","0","44581","0","0","0","0","0","0","0","0","548529","0","0","0","0","0","0","7081","1529","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1422","0","0","12747","48","0","0","0","32197","0","0","0","357687","2046","0"
"Республика Дагестан","2257561","0","0","252981","7500649","0","-10653","3","2718","0","0","73917","0","0","0","-1322","78","0","0","0","0","0","0","26652436","291298","-2","0","0","0","0","0","0","100421","15150","1207","0","0","107","613236","0","0","0","171","481965","394435","1103","563777","650","0","4350","17569","83420","19739846","39980","0","46","0","0","0","0","13941","0","0","0","54576","789","0","0","0","72981","0","0","0","-1","257464","122669","3233904","1338522","0","0","0","-97","0","13431","0","0","0","0","-303827","0","0","0","49148","692388","0","0","0","0","0","0","0","0","0","0","0","-275","0","0","0","0","0","0","0","0","135","0","695400","1281076","-46","0","0","201247","9130","3160903","501499","115032","1927114","8554","0","196858","0","474709","0","8175","117886","5418","0","212425","385069","-193","-1","207749","6978","0","984743","33210","12445","164204","0","0","0","0","0","0","0","0","5224","0","0","0","0","0","0","9510","-238","1105","1805","0","0","18475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4240","0","0","102477","0","0","-104","0","29482","0","0","0","4974650","44645","-2160"
"Республика Ингушетия","167030","0","0","30941","530645","0","-58","0","0","0","84","0","0","0","474","0","0","0","0","0","-1","0","0","3747309","11518","0","0","0","0","0","0","0","4745","5291","319","0","0","0","133202","0","0","0","0","70196","28016","26","23129","0","0","0","3028","3722","2313747","0","0","0","0","0","0","0","2543","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1828","14201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","272","0","133132","0","0","0","381","16499","0","1133652","15643","16786","181424","0","0","43386","0","0","0","768","16049","0","0","40520","0","0","27","33155","0","0","528213","0","0","2426","0","0","0","0","0","0","0","0","303","0","0","0","0","0","0","17690","0","0","0","0","0","3351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18294","0","0","0","0","98055","0","0","0","807926","3703","0"
"Кабардино-Балкарская Республика","975592","0","4","65523","4484230","0","-444","0","0","0","0","0","0","0","0","55","1328","0","0","0","0","0","0","9629145","96735","0","0","0","0","0","0","0","24365","4236","0","0","0","0","283452","0","0","0","0","171465","227820","-93","330068","650","0","4350","14227","53040","8960055","646918","0","0","0","0","0","0","51019","0","0","0","3283","524218","0","0","0","0","0","0","0","220507","19547","168027","5746094","0","5441","0","0","0","0","0","0","0","0","0","0","0","0","0","29460","152758","0","0","0","5333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1921","0","191885","0","0","0","0","34327","931","1654836","63380","34820","348577","4858","0","161141","0","0","0","0","102043","28995","0","54304","0","0","0","42572","15950","0","3344","0","0","23004","0","0","0","0","0","0","0","0","1597","0","0","0","0","0","0","59571","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","45773","0","0","-1649929","0","1468781","0","0","0","3763515","120","-21"
"Республика Калмыкия","288161","0","0","159110","4194510","0","-1956","0","0","0","0","73193","0","0","10","-51","0","0","0","0","0","0","0","5159332","42378","0","0","0","0","0","0","0","12606","0","0","0","0","0","252518","0","0","0","0","242054","447278","1217","443900","0","0","0","21805","74399","23238409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","1253","0","0","0","0","0","0","0","1010","0","0","0","0","0","0","0","0","4518","473067","0","0","0","3263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1609","0","121211","0","0","0","0","29667","6855","1241792","73133","38494","348940","1043","0","35048","0","0","0","0","17431","2725","0","33468","0","0","0","52083","4710","0","10338","52540","0","914","0","0","0","0","0","0","0","0","693","0","0","0","0","0","0","3825","8","556","0","0","0","256091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17816","0","0","29114","10","0","0","0","26656","0","0","0","1040980","2309","-3"
"Карачаево-Черкесская Республика","458018","0","0","41830","2388238","0","-387","0","519","0","0","0","0","0","0","0","1175","0","0","0","0","0","0","6114539","41272","0","0","0","0","0","0","0","23120","0","0","168","0","0","148676","0","0","0","0","92197","145068","73","160107","0","0","0","4036","19413","4694860","0","0","0","23174","0","0","0","15721","0","0","0","0","0","0","0","0","0","0","0","0","1826","0","251039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35365","104679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","991","0","120217","0","0","0","0","73928","17883","1362327","2342","49920","253451","336","0","125284","0","0","0","0","62024","10400","0","77022","0","0","0","74819","8858","0","0","0","0","39253","0","0","0","0","0","0","0","0","28090","0","0","439337","0","0","0","24460","832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","242","26933","0","0","0","0","190","0","0","0","1496315","5757","0"
"Республика Карелия","1565541","0","0","45353","6851603","0","-606803","0","0","0","0","34600","0","0","0","22841","17782","26925","0","0","0","3046","0","19296651","62942","0","0","0","0","0","0","0","58656","20658","6948","1982","0","0","392204","0","0","0","0","670726","580144","301","424036","0","0","0","39931","238604","17646137","-4506","0","0","0","0","0","0","5821","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75503","830596","0","0","0","0","-2221","0","0","0","0","0","0","0","0","0","0","66284","769571","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","6710","0","295299","0","0","47000","0","32717","42323","3385932","21324","197884","873255","700","0","122203","28856","0","0","0","28897","29555","0","29587","0","0","0","40486","13857","25619","0","0","0","757724","10129990","0","0","0","0","0","0","0","-246","0","0","3723","0","0","0","9965","8263","65283","746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4473","0","159994","32085","23","0","-5806","0","9484","0","0","0","982081","2783","0"
