"field name","english description","russian description","format"
"GA","Federal Tax Service of Russia for the constituent entities of the Russian Federation","УФНС России по субъектам Российской Федерации","text"
"GB","Corporate income tax, except for the tax paid by taxpayers engaged in the production of liquefied natural gas and who, up to and including December 31, 2022, exported at least one batch of liquefied natural gas based on a license to exercise the exclusive right to export gas (except for the tax paid by taxpayers who, up to January 1, 2023, were members of a consolidated group of taxpayers), credited to the federal budget","Налог на прибыль организаций кроме налога, уплаченного налогоплательщиками, осуществляющими деятельность по производству сжиженного природного газа и до 31 декабря 2022 года включительно осуществившими экспорт хотя бы одной партии сжиженного природного газа на основании лицензии на осуществление исключительного права на экспорт газа (за исключением налога, уплаченного налогоплательщиками, которые до 1 января 2023 года являлись участниками консолидированной группы налогоплательщиков), зачисляемый в федеральный бюджет","integer"
"G1","Corporate income tax paid by taxpayers engaged in the production of liquefied natural gas and who, up to and including December 31, 2022, exported at least one batch of liquefied natural gas based on a license to exercise the exclusive right to export gas (except for the tax paid by taxpayers who, up to January 1, 2023, were members of a consolidated group of taxpayers), credited to the federal budget","Налог на прибыль организаций, уплаченный налогоплательщиками, осуществляющими деятельность по производству сжиженного природного газа и до 31 декабря 2022 года включительно осуществившими экспорт хотя бы одной партии сжиженного природного газа на основании лицензии на осуществление исключительного права на экспорт газа  (за исключением налога, уплаченного налогоплательщиками, которые до 1 января 2023 года являлись участниками консолидированной группы налогоплательщиков), зачисляемый в федеральный бюджет","integer"
"G2","Corporate income tax paid by taxpayers engaged in the production of liquefied natural gas and who, up to and including December 31, 2022, exported at least one batch of liquefied natural gas based on a license to exercise the exclusive right to export gas (except for the tax paid by taxpayers who, up to January 1, 2023, were members of a consolidated group of taxpayers), credited to the budgets of the constituent entities of the Russian Federation","Налог на прибыль организаций, уплаченный налогоплательщиками, осуществляющими деятельность по производству сжиженного природного газа и до 31 декабря 2022 года включительно осуществившими экспорт хотя бы одной партии сжиженного природного газа на основании лицензии на осуществление исключительного права на экспорт газа (за исключением налога, уплаченного налогоплательщиками, которые до 1 января 2023 года являлись участниками консолидированной группы налогоплательщиков), зачисляемый в  бюджеты субъектов Российской Федерации","integer"
"G3","Corporate income tax paid by taxpayers who, prior to January 1, 2023, were members of a consolidated group of taxpayers, with the exception of those engaged in the production of liquefied natural gas and, prior to December 31, 2022 inclusive, exported at least one batch of liquefied natural gas based on a license to exercise the exclusive right to export gas, credited to the budgets of the constituent entities of the Russian Federation in accordance with the standard established by the second paragraph of clause 2 of Article 56 of the Budget Code of the Russian Federation","Налог на прибыль организаций, уплаченный налогоплательщиками, которые до 1 января 2023 года являлись участниками консолидированной группы налогоплательщиков, за исключением осуществляющих деятельность по производству сжиженного природного газа и до 31 декабря 2022 года включительно осуществивших экспорт хотя бы одной партии сжиженного природного газа на основании лицензии на осуществление исключительного права на экспорт газа, зачисляемый в бюджеты субъектов Российской Федерации в соответствии с нормативом, установленным абзацем вторым пункта 2 статьи 56 Бюджетного кодекса Российской Федерации","integer"
"G4","Corporate income tax, except for the tax paid by taxpayers engaged in the production of liquefied natural gas and who, up to and including December 31, 2022, exported at least one batch of liquefied natural gas based on a license to exercise the exclusive right to export gas (except for the tax paid by taxpayers who, up to January 1, 2023, were members of a consolidated group of taxpayers), credited to the budgets of the constituent entities of the Russian Federation","Налог на прибыль организаций, кроме налога, уплаченного налогоплательщиками, осуществляющими деятельность по производству сжиженного природного газа и до 31 декабря 2022 года включительно осуществившими экспорт хотя бы одной партии сжиженного природного газа на основании лицензии на осуществление исключительного права на экспорт газа (за исключением налога, уплаченного налогоплательщиками, которые до 1 января 2023 года являлись участниками консолидированной группы налогоплательщиков), зачисляемый в бюджеты субъектов Российской Федерации","integer"
"G5","corporate income tax of consolidated groups of taxpayers, credited to the federal budget","налог на прибыль организаций консолидированных групп налогоплательщиков, зачисляемый в федеральный бюджет","integer"
"G6"," Corporate income tax paid by taxpayers who were members of a consolidated group of taxpayers before January 1, 2023, for tax periods before January 1, 2023 (including recalculations, arrears, and debt), credited to the budgets of the constituent entities of the Russian Federation","Налог на прибыль организаций, уплаченный налогоплательщиками, которые до 1 января 2023 года являлись участниками консолидированной группы налогоплательщиков, за налоговые периоды до 1 января 2023 года (в том числе перерасчеты, недоимка и задолженность), зачисляемый в бюджеты субъектов Российской Федерации","integer"
"G7"," Corporate income tax paid by international holding companies, credited to the federal budget","Налог на прибыль организаций, уплачиваемый международными холдинговыми компаниями, зачисляемый в федеральный бюджет","integer"
"G8","Corporate income tax paid by international holding companies, credited to the budgets of the constituent entities of the Russian Federation","Налог на прибыль организаций, уплачиваемый международными холдинговыми компаниями, зачисляемый в бюджеты субъектов Российской Федерации","integer"
