G0;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254;G255;G256;G257;G258;G259;G260;G261;G262;G263;G264;G265;G266;G267;G268;G269;G270;G271;G272;G273;G274;G275;G276;G277;G278;G279;G280;G281;G282;G283;G284;G285;G286;G287;G288;G289;G290;G291;G292;G293;G294;G295;G296;G297;G298;G299;G300;G301;G302;G303;G304;G305;G306;G307;G308;G309;G310;G311;G312;G313;G314;G315;G316;G317;G318;G319;G320;G321;G322;G323;G324;G325;G326;G327;G328;G329;G330;G331;G332;G333;G334;G335;G336;G337;G338;G339;G340;G341;G342;G343;G344;G345;G346;G347;G348;G349;G350;G351;G352;G353;G354;G355;G356;G357;G358;G359;G360;G361;G362;G363;G364;G365;G366;G367;G368;G369;G370;G371;G372;G373;G374;G375;G376;G377;G378;G379;G380;G381;G382;G383;G384;G385;G386;G387;G388;G389;G390;G391;G392;G393;G394;G395;G396;G397;G398;G399;G400;G401;G402;G403;G404;G405;G406;G407;G408;G409;G410;G411;G412;G413;G414
Республика Адыгея;88 229 984;10 920 819;10 175 826;869 106;83 688 414;11 538 624;9 456 243;1 556 718;114 908;4 439;1 272;28;0;852;5 374 789;1 407 002;39;3 967 787;1 300 926;793 557;79 355;0;206 290;20 613;50 130;1 294;5 013;129;281 400;0;0;0;0;0;0;0;0;11 240 192;1 943 696;1 000;114;535;272;520;11;706 556;11 226;613 148;10 503;93 445;724;18 689;145;1 869;14;37;0;41;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 090 117;1 820 952;336 858;67 372;6 737;67 693;6;1;236;252;0;16;0;0;1;1;0;0;0;0;0;0;0;0;0;0;279 550;272 936;0;0;6 615;38 902;69 535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4 285;48 780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;1;0;0;0;0;0;0;3 217;1;0;0;299;1;99;1;0;0;257;1;3 297;2;0;0;0;0;0;0;0;0;2 748;2;0;0;0;0;0;0;0;0;0;0;2 638 457;424;79 340;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;875;1;0;0;0;0;895 954;4;0;0;0;0;0;0;0;0;0;0;1 660 554;12;0;0;1 644;3;0;0;0;0;54 284;38;0;0;7 487;13;0;0;0;0;0;0;1 218;3;298 089;11;11 337;5;1 922;1;0;0;0;0;0;0;0;0;11 228;1;1 795;6;5 729;1;0;0;0;0;148;1;668;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;897;1;4 444;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;2 747 248 287;171 206 667;183 568 802;35 207 822;2 574 002 032;184 544 322;159 259 489;38 428 165;1 109 817;444 978;15 229 321;9 132 966;268 234;265 875;188 709 035;14 058 838;562;174 676 991;25 510 427;34 920 409;3 493 540;6 550;3 858 273;385 535;1 862 213;108 073;186 271;10 806;2 811 768;14 990;3;0;0;0;0;0;0;21 957 449;79 580 115;18 724;2 683;8 769;3 059;7 618;4 020;8 571 636;62 705;7 931 714;61 028;668 710;1 727;133 741;345;13 372;35;29 164;50;154;27;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19 809 361;19 488 318;1 817 735;363 547;36 354;1 496 692;50;8;2 408 447;2 160 382;213 122;0;42 624;4 262;9;0;15;20;0;0;0;0;0;0;13 672 721;14 335 120;39 900 887;35 124 845;614 615;606 756;5 543 306;49 706 646;4 001 256;3 090 327;8 207;2 729 225;139 269;0;0;0;0;0;0;0;76 250;0;0;0;0;0;0;0;0;0;8 545;0;3 281;609 566;22;225;3 594 061;14 293 884;108;1;8 910;4;0;0;0;0;0;0;0;0;3 864 510;8;2 047 151;9;0;0;0;0;0;0;19 635;1;22;1;4 017;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307 236;20;34 305;23;69 482;31;289 513;84;11 020;8;2 111;2;12 479;4;500 895;49;37 232;12;73 852;26;7 399;3;19 153;7;466 464;92;0;0;0;0;0;0;3 276;4;34 719;4;55 096 217;5 860;1 322 535;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134 969;36;1 025;2;0;0;7 295 298;58;0;0;47 202;7;0;0;0;0;0;0;11 825 587;43;377 450;2;4 297;3;0;0;0;0;915 804;215;19 124;18;5 796 966;311;0;0;0;0;0;0;1 321 568;19;2 417 411;161;768 041;107;27 510;6;437 575;76;0;0;230 221;5;0;0;45 532;1;38 335;11;246 921;80;0;0;0;0;6 131;6;95 491;1;34 900;8;0;0;0;0;0;0;206;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 421;3;0;0;23 135;5;0;0;26 460;98;0;0;652 875;5;91 481;10;1 415;2;7 515;7;1 229;1;0;0;614 515;0;820 924;0;571 910;0;0;0;571 910;0;0;114 382;0;85 867;0;44 087;0;9;0;4
Республика Бурятия;184 830 654;17 859 332;25 511 693;3 748 352;162 291 229;19 968 250;29 223 849;6 693 860;454 096;90 613;2 026;0;1 924;1 096;19 703 573;1 575 796;57;18 127 853;4 964 908;3 624 248;362 557;0;723 314;72 395;317 643;3 379;31 799;361;315 159;1 322;1;0;0;0;0;0;0;5 474 539;9 559 706;2 164;226;1 006;667;453;885;966 257;11 006;898 418;9 519;67 839;1 487;13 568;297;1 357;30;0;0;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 585 246;2 304 768;280 478;56 096;5 610;0;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;248 486;248 405;1 308 549;1 237 946;0;0;426 158;10 663 997;83 930;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;988;1;20;54 889;658 915;0;0;0;0;0;0;0;0;0;0;0;0;85 756;2;39 814;1;0;0;0;0;0;0;4 298;1;0;0;1 363;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;554;2;0;0;1 579;6;52 205;6;0;0;0;0;12 044;1;10 746;4;749;5;25 907;1;0;0;0;0;18 486;7;0;0;0;0;0;0;0;0;0;0;3 663 524;526;516 301;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19 708;10;45 820;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 788 322;30;235 636;3;0;0;0;0;0;0;97 461;62;19 080;16;209 353;252;0;0;0;0;0;0;806 661;7;910 632;55;408 025;21;2 803;2;4 003;5;0;0;282 742;6;0;0;0;0;1;1;10 019;20;0;0;0;0;17 932;2;803;1;21 870;2;0;0;0;0;0;0;17 568;1;757;1;7 673;1;0;0;0;0;0;0;0;0;0;0;0;0;10 274;8;0;0;2 880 542;2;0;0;95 915;98;0;0;186;1;4 898;5;0;0;1 662;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Алтай;173 655 112;13 218 252;18 535 092;5 182 979;165 947 006;13 790 019;19 163 758;3 711 730;35 599;67 880;2 236 526;2 822 734;792;0;4 880 882;606 233;26;4 274 649;1 855 372;776 239;85 493;0;151 569;16 125;82 390;1 231;8 872;124;121 247;78 688;109;0;0;0;0;0;0;802 050;4 223 119;959;125;413;215;767;0;33 898;0;33 367;0;531;0;106;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69 791;54 950;14 841;2 968;297;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;8 829 135;9 414 227;5 971 387;6 583 924;0;500;68 749;121;156 514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;1;13;27 211;159 530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 373 572;302;39 277;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 707;5;0;0;0;0;649 071;1;0;0;0;0;0;0;0;0;0;0;68 709;1;0;0;0;0;0;0;0;0;10 424;4;2 362;2;8 917;9;0;0;0;0;0;0;5 362;2;18 885;4;3 000;1;0;0;267;1;0;0;0;0;0;0;0;0;0;0;279;1;0;0;0;0;0;0;19 757;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;2;0;0;0;0;0;0;0;0;0;0;8 994;1;4 098;2;0;0;1 593;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Дагестан;146 953 320;24 665 325;9 095 543;3 893 965;140 599 591;27 830 211;7 487 246;6 928 046;45 075;939;639 338;154;0;0;7 367 763;1 508 464;37;5 859 299;6 198 182;1 170 090;117 186;4 804;276 954;27 741;61 531;980;6 168;98;301 693;1 770;3;0;0;0;0;0;0;12 441 114;22 449 486;1 842;296;1 193;1 709;2 543;47;879 801;0;787 725;0;134 695;0;26 939;0;2 694;0;42 619;0;29;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;544 892;670 915;35 325;7 065;707;161 348;18;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2 562;2 481;10 109;9 372;0;0;1 300;8 848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 915;3;10;14 687;46 030;0;0;79;1;1 500;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 531 264;489;12 584;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;1;0;0;0;0;0;0;15 921;4;0;0;0;0;65 807;2;0;0;0;0;0;0;0;0;0;0;4 706 331;33;31 228;2;1 327;1;0;0;0;0;30 287;6;834 979;29;60 603;5;0;0;10 110;1;0;0;1 295 198;11;99 645;13;177 124;9;6 551;1;40 962;4;0;0;6 281;1;0;0;0;0;0;0;2 547;6;0;0;0;0;300;2;215;1;475;1;0;0;0;0;0;0;4 405;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 878;2;0;0;0;0;0;0;609;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Ингушетия;22 574 243;3 871 273;127 948;185 364;21 683 975;4 255 800;113 332;538 882;0;193;0;0;0;0;904 884;0;0;904 884;737 851;176 851;18 098;9;70 740;7 305;19 066;4;1 970;0;0;4 126;4;0;0;0;0;0;0;0;1 646 504;381;23;406;246;604;0;1 841;0;276;0;1 565;0;313;0;31;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32 793;32 648;145;29;3;0;1;0;0;0;0;0;0;0;0;0;1;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2 318;7 951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339 335;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 364;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;1 472;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;112 316 184;8 945 043;5 246 767;445 857;109 529 090;10 463 221;5 975 553;724 167;7 501;68;0;3 801;0;0;2 066 167;20 895;16;2 045 272;1 800 147;409 050;40 905;162;136 257;13 592;42 234;158;4 192;15;4 179;0;0;0;0;0;0;0;0;89 810;2 024 479;1 010;145;1 004;484;1 513;4;625 301;0;413 898;0;211 455;0;42 291;0;4 229;0;67;0;27;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 458 412;1 483 853;21 396;4 279;428;46 837;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97 835;95 339;1 925;1 925;0;0;357;160 681;5 925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2 906;3 037;3 560;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 723 403;332;1 725;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 753;3;0;0;0;0;0;0;0;0;8 880;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77 806;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;27 624 143;3 509 741;7 856 811;203 572;27 330 161;3 717 525;7 241 982;659 876;4 363;1 533;1;430;0;0;913 173;272 501;9;640 672;662 985;128 134;12 813;0;60 517;6 055;15 876;138;1 588;13;54 501;0;0;0;0;0;0;0;0;1 160 595;1 820 276;552;66;928;190;183;11;51 813;3 133;47 829;3 084;3 985;49;797;10;80;1;0;0;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 011;3 675;336;67;7;0;4;0;21 790;15 243;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;201;4 800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357;1;0;0;0;0;0;0;0;0;0;0;183;1;0;0;0;0;0;0;0;0;0;0;395 346;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727;1;0;0;0;0;108 602;1;0;0;0;0;0;0;0;0;0;0;128 198;2;0;0;0;0;0;0;0;0;5 085;16;0;0;9 542;13;0;0;0;0;0;0;2 785 981;7;27 424;3;0;0;0;0;15 459;3;0;0;355;1;0;0;55;1;6 368;9;462;2;0;0;0;0;747;4;36 708;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 763;8;0;0;0;0;0;0;620;1;0;0;0;0;19 384;1;0;0;2 010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;114 712 949;19 864 983;23 855 884;45 062 980;108 423 829;19 177 525;24 691 527;50 316 917;89 431;8 955;0;0;7 631;469 052;5 535 579;1 158 124;16;4 377 456;5 026 575;875 140;87 549;0;112 472;11 374;58 014;1 259;5 802;126;231 625;31;4;0;373;2;0;0;0;1 870 067;6 735 427;637;68;727;274;533;3;73 133;0;69 274;0;4 156;0;831;0;83;0;351;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 424 269;1 161 776;340 586;68 117;6 812;78 093;7;2;12;35;0;22;0;0;1;1;0;0;0;0;0;0;0;0;1 943 227;1 901 399;0;0;0;0;6;99 107;1 507;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;784;63 568;595;1;1 666;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 886;2;8 316;2;61;2;583;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;2 595 374;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;864;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23 533;6;1 656;4;1 526;3;0;0;0;0;0;0;46 059;3;26 217;3;4 414;1;0;0;11 839;4;0;0;7 409;1;0;0;4 324;1;5 321;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14 744;1;0;0;0;0;0;0;0;0;0;0;0;0;85;1;0;0;1 150;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Карелия;197 558 152;28 660 767;25 068 719;2 906 037;184 446 880;32 443 931;24 522 577;3 996 736;197 175;301 109;119 685;1 894;11 619;9;16 215 496;5 479 272;217;10 736 224;4 574 656;2 121 045;214 723;0;395 258;40 416;186 840;4 389;18 948;437;1 095 854;26 200;7;0;0;0;0;0;0;17 480 557;22 734 511;2 446;723;741;958;1 732;786;881 894;2 142;813 090;1 795;70 825;346;14 164;69;1 416;7;2 023;0;51;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 061 976;2 663 661;593 988;118 797;11 880;195 673;21;8;183 238;170 940;0;188;0;0;2;1;3;0;0;0;0;0;0;0;8 812;6 430;2 514 178;21 967;0;0;2 492 211;10 052 370;1 480 025;105 087;1 016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105 087;0;128;1;47;109 700;736 093;3 980;1;520;1;0;0;0;0;0;0;0;0;55 674;1;0;0;0;0;0;0;0;0;0;0;0;0;869;1;0;0;0;0;0;0;0;0;1 837;1;0;0;0;0;695;2;5 838;2;6 828;10;20 772;21;72;1;0;0;806;2;12 686;8;70;2;557;1;12;1;734;1;20 147;29;0;0;0;0;0;0;0;0;0;0;6 336 254;1 154;53 173;11;0;0;0;0;0;0;0;0;0;0;551 656;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53 525;15;0;0;0;0;2 270 596;4;0;0;23 940;2;0;0;0;0;0;0;1 435 279;11;0;0;531 997;6;0;0;0;0;25 230;36;420;3;243 709;53;345;2;0;0;0;0;99 630;5;99 441;10;0;0;0;0;15 465;60;0;0;28 252;2;551;1;2 688;11;10 980;11;706;3;0;0;0;0;887;2;398;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 919;1;0;0;0;0;0;0;0;0;0;0;18 678;7;0;0;53 835;1;0;0;2 901;2;0;0;0;0;131;2;0;0;3 952;1;0;0;0;0;154 745;0;471 073;0;1 282;0;0;0;1 282;0;0;256;0;0;0;256;0;10;2;2
