G0;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254;G255;G256;G257;G258;G259;G260;G261;G262;G263;G264;G265;G266;G267;G268;G269;G270;G271;G272;G273;G274;G275;G276;G277;G278;G279;G280;G281;G282;G283;G284;G285;G286;G287;G288;G289;G290;G291;G292;G293;G294;G295;G296;G297;G298;G299;G300;G301;G302;G303;G304;G305;G306;G307;G308;G309;G310;G311;G312;G313;G314;G315;G316;G317;G318;G319;G320;G321;G322;G323;G324;G325;G326;G327;G328;G329;G330;G331;G332;G333;G334;G335;G336;G337;G338;G339;G340;G341;G342;G343;G344;G345;G346;G347;G348;G349;G350;G351;G352;G353;G354;G355;G356;G357;G358;G359;G360;G361;G362;G363;G364;G365;G366;G367;G368;G369;G370;G371;G372;G373;G374;G375;G376;G377;G378;G379;G380;G381;G382;G383;G384;G385;G386;G387;G388;G389;G390;G391;G392;G393;G394;G395;G396;G397;G398;G399;G400;G401;G402;G403;G404;G405;G406;G407;G408;G409;G410;G411;G412;G413;G414;G415;G416;G417
Республика Адыгея;94 127 054;12 120 189;3 904 821;1 636 152;89 765 960;13 331 954;4 303 094;2 204 872;99 737;33 808;3 731;0;0;0;4 058 828;142 871;20;3 915 957;1 746 675;783 157;117 476;0;129 111;19 384;81 577;8 203;12 248;1 231;28 574;35;1;0;0;0;0;0;215;2 809 532;13 035 411;960;107;488;258;462;10;844 193;13 843;782 271;11 778;72 342;2 065;14 468;413;2 170;62;10 420;0;41;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 883 825;1 877 994;190 315;38 063;5 709;184 484;8;3;14 164;5 738;8 409;0;1 682;252;1;0;0;0;0;0;0;0;0;0;0;0;30 385;35 888;0;0;0;238 700;54 481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6 783;64 055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1;0;0;0;0;0;0;3 721;1;0;0;335;2;83;1;0;0;205;1;3 701;3;0;0;0;0;0;0;0;0;1 800;2;0;0;0;0;0;0;0;0;0;0;2 885 927;397;78 240;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;1;0;0;0;0;180 146;3;0;0;0;0;0;0;0;0;0;0;1 867 634;12;0;0;3 007;2;0;0;0;0;58 769;33;0;0;11 796;12;0;0;0;0;0;0;1 075;2;301 273;10;7 533;4;1 791;1;0;0;0;0;0;0;0;0;11 022;1;1 742;9;1 141;1;0;0;0;0;0;0;3 263;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;705;1;4 390;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;2 967 295 334;193 754 886;217 995 209;31 096 366;2 759 138 687;213 759 495;104 621 817;38 349 802;1 213 099;309 320;14 073 357;7 158 850;264 602;2 808;316 861 553;3 684 079;484;313 177 474;33 972 973;62 635 347;9 395 323;8 306;26 222 972;3 933 589;2 409 029;76 284;361 258;11 433;736 816;2 212;2;0;0;0;0;0;0;27 823 328;88 064 709;18 372;2 741;9 707;2 900;6 070;3 953;9 210 058;97 778;8 522 873;97 172;713 034;851;142 607;170;21 392;26;25 870;245;283;35;7;5;0;0;4 523 306;0;0;5 357 147;0;0;3 616;0;0;180;0;0;542;0;0;108;0;0;837 457;0;0;11;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19 252 010;21 568 994;2 075 200;415 041;62 256;4 392 184;54;7;970 286;865 318;109 997;5 029;21 999;3 300;7;4;12;9;0;0;0;0;0;0;36 239 619;36 142 449;35 734 862;33 914 217;0;0;8 268 582;43 220 597;3 174 875;4 206 683;162 620;849 661;10 000;0;0;0;0;0;0;0;173 646;0;32 000;0;0;0;0;0;0;14 607;0;0;2 554;1 462 362;24;238;3 377 072;18 492 488;108;1;7 841;5;0;0;0;0;0;0;0;0;3 523 481;8;1 118 939;7;0;0;0;0;0;0;18 801;2;10;1;3 574;1;0;0;0;0;0;0;0;0;338;1;0;0;0;0;296 332;26;42 757;19;83 788;32;251 752;81;2 171;8;70 105;3;396 445;14;470 207;58;29 718;22;91 121;24;11 001;5;15 543;4;381 405;97;0;0;0;0;0;0;6 131;4;27 426;3;56 042 865;5 844;1 308 230;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151 359;34;503;2;3 163;1;12 702 647;62;0;0;24 338;5;2 000;1;0;0;0;0;13 394 648;39;0;0;12 863;4;0;0;0;0;822 532;183;13 270;12;10 297 718;335;541;1;1;1;0;0;884 286;21;2 226 662;154;593 673;92;32 381;7;219 773;68;0;0;26 129;4;0;0;46 094;1;43 441;13;285 074;91;0;0;0;0;2 036;5;66 978;4;62 317;12;0;0;0;0;0;0;440;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 550;13;0;0;79 875;4;0;0;43 334;86;0;0;925 331;4;30 062;8;2 304;3;8 881;3;1 439;1;0;0;1 145;0;356 341;0;0;0;0;0;0;0;0;0;229;0;229;0;0;0;14;0
Республика Бурятия;188 993 092;24 608 466;7 057 274;12 212 891;167 983 017;27 110 516;7 827 641;13 234 331;93 817;28 815;401 805;21;1 569;155;19 930 151;991 325;46;18 938 826;3 494 851;3 786 082;568 164;0;697 990;104 712;142 305;6 337;21 559;950;198 265;1 683;2;0;0;0;0;0;0;11 788 731;16 731 063;2 112;240;850;395;408;1 290;1 427 285;10 032;1 288 708;10 098;139 419;0;27 884;0;4 183;0;842;66;100;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 629 449;2 328 995;340 157;68 032;10 205;39 703;7;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;9 936;12 435;0;0;1;8 115 167;65 123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;148 374;1 052 847;0;0;0;0;0;0;0;0;0;0;0;0;42 690;2;21 487;1;0;0;0;0;0;0;5 923;2;0;0;303;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 712;6;47 425;6;0;0;0;0;12 000;1;11 442;5;609;4;25 907;1;0;0;0;0;29 193;7;0;0;0;0;0;0;0;0;0;0;3 889 039;535;1 098 433;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 538;11;0;0;0;0;16 275;1;0;0;0;0;0;0;0;0;0;0;5 343 874;22;152 622;4;0;0;0;0;0;0;146 800;54;12 643;3;457 520;224;0;0;500;1;0;0;362 221;7;732 445;52;196 594;21;1 931;3;2 449;5;0;0;143 934;5;0;0;0;0;2;1;7 960;10;0;0;0;0;66 257;4;1 571;1;8 129;2;0;0;0;0;0;0;0;0;520;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 285;8;0;0;438;1;0;0;26 175;98;0;0;57 687;1;24 071;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Алтай;153 884 221;5 058 632;16 204 066;934 054;144 506 112;6 604 904;11 030 496;1 463 474;14 984;27 873;8 676 596;894 948;422;0;7 050 501;1 156 669;21;5 893 852;2 942 767;1 070 886;176 808;0;246 926;42 027;53 178;1 177;8 534;155;231 334;107 876;98;0;0;0;0;0;131;1 539 871;3 963 387;905;109;467;177;575;0;49 195;0;48 022;0;1 172;0;234;0;35;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53 869;51 023;2 846;569;85;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;285 659;285 079;2 431 065;1 270 328;0;0;1 160 856;2 398 922;95 433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2 773;944 493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 242 235;274;30 769;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 659;7;0;0;0;0;826 206;3;0;0;7 500;1;0;0;0;0;0;0;70 119;1;0;0;150;1;0;0;0;0;7 866;4;13 840;2;4 726;7;0;0;0;0;0;0;7 562;3;6 262;3;4 219;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;1;0;0;0;0;0;0;20 020;1;0;0;0;0;0;0;0;0;591;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 153;7;0;0;0;0;0;0;0;0;0;0;3 079;2;6 265;2;0;0;1 204;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Дагестан;149 906 764;27 357 178;3 698 475;2 334 164;141 981 473;32 740 371;2 955 533;5 290 337;29 834;248 427;128;2 171;0;0;8 697 948;467 048;35;8 230 901;8 093 105;1 633 912;246 891;0;463 149;71 892;79 673;6 856;11 831;1 029;93 411;12 259;4;0;0;0;0;0;0;12 787 922;26 848 616;1 757;305;1 263;1 276;2 030;34;1 225 236;0;1 073 852;0;151 511;0;30 302;0;4 545;0;133;0;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458 324;458 548;15 866;3 173;475;16 090;12;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 369;200 037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239 764;3;11;19 316;270 405;79;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 397 119;488;10 341;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 570;5;0;0;0;0;3 423;2;0;0;0;0;0;0;0;0;0;0;4 735 535;28;24 772;1;516 194;1;0;0;0;0;81 193;10;443 506;15;500;1;0;0;3 030;1;0;0;1 139 303;7;125 328;10;109 352;4;23 434;1;180;1;0;0;0;0;0;0;21 991;1;0;0;163;2;0;0;0;0;495;1;0;0;33 740;1;0;0;0;0;0;0;5 087;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 802;2;0;0;0;0;0;0;742;1;0;0;0;0;0;0;0;0;0;0;550;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Ингушетия;21 438 555;3 187 790;176 296;54 162;20 500 739;3 562 924;134 988;712 595;317;0;0;0;0;0;979 441;104;2;979 337;1 033 567;190 943;29 350;0;84 506;12 694;8 979;2;1 335;0;21;4 924;4;0;0;0;0;0;0;51;2 035 044;418;15;494;193;713;1;1 073;0;215;0;858;0;172;0;26;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131 053;123 569;7 484;1 497;225;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3 363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355 902;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;338;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;119 224 679;18 211 383;4 056 569;1 494 053;115 567 455;19 979 591;4 988 293;1 711 626;12 867;255 000;4;91 240;0;0;2 738 763;25 916;11;2 712 847;1 822 020;542 569;81 381;7;158 187;23 752;35 873;1 017;5 377;52;5 183;0;0;0;0;0;0;0;0;43 150;3 063 449;1 024;144;1 118;472;437;6;674 866;0;504 389;0;172 508;0;34 502;0;5 175;0;2 033;0;26;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;803 348;596 823;206 525;41 306;6 196;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;76 195;76 656;408 750;408 605;0;0;541;180 465;10 493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45 000;1;8;21 618;4 070;1 860;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;1;0;0;0;0;0;0;0;0;0;0;1 821 305;338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 924;4;0;0;0;0;0;0;40 521;1;90 797;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;33 891 988;3 322 712;1 547 614;208 116;34 725 254;3 868 053;1 270 030;385 106;1 159 368;0;0;1 170;0;0;603 686;1 554;5;602 132;723 501;120 426;18 063;0;18 290;2 760;16 913;807;2 522;121;310;0;0;0;0;0;0;0;0;1 261 135;1 961 366;489;49;740;295;295;20;52 392;3 135;49 502;3 104;2 952;31;591;6;88;1;63;0;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 428;2 207;221;44;6;0;2;0;0;712;0;712;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;475;7 061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;75 249;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325;1;0;0;0;0;0;0;0;0;0;0;191;1;0;0;0;0;0;0;0;0;0;0;804 378;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38 014;3;0;0;0;0;0;0;0;0;120;1;0;0;0;0;0;0;142 290;2;0;0;0;0;0;0;0;0;3 281;10;0;0;3 505;9;0;0;0;0;0;0;2 984 181;6;2 500;1;590;1;0;0;14 737;2;0;0;43 418;2;0;0;89;1;4 075;6;187;1;0;0;0;0;0;0;43 460;3;292 058;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60 176;7;0;0;0;0;0;0;581;2;0;0;0;0;10 782;1;0;0;2 042;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;122 105 364;37 616 843;4 989 775;1 922 092;115 106 150;36 457 472;7 190 079;3 216 487;54 386;11 377;520;0;0;1 083 694;4 853 159;64 197;13;4 788 962;1 207 339;957 318;143 613;0;134 721;20 035;63 497;29 363;9 488;4 402;12 839;24;4;1;425;2;0;0;0;1 118 764;3 049 810;682;77;817;256;563;5;87 015;0;85 601;0;1 846;0;369;0;55;0;539;0;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 452 276;1 128 551;323 725;64 745;9 712;0;8;0;17 812;17 777;35;0;7;1;1;0;0;0;0;0;0;0;0;0;116 633;116 618;15 121;15 008;0;0;113;410 191;1 572;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 513;1;6;5 927;151 991;755;1;1 676;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 459;2;7 658;2;309;2;721;3;0;0;0;0;0;0;1 388;2;0;0;0;0;0;0;0;0;3 351;2;0;0;0;0;0;0;0;0;0;0;2 795 789;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 101;2;5 000;1;0;0;0;0;0;0;560;1;0;0;0;0;0;0;61 022;1;0;0;182;1;0;0;0;0;1 906;5;12 940;8;2 011;5;0;0;0;0;0;0;88 353;6;31 946;3;4 358;1;150;1;942;2;0;0;0;0;0;0;4 217;1;16 704;1;0;0;0;0;0;0;0;0;18 744;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19 406;1;0;0;0;0;0;0;0;0;0;0;255;1;0;0;0;0;432;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Карелия;182 727 057;57 942 705;12 798 107;4 875 438;171 148 465;62 226 282;15 832 188;7 941 933;92 609;108 708;119 121;2 419;29 060;0;8 536 786;1 084 310;177;7 452 476;7 243 783;1 453 547;223 574;0;302 467;45 993;143 276;6 057;21 938;906;216 862;36 947;10;0;0;0;0;0;0;8 928 399;34 617 593;2 353;717;798;817;1 263;770;1 168 560;16 634;1 083 580;16 427;86 099;207;17 220;41;2 582;6;1 119;0;58;3;1;0;0;0;7 389;0;0;122 580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115 191;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 652 580;2 619 244;1 059 033;211 808;31 771;25 697;18;5;87 799;100 449;0;12 649;0;0;3;3;4;0;0;0;0;0;0;0;0;0;66 209;58 874;0;0;47 844;20 304 469;482 551;36 935;6 130;0;0;0;0;0;0;3 500;0;0;0;0;0;0;0;0;0;0;0;0;33 435;0;0;14 991;1;49;48 106;482 230;3 620;1;113;1;0;0;0;0;0;0;0;0;56 884;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 837;1;0;0;0;0;696;2;4 422;2;7 924;12;21 020;19;79;1;0;0;850;2;13 439;10;75;2;195;1;17;1;770;1;23 124;25;0;0;0;0;0;0;0;0;0;0;6 819 233;1 092;78 580;9;0;0;1 629;1;0;0;0;0;0;0;564 663;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25 535;16;0;0;0;0;824 394;4;0;0;33 914;3;0;0;0;0;0;0;1 611 759;11;0;0;403 473;5;0;0;0;0;30 247;32;28;1;229 306;41;291;1;0;0;0;0;91 294;4;28 704;3;0;0;0;0;14 001;65;0;0;28 338;2;572;1;2 883;11;12 838;11;592;2;0;0;0;0;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19 995;5;0;0;161;1;0;0;2 541;2;0;0;0;0;268;1;0;0;3 850;1;0;0;0;0;41 933;0;466 357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1
