GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254;G255;G256;G257;G258;G259;G260;G261;G262;G263;G264;G265;G266;G267;G268;G269;G270;G271;G272;G273;G274;G275;G276;G277;G278;G279;G280;G281;G282;G283;G284;G285;G286;G287;G288;G289;G290;G291;G292;G293;G294;G295;G296;G297;G298;G299;G300;G301;G302;G303;G304;G305;G306;G307;G308;G309;G310;G311;G312;G313;G314;G315;G316;G317;G318;G319;G320;G321;G322;G323;G324;G325;G326;G327;G328;G329;G330;G331;G332;G333;G334;G335;G336;G337;G338;G339;G340;G341;G342;G343;G344;G345;G346;G347;G348;G349;G350;G351;G352;G353;G354;G355;G356;G357;G358;G359;G360;G361;G362;G363;G364;G365;G366;G367;G368;G369;G370;G371;G372;G373;G374;G375;G376;G377;G378;G379;G380;G381;G382;G383;G384;G385;G386;G387;G388;G389;G390;G391;G392;G393;G394;G395;G396;G397;G398;G399;G400;G401;G402;G403;G404;G405;G406;G407;G408;G409;G410;G411;G412;G413;G414;G415;G416;G417;G418;G419;G420
Республика Адыгея;17 321 833;5 330 887;1 066 114;304 320;15 991 740;5 644 611;1 259 137;491 321;2 130;1 663;0;0;0;0;1 139 200;184 832;18;954 369;499 062;190 704;28 631;0;97 399;14 634;53 989;14 394;9 347;2 059;36 966;169;3;0;0;0;0;0;0;0;0;734;116;411;236;457;0;240 942;4 160;187 334;2 898;54 048;1 262;10 810;252;1 621;38;440;0;47;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;436 714;440 867;28 687;5 737;860;32 840;7;4;0;24;0;0;24;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;14 903;15 554;0;0;0;0;1 154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5 804;8 678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1;0;0;0;0;0;0;273;1;0;0;214;2;21;1;0;0;56;1;1 030;3;0;0;0;0;0;0;0;0;255;2;0;0;0;0;0;0;0;0;0;0;663 164;327;21 899;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;614 201 404;97 004 091;23 806 361;10 754 559;566 627 610;105 415 642;19 612 556;18 704 786;95 697;125 871;38 041;1 324 825;80 377;21 026;51 842 288;1 267 464;348;50 574 824;17 564 862;10 113 158;1 517 244;360;4 033 933;605 226;1 495 968;494 622;224 318;74 312;253 492;1 805;2;0;0;0;0;0;0;0;0;13 281;2 826;7 788;2 188;8 472;0;2 208 836;11 726;2 033 686;9 171;192 793;2 583;38 560;517;5 785;77;17 642;28;329;26;15;1;0;0;1 707 730;0;0;1 782 104;0;0;38 994;0;0;1 950;0;0;5 850;0;0;1 160;0;0;113 368;0;0;14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 750 518;3 458 721;318 750;63 751;9 562;26 953;44;7;62 176;60 126;0;2 053;3;410;62;3;1;11;10;0;0;0;0;0;0;0;3 354 170;3 219 107;5 126 274;4 992 447;0;0;162 606;18 502;89 027;905 446;0;1 097 671;5 380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 191;0;0;0;44 894;10;154;688 505;5 648 767;35;1;7 995;4;0;0;0;0;0;0;0;0;417 154;8;254 243;7;0;0;0;0;0;0;4 445;2;0;0;599;1;0;0;0;0;0;0;0;0;259;1;0;0;0;0;58 411;24;7 329;13;20 466;25;80 979;70;494;6;10 011;3;105 665;14;126 725;51;8 416;24;23 589;21;2 302;5;3 769;4;75 461;75;0;0;0;0;0;0;258;1;2 110;2;14 192 490;4 885;322 815;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Бурятия;53 874 151;4 025 642;5 003 350;325 511;48 287 566;4 907 438;4 903 930;777 012;195 005;7 346;250 000;0;425;0;5 630 585;711 369;33;4 919 216;1 325 951;963 674;147 576;0;300 179;48 056;89 057;42 554;13 435;6 475;142 274;20 170;2;0;0;0;0;0;0;0;0;1 461;237;722;466;553;0;361 483;2 247;325 415;1 781;37 643;466;7 529;93;1 129;14;1 575;0;101;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594 883;529 466;68 951;13 790;2 068;3 534;5;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2 769;5 000;0;0;0;0;1 385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;11 106;176 696;0;0;0;0;0;0;0;0;0;0;0;0;7 745;2;1 341;1;0;0;0;0;0;0;635;1;0;0;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;372;1;0;0;245;4;13 980;6;0;0;0;0;737;1;2 502;4;136;3;6 388;1;0;0;0;0;2 975;6;0;0;0;0;0;0;0;0;0;0;1 003 631;424;383 057;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Алтай;32 112 555;476 149;1 239 752;91 192;29 948 143;722 071;1 574 098;208 512;5 198;1 451;165 380;0;757;0;1 669 146;229 640;17;1 439 506;361 791;267 254;43 104;0;146 889;23 997;43 502;634;7 195;100;45 928;20 566;82;0;0;0;0;0;0;0;0;587;77;487;152;530;0;16 150;98;7 787;98;8 363;0;1 673;0;251;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16 475;6 893;9 589;1 918;288;7;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;835 170;739 653;66 029;66 346;0;0;19;0;29 230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;38 651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;690 315;214;7 196;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Дагестан;22 660 182;12 046 804;624 635;282 493;21 245 437;13 534 156;432 475;1 322 333;232 553;381;0;427;0;0;1 839 467;191 718;26;1 647 749;2 527 227;327 492;49 430;0;214 703;32 182;84 357;17 245;12 819;2 437;38 343;2 054;2;0;0;0;0;0;0;0;0;1 165;306;1 259;1 123;2 494;0;401 642;0;300 951;0;100 760;0;20 152;0;3 023;0;70;0;40;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 037;2 917;55;11;2;935;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 727;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 136;2;8;1 122;28 641;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;887 842;391;2 158;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Ингушетия;2 678 444;745 320;21 612;16 110;2 584 104;877 519;22 462;95 096;0;0;0;0;0;0;93 493;3 753;1;89 741;211 185;17 869;2 692;69;11 266;1 693;10 176;534;1 774;80;751;158;4;0;0;0;0;0;0;0;0;223;19;353;149;550;0;324;0;65;0;259;0;52;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221 972;221 186;786;157;24;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121 323;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;21 126 988;5 604 806;1 185 622;220 579;20 362 721;5 985 588;1 192 241;325 944;696;0;0;0;0;0;758 430;7 122;10;751 308;486 146;150 260;22 539;0;87 842;13 789;47 075;597;7 051;90;1 424;0;0;0;0;0;0;0;0;0;0;666;136;934;405;361;0;173 725;0;108 245;0;65 480;0;13 096;0;1 964;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278 470;253 516;26 636;5 327;799;1 682;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26 849;27 636;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1 403;4 378;340;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;527 353;282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;6 484 700;1 037 838;52 324;31 767;6 365 062;1 353 431;82 021;147 990;491;226;13;0;0;0;90 419;98;4;90 321;431 590;18 064;2 710;0;9 696;1 456;13 698;463;2 046;69;20;0;0;0;0;0;0;0;0;0;0;315;40;312;263;252;0;10 765;733;9 822;592;943;141;189;28;28;4;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383;350;33;7;1;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;1 378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159 039;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;22 285 298;8 696 803;1 288 137;345 677;21 685 956;9 182 477;1 077 522;630 104;2 913;1 803;5 333;0;1 679;36 472;805 862;25 904;10;779 958;804 769;155 410;23 399;0;54 982;8 296;82 480;6 783;12 372;1 018;5 181;0;2;0;500;1;0;0;0;0;0;473;75;757;198;699;0;18 906;0;16 729;0;2 177;0;435;0;65;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;295 600;184 954;110 646;22 129;3 320;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227 015;221 782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;277;16 750;200;1;463;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 688;2;5 175;2;8;1;415;3;0;0;0;0;0;0;547;3;0;0;0;0;0;0;0;0;295;2;0;0;0;0;0;0;0;0;0;0;697 239;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Карелия;38 359 996;13 908 902;2 249 671;834 950;34 350 431;16 186 077;3 322 842;3 536 272;12 539;9 534;61;36 200;15 684;1;2 933 188;391 588;157;2 541 600;5 005 164;498 760;76 248;6;290 883;43 866;85 676;49 415;13 196;7 412;78 318;9 559;9;0;0;0;0;0;0;0;0;1 756;681;829;777;1 604;0;338 426;4 016;329 434;4 013;10 691;3;2 138;1;321;0;1 699;0;58;2;2;0;940 803;0;7 587;990 241;0;124 487;0;0;0;0;0;0;0;0;0;0;0;0;49 438;0;116 900;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 042 607;782 202;298 080;59 617;8 943;37 675;19;8;20 189;20 233;0;1 663;1 707;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;4 300;4 842;0;0;0;7 018 569;12 682;12 098;0;12 098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;68 520;155 149;530;1;5;1;0;0;0;0;0;0;0;0;3 941;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582;1;0;0;0;0;3;1;958;2;1 171;7;7 112;13;0;0;0;0;0;0;2 832;6;6;1;0;0;5;1;250;1;5 773;21;0;0;0;0;0;0;0;0;0;0;1 627 318;920;12 973;7;0;0;0;0;0;0;0;0;0;0;32 569;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
