GA;Gb;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254;G255;G256;G257;G258;G259;G260;G261;G262;G263;G264;G265;G266;G267;G268;G269;G270;G271;G272;G273;G274;G275;G276;G277;G278;G279;G280;G281;G282;G283;G284;G285;G286;G287;G288;G289;G290;G291;G292;G293;G294;G295;G296;G297;G298;G299;G300;G301;G302;G303;G304;G305;G306;G307;G308;G309;G310;G311;G312;G313;G314;G315;G316;G317;G318;G319;G320;G321;G322;G323;G324;G325;G326;G327;G328;G329;G330;G331;G332;G333;G334;G335;G336;G337;G338;G339;G340;G341;G342;G343;G344;G345;G346;G347;G348;G349;G350;G351;G352;G353;G354;G355;G356;G357;G358;G359;G360;G361;G362;G363;G364;G365;G366;G367;G368;G369;G370;G371;G372;G373;G374;G375;G376;G377;G378;G379;G380;G381;G382;G383;G384;G385;G386;G387;G388;G389;G390;G391;G392;G393;G394;G395;G396;G397;G398;G399;G400;G401;G402;G403;G404;G405;G406;G407;G408;G409;G410;G411;G412;G413;G414;G415;G416;G417;G418;G419;G420
Республика Адыгея;44 142 484;7 964 371;1 895 790;675 432;41 246 312;8 222 829;2 373 423;1 406 086;8 070;4;329;0;0;61;2 426 281;290 222;18;2 136 059;989 169;427 171;64 082;3;130 961;19 660;36 557;23;5 515;3;58 044;40;1;0;0;0;0;0;143;0;0;824;94;424;234;461;0;513 610;9 079;469 242;6 526;44 772;2 553;8 954;511;1 343;77;404;0;47;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;841 040;802 394;81 563;16 312;2 447;42 917;8;5;0;12;0;0;12;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;14 903;15 554;0;0;0;213 080;13 742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;72 813;33 614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;514;1;0;0;493;2;41;1;0;0;109;1;1 649;3;0;0;0;0;0;0;0;0;565;2;0;0;0;0;0;0;0;0;0;0;1 372 252;349;57 888;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;1 319 838 317;231 655 980;61 035 117;20 317 930;1 208 845 689;243 671 699;45 111 313;30 272 382;368 119;78 896;9 506 386;3 160 046;118 200;27 639;118 021 942;1 997 471;332;116 024 471;25 078 526;23 200 898;3 480 728;42 546;5 968 783;895 413;1 049 171;181 426;157 392;27 215;399 492;3 990;1;0;0;0;0;0;0;0;0;15 002;2 820;8 151;2 140;7 940;0;4 293 372;27 693;3 968 964;25 241;337 636;2 513;67 526;501;10 130;75;13 226;61;342;27;9;2;0;0;4 303 850;0;0;4 313 182;0;0;110 691;0;0;5 535;0;0;16 604;0;0;3 321;0;0;120 023;0;0;14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 877 942;7 081 611;939 098;187 819;28 172;142 767;46;9;152 920;127 608;0;25 319;6;5 064;759;3;1;13;7;0;0;0;0;0;0;0;5 464 740;5 348 159;15 511 309;15 170 513;0;0;458 723;8 904 023;823 483;1 489 114;71;1 378 984;12 809;0;0;0;0;0;0;0;31 830;0;43 200;0;0;0;0;0;0;0;14 291;0;8 000;181 750;17;184;1 109 317;9 484 716;109;1;9 453;4;0;0;0;0;0;0;0;0;878 778;9;518 706;7;0;0;0;0;0;0;7 372;4;0;0;1 197;1;0;0;0;0;0;0;0;0;72;1;0;0;7 897;1;144 035;26;18 776;14;53 468;28;168 599;72;985;6;1 186;2;246 476;16;254 589;55;14 374;24;51 580;23;5 697;5;10 828;4;185 717;84;0;0;0;0;0;0;0;0;2 375;2;30 157 293;5 286;708 121;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Бурятия;110 719 128;5 472 930;14 163 518;425 210;97 528 234;7 115 151;10 123 907;918 855;199 158;11 742;66 352;0;437;0;17 362 874;4 385 063;31;12 977 811;2 124 124;2 427 179;389 334;0;807 930;140 398;78 204;275;11 785;42;877 013;168 383;2;0;0;0;0;0;0;0;0;1 719;217;768;447;452;0;782 358;4 408;712 849;3 533;69 509;874;13 902;175;2 085;26;0;0;101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 223 184;1 086 278;138 758;27 752;4 163;1 852;8;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;5 809;126 580;0;0;0;278 737;55 040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;40 376;283 260;0;0;0;0;0;0;0;0;0;0;0;0;15 325;2;2 652;1;0;0;0;0;0;0;899;1;0;0;54;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;748;1;0;0;362;5;29 382;6;0;0;0;0;2 408;1;6 662;5;300;4;12 847;1;0;0;0;0;12 654;6;0;0;0;0;0;0;0;0;0;0;2 047 698;468;1 363 689;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Алтай;65 870 929;2 966 587;4 417 136;248 976;61 158 558;3 413 126;3 843 352;775 715;17 797;25 243;1 806 856;79 380;1 889;0;3 495 229;443 941;16;3 051 288;1 027 415;567 802;91 539;0;126 431;19 995;62 347;200;10 099;31;88 788;42 455;78;0;0;0;0;0;0;0;0;659;76;509;150;523;0;33 613;158;26 675;158;6 938;0;1 388;0;208;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34 663;49 738;9 649;1 930;289;24 724;3;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;873 300;778 615;180 179;180 498;0;0;22;248 266;58 508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;17;42 416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 306 172;240;12 357;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Дагестан;52 690 751;19 090 405;3 070 595;891 652;49 787 252;22 046 281;2 376 221;2 332 972;235 036;388;24;0;0;0;3 832 888;331 222;28;3 501 666;4 396 807;694 359;105 041;0;234 010;35 317;44 619;3 707;6 711;556;66 243;5 974;3;0;0;0;0;0;0;0;0;1 335;308;1 233;848;2 629;0;668 343;0;571 343;0;107 007;0;21 401;0;3 209;0;9 995;0;39;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 145;9 669;765;153;23;289;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6 727;8 361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47 513;3;10;3 398;92 371;39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 753 208;432;4 770;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Ингушетия;5 568 757;1 852 814;49 306;34 570;5 247 871;2 089 130;40 362;185 437;0;1;0;0;0;0;329 831;3 477;1;326 354;387 182;65 127;9 791;0;30 492;4 591;9 663;0;1 451;0;695;144;2;0;0;0;0;0;0;0;0;288;18;392;110;840;0;670;0;134;0;536;0;107;0;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221 972;221 186;786;157;24;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232 764;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;45 835 663;8 806 930;1 538 635;1 101 504;44 442 330;9 429 335;1 628 295;1 578 674;12 116;0;0;0;0;0;1 315 994;1 012;7;1 314 982;1 099 572;262 994;39 448;0;73 405;11 010;53 971;2 123;9 007;318;202;0;0;0;0;0;0;0;0;0;0;792;119;976;404;602;0;457 920;0;218 576;0;239 363;0;47 873;0;7 181;0;21;0;29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694 835;624 725;70 110;14 022;2 103;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;26 849;27 636;225 111;225 111;0;0;202;208;5 511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1 457;8 086;680;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349;1;0;0;0;0;0;0;0;0;0;0;990 145;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;15 049 702;2 270 520;209 339;55 288;14 748 486;2 594 403;260 029;304 857;745;2 089;31;0;0;0;251 241;19 185;5;232 056;571 363;46 410;6 961;0;15 784;2 369;6 603;453;981;68;3 837;0;0;0;0;0;0;0;0;0;0;361;52;590;233;300;0;25 278;1 521;23 838;1 364;1 523;157;305;31;46;5;83;0;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;513;487;26;6;1;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433;9 017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367 105;105;132;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;47 605 066;12 242 683;2 244 861;840 714;45 411 960;12 570 944;2 900 578;1 847 971;7 653;182;2 328;3 636;45;0;1 542 670;26 936;11;1 515 734;1 338 971;302 823;45 472;0;74 801;11 319;63 304;560;9 635;85;5 387;1;2;0;322;1;0;0;0;0;0;514;81;819;205;674;0;39 605;0;36 816;0;2 789;0;558;0;84;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451 394;252 994;200 391;40 078;6 011;1 991;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;364 551;358 073;0;0;0;0;0;0;7 805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;567;1;4;450;13 797;400;1;1 028;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 536;2;10 051;2;27;2;622;3;0;0;0;0;0;0;904;3;0;0;0;0;0;0;0;0;1 478;2;0;0;0;0;0;0;0;0;0;0;1 523 584;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Карелия;86 445 246;22 206 095;5 753 719;1 171 180;77 753 285;25 823 301;8 029 399;4 714 313;27 884;19 651;4 953;73 810;27 116;1 047;6 412 096;776 796;134;5 635 300;7 215 543;1 101 720;169 058;283;352 186;54 318;187 017;13 698;25 633;2 055;155 360;25 339;8;0;0;0;0;0;0;0;0;1 858;670;725;717;1 409;0;656 649;8 609;632 649;8 605;24 452;4;4 891;1;735;0;452;0;59;2;1;0;2 250 063;0;17 568;2 601 115;0;192 202;0;0;0;0;0;0;0;0;0;0;0;0;351 052;0;174 634;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 648 532;1 331 349;385 695;77 138;11 571;68 512;19;7;59 097;59 604;0;3 447;3 954;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;411 081;411 623;0;0;0;7 136 732;156 427;12 598;0;12 098;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4 650;1;36;57 513;262 294;1 060;1;10;1;0;0;0;0;0;0;0;0;7 881;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 164;1;0;0;0;0;335;2;1 669;2;3 218;8;38 349;15;0;0;0;0;0;0;5 666;6;13;1;0;0;10;1;475;1;11 963;23;0;0;0;0;0;0;0;0;0;0;3 391 700;983;46 893;8;0;0;0;0;0;0;0;0;0;0;240 768;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
