GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254;G255;G256;G257;G258;G259;G260;G261;G262;G263;G264;G265;G266;G267;G268;G269;G270;G271;G272;G273;G274;G275;G276;G277;G278;G279;G280;G281;G282;G283;G284;G285;G286;G287;G288;G289;G290;G291;G292;G293;G294;G295;G296;G297;G298;G299;G300;G301;G302;G303;G304;G305;G306;G307;G308;G309;G310;G311;G312;G313;G314;G315;G316;G317;G318;G319;G320;G321;G322;G323;G324;G325;G326;G327;G328;G329;G330;G331;G332;G333;G334;G335;G336;G337;G338;G339;G340;G341;G342;G343;G344;G345;G346;G347;G348;G349;G350;G351;G352;G353;G354;G355;G356;G357;G358;G359;G360;G361;G362;G363;G364;G365;G366;G367;G368;G369;G370;G371;G372;G373;G374;G375;G376;G377;G378;G379;G380;G381;G382;G383;G384;G385;G386;G387;G388;G389;G390;G391;G392;G393;G394;G395;G396;G397;G398;G399;G400;G401;G402;G403;G404;G405;G406;G407;G408;G409;G410;G411;G412;G413;G414;G415;G416;G417;G418;G419;G420;G421;G422;G423;G424;G425;G426;G427;G428;G429;G430;G431;G432;G433;G434;G435;G436;G437;G438
Республика Адыгея;19 962 671;5 017 964;1 523 708;315 725;18 237 274;5 688 077;1 699 865;375 168;7 108;561;0;0;0;0;1 556 348;73 219;19;1 483 129;647 168;296 433;44 486;0;157 749;23 670;66 907;10 246;10 059;1 537;14 644;147;1;0;0;0;0;0;71;0;0;0;0;696;107;389;259;0;252 538;4 282;0;210 961;2 654;0;43 329;1 628;0;8 666;326;0;1 300;49;0;1 753;0;0;31;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423 514;405 660;20 087;4 017;603;2 233;6;2;4 454;1 218;42;3 194;105;639;96;1;0;0;0;0;0;0;0;0;0;484 786;232 675;0;0;0;0;0;15 652;3 558;0;4 094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;72 488;108 134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;276;1;0;0;703;2;156;2;0;0;14;1;106;1;0;0;0;0;0;0;0;0;55;1;0;0;0;0;0;0;0;0;0;0;726 323;318;47 379;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;696 791 767;98 060 432;37 812 800;8 347 237;640 644 117;105 561 151;30 370 381;21 404 857;85 461;1 073 568;1 408 820;86 822;91 187;7 150;62 182 298;3 652 110;351;58 532 033;19 527 081;11 501 544;1 755 845;371;4 086 419;642 999;866 435;204 983;129 992;30 748;730 423;204 559;4;0;0;0;0;0;0;0;0;0;0;12 908;2 883;8 944;2 281;0;2 519 979;15 434;0;2 319 143;10 970;0;238 774;4 465;0;47 756;893;0;7 163;135;0;37 941;0;0;360;26;0;14;0;0;0;0;2 405 054;0;0;2 363 597;0;0;55 556;0;0;2 778;0;0;8 334;0;0;1 667;0;0;37 244;0;0;16;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 878 306;4 260 819;351 362;70 272;10 540;733 875;46;8;214 191;234 513;0;0;20 323;0;0;2;1;7;0;0;0;0;0;0;0;1 166 538;1 164 865;3 831 911;3 775 268;0;0;57 353;1 701 240;497 965;25 213;155 561;1 022 500;0;0;1 022 500;0;0;1 084 108;0;0;0;0;0;0;0;0;0;0;43 200;0;0;0;0;0;0;0;0;358;0;5 482;2;0;0;0;0;158;392 387;3 742 518;154;1;1 693;4;214;2;0;0;0;0;0;0;368 341;9;294 028;8;0;0;0;0;0;0;8 217;5;1 772;1;0;0;0;0;0;0;0;0;0;0;14 351;1;0;0;31 047;1;57 220;17;11 977;14;23 471;26;87 133;67;297;3;83;2;154 368;7;98 523;45;4 158;14;30 223;16;1 051;4;6 740;4;79 614;70;0;0;0;0;0;0;0;0;135 064;2;15 986 624;4 961;414 127;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Бурятия;41 563 500;4 940 037;2 063 913;1 419 425;33 868 400;6 399 006;2 161 389;1 609 190;4 273;23 317;19 265;0;22;24;7 582 610;898 987;26;6 683 623;1 625 441;1 299 367;200 509;0;415 381;63 279;86 042;22 479;12 877;3 540;179 797;37 358;2;0;0;0;0;0;0;0;0;0;0;1 398;241;724;425;0;493 243;2 248;0;450 011;1 224;0;43 656;1 024;0;8 731;205;0;1 310;31;0;424;0;0;103;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;652 105;522 124;129 987;25 997;3 900;6;6;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56 097;54 189;0;1 908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;43 505;183 780;0;0;0;0;0;0;0;0;0;0;0;0;6 359;1;1 312;1;0;0;0;0;0;0;2 493;1;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;421;1;0;0;446;8;14 109;6;0;0;0;0;2 263;1;2 330;5;176;4;6 387;1;0;0;0;0;4 412;7;0;0;0;0;0;0;0;0;0;0;1 067 388;423;1 201 669;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Алтай;25 944 472;4 590 976;2 582 005;758 687;24 689 635;4 831 973;1 323 382;403 081;68 680;681;600 785;548 570;25;0;1 981 345;170 726;17;1 810 620;433 279;345 563;54 319;0;130 460;21 042;67 042;3 305;11 320;496;34 145;16 561;45;0;0;0;0;0;0;0;0;0;0;517;74;493;130;0;16 817;0;0;15 630;0;0;1 187;0;0;237;0;0;36;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29 695;8 036;21 659;4 332;650;0;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;65 965;67 949;67 254;67 254;0;0;13;42 422;20 028;4 960;17 434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14 966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582 402;206;4 663;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Дагестан;26 399 411;7 764 303;457 786;221 180;24 316 295;9 591 825;1 102 557;802 665;716;361;0;440;666;0;1 438 400;79 477;23;1 358 924;2 409 084;271 711;40 767;0;132 014;19 849;186 673;21 500;28 007;3 672;15 895;71;1;0;0;0;0;0;0;0;0;0;0;1 104;319;1 110;857;0;332 543;0;0;247 028;0;0;85 585;0;0;17 117;0;0;2 568;0;0;69;0;0;50;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96 777;101 984;1 958;392;59;7 165;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 776;0;8 994;1 782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1 354;386 436;0;0;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;916 511;400;4 750;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Ингушетия;4 457 062;1 050 492;12 977;35 661;4 162 325;1 149 863;45 779;107 699;553;0;0;0;0;0;262 489;47 731;1;214 758;171 409;42 900;6 443;0;29 124;4 370;9 260;1 689;1 390;254;9 546;48;2;0;0;0;0;0;0;0;0;0;0;234;23;394;135;0;349;0;0;58;0;0;291;0;0;58;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;587 460;278 538;308 922;61 784;9 268;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237 118;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;20 554 371;4 993 909;568 747;144 103;19 783 555;5 301 422;675 356;413 312;3 680;13 325;0;0;0;0;667 998;9 556;9;658 442;563 397;130 380;19 548;0;77 872;11 694;59 716;3 277;9 587;492;1 910;0;0;0;0;0;0;0;0;0;0;0;0;649;159;913;413;0;277 142;0;0;115 004;0;0;162 000;0;0;32 401;0;0;4 860;0;0;6;0;0;47;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323 420;292 783;30 711;6 143;921;74;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1 330;20 760;400;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;1;0;0;0;0;0;0;0;0;0;0;549 753;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;3 488 000;855 269;135 745;36 067;3 393 745;1 004 967;97 136;27 016;1 120;0;19;0;0;0;133 965;34 707;7;99 258;140 647;19 851;2 978;0;12 636;1 895;14 511;1 503;2 177;225;6 942;0;0;0;0;0;0;0;0;0;0;0;0;285;40;616;246;0;13 156;829;0;12 188;697;0;968;149;0;194;30;0;29;4;0;0;17;0;7;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;442;233;209;41;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202 438;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;16 892 653;3 439 786;596 027;212 217;15 876 427;3 752 459;826 144;514 399;8 496;0;0;0;473;57;796 352;52 853;10;743 499;614 840;148 290;22 305;0;68 218;10 478;37 324;4 812;5 440;721;10 571;1;3;0;410;1;0;0;0;0;0;0;0;413;70;742;189;0;19 920;2 989;0;16 496;2 903;0;3 424;86;0;685;17;0;103;3;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318 850;248 730;72 812;14 563;2 185;2 692;7;1;6 181;7 977;0;0;1 796;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;284;33 512;173;1;473;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 140;2;10 408;2;6;1;546;3;0;0;0;0;0;0;68;1;0;0;0;0;0;0;0;0;361;2;0;0;0;0;0;0;0;0;0;0;693 297;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Карелия;43 351 226;9 690 396;3 753 622;1 070 333;37 071 984;11 876 732;2 741 594;1 549 525;20 498;22 635;61;0;644;28 928;7 311 063;713 474;122;6 597 589;2 671 821;1 296 585;197 929;0;501 157;75 502;219 656;55 508;35 372;8 470;142 695;22 933;7;0;0;0;0;0;0;0;0;0;0;1 495;637;949;703;0;348 245;4 220;0;326 005;2 710;0;22 958;1 510;0;4 592;302;0;689;45;0;718;0;0;59;2;0;5;0;0;2 019 498;0;128 441;1 581 358;0;230 988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102 547;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954 736;847 656;183 163;36 633;5 495;76 083;21;9;16 873;12 532;2 171;2 171;0;434;65;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139 372;60 000;70;13 366;65 936;0;0;65 936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65 936;0;0;0;0;0;0;0;0;25;23 458;227 607;530;1;0;0;0;0;0;0;0;0;0;0;27 997;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;1;0;0;0;0;226;2;1 139;2;1 672;9;7 485;13;0;0;0;0;0;0;2 644;4;0;0;52;1;5;1;277;1;4 251;19;0;0;0;0;0;0;0;0;0;0;2 007 550;913;21 642;8;0;0;0;0;0;0;0;0;0;0;82 159;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
