GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G209;G210;G211;G212;G213;G214;G215;G216;G217;G218;G219;G220;G221;G222;G223;G224;G225;G226;G227;G228;G229;G230;G231;G232;G233;G234;G235;G236;G237;G238;G239;G240;G241;G242;G243;G244;G245;G246;G247;G248;G249;G250;G251;G252;G253;G254
Республика Адыгея;139897786;11415591;7423267;1681524;128557951;12056242;6994640;3600823;21822;1547;199288;0;471;0;11590525;610524;51;10980000;2558403;2196000;329400;152;0;0;0;492341;73809;129017;4957;19313;744;122105;0;0;0;0;0;0;0;0;122105;272;11281389;6201323;0;0;870;119;533;178;15;521731;643549;452185;436118;636609;438435;85614;8808;13750;17123;1762;2750;2568;264;412;0;1868;0;6;17;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51785;0;0;31025;0;0;22488;0;0;675;0;0;1728;0;0;1;0;0;1620792;0;1347478;0;302529;0;60506;0;9076;0;29215;0;13;0;2;0;22219;19900;0;2451;132;490;74;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;1841105;1621261;0;193177;26667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66667;0;0;0;0;0;0;0;0;24;11034;138979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;4334266319;210366690;435352753;36965979;4176375410;230250548;249604187;42618829;1122373;103901;11719295;6672592;141417;3924;332905355;9862055;929;323043588;32086514;64001485;9682120;19075;1224708;9520940;22;8129075;1240461;9098024;63451;1055611;9519;1972411;557442;5;2351;39972;1;0;0;0;13317824;0;58191555;116067229;1236180;12448;15592;2158;6904;2077;1225;3048078;11963039;0;2865240;10779956;0;183831;1434577;0;36766;286916;0;5515;43037;0;993;251494;0;441;103;0;8;16;0;0;0;36920404;0;0;34755748;0;0;2340536;0;0;0;0;0;348568;0;0;70216;0;0;246757;0;0;96;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18234;0;0;16546;0;0;1689;0;0;51;0;0;0;0;0;0;0;0;36425003;0;34171682;0;3212733;0;642546;0;96382;0;959412;0;54;0;10;0;698004;467608;0;239765;9370;47953;7193;10;8;3;0;0;0;0;0;0;0;145225111;144996209;22135570;22196276;81;78;49786;9617119;100781601;76507904;1671025;8725694;1071306;2050;66898;0;6519;0;1121071;0;0;1054450;0;0;0;0;0;0;0;40000;0;0;7273;0;0;0;160000;0;6519;0;3088;817009;3;26850;7;0;0;258;1701055;15966301;0;0;5259;4;106;1;0;0;0;0;0;0;0;1320318;8;615721;6;0;0;0;0
Республика Бурятия;397618026;23760105;73403350;6600453;294844581;29764108;81574343;9503559;16577;17765;9258309;32;22280;0;85338440;1151803;64;84186637;8889376;16504182;2525599;0;0;0;0;4826123;723918;272030;4361;42724;654;230361;333145;1;0;0;0;0;0;0;563506;200;2867365;28874697;0;0;1840;235;727;361;1159;620518;2233279;0;593831;1940037;0;26687;293242;0;5337;58648;0;801;8797;0;0;0;0;111;21;0;0;0;0;2354612;0;48158;2870512;0;269743;59794;0;0;0;0;0;11959;0;0;1794;0;0;576;0;221585;2;0;6;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1369;0;0;2357;0;0;0;0;0;0;0;0;988;0;0;1;0;0;3454996;1225711;3403148;1014740;61928;210970;12386;42194;1858;6329;10081;0;6;1;1;0;32676;28441;0;4716;481;943;141;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14711676;11556828;16250;3134379;4000;0;0;0;0;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2040;0;0;0;0;0;0;0;32;171579;2248454;0;0;0;0;0;0;0;0;0;0;0;0;0;58261;1;0;0;0;0;0;0
Республика Алтай;141410506;22181500;34531995;20123895;132451870;22485168;10714436;4595383;24922;1447;22841316;16461652;1885;0;9957917;160890;17;9797027;1235361;1825134;293911;0;0;0;0;149011;23769;159778;219;26885;33;32178;134273;43;0;0;0;0;0;0;166451;0;3757453;4265192;0;0;553;76;682;74;6;0;129719;0;0;108978;0;0;20741;0;0;4148;0;0;622;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150317;0;115796;0;34937;0;6987;0;1048;0;417;0;6;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;337282;355458;23257134;23318420;0;0;2412;0;29187245;28882222;769;304254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;116;36639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Дагестан;247915146;14040270;10762947;2435746;233212905;18188108;9076304;2749551;91959;350526;4651;3290;0;0;16476194;420675;78;16055520;4114404;3197407;481659;0;13353;103564;2;606004;98120;213763;2056;32852;308;84135;13696;4;0;0;0;0;0;0;214748;0;1909467;31076491;0;0;1860;303;1455;842;32;1246165;1884190;0;1207563;1637962;0;41252;259898;0;8251;51980;0;1237;7797;0;2649;13671;0;52;36;0;1;6;0;0;0;366771;0;0;337774;0;0;34094;0;0;0;0;0;5114;0;0;1023;0;0;5098;0;0;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848946;0;1377970;0;471001;0;94200;0;14130;0;25;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;819545;282750;276746;844;5160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42623;1;0;0;12;5327;70986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Ингушетия;33355221;6764681;360821;382192;30489958;8077010;496115;540000;18473;0;0;0;0;0;2748442;17780;11;2730662;1470137;546132;81920;0;0;0;0;156031;23529;14940;10;2241;2;3556;0;0;0;0;0;0;0;0;3556;0;296711;5801874;0;0;471;28;561;166;2;0;57369;0;0;52204;0;0;6433;0;0;1287;0;0;193;0;0;1269;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2640924;0;2317283;0;323641;0;64728;0;9709;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3560;23957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Кабардино-Балкарская Республика;124575983;13879422;6326972;922039;119595324;18269262;5261387;1540692;789579;850791;103;0;0;0;6836014;894173;47;5941841;4157702;1188368;178256;104;0;0;0;260494;39036;173759;3355;26159;523;178835;295;3;0;0;0;0;0;0;179130;0;1860118;7345923;0;0;953;140;926;459;1;1290169;492129;3073;1252254;480131;2004;39712;15995;1069;7942;3199;214;1191;480;32;1798;3997;0;28;25;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6825445;0;5297972;0;1576817;0;315363;0;47305;0;49343;0;36;0;4;0;13340;13585;0;0;245;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;0;61125;25466;15007;20652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7661;95041;2140;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;18540590;2349391;457972;207859;17216671;3840674;377857;248826;1101;2677;246;1017;0;31;1404889;83704;11;1321185;1530622;264237;39636;0;0;0;0;113388;16992;12689;1247;1903;187;16741;0;0;0;0;0;0;0;0;16741;0;80578;5602659;0;2839;345;60;638;223;12;5944;215833;0;5945;202609;0;0;13224;0;0;2645;0;0;397;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3360;0;0;3360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263450;0;182245;0;81204;0;16241;0;2436;0;0;0;8;0;0;0;9886;9956;0;0;70;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;1197;697;20;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;152;10436;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;101547966;14126973;5735092;1852697;93849427;16093085;7455087;8295491;59985;39834;0;0;0;0;6038530;282925;31;5755605;8369072;1147306;171144;0;22;72;1;131625;19661;128946;195;19322;29;56585;2044;4;189;248;3;0;0;0;59160;0;1568060;9860682;0;0;545;88;790;182;9;222268;72867;315099;213344;67311;250429;9041;5556;64670;1808;1111;12934;271;167;1940;117;0;0;16;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15956;0;0;15956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2840515;0;2148705;0;729027;0;145805;0;21871;0;37217;0;12;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63100;31100;0;32000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5415;94076;715;1;1060;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Карелия;278270198;25668221;39277684;3288841;251767323;30514574;27544803;6997832;40090;29128;5143598;17096;48816;21;33083433;1484527;172;31598906;8543333;6009515;947961;0;0;0;0;1171573;199683;775098;22214;118200;3332;296905;310260;9;0;0;0;0;0;0;607165;0;14068359;39120113;0;0;1687;555;414;342;888;41499;1939188;0;40725;1707135;0;773;232053;0;155;46411;0;23;6962;0;0;0;0;13;37;0;0;0;0;6521486;0;3120089;6782904;0;3703963;0;0;105702;0;0;0;0;0;17922;0;0;3171;261418;0;735620;1;0;14;1;0;8;0;0;530679;0;0;655590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124911;0;0;1;0;0;1;97259;0;0;97259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7807369;0;6038919;0;1794281;0;358856;0;53828;0;25831;0;31;0;5;0;53151;49939;0;3212;0;642;96;3;0;0;0;0;0;0;0;0;0;0;0;58000;0;0;0;0;146832;81031555;80407542;385605;237440;0;0;836;836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3372;0;1214;2433;1;0;0;0;0;53;133358;1719752;2100;1;113;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
