"field name","english description","russian description","format"
"GA","Subjects of the Russian Federation","Субъекты Российской Федерации","integer"
"GB","Sales revenues for profitable organizations (thousand rubles)","Доходы от реализации по прибыльным организациям (тыс. руб.)","integer"
"G1","Sales revenues for unprofitable organizations (thousand rubles)","Доходы от реализации по убыточным организациям (тыс. руб.)","integer"
"G2","Non-operating income for profitable organizations (thousand rubles)","Внереализационные доходы по прибыльным организациям (тыс. руб.)","integer"
"G3","Non-operating income for unprofitable organizations (thousand rubles)","Внереализационные доходы по убыточным организациям (тыс. руб.)","integer"
"G4","Expenses that reduce the amount of income from sales for profitable organizations (thousand rubles)","Расходы, уменьшающие сумму доходов от реализации по прибыльным организациям (тыс. руб.)","integer"
"G5","Expenses that reduce the amount of income from sales for unprofitable organizations (thousand rubles)","Расходы, уменьшающие сумму доходов от реализации по убыточным организациям (тыс. руб.)","integer"
"G6","Non-operating expenses for profitable organizations (thousand rubles)","Внереализационные расходы по прибыльным организациям (тыс. руб.)","integer"
"G7","Non-operating expenses for unprofitable organizations (thousand rubles)","Внереализационные расходы по убыточным организациям (тыс. руб.)","integer"
"G8","Losses reflected in Appendix No. 3 to Sheet 02 of the declaration for profitable organizations (thousand rubles)","Убытки, отраженные в Приложении № 3 к Листу 02 декларации по прибыльным организациям (тыс. руб.)","integer"
"G9","Losses reflected in Appendix No. 3 to Sheet 02 of the declaration for loss-making organizations (thousand rubles)","Убытки, отраженные в Приложении № 3 к Листу 02 декларации по убыточным организациям (тыс. руб.)","integer"
"G10","Income excluded from profit for profitable organizations (thousand rubles)","Доходы, исключаемые из прибыли по прибыльным организациям (тыс. руб.)","integer"
"G11","Income excluded from profits of loss-making organizations (thousand rubles)","Доходы, исключаемые из прибыли по убыточным организациям (тыс. руб.)","integer"
"G12","Adjustment of the tax base for identified errors (distortions) related to past tax periods that led to overpayment of tax by profitable organizations (thousand rubles)","Корректировка налоговой базы на выявленные ошибки (искажения), относящиеся к прошлым налоговым периодам, приведшие к излишней уплате налога по прибыльным организациям (тыс. руб.)","integer"
"G13","Adjustment of the tax base for identified errors (distortions) related to past tax periods that led to overpayment of tax by unprofitable organizations (thousand rubles)","Корректировка налоговой базы на выявленные ошибки (искажения), относящиеся к прошлым налоговым периодам, приведшие к излишней уплате налога  по убыточным организациям (тыс. руб.)","integer"
"G14","Tax base for profitable organizations (thousand rubles)","Налоговая база по прибыльным организациям (тыс. руб.)","integer"
"G15","The amount of loss or part of loss that reduces the tax base for the reporting (tax) period for profitable organizations (thousand rubles)","Сумма убытка или части убытка, уменьшающего налоговую базу за отчетный (налоговый) период по прибыльным организациям (тыс. руб.)","integer"
"G16","The number of taxpayers who reduced the tax base by the amounts of losses from previous years for profitable organizations (units)","Количество налогоплательщиков, уменьшивших налоговую базу на суммы убытков прошлых лет по прибыльным организациям (ед)","integer"
"G17","Tax base for calculating tax on profitable organizations (thousand rubles)","Налоговая база для исчисления налога по прибыльным организациям (тыс. руб.)","integer"
"G18","The amount of the organization's loss calculated for tax purposes for loss-making organizations (thousand rubles)","Сумма убытка организации, исчисленного при налогообложении по убыточным организациям (тыс. руб.)","integer"
"G19","The amount of calculated income tax to the federal budget for profitable organizations (thousand rubles)","Сумма исчисленного налога на прибыль в федеральный бюджет по прибыльным организациям (тыс. руб.)","integer"
"G20","The amount of tax paid outside the Russian Federation and credited towards the tax payment in accordance with the procedure established by Article 311 of the Tax Code of the Russian Federation for profitable organizations (thousand rubles)","Сумма налога, выплаченная за пределами Российской Федерации и засчитываемая в уплату налога согласно порядку, установленному ст.311 НК РФ по прибыльным организациям (тыс. руб.)","integer"
"G21","The amount of tax reduction when applying the federal investment tax deduction: to the federal budget for profitable organizations (thousand rubles)","Сумма уменьшения налога при применении федерального инвестиционного налогового вычета:  в федеральный бюджет  по прибыльным организациям (тыс.руб.)","integer"
"G22","Number of taxpayers who applied the federal investment tax deduction for profitable organizations (units)","Количество налогоплательщиков, применивших федеральный инвестиционный налоговый вычет  по прибыльным организациям (ед.)","integer"
"G23","The amount of tax reduction when applying the investment tax deduction established by the law of the constituent entity of the Russian Federation: to the federal budget for profitable organizations (thousand rubles)","Сумма уменьшения налога при применении инвестиционного налогового вычета, установленного законом субъекта РФ: в федеральный бюджет по прибыльным организациям (тыс.руб.)","integer"
"G24","The amount of tax reduction when applying the investment tax deduction established by the law of the constituent entity of the Russian Federation: to the federal budget for unprofitable organizations (thousand rubles)","Сумма уменьшения налога при применении инвестиционного налогового вычета, установленного законом субъекта РФ: в федеральный бюджет по убыточным организациям (тыс.руб.)","integer"
"G25","The amount of tax reduction when applying the investment tax deduction established by the law of the constituent entity of the Russian Federation to the budgets of the constituent entities of the Russian Federation for profitable organizations (thousand rubles)","Сумма уменьшения налога при применении инвестиционного налогового вычета, установленного законом субъекта РФ в бюджеты субъектов Российской Федерации по прибыльным организациям (тыс.руб.)","integer"
"G26","The amount of tax reduction when applying the investment tax deduction established by the law of the constituent entity of the Russian Federation to the budgets of constituent entities of the Russian Federation for unprofitable organizations (thousand rubles)","Сумма уменьшения налога при применении инвестиционного налогового вычета, установленного законом субъекта РФ в бюджеты субъектов Российской Федерации по убыточным организациям (тыс.руб.)","integer"
"G27","Number of taxpayers who applied the regional investment tax deduction for profitable organizations (units)","Количество налогоплательщиков, применивших региональный инвестиционный налоговый вычет по прибыльным организациям (ед.)","integer"
"G28","Number of taxpayers who applied the regional investment tax deduction for loss-making organizations (units)","Количество налогоплательщиков, применивших региональный инвестиционный налоговый вычет по убыточным организациям (ед.)","integer"
"G29","The amount of income tax to be paid to the federal budget by profitable organizations","Сумма налога на прибыль в федеральный бюджет к доплате  по прибыльным организациям","integer"
"G30","The amount of income tax to be reduced to the federal budget for profitable organizations (thousand rubles)","Сумма налога на прибыль в федеральный бюджет  к уменьшению по прибыльным организациям (тыс. руб.)","integer"
"G31","The amount of income tax to be reduced to the federal budget for unprofitable organizations (thousand rubles)","Сумма налога на прибыль в федеральный бюджет к уменьшению  по убыточным организациям (тыс. руб.)","integer"
"G32","The amount of tax shortfall due to a reduction in the tax base by the amount of loss or part of the loss for profitable organizations (thousand rubles)","Сумма недопоступления налога в связи с уменьшением налоговой базы на сумму убытка или части убытка по прибыльным организациям (тыс. руб.)","integer"
"G33","The amount of shortfall in income tax revenue due to the establishment by laws of constituent entities of the Russian Federation of a reduced tax rate for certain categories of taxpayers in accordance with paragraph 1 of Article 284 of the Tax Code of the Russian Federation (except for residents of special economic zones and participants in regional investment projects) for profitable organizations (thousand rubles)","Сумма недопоступления налога на прибыль в связи с установлением законами субъектов Российской Федерации пониженной ставки налога для отдельных категорий налогоплательщиков в соответствии с п.1 ст.284  НК РФ (кроме резидентов особых экономических зон и участников региональных инвестиционных проектов) по прибыльным организациям (тыс. руб.)","integer"
"G34","Number of taxpayers who applied reduced tax rates (to page 1160 of the report) by profitable organizations (units)","Количество налогоплательщиков, применивших пониженные налоговые ставки (к стр. 1160 отчета) по прибыльным организациям (ед)","integer"
