G1;G2;G3;;;;;
;строки 2020+3020+4020+5020+6020+7020;строки 2050+3050+4050+5050+ 6050+7050;;;;;
Белгородская область;170 169 466 939,78;20 877 758 377,00;;;;;
Брянская область;93 887 901 189,59;11 543 732 940,00;;;;;
Владимирская область;135 025 288 337,14;16 741 427 074,00;;;;;
Воронежская область;239 923 370 245,49;28 402 487 339,00;;;;;
Ивановская область;74 513 204 681,61;9 140 976 280,00;;;;;
Калужская область;137 039 575 030,25;17 396 416 016,00;;;;;
Костромская область;62 235 062 124,42;7 485 373 291,00;;;;;
Курская область;100 332 531 549,32;12 450 695 508,00;;;;;
Липецкая область;122 426 592 580,00;14 129 858 645,00;;;;;
Московская область;1 300 930 625 229,76;164 983 619 161,00;;;;;
Орловская область;67 010 435 565,14;11 007 016 796,00;;;;;
Рязанская область;114 518 788 287,91;14 273 290 902,00;;;;;
Смоленская область;92 706 201 414,23;11 594 722 526,00;;;;;
Тамбовская область;82 292 532 978,77;9 947 950 317,00;;;;;
Тверская область;137 895 027 834,53;17 255 591 036,00;;;;;
Тульская область;165 141 409 603,98;20 087 066 836,00;;;;;
Ярославская область;155 415 985 249,45;18 705 448 399,00;;;;;
город Москва;8 511 891 693 266,85;612 673 339 005,00;;;;;
Республика Карелия;82 722 947 610,08;10 299 503 339,00;;;;;
Республика Коми;182 569 332 333,72;22 912 045 086,00;;;;;
Архангельская область и Ненецкий АО;206 160 780 690,51;25 821 580 758,00;;;;;
Вологодская область;165 011 744 333,48;18 482 970 801,00;;;;;
Калининградская область;126 146 479 090,83;14 272 740 375,00;;;;;
Ленинградская область;228 612 766 719,17;28 550 836 396,00;;;;;
Мурманская область;195 354 108 407,38;24 869 709 742,00;;;;;
Новгородская область;71 320 109 724,32;8 823 544 616,00;;;;;
Псковская область;60 826 624 021,68;7 550 168 743,00;;;;;
город Санкт-Петербург;1 514 318 023 318,05;166 874 078 795,00;;;;;
Республика Дагестан;71 934 029 026,50;8 367 935 427,00;;;;;
Республика Ингушетия;11 819 504 544,59;1 333 961 822,00;;;;;
Кабардино-Балкарская Республика;35 048 897 878,76;4 259 492 797,00;;;;;
Карачаево-Черкесская Республика;22 579 372 480,34;2 775 156 481,00;;;;;
Республика Северная Осетия-Алания;33 894 557 896,77;4 170 001 767,00;;;;;
Чеченская Республика;44 797 445 592,98;5 329 745 872,00;;;;;
Ставропольский край;201 148 121 712,84;23 995 751 739,00;;;;;
Республика Адыгея;27 925 879 012,73;3 413 670 770,00;;;;;
Республика Калмыкия;14 757 867 924,81;1 785 177 195,00;;;;;
Республика Крым;11 066 472 935,86;1 427 069 864,00;;;;;
Краснодарский край;569 077 014 921,23;69 552 229 014,00;;;;;
Астраханская область;101 434 966 944,79;11 930 600 051,00;;;;;
Волгоградская область;231 871 839 966,68;27 623 878 814,00;;;;;
Ростовская область;412 555 798 886,03;49 261 344 594,00;;;;;
город Севастополь;3 362 139 863,03;432 101 588,00;;;;;
Республика Башкортостан;399 938 532 667,88;46 474 132 300,00;;;;;
Республика Марий-Эл;57 616 606 067,36;7 011 117 857,00;;;;;
Республика Мордовия;64 928 016 348,47;7 978 989 030,00;;;;;
Республика Татарстан;501 452 715 439,59;57 795 652 249,00;;;;;
