G1;G2;G3
Белгородская область;176 222 440 423,24;22 039 592 183,00
Брянская область;96 205 379 696,70;11 942 286 958,00
Владимирская область;140 184 807 385,72;17 597 873 441,00
Воронежская область;237 528 839 527,83;29 215 854 147,00
Ивановская область;72 075 596 664,34;8 967 079 358,00
Калужская область;140 791 876 975,05;17 898 435 616,00
Костромская область;67 037 618 064,02;7 778 245 259,00
Курская область;105 625 687 865,41;13 230 842 988,00
Липецкая область;117 871 538 338,65;14 806 324 358,00
Московская область;1 333 372 918 440,08;171 447 520 450,00
Орловская область;68 347 469 612,80;8 535 993 222,00
Рязанская область;117 915 795 590,92;14 853 409 521,00
Смоленская область;98 910 276 111,74;12 443 664 223,00
Тамбовская область;88 262 008 044,48;11 071 491 658,00
Тверская область;138 720 225 940,77;17 454 797 935,00
Тульская область;169 508 334 950,26;21 173 296 242,00
Ярославская область;159 031 799 497,00;19 467 045 347,00
город Москва;9 152 063 714 894,56;649 537 659 776,00
Республика Карелия;82 805 653 587,11;10 391 380 350,00
Республика Коми;182 119 209 910,70;23 046 388 633,00
Архангельская область;186 185 813 062,50;23 420 743 745,00
Вологодская область;153 525 741 931,00;18 693 821 361,00
Калининградская область;116 255 402 560,09;14 779 518 153,00
Ленинградская область;227 986 863 406,00;29 053 960 336,00
Мурманская область;202 908 755 010,08;26 059 565 838,00
Новгородская область;74 500 976 030,96;9 329 308 068,00
Псковская область;58 435 783 966,38;7 289 989 397,00
город Санкт-Петербург;1 516 198 560 396,85;177 908 795 861,00
Ненецкий АО;31 350 188 845,37;4 039 869 246,00
Республика Дагестан;74 402 252 115,05;8 682 649 878,00
Республика Ингушетия;11 736 115 014,13;1 303 649 074,00
Кабардино-Балкарская Республика;35 873 458 469,11;4 381 197 242,00
Карачаево-Черкесская Республика;21 930 001 395,10;2 685 136 267,00
Республика Северная Осетия-Алания;35 905 981 745,08;4 438 380 262,00
Чеченская Республика;39 532 201 248,14;4 671 567 326,00
Ставропольский край;207 764 358 443,69;25 072 460 465,00
Республика Адыгея;28 988 257 810,02;3 552 580 744,00
Республика Калмыкия;14 683 050 771,79;1 780 828 394,00
Республика Крым;108 800 400 853,13;13 719 929 161,00
Краснодарский край;581 123 618 387,51;71 764 207 274,00
Астраханская область;99 857 655 860,18;11 587 565 575,00
Волгоградская область;242 892 623 100,55;29 341 164 857,00
Ростовская область;420 001 099 087,67;51 489 219 192,00
город Севастополь;37 426 942 876,56;4 770 526 800,00
Республика Башкортостан;394 281 627 097,66;47 334 204 020,00
Республика Марий-Эл;60 455 655 518,04;7 475 157 495,00
Республика Мордовия;67 199 415 428,09;8 328 744 897,00
Республика Татарстан;525 794 994 704,29;61 859 456 931,00
Удмуртская Республика;177 543 539 778,53;21 570 264 612,00
Чувашская Республика;105 562 214 542,10;12 029 161 649,00
Кировская область;124 034 342 061,65;15 347 381 881,00
Нижегородская область;436 513 296 180,48;53 802 163 995,00
Оренбургская область;195 463 995 210,08;23 954 027 346,00
Пензенская область;107 280 135 344,82;12 832 007 437,00
Пермский край;359 030 694 225,86;40 761 078 483,00
Самарская область;450 367 092 711,87;53 331 027 977,00
Саратовская область;217 348 533 030,84;27 326 976 240,00
Ульяновская область;112 430 375 773,05;14 129 106 296,00
Курганская область;69 474 454 782,84;8 605 119 751,00
Свердловская область;707 804 293 310,39;86 994 195 853,00
Тюменская область;237 845 743 222,70;28 545 574 553,00
Челябинская область;447 512 064 845,06;53 311 874 038,00
Ханты-Мансийский АО - Югра;636 576 570 873,51;79 025 909 570,00
Ямало-Hенецкий АО;349 609 000 151,21;45 211 897 337,00
Республика Алтай;16 098 833 014,44;1 958 795 293,00
Республика Бурятия;92 401 478 234,48;11 572 822 909,00
Республика Тыва;24 218 087 520,24;2 962 363 913,00
Республика Хакасия;58 154 149 480,75;7 250 820 864,00
Алтайский край;179 294 062 796,06;21 974 529 068,00
Красноярский край;503 214 672 943,90;61 955 245 299,00
Иркутская область;342 438 267 093,90;42 217 911 517,00
Кемеровская область;339 607 286 004,40;42 219 402 673,00
Новосибирская область;388 716 817 097,99;46 341 298 752,00
Омская область;197 115 239 379,70;23 421 334 681,00
Томская область;154 681 708 647,37;19 008 751 534,00
Забайкальский край;123 551 087 099,52;15 623 900 218,00
Республика Саха (Якутия);248 634 976 094,16;31 615 735 171,00
Приморский край;274 795 426 867,81;35 166 807 067,00
Хабаровский край;252 040 540 085,91;32 163 736 529,00
Амурская область;119 690 450 781,37;15 168 733 876,00
Камчатский край;108 157 650 849,04;13 970 729 058,00
Магаданская область;57 020 064 485,20;7 323 950 481,00
Сахалинская область;167 356 677 712,40;21 734 801 092,00
Еврейская автономная область;19 477 664 828,02;2 495 231 329,00
Чукотский АО;29 590 923 363,96;3 825 200 004,00
